epoch,lr,wall_s,train_pose_sl1,train_pose_pm,train_pose_loss,train_gripper_loss,train_total,train_pose_l1,train_pose_pos_l1,train_pose_rot_l1,train_gripper_acc,train_pose_pos_m,train_pose_rot_rad,train_pose_pm_mm,val_pose_sl1,val_pose_pm,val_pose_loss,val_gripper_loss,val_total,val_pose_l1,val_pose_pos_l1,val_pose_rot_l1,val_gripper_acc,val_pose_pos_m,val_pose_rot_rad,val_pose_pm_mm
0,0.0009829629131445341,41.26,0.04415414779118136,0.009406889187903588,0.06584822430764095,0.0038757510962004467,0.0697239753498201,0.1424653912977417,0.12316503739076676,0.16176574572724084,0.9994069719471947,0.0031473543387361288,0.013405373084847585,9.40688918790359,0.022956669421310163,0.008311919581741739,0.058183436947209496,3.9199574506734254e-05,0.05822263649983323,0.1254739495260375,0.11013977019946812,0.1408081291428892,1.0,0.002803813158615101,0.011639342877159129,8.311919581741739
1,0.0009330127018922195,35.05,0.03917873039051718,0.008621253878133305,0.06034877718035931,0.002010511940785317,0.062359289124780164,0.13581648091524348,0.11258468863618847,0.15904827280701583,0.9995101072607261,0.0028815316576157194,0.013200411294116685,8.621253878133304,0.024077493717563358,0.008945135655712127,0.06261594999920238,1.0248153788094671e-05,0.06262619749872715,0.12742615620166192,0.11681183469501925,0.13804048080464978,1.0,0.0029865210529142643,0.011506604462120183,8.945135655712127
2,0.0008535533905932737,33.56,0.03710380838584561,0.008368982182333104,0.058582875444231054,0.0021108991998433717,0.060693774630527685,0.1340815417419369,0.10954143690320328,0.15862164717696287,0.9995616749174917,0.0028024330013277925,0.013170719614695056,8.368982182333104,0.022863811918119075,0.00875365398662947,0.06127557790640629,1.3306301235148504e-05,0.0612888845627184,0.1252152080208192,0.11461871575354497,0.13581170315866348,1.0,0.0029431581305686657,0.011268783614716747,8.75365398662947
3,0.00075,33.86,0.034565460042130486,0.007806589998298696,0.054646130147153395,0.0011189364495958396,0.05576506657556634,0.1266151133174747,0.1023368553470562,0.15089337225302613,0.9996132425742574,0.0026159222044124463,0.012525986138540673,7.806589998298697,0.02304218342181021,0.008377008297323407,0.058639058883572036,3.987599602505843e-06,0.05864304649236398,0.12207231235194516,0.1104683992150542,0.133676232197584,1.0,0.0028169611413475302,0.011003462093765343,8.377008297323407
4,0.0006294095225512604,36.14,0.03157832582939182,0.007276188954096226,0.050933322780104755,0.0008107268019387555,0.05174404963629671,0.12005640589708935,0.0953762980098083,0.14473651401182214,0.9997679455445545,0.0024410343902622022,0.012020872025243422,7.276188954096226,0.021401765443852326,0.008242936571052064,0.05770055673919715,6.626787421442099e-06,0.057707183353312604,0.11944830414407696,0.10967155981373478,0.1292250467004714,1.0,0.0027861648936679355,0.010687962894073942,8.242936571052065
5,0.0005,44.06,0.030856652615634916,0.006908752123299654,0.04836126498066553,0.0007069069476931185,0.04906817192439199,0.11563372169390763,0.09059303660228504,0.1406744069515085,0.9997163778877888,0.002318877445552314,0.011710928467935314,6.908752123299654,0.022652186187250272,0.008101202073825515,0.056708414752633024,9.261295319242791e-06,0.05671767614685096,0.12074741672772865,0.1081433818389327,0.13335145300342924,1.0,0.0027580133667497926,0.011032063997798151,8.101202073825515
6,0.0003705904774487397,38.31,0.028888914250790237,0.00638418412258658,0.044689288962226695,0.00040627717991376154,0.045095566229851725,0.10894968976011567,0.08351232322922635,0.13438705695491812,0.9998968646864687,0.002138774466651673,0.011175184669710769,6.384184122586579,0.02121628809808975,0.007978197951192334,0.055847385551506305,5.738349423685954e-06,0.055853124433781674,0.11417875122843367,0.10587045669684679,0.12248704959819844,1.0,0.0026909020795886007,0.010151622433908832,7.978197951192334
7,0.0002500000000000001,35.65,0.027838272399118433,0.00597270506298901,0.04180893558922774,0.0003238631485670255,0.04213279873907271,0.10423462941209868,0.07834954325589213,0.1301197147752979,0.9998195132013201,0.0020077344780886183,0.010833219894770495,5.97270506298901,0.020080700095388152,0.0076089457092701875,0.05326262010801664,2.7455394440858465e-06,0.05326536546150843,0.11172855277727177,0.10029263284815339,0.12316447912485569,1.0,0.0025618749940808203,0.010219016043848289,7.608945709270187
8,0.00014644660940672628,36.15,0.027882752615786325,0.005699401209976143,0.039895808490196076,0.00036084018614026197,0.040256648763965064,0.10153290720982323,0.0750200437818325,0.12804577098821257,0.9998968646864687,0.0019196678367374225,0.010676258952870178,5.699401209976143,0.02085493819272041,0.007766902638252551,0.054368318514132395,3.0594883375347328e-06,0.054371377799934124,0.11146478300099764,0.10285051641139117,0.12007905252568134,1.0,0.002621227422289679,0.010009638662752392,7.76690263825255
9,6.698729810778065e-05,71.65,0.026951496497798624,0.0054017225500940045,0.03781205795324183,0.00023166450411943264,0.03804372242120135,0.09768013314961797,0.07135274252322542,0.12400752421554559,0.9999226485148515,0.0018274587463424617,0.010332328116017158,5.4017225500940045,0.020206927704862702,0.007650491386426218,0.05355343906394331,7.365652542724198e-06,0.05356080460793528,0.10877202370595106,0.10133388802989737,0.11621016528441276,1.0,0.0025839615236258225,0.009654161032466661,7.650491386426218
