epoch,lr,wall_s,train_pose_sl1,train_pose_pm,train_pose_loss,train_gripper_loss,train_total,train_aux_loss,train_pose_l1,train_pose_pos_l1,train_pose_rot_l1,train_gripper_acc,train_pose_pos_m,train_pose_rot_rad,train_pose_pm_mm,train_aux_pos_mm,train_aux_rot_deg,train_aux_pm_mm,val_pose_sl1,val_pose_pm,val_pose_loss,val_gripper_loss,val_total,val_aux_loss,val_pose_l1,val_pose_pos_l1,val_pose_rot_l1,val_gripper_acc,val_pose_pos_m,val_pose_rot_rad,val_pose_pm_mm,val_aux_pos_mm,val_aux_rot_deg,val_aux_pm_mm
0,0.000996057350657239,37.38,0.27445788252718595,0.02659088723285466,0.1861362112419946,0.110829306192392,0.4035255565935252,0.10656004021970593,0.5505128904873011,0.4779496067640733,0.6230761757310556,0.9508609693877551,0.008938426793343862,0.044022382088765806,26.59088723285466,72.91922503892256,29.58981140229162,106.56004021970593,0.2897339115540187,0.032926197813338595,0.23048338970216384,0.07403792661069487,0.384774598420835,0.08025327683830795,0.5736898140413087,0.6003844444157362,0.5469952325860993,0.9663865579610446,0.011150973972914015,0.038260577877863446,32.92619781333859,53.82310098209301,28.255719268741075,80.25327683830795
1,0.0009842915805643156,36.32,0.2515480161625512,0.024193343155238092,0.16935340264926152,0.09822214073976691,0.3547402458531516,0.08716470219042836,0.5144553296420039,0.43353362028696096,0.5953770354086039,0.9542410714285714,0.008112319697606929,0.04206565003081852,24.193343155238093,60.33066498989962,27.410204008041372,87.16470219042836,0.28278030338240606,0.03328394569477447,0.23298762125127456,0.08486215877724963,0.40074330459789737,0.08289351950840455,0.5723151103789065,0.6043437772772225,0.540286496907723,0.9607843153950881,0.011216690461216521,0.0378502553501049,33.283945694774474,56.12414549378788,28.872844782323728,82.89351950840455
2,0.0009648882429441258,35.35,0.23903132598010862,0.0228474636771241,0.1599322461504109,0.08745460960709928,0.32792869347090625,0.08054183685809982,0.49445555106717715,0.4090126240740017,0.5798984813446901,0.9589923469387756,0.007655796851506647,0.04098708328543877,22.8474636771241,55.95181110714163,26.612835377721723,80.54183685809983,0.2662149194826265,0.030933546424120748,0.21653482505754262,0.08013756282064093,0.38596161991274325,0.08928923308849335,0.5439361645227053,0.5680614634722221,0.5198108709159017,0.9663865562914467,0.0104976811626253,0.03635050749787096,30.93354642412075,62.01467856096954,26.111778012875035,89.28923308849335
3,0.0009381533400219318,29.14,0.22871423841130978,0.022007697778848968,0.15405388503354422,0.08512840900494127,0.31587855079952554,0.07669625600077667,0.4791393691179704,0.39380724278031565,0.5644714983750363,0.961670918367347,0.0073759056846326105,0.03995642092611108,22.007697778848968,53.30912895044502,25.900038853632847,76.69625600077669,0.2665412236912912,0.03213286539670132,0.2249300590082377,0.07465370736118793,0.3722215688863054,0.07263780051336235,0.5409763337684279,0.5844050786074471,0.4975475782439822,0.9719887971878052,0.010878242699674615,0.03485317497986371,32.13286539670132,49.864654614477935,25.947134016636063,72.63780051336235
4,0.0009045084971874737,33.82,0.2266642539780967,0.021785501371688987,0.15249850999335854,0.07958985571654476,0.3061624363977082,0.07407407085506283,0.47477773239417953,0.3898531356636359,0.5597023300978602,0.9635522959183673,0.007297102011246037,0.039588114037653624,21.785501371688987,51.231112939362625,25.13736635416585,74.07407085506283,0.24614351541221308,0.029863529277741073,0.20904470007626616,0.06090587559116989,0.34389263934114067,0.07394205611877415,0.5189410182608276,0.5447584344726317,0.49312362567383367,0.9691876784092238,0.010120725153530595,0.03447098884971536,29.863529277741073,51.3652480554347,24.86812081078304,73.94205611877415
5,0.0008644843137107057,28.52,0.22344348622219903,0.021401194099108782,0.14980835900927075,0.07910793367773294,0.29947641254687796,0.0705601194151202,0.4690087205901438,0.3828190288373402,0.5551984117347367,0.9636479591836735,0.007176191890042047,0.03927330192254514,21.401194099108782,49.132921637929215,24.514645863041242,70.5601194151202,0.24386246898928945,0.02985927504317767,0.20901492329872623,0.06821786996801528,0.3451871331833324,0.06795434773761351,0.5113396880005588,0.5475378406314957,0.4751415483090056,0.9775910364145658,0.010133984372155423,0.03316196668840924,29.85927504317767,44.256666941302164,24.141959477410897,67.95434773761352
6,0.0008187119948743448,32.55,0.21319692752191,0.020673379026429385,0.1447136535632367,0.07534995084932568,0.2883872159585661,0.06832361105753451,0.4542472054763716,0.37043754774696974,0.5380568646654791,0.9661670918367347,0.006938643757329912,0.038047291182589774,20.673379026429387,47.63071310459351,23.986134700826806,68.3236110575345,0.24193695471400306,0.028837177479843133,0.2018602457867951,0.09043381246281605,0.3622449631033157,0.06995091191819068,0.5049945733794311,0.5321068535832798,0.4778822847441131,0.9719887971878052,0.009885845563690118,0.03326837926143024,28.83717747984313,48.71355668127704,22.712400764551084,69.95091191819068
7,0.0007679133974894982,35.06,0.21487969900576437,0.020444161855444617,0.14310913301852285,0.07258166917504705,0.28205010760195404,0.066359305587046,0.455610783489383,0.3653424973998751,0.5458790747486815,0.9678890306122448,0.0068380738874631265,0.0386222257259853,20.444161855444616,46.251695907237576,23.552684055454247,66.359305587046,0.2350942141869489,0.02869271668044626,0.20084901500482852,0.06923046285490028,0.3436762991071749,0.07359681695866652,0.4980325607859454,0.5291151117209961,0.4669499671091886,0.9747899176359844,0.009809378957172403,0.03264466910009958,28.69271668044626,47.24235686601377,23.28292710206732,73.59681695866652
8,0.0007128896457825362,35.71,0.20791454480922952,0.019839731311159476,0.13887811946321507,0.06933850734019462,0.2718936973688554,0.06367707047991607,0.44428132030428674,0.3546558388946008,0.5339068046637944,0.9691964285714286,0.006642880026555183,0.03774342526662715,19.839731311159476,44.55428851046124,22.686828703636824,63.67707047991607,0.22919541872849986,0.02852000914388845,0.19964006209239907,0.08692608690228448,0.35256053519850017,0.06599438209243182,0.48967527516749726,0.5261017551609114,0.4532487470896638,0.9663865579610446,0.009728126439164165,0.0316525001172759,28.520009143888448,45.56493065646049,23.17747101407672,65.99438209243182
9,0.0006545084971874736,31.1,0.20066348029946796,0.01941216268519662,0.13588513900734941,0.058887153754619004,0.25650899796461574,0.06173670484247256,0.43517936273496977,0.3475606441497803,0.5227980816850857,0.974234693877551,0.006511239498397526,0.03697434713189699,19.41216268519662,43.147999413159425,22.427606565969842,61.73670484247256,0.23588297184274978,0.02937166879595328,0.20560168276647894,0.09226009813176483,0.3661403517429234,0.06827856909160186,0.5005728021389296,0.5406461478281421,0.4604994617924303,0.9663865579610446,0.010009565283687842,0.03210478332363257,29.371668795953276,45.92164684118343,22.642823775063658,68.27856909160187
