iter,buffer,beta,roll_succ,roll_len,roll_ret,critic_loss,q_mean,target_mean,actor_loss,pg_loss,bc_loss,grip_loss,aux_c,aux_a,lam,n_expert,roll_min_pos,roll_close,roll_skip,roll_miss,roll_timeout,roll_fail,eval_min_pos,eval_min_rot,eval_close,eval_miss,eval_timeout,eval_fail,q_pi,a_absmean,grip_logit,buf_pos,eval_succ,best_succ
56,1104,0.444,0.0,20.0,0.0,0.0024289318826049566,0.28044211864471436,0.2765650153160095,-0.05754827708005905,-2.5,2.4030752182006836,0.012080046348273754,0.003992024809122086,0.05459292605519295,0.004882818087935448,64,0.4819,0.0,1,0,1,0,,,,,,,511.9994201660156,2.8086955547332764,52959.6796875,0.0,,0.0
57,1124,0.443,0.0,20.0,0.0,0.004416266921907663,0.2999476194381714,0.29790282249450684,0.5085419416427612,-2.5,2.9513614177703857,0.029016869142651558,0.007923382334411144,0.05632729083299637,0.00484122522175312,64,0.2754,0.0,1,0,1,0,,,,,,,516.398193359375,3.265746831893921,50188.171875,0.0,,0.0
58,1144,0.442,0.0,20.0,0.0,0.0025011575780808926,0.2962142527103424,0.29858601093292236,-0.685196578502655,-2.4999969005584717,1.7645947933197021,0.025193339213728905,0.004456347785890102,0.05002433806657791,0.0058211833238601685,64,0.1389,0.0,1,0,1,0,,,,,,,429.46539306640625,2.1662979125976562,40548.09375,0.0,,0.0
59,1144,0.441,0.0,0.0,0.0,0.0021724782418459654,0.245006263256073,0.2440473735332489,-0.22605231404304504,-2.500000238418579,2.221700429916382,0.024559248238801956,0.003974920604377985,0.055376484990119934,0.00507755484431982,64,,0.0,2,0,0,0,,,,,,,492.36297607421875,2.5719871520996094,42842.4375,0.0,,0.0
60,1144,0.44,0.0,0.0,0.0,0.002236276399344206,0.2660725712776184,0.2699092924594879,0.9129281044006348,-2.5,3.365190029144287,0.022237153723835945,0.0038980937097221613,0.051001835614442825,0.0037573662120848894,64,,0.0,2,0,0,0,,,,,,,665.3596801757812,3.695301055908203,57848.38671875,0.0,,0.0
61,1164,0.439,0.0,20.0,0.0,0.0019549233838915825,0.2707468271255493,0.2696487605571747,0.07975931465625763,-2.499999761581421,2.5422773361206055,0.01553720235824585,0.0034001674503087997,0.04388907179236412,0.004860652144998312,64,0.3187,0.0,1,0,1,0,,,,,,,514.3342895507812,3.051647901535034,50476.140625,0.0,,0.0
62,1177,0.438,0.0,13.0,0.0,0.0021378486417233944,0.25634709000587463,0.25564825534820557,0.16570168733596802,-2.499999761581421,2.6057705879211426,0.027122007682919502,0.003419295186176896,0.06561771780252457,0.00515355821698904,64,0.0888,0.0,1,0,0,1,,,,,,,485.1017150878906,3.118220806121826,51530.25,0.0,,0.0
63,1197,0.437,0.0,20.0,0.0,0.003978113178163767,0.25908008217811584,0.2590126097202301,0.8399937748908997,-2.5,3.3091819286346436,0.002000767271965742,0.007063585799187422,0.05762215331196785,0.007559529040008783,64,0.2666,0.0,1,0,1,0,,,,,,,330.70843505859375,3.812521457672119,43528.875,0.0,,0.0
64,1197,0.436,0.0,0.0,0.0,0.0018357471562922,0.24079065024852753,0.23543642461299896,-0.5342276692390442,-2.4999990463256836,1.9201879501342773,0.014602039009332657,0.0030433908104896545,0.06196269765496254,0.006589113734662533,64,,0.0,2,0,0,0,,,,,,,379.4135437011719,2.344928503036499,38894.921875,0.0,,0.0
65,1237,0.435,0.0,20.0,0.0,0.0021171346306800842,0.23933297395706177,0.24432915449142456,-0.47705191373825073,-2.4999964237213135,1.9754676818847656,0.02587626874446869,0.003933068830519915,0.043201085180044174,0.00635877950116992,64,0.2417,0.0,0,0,2,0,,,,,,,393.1566467285156,2.509675979614258,41105.0546875,0.0,,0.0
66,1237,0.434,0.0,0.0,0.0,0.0020590052008628845,0.29226845502853394,0.28755706548690796,-0.19072210788726807,-2.5,2.265493154525757,0.012726415880024433,0.00334249553270638,0.062116656452417374,0.006009630858898163,64,,0.0,2,0,0,0,,,,,,,415.9989318847656,2.6593613624572754,43007.1953125,0.0,,0.0
67,1237,0.433,0.0,0.0,0.0,0.0014175149844959378,0.2614901065826416,0.26322776079177856,-0.5356560349464417,-2.5,1.9359712600708008,0.005759704392403364,0.0026442643720656633,0.04522598162293434,0.0063382298685610294,64,,0.0,2,0,0,0,,,,,,,394.431884765625,2.3693723678588867,41822.88671875,0.0,,0.0
68,1257,0.432,0.0,20.0,0.0,0.0035022336523979902,0.29248785972595215,0.2876831293106079,-0.766609251499176,-2.5,1.6987731456756592,0.00787882599979639,0.006453444715589285,0.053477559238672256,0.005582305137068033,64,0.5706,0.0,1,0,1,0,,,,,,,447.8436584472656,2.0974903106689453,48622.3203125,0.0,,0.0
69,1277,0.431,0.0,20.0,0.0,0.004318377003073692,0.2815999388694763,0.2879655361175537,-0.646436333656311,-2.499999523162842,1.7417911291122437,0.0746394693851471,0.007484384812414646,0.07426528632640839,0.007889868691563606,64,0.2536,0.0,1,0,1,0,,,,,,,316.8620300292969,2.192202568054199,41881.8515625,0.0,,0.0
70,1297,0.43,0.0,20.0,0.0,0.00287179765291512,0.26887914538383484,0.274391233921051,-0.5502356886863708,-2.5,1.9100936651229858,0.010919882915914059,0.005296465940773487,0.057501502335071564,0.006988957058638334,64,0.3874,0.0,1,0,1,0,,,,,,,357.7071533203125,2.496669292449951,46484.609375,0.0,,0.0
71,1330,0.429,0.0,16.5,0.0,0.0028741953428834677,0.25632306933403015,0.26390355825424194,0.2989981472492218,-2.499999523162842,2.760467052459717,0.009994116611778736,0.004425464663654566,0.05707301199436188,0.007373483385890722,64,0.3977,0.5,0,1,1,0,,,,,,,339.0527038574219,3.317225933074951,42799.34375,0.0,,0.0
72,1350,0.428,0.0,20.0,0.0,0.0049852910451591015,0.2712967097759247,0.26317939162254333,-0.641176164150238,-2.5,1.8131232261657715,0.013203857466578484,0.007933476008474827,0.06499351561069489,0.0056903911754488945,64,0.5559,0.0,1,0,1,0,,,,,,,439.33709716796875,2.1912357807159424,52815.31640625,0.0,,0.0
73,1370,0.427,0.0,20.0,0.0,0.0018623187206685543,0.23164495825767517,0.23125910758972168,0.4535677134990692,-2.5,2.8745877742767334,0.04870065301656723,0.0033438261598348618,0.06055857241153717,0.006522477604448795,64,0.0799,0.0,1,0,1,0,,,,,,,383.2899475097656,3.1866328716278076,47828.33203125,0.0,,0.0
74,1410,0.426,0.0,20.0,0.0,0.004253947176039219,0.2555156946182251,0.2702086567878723,0.6735299825668335,-2.4999966621398926,3.1424880027770996,0.0007739547290839255,0.005087061319500208,0.060529377311468124,0.007602812256664038,64,0.248,0.0,0,0,2,0,,,,,,,328.82525634765625,3.727663993835449,51910.078125,0.0,,0.0
75,1410,0.425,0.0,0.0,0.0,0.003120342269539833,0.2466420829296112,0.2488814741373062,0.42100125551223755,-2.499999523162842,2.839137554168701,0.048182617872953415,0.0056629362516105175,0.06736122071743011,0.008564216084778309,64,,0.0,2,0,0,0,,,,,,,291.91229248046875,3.2010726928710938,49307.0859375,0.0,,0.0
76,1430,0.424,0.0,20.0,0.0,0.0018038167618215084,0.27421998977661133,0.27497798204421997,0.7414694428443909,-2.500000476837158,3.211522102355957,0.003608608152717352,0.003244645893573761,0.052678432315588,0.008863472379744053,64,0.5172,0.0,1,0,1,0,,,,,,,282.0565185546875,3.792189359664917,45221.390625,0.0,,0.0
77,1430,0.423,0.0,0.0,0.0,0.002113179536536336,0.25779062509536743,0.26208993792533875,-0.6189409494400024,-2.499999523162842,1.8247733116149902,0.03268693760037422,0.003942354582250118,0.0471966527402401,0.008656162768602371,64,,0.0,2,0,0,0,,,,,,,288.8115234375,2.4093425273895264,51285.203125,0.0,,0.0
78,1450,0.422,0.0,20.0,0.0,0.003593926317989826,0.23967501521110535,0.23877495527267456,0.683495044708252,-2.500000238418579,3.1561174392700195,5.135506464526429e-10,0.006117536220699549,0.054755713790655136,0.007727976888418198,64,0.5136,0.0,1,0,1,0,,,,,,,323.49993896484375,3.6908576488494873,42533.2578125,0.0,,0.0
79,1470,0.421,0.0,20.0,0.0,0.0019470759434625506,0.25477123260498047,0.252152681350708,-0.1392413079738617,-2.5,2.329723834991455,0.003374926745891571,0.0036998821888118982,0.05531984940171242,0.009484624490141869,64,0.2171,0.0,1,0,1,0,,,,,,,263.5845031738281,2.631119966506958,36388.97265625,0.0,,0.0
80,1510,0.42,0.0,20.0,0.0,0.0028223630506545305,0.268821656703949,0.26945212483406067,0.8383119106292725,-2.5,3.3027782440185547,0.004344941582530737,0.005209899507462978,0.062377408146858215,0.008018107153475285,64,0.2772,0.0,0,0,2,0,,,,,,,311.7942810058594,3.780761480331421,45403.8125,0.0,,0.0
81,1530,0.419,0.0,20.0,0.0,0.0024743853136897087,0.26696017384529114,0.27089160680770874,0.10356514900922775,-2.499999523162842,2.5697929859161377,0.007601054850965738,0.003962650429457426,0.0523412711918354,0.010140672326087952,64,0.3419,0.0,1,0,1,0,,,,,,,246.53192138671875,3.0147218704223633,46120.28515625,0.0,,0.0
