iter,beta,m,episodes,steps,skipped,pinned,reached_standoff,reached_grasp,reach_steps,omg_fail,goal_switch,expert_steps,policy_closed,policy_close_cmds,dropped_tail,dart,dart_env_done,dart_reach,dart_reject,dart_sigma_trace,dart_noise_steps,dart_alpha,mean_min_pos,mean_min_rot,mean_policy_close_step,c_close_label,c_policy_close,c_max_steps,c_env_done,c_no_labels,c_omg_fail0,c_success_rate,co_grasp_ok,co_grasp_miss,co_no_release,co_drop,co_human_contact,co_bench_timeout,co_timeout,revisits,grasp_mismatch,max_grasp_drift,close_labels,approach_labels,mean_label_pos,tiny_labels,aggregate_files,D_episodes,D_steps,D_dagger_frac,epochs,train_loss,train_grip_acc,val_loss,val_grip_acc,best_val_loss,aux_pos_mm,aux_rot_deg,aux_pm_mm,success_rate,grasp_rate,near_rate,close_rate,close_success_rate,chance_rate,missed_rate,miss_given_chance,box_chance_rate,box_taken_rate,box_missed_rate,miss_given_box,mean_box_steps,mean_box_frac,eval_min_pos,eval_min_rot,mean_dist,mean_pos_err,mean_rot_err,mean_close_step,f_grasp_ok,f_grasp_miss,f_no_release,f_drop,f_timeout,f_human_contact,is_best,collect_s,train_s,eval_s,wall_s
0,1.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,472,9912,0.0,100,0.0429,0.999,0.4048,0.9664,0.2272,42.2651,14.7704,63.3394,0.46,0.47,0.0,0.74,0.6216,0.0,0.0,,0.3,0.9333,0.04,0.1333,3.4,0.3159,0.0847,0.7982,0.1708,0.0944,1.0299,21.9054,0.46,0.0,0.2,0.17,0.0,0.17,1,,,,0.0
1,0.75,100,100,3296,0,100,76,70,461,0,0,1790,2,2,7,798,9,107,57,0.026481,0,3.0,0.0393,0.1485,31.0,70,0,11,19,0,0,0.64,0.64,0.0,0.03,0.17,0.05,0.0,0.11,0,0,0.0,70,3226,0.034,0,2,572,13208,0.2495,25,0.0686,0.9989,0.3133,0.972,0.2542,37.9164,16.139,58.5075,0.34,0.32,0.02,0.43,0.7907,0.03,0.01,0.3333,0.33,0.6061,0.11,0.3333,3.2727,0.3369,0.0974,0.7597,0.1765,0.086,1.0061,23.814,0.34,0.0,0.04,0.3,0.03,0.29,0,87.1,333.3,675.6,1097.6
2,0.75,100,100,3562,0,100,85,78,515,0,0,1932,0,0,4,922,5,126,35,0.024145,0,3.0,0.0255,0.0893,,78,0,10,12,0,0,0.7,0.7,0.0,0.03,0.12,0.05,0.0,0.1,22,0,0.004,78,3484,0.0343,1,3,672,16770,0.4089,25,0.0757,0.9989,0.325,0.972,0.2616,35.9488,17.4157,57.0104,0.58,0.58,0.01,0.65,0.8923,0.02,0.01,0.5,0.59,0.8983,0.09,0.1525,2.2881,0.5455,0.0806,0.764,0.1714,0.0779,0.9653,23.8,0.58,0.0,0.02,0.13,0.02,0.25,1,78.9,469.4,707.9,1258.7
3,0.75,100,100,3360,0,100,82,73,486,0,0,1866,1,2,10,831,4,110,58,0.016211,0,3.0,0.0317,0.1139,42.0,73,0,10,17,0,0,0.63,0.63,0.0,0.03,0.2,0.04,0.0,0.1,40,1,0.0216,73,3287,0.0342,1,4,772,20130,0.5076,25,0.0787,0.9985,0.3408,0.972,0.2847,39.1289,19.441,60.5399,0.65,0.67,0.03,0.78,0.8333,0.04,0.0,0.0,0.57,0.9298,0.06,0.1053,2.0526,0.579,0.0884,0.7261,0.1733,0.0811,1.0371,24.0897,0.65,0.01,0.06,0.11,0.01,0.16,1,85.9,535.9,693.8,1317.5
4,0.75,100,100,3577,0,100,80,71,475,0,0,1932,2,2,8,930,3,111,63,0.01712,0,3.0,0.029,0.1115,38.5,71,0,13,16,0,0,0.66,0.66,0.0,0.04,0.11,0.06,0.0,0.13,53,0,0.0046,71,3506,0.0339,0,5,872,23707,0.5819,25,0.0781,0.9991,0.357,0.9776,0.2885,39.9406,20.94,60.5992,0.57,0.56,0.0,0.73,0.7808,0.0,0.0,,0.5,0.98,0.04,0.08,2.06,0.4988,0.0828,0.7174,0.1697,0.0757,0.8505,24.3562,0.57,0.0,0.09,0.15,0.02,0.17,0,74.1,616.0,710.0,1403.4
5,0.75,100,100,3540,0,100,85,80,515,0,0,1920,1,1,7,905,4,118,56,0.015072,0,3.0,0.0301,0.0751,24.0,80,0,8,12,0,0,0.73,0.73,0.0,0.03,0.12,0.04,0.0,0.08,50,0,0.0158,80,3460,0.0337,1,6,972,27247,0.6362,25,0.0759,0.9992,0.3819,0.9776,0.3075,39.5363,21.3436,59.2023,0.72,0.72,0.03,0.82,0.878,0.04,0.0,0.0,0.64,0.9688,0.05,0.0781,1.8125,0.6122,0.0783,0.6589,0.166,0.0751,0.9031,24.4024,0.72,0.0,0.05,0.12,0.03,0.08,1,82.7,742.8,709.3,1537.6
6,0.75,100,100,3615,0,100,76,70,454,0,0,1938,1,1,9,940,7,95,38,0.016209,0,3.0,0.0368,0.1275,37.0,70,0,12,18,0,0,0.6,0.6,0.0,0.03,0.23,0.02,0.0,0.12,76,1,0.0216,70,3545,0.0338,0,7,1072,30862,0.6788,25,0.0752,0.9996,0.3986,0.9804,0.3109,39.501,22.5851,59.2531,0.55,0.5,0.0,0.71,0.7746,0.01,0.01,1.0,0.42,0.9048,0.04,0.0952,2.619,0.4239,0.0896,0.6652,0.1722,0.0857,0.9733,24.2394,0.55,0.0,0.09,0.21,0.01,0.14,0,83.9,867.8,691.9,1645.2
7,0.75,100,100,3675,0,100,77,74,472,0,0,1967,2,4,5,977,1,117,54,0.015808,0,3.0,0.0436,0.1029,38.5,74,0,18,8,0,0,0.69,0.69,0.0,0.04,0.06,0.03,0.0,0.18,85,0,0.0018,74,3601,0.0343,0,8,1172,34537,0.713,25,0.0748,0.9996,0.4244,0.972,0.3194,39.2378,23.4013,59.3931,0.51,0.54,0.03,0.72,0.7083,0.05,0.02,0.4,0.44,0.8864,0.1,0.2273,2.4773,0.4786,0.0775,0.643,0.1652,0.0737,0.858,25.2361,0.51,0.01,0.09,0.24,0.01,0.14,0,81.1,944.9,729.0,1757.0
8,0.75,100,100,3314,0,100,76,73,461,0,0,1839,2,2,11,836,5,93,63,0.017958,0,3.0,0.0313,0.1081,32.5,73,0,7,20,0,0,0.59,0.59,0.01,0.06,0.23,0.04,0.0,0.07,84,1,0.0216,73,3241,0.0348,1,9,1272,37851,0.7381,25,0.0734,0.9996,0.4057,0.9776,0.3349,39.7383,24.3186,59.6306,0.76,0.73,0.05,0.85,0.8941,0.06,0.0,0.0,0.63,0.9683,0.03,0.0476,1.9841,0.6155,0.0732,0.6085,0.1608,0.0728,0.8323,24.7176,0.76,0.0,0.06,0.08,0.0,0.1,1,73.7,1044.3,705.1,1825.6
9,0.75,100,100,3675,0,100,74,62,421,0,0,1946,0,0,7,996,6,98,37,0.013332,0,3.0,0.0405,0.1271,,62,0,21,17,0,0,0.59,0.59,0.0,0.01,0.14,0.05,0.0,0.21,85,0,0.0011,62,3613,0.0338,3,10,1372,41526,0.7613,25,0.0725,0.9998,0.4658,0.9692,0.3242,40.3245,24.1776,60.3655,0.72,0.71,0.05,0.88,0.8182,0.05,0.0,0.0,0.62,0.9839,0.03,0.0484,1.7903,0.5716,0.0707,0.5872,0.1587,0.0672,0.7225,24.7273,0.72,0.0,0.11,0.1,0.01,0.06,0,81.0,1202.0,694.3,1979.3
