iter,beta,m,episodes,steps,skipped,pinned,reached_standoff,reached_grasp,reach_steps,omg_fail,goal_switch,expert_steps,policy_closed,policy_close_cmds,dropped_tail,dart,dart_env_done,mean_min_pos,mean_min_rot,mean_policy_close_step,c_close_label,c_policy_close,c_max_steps,c_env_done,c_no_labels,c_omg_fail0,revisits,grasp_mismatch,max_grasp_drift,close_labels,approach_labels,mean_label_pos,tiny_labels,aggregate_files,D_episodes,D_steps,D_dagger_frac,epochs,train_loss,train_grip_acc,val_loss,val_grip_acc,best_val_loss,success_rate,grasp_rate,near_rate,close_rate,close_success_rate,chance_rate,missed_rate,miss_given_chance,eval_min_pos,eval_min_rot,mean_dist,mean_pos_err,mean_rot_err,mean_close_step,f_grasp_ok,f_grasp_miss,f_no_release,f_drop,f_timeout,f_human_contact,is_best,collect_s,train_s,eval_s,wall_s
0,1.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,472,9912,0.0,100,0.0113,0.9985,0.1707,0.9804,0.1237,0.62,0.57,0.01,0.74,0.8378,0.01,0.0,0.0,0.0883,0.7039,0.1734,0.0868,1.0471,23.2838,0.62,0.01,0.09,0.11,0.03,0.14,1,,,,0.0
1,0.75,100,100,2646,0,100,86,85,512,0,0,1943,3,4,10,143,1,0.0199,0.0897,12.33,85,0,0,15,0,0,0,0,0.0,85,2561,0.0328,0,2,572,12558,0.2107,25,0.0624,0.9925,0.1471,0.9776,0.132,,,,,,,,,,,,,,,,,,,,,0,46.7,266.6,0.0,313.3
2,0.7036,100,100,2777,0,100,89,88,530,0,0,1933,0,0,6,172,2,0.0159,0.0473,,88,0,0,12,0,0,22,0,0.0051,88,2689,0.0323,0,3,672,15335,0.3536,25,0.0727,0.9914,0.166,0.9888,0.156,0.49,0.5,0.01,0.55,0.8909,0.01,0.0,0.0,0.0811,0.6806,0.1772,0.0737,0.7937,24.0909,0.49,0.0,0.04,0.2,0.03,0.24,0,45.6,322.9,500.5,869.1
3,0.6571,100,100,2619,0,100,83,84,498,0,0,1722,1,1,8,128,0,0.0224,0.094,15.0,84,0,1,15,0,0,40,0,0.01,84,2535,0.0321,0,4,772,17954,0.4479,25,0.0732,0.9934,0.2122,0.9776,0.1884,,,,,,,,,,,,,,,,,,,,,0,42.3,380.4,0.0,422.8
4,0.6107,100,100,2778,0,100,87,85,513,0,0,1722,0,0,8,163,2,0.0198,0.0563,,85,0,2,13,0,0,53,0,0.0158,85,2693,0.0315,1,5,872,20732,0.5219,25,0.0825,0.9909,0.2065,0.9804,0.1882,0.65,0.63,0.0,0.7,0.9286,0.0,0.0,,0.0878,0.626,0.1725,0.0866,0.8125,26.5571,0.65,0.0,0.04,0.03,0.12,0.16,1,43.4,445.0,581.0,1070.0
5,0.5643,100,100,2785,0,100,89,88,525,0,0,1596,1,3,5,180,3,0.0171,0.0753,25.0,88,0,1,11,0,0,50,0,0.0158,88,2697,0.0318,1,6,972,23517,0.5785,25,0.0818,0.9923,0.2237,0.9804,0.2061,,,,,,,,,,,,,,,,,,,,,0,45.2,511.6,0.0,557.1
6,0.5179,100,100,2902,0,100,89,88,525,0,0,1630,1,1,2,156,2,0.0141,0.0601,35.0,88,0,2,10,0,0,76,0,0.0,88,2814,0.0312,3,7,1072,26419,0.6248,25,0.0826,0.9929,0.2394,0.986,0.2348,0.43,0.43,0.01,0.55,0.7818,0.01,0.0,0.0,0.0804,0.7017,0.1795,0.0773,0.8781,25.5091,0.43,0.0,0.09,0.21,0.03,0.24,0,49.0,579.4,516.4,1145.1
7,0.4714,100,100,2980,0,100,81,82,483,0,0,1487,7,30,6,176,2,0.0202,0.0681,27.29,82,0,4,14,0,0,85,0,0.0,82,2898,0.0316,1,8,1172,29399,0.6628,25,0.0826,0.9938,0.2687,0.9832,0.2439,,,,,,,,,,,,,,,,,,,,,0,46.5,659.7,0.0,706.3
8,0.425,100,100,2914,0,100,81,80,482,0,0,1390,4,8,8,209,3,0.0234,0.0947,28.25,80,0,4,16,0,0,84,0,0.0,80,2834,0.0326,2,9,1272,32313,0.6933,25,0.0831,0.9939,0.2492,0.9804,0.2481,0.53,0.53,0.07,0.56,0.9464,0.07,0.01,0.1429,0.0814,0.4643,0.195,0.0549,0.6189,27.2857,0.53,0.0,0.02,0.2,0.08,0.17,0,47.5,707.9,561.5,1317.3
9,0.3786,100,100,3033,0,100,80,81,480,0,0,1262,4,22,8,198,3,0.0213,0.066,23.25,81,0,3,16,0,0,85,0,0.0058,81,2952,0.0315,3,10,1372,35346,0.7196,25,0.0827,0.9934,0.3214,0.9692,0.2428,,,,,,,,,,,,,,,,,,,,,0,51.9,775.4,0.0,827.5
