epoch,lr,wall_s,train_pose_sl1,train_pose_pm,train_pose_loss,train_gripper_loss,train_total,train_pose_l1,train_pose_pos_l1,train_pose_rot_l1,train_gripper_acc,train_pose_pos_m,train_pose_rot_rad,train_pose_pm_mm,val_pose_sl1,val_pose_pm,val_pose_loss,val_gripper_loss,val_total,val_pose_l1,val_pose_pos_l1,val_pose_rot_l1,val_gripper_acc,val_pose_pos_m,val_pose_rot_rad,val_pose_pm_mm,val_cond_delta
0,0.0009829629131445341,43.37,0.16183874940518106,0.02524982210949506,0.17674875536767562,0.06337220409728292,0.2401209596950229,0.38620835884962934,0.31467670951739396,0.45774001001131415,0.9748143564356435,0.008510726152707149,0.03956528453174794,25.24982210949506,0.13447844148515822,0.02471672135702658,0.1730170501417769,0.07258872639188121,0.24560577497059927,0.3582721358134752,0.31023249134317143,0.40631178118687966,0.9778554788280478,0.008349413133610588,0.034689163394046554,24.71672135702658,0.9533169269561768
1,0.0009330127018922195,43.39,0.1509786091966204,0.02364350646217861,0.16550454547499666,0.056614548097927084,0.22211909397403792,0.3680846303406328,0.294821767612259,0.4413474941607749,0.9766089108910891,0.007979788116668121,0.03814871037876842,23.643506462178607,0.14464047009294684,0.026579293300829705,0.18605505388516647,0.046901202649920135,0.23295625752502389,0.37983589037592874,0.33142971766717505,0.42824204797511334,0.9825174834900525,0.008974309089118159,0.03647712734907796,26.579293300829708,0.851516604423523
2,0.0008535533905932737,43.49,0.148024452145737,0.02290106395462362,0.1603074484975031,0.05417945897344979,0.2144869073782817,0.3621575144848021,0.2849077508886262,0.43940727392045575,0.9767636138613861,0.0077103955680412235,0.03796659008701249,22.90106395462362,0.14163473371789728,0.025749410491758017,0.18024587447131987,0.046355579083129796,0.22660145121854502,0.37476121983328065,0.3234032725607043,0.42611915866533917,0.9813519813519813,0.008746546209032164,0.03632870925664207,25.749410491758017,1.031873106956482
3,0.00075,43.54,0.13974050922263967,0.021733890175081715,0.152137232033333,0.05064294042370033,0.20278017225832043,0.3484515361856706,0.2707363260854589,0.42616674599080984,0.9790841584158416,0.007326810331185265,0.03678860480685045,21.733890175081715,0.14333195329615564,0.02625106544709289,0.18375746054804964,0.03726979774924425,0.22102725880962987,0.3670698518241758,0.3301688309732851,0.40397088865300157,0.9836829846555536,0.008911785006410244,0.03449949602616,26.25106544709289,1.0727012157440186
4,0.0006294095225512604,43.56,0.13685244535750682,0.021191324677207683,0.1483392729322509,0.048898455045084555,0.19723772796073763,0.34159190557380714,0.26403216474717206,0.4191516446005,0.9795792079207921,0.007139968287457924,0.036186011017549154,21.19132467720768,0.13707515496612985,0.025321554001811502,0.17725087823845567,0.02270474765527915,0.19995562579387274,0.36220652156776484,0.316530265521892,0.40788277782204546,0.9883449883449883,0.008523029080941612,0.03490534214203035,25.3215540018115,1.222092628479004
5,0.0005,43.46,0.13085457874406684,0.020221874180554163,0.14155311972492993,0.038954349450702495,0.18050746959034758,0.33073601451250584,0.2520455944951218,0.4094264370380062,0.9836014851485149,0.006821876279272066,0.03537043212073864,20.221874180554163,0.13193024861645866,0.024277219301337128,0.16994053608192985,0.020029781590322236,0.18997031832352662,0.34828053157785277,0.30694528938312354,0.38961579464810153,0.9930069939795629,0.008258645926408974,0.03332354872984625,24.27721930133713,1.2096843719482422
6,0.0003705904774487397,43.59,0.12233271657830418,0.01905192949873681,0.1333635067290599,0.036274787188060396,0.16963829386352314,0.3174839856305925,0.2380727746699116,0.3968951930504034,0.9853960396039604,0.006440107336286271,0.03431354150692425,19.05192949873681,0.13324913604831917,0.024514085945341137,0.17159860006301275,0.025864270876111824,0.19746286982978697,0.3538955198579179,0.30937733607136564,0.3984137027413695,0.9895104895104895,0.008327548585328467,0.03395441947787097,24.514085945341137,1.5594980716705322
7,0.0002500000000000001,43.57,0.12263614390746201,0.01866957425038413,0.1306870201584136,0.03340054452373176,0.16408756463834556,0.31533738598965183,0.2331805086962067,0.3974942613946329,0.9863242574257426,0.006315376095031158,0.03430387717441167,18.669574250384134,0.13178292700113395,0.024038303508868306,0.16826812645077427,0.028259169336382325,0.19652729358150686,0.34855842826527594,0.3005150574278998,0.39660179802587814,0.9906759916485607,0.00811120938935202,0.03380638667510384,24.038303508868307,1.3833235502243042
8,0.00014644660940672628,43.61,0.11674567740594986,0.017568206731783283,0.122977447140925,0.0310309580100774,0.1540084052056369,0.30329076957584605,0.21891192985643254,0.3876696067281289,0.9873143564356436,0.005926885934878547,0.03348003423745089,17.56820673178328,0.1267637830826786,0.02371249647945652,0.16598747641126038,0.01724079548433371,0.18322827258865873,0.3410715717118937,0.2984176748768711,0.38372546100949906,0.993006993006993,0.008036374762471947,0.032808779471820884,23.71249647945652,1.581244707107544
9,6.698729810778065e-05,43.59,0.11394842069337864,0.016964559699639236,0.11875191791222828,0.02295031683867576,0.14170223470076476,0.29665476806683116,0.2115638793695091,0.38174565281018175,0.9915222772277228,0.0057293288589519735,0.03298529106939193,16.964559699639235,0.12516422505492653,0.023203524763072844,0.1624246725078785,0.021964316629198986,0.18438898798052247,0.33618003657925655,0.29157727963718777,0.380782799078868,0.9941724941724942,0.007854221522208903,0.03251491075420713,23.203524763072842,1.5795665979385376
