iter,beta,m,episodes,steps,skipped,pinned,reached_standoff,reached_grasp,reach_steps,omg_fail,goal_switch,expert_steps,policy_closed,policy_close_cmds,dropped_tail,dart,dart_env_done,dart_reach,dart_reject,mean_min_pos,mean_min_rot,mean_policy_close_step,c_close_label,c_policy_close,c_max_steps,c_env_done,c_no_labels,c_omg_fail0,revisits,grasp_mismatch,max_grasp_drift,close_labels,approach_labels,mean_label_pos,tiny_labels,aggregate_files,D_episodes,D_steps,D_dagger_frac,epochs,train_loss,train_grip_acc,val_loss,val_grip_acc,best_val_loss,success_rate,grasp_rate,near_rate,close_rate,close_success_rate,chance_rate,missed_rate,miss_given_chance,eval_min_pos,eval_min_rot,mean_dist,mean_pos_err,mean_rot_err,mean_close_step,f_grasp_ok,f_grasp_miss,f_no_release,f_drop,f_timeout,f_human_contact,is_best,collect_s,train_s,eval_s,wall_s
0,1.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,472,9912,0.0,100,0.0112,0.9985,0.2036,0.9748,0.1291,0.38,0.38,0.0,0.57,0.6667,0.01,0.0,0.0,0.0876,0.6253,0.1891,0.1152,1.0142,24.2456,0.38,0.01,0.16,0.21,0.03,0.21,1,,,,0.0
1,1.0,100,100,3241,0,100,80,77,485,0,0,2466,0,0,13,608,4,103,35,0.0289,0.1179,,77,0,6,17,0,0,0,0,0.0,77,3164,0.0338,0,2,572,13153,0.2464,25,0.0724,0.9905,0.1618,0.9804,0.1449,,,,,,,,,,,,,,,,,,,,,0,57.3,338.3,0.0,395.8
2,0.9583,100,100,3380,0,100,84,79,518,0,0,2443,0,0,8,665,5,127,71,0.024,0.0729,,79,0,7,14,0,0,22,0,0.0,79,3301,0.0334,0,3,672,16533,0.4005,25,0.0879,0.9899,0.1854,0.9804,0.1614,0.38,0.39,0.02,0.46,0.8261,0.02,0.0,0.0,0.0912,0.6888,0.1757,0.0829,0.8488,24.5217,0.38,0.01,0.06,0.23,0.04,0.28,1,53.9,436.1,492.1,982.5
3,0.9167,100,100,3236,0,100,86,81,527,0,0,2244,0,0,11,616,3,125,58,0.0245,0.1044,,81,0,5,14,0,0,40,0,0.01,81,3155,0.0327,1,4,772,19769,0.4986,25,0.0919,0.9901,0.1767,0.9888,0.1679,,,,,,,,,,,,,,,,,,,,,0,52.4,557.8,0.0,610.5
4,0.875,100,100,3364,0,100,83,76,505,0,0,2212,0,0,9,702,8,127,54,0.0264,0.0729,,76,0,6,18,0,0,53,0,0.0158,76,3288,0.0331,0,5,872,23133,0.5715,25,0.0957,0.9918,0.1846,0.9832,0.1846,0.61,0.62,0.04,0.68,0.8971,0.04,0.0,0.0,0.0781,0.5623,0.1666,0.0735,0.6803,23.8676,0.61,0.0,0.05,0.12,0.02,0.2,1,53.4,594.1,487.6,1135.8
5,0.8333,100,100,3330,0,100,86,81,532,0,0,2059,1,1,6,704,6,121,41,0.0216,0.076,35.0,81,0,4,15,0,0,50,0,0.0158,81,3249,0.0331,1,6,972,26463,0.6254,25,0.0985,0.9905,0.2072,0.986,0.1939,,,,,,,,,,,,,,,,,,,,,0,53.6,707.7,0.0,762.1
6,0.7917,100,100,3411,0,100,79,74,478,0,0,2050,0,0,7,714,10,119,41,0.027,0.095,,74,0,9,17,0,0,76,1,0.0206,74,3337,0.0324,0,7,1072,29874,0.6682,25,0.0976,0.9919,0.2125,0.9888,0.203,0.74,0.72,0.05,0.79,0.9367,0.07,0.01,0.1429,0.0687,0.5277,0.1652,0.0591,0.5687,24.7342,0.74,0.0,0.05,0.08,0.02,0.11,1,54.3,794.7,491.8,1342.0
7,0.75,100,100,3422,0,100,82,76,498,0,0,1922,0,0,8,737,7,124,58,0.0289,0.0814,,76,0,8,16,0,0,85,1,0.0206,76,3346,0.0333,0,8,1172,33296,0.7023,25,0.0996,0.9922,0.2509,0.9804,0.2345,,,,,,,,,,,,,,,,,,,,,0,56.8,901.0,0.0,958.2
8,0.7083,100,100,3195,0,100,77,70,460,0,0,1781,2,2,12,670,11,106,44,0.0286,0.114,36.0,70,0,7,23,0,0,84,0,0.0,70,3125,0.0335,2,9,1272,36491,0.7284,25,0.0952,0.9936,0.2593,0.9748,0.2334,0.74,0.72,0.06,0.81,0.9136,0.07,0.0,0.0,0.0764,0.5924,0.1694,0.0723,0.6606,24.7037,0.74,0.0,0.04,0.08,0.03,0.11,1,59.1,966.8,499.4,1526.0
9,0.6667,100,100,3436,0,100,79,73,477,0,0,1733,0,0,9,758,9,115,58,0.0277,0.0769,,73,0,9,18,0,0,85,1,0.0206,73,3363,0.0333,0,10,1372,39927,0.7517,25,0.0981,0.9924,0.2631,0.9776,0.2399,,,,,,,,,,,,,,,,,,,,,0,57.0,1061.5,0.0,1118.9
10,0.625,100,100,3488,0,100,84,76,498,0,0,1754,1,1,7,691,8,115,52,0.0252,0.0802,28.0,76,0,8,16,0,0,90,1,0.0206,76,3412,0.0317,0,11,1472,43415,0.7717,25,0.0986,0.9929,0.2686,0.9776,0.2363,0.65,0.65,0.05,0.71,0.9155,0.05,0.01,0.2,0.0812,0.6881,0.167,0.0762,0.7691,21.7042,0.65,0.0,0.06,0.07,0.01,0.21,0,58.1,1154.8,462.5,1675.8
11,0.5833,100,100,3532,0,100,72,65,420,0,0,1595,1,2,10,799,14,96,19,0.0379,0.1296,32.0,65,0,9,26,0,0,91,0,0.01,65,3467,0.0327,4,12,1572,46947,0.7889,25,0.0984,0.9929,0.2699,0.9804,0.2497,,,,,,,,,,,,,,,,,,,,,0,55.3,1252.4,0.0,1308.1
12,0.5417,100,100,3643,0,100,72,64,443,0,0,1601,2,5,3,778,9,105,64,0.0342,0.113,31.0,64,0,21,15,0,0,92,0,0.0087,64,3579,0.0328,0,13,1672,50590,0.8041,25,0.098,0.9933,0.2941,0.9748,0.2521,0.64,0.67,0.02,0.75,0.8533,0.02,0.0,0.0,0.0809,0.7093,0.1686,0.0743,0.8457,23.8267,0.64,0.0,0.08,0.14,0.01,0.13,0,62.1,1470.9,477.2,2010.7
13,0.5,100,100,3310,0,100,68,65,410,0,0,1337,3,8,5,708,12,96,38,0.0373,0.1528,31.33,65,0,11,24,0,0,90,0,0.0158,65,3245,0.0338,0,14,1772,53900,0.8161,25,0.0969,0.9938,0.2845,0.986,0.2503,,,,,,,,,,,,,,,,,,,,,0,56.4,1531.8,0.0,1588.7
14,0.4714,100,100,3418,0,100,74,68,447,0,0,1397,1,7,7,683,5,94,49,0.0327,0.0997,20.0,68,0,15,17,0,0,98,0,0.0185,68,3350,0.0333,1,15,1872,57318,0.8271,25,0.1019,0.9931,0.2936,0.9748,0.2551,0.7,0.7,0.04,0.76,0.9211,0.05,0.0,0.0,0.0759,0.5909,0.1707,0.0704,0.7568,26.7105,0.7,0.0,0.04,0.05,0.03,0.18,0,60.4,1506.7,541.3,2108.7
15,0.4429,100,100,3649,0,100,67,61,394,0,0,1287,4,6,6,814,11,99,36,0.0481,0.1448,34.75,61,0,16,23,0,0,94,0,0.0015,61,3588,0.0339,2,16,1972,60967,0.8374,25,0.1018,0.9941,0.2751,0.9832,0.2537,,,,,,,,,,,,,,,,,,,,,0,60.7,1615.9,0.0,1676.8
16,0.4143,100,100,3574,0,100,70,62,426,0,0,1279,3,16,7,744,9,114,59,0.0373,0.1385,23.33,62,0,13,25,0,0,97,0,0.0158,62,3512,0.0319,4,17,2072,64541,0.8464,25,0.0978,0.9946,0.3068,0.9748,0.2629,0.41,0.42,0.01,0.51,0.8039,0.01,0.0,0.0,0.0868,0.6738,0.1832,0.0729,0.8202,24.9804,0.41,0.0,0.05,0.36,0.06,0.12,0,63.2,1691.2,475.6,2230.3
17,0.3857,100,100,3652,0,100,61,56,370,0,0,1147,4,9,7,871,5,91,23,0.0479,0.15,35.5,56,0,18,26,0,0,96,0,0.0,56,3596,0.0324,5,18,2172,68193,0.8546,25,0.1021,0.9942,0.3049,0.9776,0.2592,,,,,,,,,,,,,,,,,,,,,0,65.2,1921.3,0.0,1986.8
18,0.3571,100,100,3648,0,100,62,52,360,0,0,1131,2,16,7,777,11,87,52,0.0497,0.1478,31.5,52,0,23,25,0,0,97,0,0.01,52,3596,0.0335,2,19,2272,71841,0.862,25,0.1,0.9948,0.324,0.972,0.2689,0.67,0.67,0.04,0.81,0.8272,0.06,0.02,0.3333,0.0764,0.6478,0.1679,0.0752,0.7181,26.1358,0.67,0.0,0.08,0.08,0.05,0.12,0,68.1,1868.6,548.2,2485.2
