iter,buffer,beta,roll_succ,roll_len,roll_ret,critic_loss,q_mean,target_mean,actor_loss,pg_loss,bc_loss,grip_loss,aux_c,aux_a,lam,n_expert,roll_min_pos,roll_close,roll_skip,roll_miss,roll_timeout,roll_fail,exp_kept,exp_succ,eval_min_pos,eval_min_rot,eval_close,eval_miss,eval_timeout,eval_fail,q_pi,a_absmean,grip_logit,buf_pos,eval_succ,best_succ
0,0,0.5,0.0,0.0,0.0,0.0031295549124479294,0.45424264669418335,0.4652411639690399,-0.9782140851020813,-1.0,0.006862176116555929,0.0003157766768708825,0.005158951040357351,0.015491628088057041,1.5125072002410889,64,,0.0,2,0,0,0,0,0.0,,,,,,,0.6611538529396057,0.6565403342247009,14.0136137008667,,,-1.0
1,30,0.499,0.0,30.0,0.0,0.0027668310794979334,0.3000869154930115,0.29050856828689575,-0.8028348684310913,-0.9999999403953552,0.010194627568125725,0.17410363256931305,0.0038059097714722157,0.005344341043382883,2.103717088699341,64,0.0641,0.0,1,0,1,0,0,0.0,,,,,,,0.4753490686416626,0.8463829755783081,15.573362350463867,0.0,,-1.0
2,30,0.498,0.0,0.0,0.0,0.0017298280727118254,0.2911866307258606,0.287378191947937,-0.9864829778671265,-1.0,0.004324684850871563,2.654865602380596e-05,0.0027911479119211435,0.009682239033281803,2.325418710708618,64,,0.0,2,0,0,0,0,0.0,,,,,,,0.43003007769584656,0.82904452085495,15.489245414733887,0.0,,-1.0
3,60,0.497,0.0,30.0,0.0,0.0016872489359229803,0.29333844780921936,0.2890832722187042,-0.9820143580436707,-1.0,0.006619499530643225,0.00046920133172534406,0.0026340894401073456,0.008554804138839245,2.031633138656616,64,0.0571,0.0,1,0,1,0,0,0.0,,,,,,,0.4922148585319519,0.8162282705307007,15.965400695800781,0.0,,-1.0
4,90,0.496,0.0,30.0,0.0,0.00379717699252069,0.2720234990119934,0.28090333938598633,-0.9747312664985657,-1.0,0.009557589888572693,0.00018480923608876765,0.00237532751634717,0.01193737331777811,2.3022592067718506,64,0.0854,0.0,1,0,1,0,0,0.0,,,,,,,0.4343559741973877,0.8139917254447937,15.49258041381836,0.0,,-1.0
5,120,0.495,0.0,30.0,0.0,0.00347757781855762,0.251373827457428,0.2639288902282715,-0.9617445468902588,-1.0,0.008846385404467583,0.0168682299554348,0.005310423672199249,0.007388979196548462,2.300889015197754,64,0.1229,0.0,1,0,1,0,0,0.0,,,,,,,0.4346145987510681,0.8172054290771484,14.023127555847168,0.0,,-1.0
6,150,0.494,0.0,30.0,0.0,0.002922831103205681,0.2849520444869995,0.28654199838638306,-0.9547344446182251,-1.0,0.014678250066936016,0.012523102574050426,0.0034533224534243345,0.0067718918435275555,2.2117114067077637,64,0.075,0.0,1,0,1,0,0,0.0,,,,,,,0.4521385431289673,0.6459757089614868,13.958824157714844,0.0,,-1.0
7,181,0.493,0.0,0.0,0.0,0.0022885671351104975,0.3317432403564453,0.31989479064941406,-0.974552571773529,-0.9999087452888489,0.010598680004477501,0.00013278526603244245,0.0032639852724969387,0.008051957003772259,2.037733554840088,64,,0.0,1,0,0,0,1,1.0,,,,,,,0.4906965494155884,0.7056986689567566,13.358277320861816,0.00552,,-1.0
8,212,0.492,0.0,0.0,0.0,0.0019018768798559904,0.3021528422832489,0.3038980960845947,-0.9763650894165039,-0.9999999403953552,0.007816414348781109,2.0249379304004833e-05,0.0029183949809521437,0.015963569283485413,1.9168318510055542,64,,0.0,1,0,0,0,1,1.0,,,,,,,0.5216941833496094,0.8789963722229004,14.727527618408203,0.00943,,-1.0
9,212,0.491,0.0,0.0,0.0,0.0019299364648759365,0.3048812747001648,0.30906474590301514,-0.9653906226158142,-0.9999998807907104,0.013750183396041393,0.0031521085184067488,0.003147162962704897,0.007913506589829922,1.8671449422836304,64,,0.0,2,0,0,0,0,0.0,,,,,,,0.5355770587921143,0.8619921207427979,14.981489181518555,0.00943,,-1.0
10,236,0.49,0.0,0.0,0.0,0.0031469701789319515,0.2820320725440979,0.28223636746406555,-0.9741160273551941,-0.9999999403953552,0.010103510692715645,8.471249020658433e-05,0.004808308091014624,0.011184296570718288,1.8517429828643799,64,,0.0,1,0,0,0,1,0.0,,,,,,,0.5400317311286926,0.9623795747756958,16.067882537841797,0.00847,,-1.0
11,296,0.489,0.0,30.0,0.0,0.0043438090942800045,0.30166202783584595,0.31462693214416504,-0.9687389135360718,-0.9999999403953552,0.012319020926952362,0.0006576229352504015,0.0039050625637173653,0.011930696666240692,2.0659639835357666,64,0.0802,0.0,0,0,2,0,0,0.0,,,,,,,0.48403555154800415,0.8058006167411804,15.0292387008667,0.00676,,-1.0
12,326,0.488,0.0,30.0,0.0,0.0018045310862362385,0.280178427696228,0.2804886996746063,-0.9692402482032776,-1.0,0.012821326032280922,2.7835354558192194e-05,0.0022148278076201677,0.01017854269593954,1.968276858329773,64,0.2544,0.0,1,0,1,0,0,0.0,,,,,,,0.5080586075782776,0.8376532793045044,14.944343566894531,0.00613,,-1.0
13,356,0.487,0.0,30.0,0.0,0.0018986307550221682,0.29227215051651,0.288684219121933,-0.9678546190261841,-1.0,0.012602197006344795,0.0028969447594136,0.0024754106998443604,0.008087990805506706,2.1145174503326416,64,0.0837,0.0,1,0,1,0,0,0.0,,,,,,,0.47292113304138184,0.991866946220398,15.967020988464355,0.00562,,-1.0
14,387,0.486,0.0,0.0,0.0,0.003275731112807989,0.35713642835617065,0.34650951623916626,-0.9763731360435486,-1.0000001192092896,0.00949576124548912,0.0003766315057873726,0.002294675214216113,0.00851766299456358,2.067646026611328,64,,0.0,1,0,0,0,1,1.0,,,,,,,0.4836418032646179,0.7771329879760742,14.355342864990234,0.00775,,-1.0
15,417,0.485,0.0,30.0,0.0,0.0050817327573895454,0.34171390533447266,0.34609800577163696,-0.9450937509536743,-1.0,0.02420755848288536,1.7422631572117098e-05,0.0037877452559769154,0.01294738333672285,2.059215784072876,64,0.179,0.0,1,0,1,0,0,0.0,,,,,,,0.48562178015708923,0.920935332775116,16.40074920654297,0.00719,,-1.0
16,447,0.484,0.0,0.0,0.0,0.0031902147457003593,0.2696186304092407,0.2647209167480469,-0.9719244837760925,-0.9992086887359619,0.011979809030890465,1.2361529115878511e-05,0.0041175298392772675,0.006624487228691578,2.15815806388855,64,,0.0,1,0,0,0,1,0.0,,,,,,,0.4629914164543152,0.9032977819442749,16.628583908081055,0.00671,,-1.0
17,507,0.483,0.0,30.0,0.0,0.0042033689096570015,0.3130389451980591,0.3361278176307678,-0.9708046913146973,-1.0,0.011729201301932335,1.569248706800863e-05,0.0034844311885535717,0.011442388407886028,2.1760499477386475,64,0.0412,0.0,0,0,2,0,0,0.0,,,,,,,0.4595482647418976,0.8914690017700195,15.180709838867188,0.00592,,-1.0
18,537,0.482,0.0,30.0,0.0,0.0043747746385633945,0.2889455556869507,0.2874617278575897,-0.9504355788230896,-1.0,0.021393051370978355,2.4991721147671342e-05,0.004317710641771555,0.013506626710295677,2.2248029708862305,64,0.1289,0.0,1,0,1,0,0,0.0,,,,,,,0.44947800040245056,0.7723298072814941,15.077470779418945,0.00559,,-1.0
19,597,0.481,0.0,30.0,0.0,0.00406411848962307,0.21626706421375275,0.23090079426765442,-0.9439586997032166,-1.0,0.02559586614370346,0.00045296302414499223,0.0036081981379538774,0.008793206885457039,2.088909864425659,64,0.051,0.0,0,0,2,0,0,0.0,,,,,,,0.4787186086177826,0.9507060050964355,15.74223518371582,0.00503,,-1.0
20,627,0.48,0.0,30.0,0.0,0.00327650411054492,0.2721197009086609,0.28213632106781006,-0.9552130699157715,-1.0,0.019832242280244827,0.00017169254715554416,0.004255014006048441,0.009901393204927444,2.1195883750915527,64,0.075,0.0,1,0,1,0,0,0.0,,,,,,,0.47178971767425537,0.8593995571136475,16.075817108154297,0.00478,,-1.0
