iter,buffer,beta,ei_hi,ei_lo,roll_succ,roll_len,roll_ret,critic_loss,q_mean,target_mean,actor_loss,pg_loss,bc_loss,grip_loss,aux_c,aux_a,lam,n_expert,roll_min_pos,roll_close,roll_skip,roll_miss,roll_timeout,roll_fail,exp_kept,exp_succ,eval_min_pos,eval_min_rot,eval_close,eval_miss,eval_timeout,eval_fail,q_pi,a_absmean,grip_logit,buf_pos,eval_succ,best_succ
10,4624,0.4206,24,21,0.0,30.0,0.0,0.003666334319859743,0.20303761959075928,0.21199853718280792,0.3609127700328827,-0.09588491171598434,0.028002828359603882,0.394899845123291,0.004198223352432251,0.011784390546381474,0.5562149882316589,64,0.011,0.0,1,0,7,0,8,0.875,,,,,,,0.1723882257938385,0.6657351851463318,1.8920658826828003,0.01514,,0.0417
11,4986,0.4127,24,21,0.0,30.0,0.0,0.004341926425695419,0.22782064974308014,0.21809013187885284,0.511232316493988,-0.09757484495639801,0.047638874500989914,0.5071532726287842,0.004638972692191601,0.012752236798405647,0.579713761806488,64,0.0113,0.0,4,0,7,0,5,0.6,,,,,,,0.1683155596256256,0.6628440618515015,2.060154676437378,0.01464,,0.0417
12,5321,0.4048,24,20,0.0,30.0,0.0,0.005709886085242033,0.21804048120975494,0.21600303053855896,0.3394089937210083,-0.09883490204811096,0.02265084907412529,0.3842393755912781,0.0037769610062241554,0.017405645921826363,0.5796785950660706,64,0.0086,0.0,5,0,6,0,5,0.8,,,,,,,0.17049947381019592,0.6022899150848389,2.0255019664764404,0.01447,,0.0417
13,5685,0.3968,24,20,0.0,30.0,0.0,0.005745181813836098,0.22591572999954224,0.2152019739151001,0.4457283914089203,-0.09666863828897476,0.03534705191850662,0.46412697434425354,0.0028567707631736994,0.01515190489590168,0.6357033848762512,64,0.0195,0.0,4,0,7,0,5,0.8,,,,,,,0.15206563472747803,0.5889034867286682,1.8433409929275513,0.01425,,0.0417
14,6081,0.3889,24,20,0.2857,30.0,0.2857,0.004356617107987404,0.22558338940143585,0.2276904284954071,0.3210104703903198,-0.0982171893119812,0.019342005252838135,0.37326785922050476,0.003409191034734249,0.014551573432981968,0.6547585129737854,64,0.0287,0.286,3,0,5,0,6,0.833,0.1461,0.7276,0.0,0,47,1,0.15000520646572113,0.5998902916908264,2.030729293823242,0.01447,0.0,0.0417
15,6440,0.381,24,20,0.2,30.0,0.2,0.004805807024240494,0.22461074590682983,0.2214699238538742,0.33890774846076965,-0.0986890196800232,0.019083773717284203,0.3913777470588684,0.004351725336164236,0.016102969646453857,0.5916332602500916,64,0.0252,0.2,4,0,4,0,7,0.571,,,,,,,0.16680775582790375,0.6639626026153564,2.0269851684570312,0.01444,,0.0417
16,6800,0.373,24,20,0.0,28.0,0.0,0.005552862770855427,0.2217094600200653,0.22035735845565796,0.3147866129875183,-0.0956663265824318,0.0258388202637434,0.3524564504623413,0.0029994379729032516,0.012637702748179436,0.8603202700614929,64,0.0072,0.0,4,0,3,1,8,1.0,,,,,,,0.11119849979877472,0.6671586036682129,2.103494644165039,0.01485,,0.0417
17,7196,0.3651,24,20,0.25,29.25,0.25,0.0037446520291268826,0.2553575038909912,0.257550984621048,0.32506170868873596,-0.0974506065249443,0.020984884351491928,0.374467134475708,0.0030466504395008087,0.012150811031460762,0.5985292196273804,64,0.0203,0.25,3,0,2,1,9,1.0,,,,,,,0.16281679272651672,0.6072705984115601,2.1236300468444824,0.01543,,0.0417
18,7616,0.3571,24,20,0.0,30.0,0.0,0.003479236736893654,0.27418893575668335,0.26528868079185486,0.3176133632659912,-0.09810394048690796,0.01736259274184704,0.3717937469482422,0.002751779742538929,0.018396738916635513,0.575516939163208,64,0.0158,0.0,2,0,7,0,7,0.857,,,,,,,0.17046228051185608,0.6346156001091003,2.1719202995300293,0.01536,,0.0417
19,8072,0.3492,24,19,0.0,30.0,0.0,0.00326680694706738,0.1778310239315033,0.1722041815519333,0.34754833579063416,-0.09653027355670929,0.04759206995368004,0.33820244669914246,0.0031751543283462524,0.02138403430581093,0.5631346106529236,64,0.0176,0.0,1,0,9,0,6,1.0,,,,,,,0.17141598463058472,0.7829111814498901,2.1251111030578613,0.01524,,0.0417
