epoch,lr,wall_s,train_pose_sl1,train_pose_pm,train_pose_loss,train_gripper_loss,train_total,train_pose_l1,train_pose_pos_l1,train_pose_rot_l1,train_gripper_acc,train_pose_pos_m,train_pose_rot_rad,train_pose_pm_mm,val_pose_sl1,val_pose_pm,val_pose_loss,val_gripper_loss,val_total,val_pose_l1,val_pose_pos_l1,val_pose_rot_l1,val_gripper_acc,val_pose_pos_m,val_pose_rot_rad,val_pose_pm_mm,val_cond_delta
0,0.0009997532801828658,27.69,0.2582687444563182,0.037051356854444405,0.2593594981158305,0.1399791651294104,0.3993386640301291,0.5320499965792183,0.46927466997935335,0.5948253174622854,0.9371069182389937,0.0126755144271367,0.052018173507549476,37.05135685444441,0.28305146393381353,0.038306136878255084,0.2681429609830007,0.048137485043152226,0.31628044404627836,0.5861497458878097,0.4784109502822369,0.6938885512885514,0.9778554798006178,0.012755402103326954,0.05957786285585457,38.30613687825509,0.7301025390625
1,0.0009990133642141358,27.5,0.20018490103993025,0.029511482314259378,0.20658037699056123,0.11002382955297171,0.31660420653767557,0.4499519388630705,0.3689838893383554,0.5309199915741974,0.9515035377358491,0.009946925451381589,0.046315778943024716,29.511482314259375,0.25914391451504404,0.03347337341461426,0.23431361562166458,0.0601250025463271,0.2944386206167839,0.547333228421378,0.41773151253764723,0.6769349798733816,0.972027973000542,0.011228390109653655,0.05808501649812941,33.473373414614265,0.5990726351737976
2,0.00099778098230154,27.51,0.17942320485160035,0.02707841862344517,0.18954893051640792,0.09847184793098168,0.2880207792205631,0.4184715483548506,0.33897519894178557,0.4979678992205446,0.9557291666666666,0.00914438567182881,0.04323177395165904,27.07841862344517,0.22594522148162335,0.03295159167099944,0.23066114417183928,0.05839106773996686,0.2890522146558428,0.5026150809857117,0.4084362525206346,0.596793913896823,0.9755244764970454,0.011022183711972687,0.05106571467814745,32.95159167099944,0.7747896909713745
3,0.000996057350657239,27.58,0.16126635131783457,0.025404982760829746,0.17783488009898168,0.09148157896392001,0.2693164590863312,0.38885264304823847,0.3178198076081726,0.4598854802689462,0.9599056603773585,0.008566216183474884,0.03987378374023257,25.404982760829746,0.1921148886838993,0.030982443346427038,0.21687710347709122,0.049374364889585055,0.26625146669941346,0.4589406498523303,0.3884486210443479,0.5294326880039313,0.9743589753315444,0.010447514080605307,0.04531695891718764,30.982443346427036,0.4812324643135071
4,0.0009938441702975688,27.56,0.14671298364798227,0.02428978691521868,0.17002850852953563,0.08954216551574522,0.25957067423271685,0.3685382072280788,0.3052076768575224,0.4318687383483791,0.9624606918238994,0.008222243407413177,0.03748433561937052,24.28978691521868,0.1848730484158287,0.02923953897886343,0.20467676937857987,0.0387207165942256,0.24339748609871853,0.4424120034926977,0.37031508693884024,0.514508929841724,0.9836829836829837,0.009991408724094673,0.044542402645577364,29.23953897886343,0.5205422639846802
5,0.0009911436253643444,27.63,0.13490154657442616,0.023433435983580986,0.164034052464947,0.08343834721090847,0.24747239971685708,0.34813252859895333,0.2941711867849032,0.4020938704598625,0.9644752358490566,0.007940369918825303,0.03498731113079959,23.43343598358099,0.16155311423581797,0.026730498672400044,0.1871134911800598,0.02940067878136268,0.21651416982248392,0.40373484265832077,0.3378129434752298,0.4696567516365807,0.9883449883449883,0.009098325625912987,0.04047931212332699,26.730498672400042,0.6982848644256592
6,0.0009879583809693736,27.62,0.1281639209848905,0.022636131910642364,0.15845292347407192,0.0811401769671144,0.23959310038846993,0.3369411661190057,0.2849765567565864,0.38890577374764207,0.9640330188679245,0.007683511155675042,0.033768045264969834,22.636131910642362,0.16008365953163112,0.027079077255163158,0.1895535396181898,0.03003992815447715,0.2195934691490271,0.4062230717607867,0.34569639655259937,0.46674974384285633,0.9801864801864801,0.009284192544249666,0.040164198309599934,27.07907725516316,0.7636264562606812
7,0.0009842915805643154,27.67,0.11954070571458565,0.02180848468341074,0.15265939309724472,0.07869916307921491,0.23135855686177248,0.3203500487706946,0.27442699525528735,0.366273100083729,0.9661949685534591,0.007411891143511301,0.031851486466918724,21.80848468341074,0.15986826088461842,0.02762188448077871,0.19335319136545095,0.052195780157244014,0.245548972160944,0.40428397997275933,0.3484116629426018,0.4601562890139493,0.9766899766899767,0.009399407649616817,0.03961299696724454,27.62188448077871,0.8532828092575073
8,0.0009801468428384714,27.67,0.11307141832632464,0.020899537359159323,0.14629676216428386,0.07461437838644071,0.22091114071180235,0.3074106140612806,0.26269114003428873,0.3521300881819905,0.9666371855345912,0.007097178295477288,0.030624954779661675,20.89953735915932,0.15074457308073422,0.026072842674655514,0.18250989775001863,0.044543165253314664,0.2270530630033333,0.38556158625996195,0.32855235995390475,0.4425708205549867,0.9836829836829837,0.008790685473952122,0.03811119362225621,26.072842674655515,0.7002938985824585
9,0.0009755282581475767,27.69,0.10933743971370675,0.02035267968550793,0.14246875783369975,0.07478016572740842,0.2172489233033837,0.30032055197084473,0.2557825263378755,0.3448585761043261,0.9691430817610063,0.006911561386542594,0.03004628460291984,20.35267968550793,0.1438419386084541,0.02555941668771086,0.1789159169008126,0.0309655704993607,0.20988149006605705,0.37514952443418526,0.3219589108562136,0.42834015180180957,0.986013986013986,0.008660029348567789,0.036724503835910687,25.559416687710858,0.5005292892456055
