iter,beta,m,episodes,steps,skipped,pinned,reached_standoff,reached_grasp,reach_steps,omg_fail,goal_switch,expert_steps,policy_closed,policy_close_cmds,dropped_tail,dart,dart_env_done,mean_min_pos,mean_min_rot,mean_policy_close_step,c_close_label,c_policy_close,c_max_steps,c_env_done,c_no_labels,c_omg_fail0,revisits,grasp_mismatch,max_grasp_drift,close_labels,approach_labels,mean_label_pos,tiny_labels,aggregate_files,D_episodes,D_steps,D_dagger_frac,epochs,train_loss,train_grip_acc,val_loss,val_grip_acc,best_val_loss,success_rate,grasp_rate,near_rate,close_rate,close_success_rate,chance_rate,missed_rate,miss_given_chance,eval_min_pos,eval_min_rot,mean_dist,mean_pos_err,mean_rot_err,mean_close_step,f_grasp_ok,f_grasp_miss,f_no_release,f_drop,f_timeout,f_human_contact,is_best,collect_s,train_s,eval_s,wall_s
0,1.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,472,9912,0.0,100,0.0136,0.9978,0.1874,0.9776,0.1215,0.39,0.37,0.0,0.62,0.629,0.01,0.01,1.0,0.1039,0.5578,0.2158,0.113,1.169,27.5,0.39,0.0,0.16,0.16,0.13,0.16,1,,,,0.0
1,1.0,100,100,2850,0,100,85,83,508,0,0,2592,0,0,13,188,2,0.0198,0.0904,,83,0,2,15,0,0,0,0,0.0,83,2767,0.0327,0,2,572,12762,0.2233,25,0.0637,0.9904,0.1537,0.9804,0.1329,,,,,,,,,,,,,,,,,,,,,0,50.2,264.5,0.0,314.8
2,0.9667,100,100,2938,0,100,93,91,549,0,0,2615,0,0,7,188,0,0.0127,0.0375,,91,0,2,7,0,0,22,0,0.0,91,2847,0.0323,0,3,672,15700,0.3687,25,0.072,0.9919,0.177,0.9748,0.1566,0.51,0.51,0.01,0.59,0.8644,0.01,0.0,0.0,0.0983,0.6893,0.1839,0.0943,0.9166,23.661,0.51,0.0,0.05,0.2,0.04,0.2,1,50.2,335.6,488.5,874.7
3,0.9333,100,100,2773,0,100,86,86,522,0,0,2400,0,0,12,159,0,0.0204,0.0922,,86,0,1,13,0,0,40,0,0.01,86,2687,0.0317,0,4,772,18473,0.4634,25,0.0685,0.9932,0.1733,0.9832,0.1575,,,,,,,,,,,,,,,,,,,,,0,44.6,398.8,0.0,443.6
4,0.9,100,100,2885,0,100,91,91,546,0,0,2418,0,0,8,169,1,0.0136,0.0467,,91,0,0,9,0,0,53,0,0.0158,91,2794,0.0317,0,5,872,21358,0.5359,25,0.0802,0.9911,0.1939,0.9776,0.1854,0.51,0.53,0.02,0.57,0.8947,0.02,0.0,0.0,0.0764,0.677,0.1796,0.0722,0.7777,25.2632,0.51,0.01,0.04,0.25,0.02,0.17,1,53.1,460.7,477.1,991.4
5,0.8667,100,100,2730,0,100,90,88,530,0,0,2192,0,0,8,174,3,0.0145,0.0653,,88,0,0,12,0,0,50,0,0.0158,88,2642,0.032,1,6,972,24088,0.5885,25,0.0749,0.9928,0.2163,0.9832,0.2138,,,,,,,,,,,,,,,,,,,,,0,42.2,537.2,0.0,579.5
6,0.8333,100,100,2953,0,100,92,90,558,0,0,2349,0,0,6,151,1,0.0129,0.0528,,90,0,2,8,0,0,76,0,0.0,90,2863,0.0314,0,7,1072,27041,0.6334,25,0.0746,0.9937,0.2675,0.9748,0.2402,0.48,0.48,0.02,0.56,0.8571,0.02,0.0,0.0,0.0828,0.7965,0.1714,0.0748,0.8719,23.3393,0.48,0.0,0.05,0.08,0.03,0.36,0,48.8,579.8,509.4,1138.0
7,0.8,100,100,2887,0,100,90,90,540,0,0,2197,1,1,8,168,1,0.0158,0.0529,15.0,90,0,0,10,0,0,85,0,0.0,90,2797,0.0323,0,8,1172,29928,0.6688,25,0.0736,0.9938,0.2558,0.9832,0.2363,,,,,,,,,,,,,,,,,,,,,0,44.5,653.2,0.0,697.7
8,0.7667,100,100,2751,0,100,88,84,512,0,0,2021,2,5,11,191,3,0.017,0.0667,27.0,84,0,1,15,0,0,84,0,0.0,84,2667,0.0318,0,9,1272,32679,0.6967,25,0.0747,0.9942,0.2533,0.9804,0.2417,0.48,0.48,0.01,0.63,0.7619,0.01,0.0,0.0,0.0917,0.6936,0.1796,0.08,1.1702,26.9048,0.48,0.0,0.1,0.13,0.09,0.2,0,44.2,702.1,574.9,1321.5
9,0.7333,100,100,2979,0,100,91,90,542,0,0,2065,1,2,7,194,1,0.0123,0.0348,24.0,90,0,0,10,0,0,85,0,0.0,90,2889,0.0321,0,10,1372,35658,0.722,25,0.0732,0.9944,0.2742,0.986,0.2505,,,,,,,,,,,,,,,,,,,,,0,45.3,800.2,0.0,845.7
10,0.7,100,100,2938,0,100,89,87,529,0,0,2009,0,0,8,177,2,0.0158,0.0493,,87,0,2,11,0,0,90,0,0.0,87,2851,0.0311,2,11,1472,38596,0.7432,25,0.0786,0.9936,0.2705,0.9832,0.2562,0.58,0.58,0.0,0.62,0.9355,0.01,0.01,1.0,0.0778,0.7768,0.1618,0.069,0.8641,25.0323,0.58,0.0,0.03,0.07,0.03,0.29,1,45.3,869.3,535.3,1450.6
11,0.6667,100,100,3011,0,100,88,85,521,0,0,1922,1,4,9,210,2,0.0201,0.0667,24.0,85,0,2,13,0,0,91,0,0.01,85,2926,0.032,0,12,1572,41607,0.7618,25,0.0728,0.9953,0.3122,0.9776,0.2722,,,,,,,,,,,,,,,,,,,,,0,50.8,922.5,0.0,973.6
12,0.6333,100,100,2940,0,100,82,82,501,0,0,1871,0,0,8,165,2,0.0203,0.0832,,82,0,2,16,0,0,92,0,0.0077,82,2858,0.0313,1,13,1672,44547,0.7775,25,0.075,0.9956,0.2821,0.9888,0.2539,0.55,0.55,0.02,0.59,0.9322,0.02,0.0,0.0,0.0786,0.6136,0.1789,0.0646,0.6675,24.2373,0.55,0.0,0.02,0.21,0.04,0.18,0,48.4,989.8,491.4,1529.8
13,0.6,100,100,2932,0,100,82,82,491,0,0,1740,2,6,6,191,2,0.0242,0.0714,32.0,82,0,2,16,0,0,90,0,0.0158,82,2850,0.0324,1,14,1772,47479,0.7912,25,0.0734,0.9957,0.314,0.9804,0.2828,,,,,,,,,,,,,,,,,,,,,0,49.0,1149.6,0.0,1199.0
14,0.5667,100,100,3004,0,100,88,87,525,0,0,1723,0,0,2,185,1,0.018,0.0578,,87,0,1,12,0,0,98,0,0.0043,87,2917,0.0316,2,15,1872,50483,0.8037,25,0.0749,0.9958,0.3178,0.9748,0.2904,0.4,0.4,0.01,0.49,0.8163,0.01,0.0,0.0,0.1048,0.757,0.1879,0.0857,1.1257,24.449,0.4,0.0,0.08,0.35,0.01,0.16,0,45.7,1138.3,456.0,1640.3
15,0.5333,100,100,2820,0,100,78,76,463,0,0,1558,1,1,12,167,3,0.0288,0.0906,25.0,76,0,2,22,0,0,94,0,0.0,76,2744,0.033,1,16,1972,53303,0.814,25,0.0764,0.9952,0.3249,0.972,0.2664,,,,,,,,,,,,,,,,,,,,,0,49.8,1210.5,0.0,1260.6
