iter,c_min_pos_b0,c_min_rot_b0,c_min_pos_b1,c_min_rot_b1,c_min_pos_b2,c_min_rot_b2,c_min_pos_b3,c_min_rot_b3,c_min_pos_b4,c_min_rot_b4,c_min_pos_b5,c_min_rot_b5
1,0.1277,0.4198,0.16,0.2737,0.117,0.4348,0.1631,0.4228,0.1269,0.3524,0.0851,0.3937
2,0.1252,0.4352,0.1278,0.3387,0.1322,0.4611,0.1557,0.4969,0.0986,0.4317,0.13,0.5344
3,0.1016,0.3088,0.1599,0.4565,0.1133,0.4501,0.0825,0.3151,0.09,0.3718,0.1133,0.2573
4,0.0871,0.4514,0.1649,0.3925,0.1222,0.3589,0.1173,0.3214,0.2032,0.4095,0.1039,0.4745
5,0.0939,0.3322,0.123,0.4877,0.1175,0.3626,0.1117,0.5241,0.0941,0.2484,0.0853,0.2685
6,0.129,0.4669,0.1318,0.3585,0.1248,0.396,0.1417,0.4707,0.0989,0.3509,0.1066,0.3065
7,0.1421,0.4442,0.1449,0.3386,0.1309,0.3547,0.1555,0.6705,0.1249,0.257,0.1091,0.3858
8,0.0971,0.3377,0.1969,0.5137,0.1464,0.3227,0.1163,0.4008,0.1642,0.4896,0.1516,0.3625
9,0.1175,0.38,0.1732,0.3301,0.1121,0.3919,0.1647,0.4317,0.1421,0.3587,0.0909,0.3682
10,0.1079,0.3704,0.1738,0.4556,0.1165,0.4342,0.1371,0.3642,0.1537,0.3623,0.1267,0.3526
11,0.1027,0.389,0.1765,0.4652,0.1105,0.4126,0.1348,0.4975,0.1059,0.2153,0.1265,0.238
12,0.1097,0.2945,0.1359,0.3621,0.138,0.4084,0.1204,0.3612,0.1537,0.4656,0.1033,0.2905
13,0.1158,0.3944,0.1403,0.4112,0.1518,0.2491,0.1087,0.3913,0.1349,0.4689,0.0996,0.3244
14,0.1122,0.4059,0.1533,0.4705,0.0998,0.3745,0.1419,0.577,0.1249,0.3984,0.1273,0.4859
15,0.0879,0.3164,0.1538,0.4396,0.1398,0.4408,0.1198,0.5646,0.1171,0.4206,0.1007,0.3937
16,0.1135,0.3949,0.1574,0.375,0.1624,0.3304,0.143,0.5463,0.1404,0.3769,0.105,0.4167
17,0.1139,0.3988,0.1433,0.3627,0.1154,0.2665,0.0941,0.2879,0.1321,0.4724,0.0885,0.4377
18,0.1252,0.4491,0.1819,0.352,0.1126,0.3788,0.1376,0.4795,0.1202,0.3527,0.1308,0.4283
19,0.1145,0.3406,0.1382,0.4028,0.1271,0.3347,0.1219,0.5132,0.1397,0.5756,0.1047,0.2593
20,0.1035,0.3504,0.1312,0.3244,0.1177,0.5223,0.1361,0.2679,0.1357,0.4636,0.0707,0.2383
21,0.1341,0.3531,0.1627,0.2942,0.1787,0.3725,0.1472,0.3484,0.1085,0.4523,0.1213,0.251
22,0.1119,0.3555,0.1201,0.3012,0.13,0.2745,0.1397,0.4474,0.1088,0.382,0.0844,0.2735
23,0.1183,0.3953,0.1592,0.2871,0.1234,0.4361,0.1577,0.5151,0.1361,0.276,0.0857,0.2412
24,0.1034,0.3839,0.1351,0.3393,0.1483,0.2671,0.164,0.565,0.1281,0.2811,0.0735,0.3127
25,0.1121,0.3838,0.1379,0.3224,0.1338,0.3546,0.1136,0.3998,0.1213,0.4028,0.0807,0.3161
