epoch,lr,wall_s,train_pose_sl1,train_pose_pm,train_pose_loss,train_gripper_loss,train_total,train_aux_loss,train_pose_l1,train_pose_pos_l1,train_pose_rot_l1,train_gripper_acc,train_pose_pos_m,train_pose_rot_rad,train_pose_pm_mm,train_aux_pos_mm,train_aux_rot_deg,train_aux_pm_mm,val_pose_sl1,val_pose_pm,val_pose_loss,val_gripper_loss,val_total,val_aux_loss,val_pose_l1,val_pose_pos_l1,val_pose_rot_l1,val_gripper_acc,val_pose_pos_m,val_pose_rot_rad,val_pose_pm_mm,val_aux_pos_mm,val_aux_rot_deg,val_aux_pm_mm,val_cond_delta
0,0.0009890738003669028,80.91,0.23322861624907637,0.0292321844631495,0.20462529158584986,0.10671247743323455,0.40553418999740265,0.09419642094325932,0.49555010159014207,0.4261843953700086,0.5649158073217129,0.9539977990285368,0.009571368426070948,0.05290139835434171,29.2321844631495,65.55488322022906,32.67350779139646,94.19642094325933,0.22272988553085024,0.034347467278204265,0.24043226975297172,0.11781719130656076,0.4440155210949126,0.08576605258479951,0.5028035022909679,0.5141033057182555,0.49150368883496237,0.9571428590350681,0.011618620024195739,0.04607005699995964,34.34746727820427,57.74167932215191,31.50976258834993,85.76605258479951,0.6622391939163208
1,0.0009567727288213003,79.88,0.2089867204898187,0.02622181965512041,0.18355273821351017,0.08589362151893654,0.34688461366102197,0.0774382534388817,0.4556302133298456,0.3804770217711953,0.5307834067884618,0.9630198846387371,0.00855179842585233,0.04968912205101869,26.22181965512041,54.315907223592326,29.353705845077716,77.43825343888169,0.20759313163303195,0.03427685194663585,0.23993796403445894,0.12928918205083362,0.44171460876389157,0.07248745755780311,0.47604061365127565,0.5076163078111315,0.4444649164638822,0.9349206377589513,0.01141835969118845,0.04149791972031669,34.27685194663585,53.48935198216211,26.408993573118785,72.48745755780311,0.6652257442474365
2,0.0009045084971874737,79.68,0.19977643828031577,0.025385524996154294,0.1776986754367622,0.07725038766435731,0.32624270107866277,0.07129363814718302,0.4415615282785407,0.36880608683799204,0.51431697274094,0.9671372191863995,0.008292447535279272,0.04812509195147389,25.385524996154295,50.271701293872496,27.94401382533087,71.29363814718302,0.20830736278541503,0.03514177563289801,0.24599243217990513,0.05631477539501493,0.3788589751436597,0.07655177167247212,0.485206138046961,0.5225194545965346,0.4478928224434928,0.9730158739619785,0.011747109505628782,0.041715950116751686,35.14177563289801,53.863459411594604,25.25958752634998,76.55177167247213,0.7048128247261047
3,0.0008345653031794292,78.94,0.1938630050295906,0.02468121355669782,0.17276849533455546,0.07588963127317858,0.3155867825530845,0.06692865549269487,0.4317400559158707,0.3580444907700574,0.5054356256939819,0.9673554189435337,0.008050691138762974,0.04731016573182329,24.681213556697823,47.39269443109641,26.864474160726584,66.92865549269487,0.1939509127111662,0.03185086758836867,0.22295607583863394,0.0684918977793247,0.3597319612900416,0.06828399088884157,0.45504255881385197,0.47659949490002224,0.4334856201731969,0.9650793660254705,0.010661975595922697,0.040366851845904,31.850867588368672,48.522262251566325,24.129225255822227,68.28399088884157,1.0031685829162598
4,0.00075,79.79,0.1902789357771422,0.024023268925411706,0.1681628830880198,0.06821536774247768,0.2998881771409591,0.063509925733969,0.4244290894461749,0.3487152345772577,0.500142946631241,0.9712355798421373,0.007840688423772129,0.0468024886821119,24.023268925411706,45.202480856403845,26.40471622281042,63.509925733969006,0.18463322536812887,0.030384881581578937,0.21269417220637912,0.04455536641180515,0.3145367618591066,0.05728722193411418,0.44199321894418625,0.45875643188991244,0.4252300306918129,0.9873015873015873,0.01030367375573232,0.039605087727781325,30.384881581578934,39.805286856634275,23.31419905047993,57.287221934114186,0.8192603588104248
5,0.0006545084971874737,80.26,0.1836875369857135,0.023387923482726326,0.16371546490722957,0.06638125146574635,0.29095980268069016,0.06086308641204272,0.41411903099754616,0.3396350027451605,0.4886030602722944,0.9720704310868246,0.00764308010556514,0.045722940685617684,23.387923482726325,43.59283950801828,25.953715933127395,60.863086412042726,0.17633798351836583,0.02945712636269274,0.2061998845092834,0.04382232952389925,0.3059230978999819,0.05590087921609954,0.4285968348147377,0.44284583926200866,0.41434782733992925,0.9841269841269841,0.00988704116039333,0.03848548436330424,29.45712636269274,37.58464395290329,23.910720440990595,55.90087921609954,0.97222900390625
6,0.0005522642316338268,80.07,0.1823504505171223,0.022976612828278366,0.16083629027633284,0.06293729357998173,0.28240360621799465,0.058630021866897274,0.41058788429120124,0.3333742759158268,0.4878014961227042,0.973417577413479,0.007498462599067161,0.04563522659260248,22.976612828278366,42.17101941953917,25.638890740202456,58.63002186689727,0.18249533926210706,0.031041082816701086,0.2172875770973781,0.061244495408166025,0.3353673892361777,0.056835319574863194,0.4365429836606223,0.4676192703701201,0.4054666978972299,0.973015873015873,0.010434479319623538,0.0377494812839561,31.04108281670109,40.93336956723342,23.720022459214157,56.83531957486319,0.8761948943138123
7,0.0004477357683661734,79.42,0.17876393603569243,0.02250830481212267,0.15755813406881014,0.05572009617602707,0.26922336061506036,0.05594513002550088,0.40415990823098363,0.32734567494231714,0.4809741432658093,0.97648186095932,0.007361417382946504,0.04499930707691435,22.508304812122674,40.42644220623162,25.12111692872681,55.94513002550088,0.16712618586089875,0.028296003792257537,0.1980720283493163,0.042504909489717746,0.29396999913548666,0.05339306262987001,0.4128603207686591,0.4286542328577193,0.3970663949610695,0.9825396825396825,0.009576839482086518,0.0369276148459268,28.296003792257537,36.774305685881586,23.404388012336113,53.39306262987001,1.037550687789917
8,0.0003454915028125264,79.18,0.17475298598960595,0.022011148395569814,0.15407803924737298,0.05344417738630965,0.2613410272052524,0.05381881064295986,0.39814020305166264,0.3199598477168306,0.4763205588660098,0.9778100333940498,0.007195870850334745,0.044544473132112926,22.011148395569816,39.07390811232342,24.86509703947376,53.81881064295986,0.17249876047883714,0.029894989031174827,0.2092649223312499,0.039334501204864376,0.3006854473125367,0.05208602529906091,0.42112928818142603,0.4498712788498591,0.39238732078718763,0.9873015873015873,0.010074539352504033,0.036500565151846597,29.894989031174827,36.74484355345605,23.23065374858,52.086025299060914,1.0308072566986084
9,0.0002500000000000001,80.9,0.17375735411987062,0.02168294439419118,0.15178061132367338,0.0484544677621983,0.25172192946700667,0.051486850314127294,0.3945640981667825,0.3146421834238385,0.474486014266845,0.9796599878567092,0.007076209273334065,0.04437529186547961,21.68294439419118,37.596143635117656,24.464417941449963,51.48685031412729,0.1693527477128165,0.028877892735458557,0.20214525170269468,0.037600599687605624,0.2908477411383674,0.0511018855940728,0.41221271109959434,0.43680263029204475,0.3876227803646572,0.9873015873015873,0.009755812186215605,0.036028676468228535,28.877892735458556,37.7492354147964,21.904268016752706,51.1018855940728,1.2197082042694092
