epoch,lr,wall_s,train_pose_sl1,train_pose_pm,train_pose_loss,train_gripper_loss,train_total,train_aux_loss,train_pose_l1,train_pose_pos_l1,train_pose_rot_l1,train_gripper_acc,train_pose_pos_m,train_pose_rot_rad,train_pose_pm_mm,train_aux_pos_mm,train_aux_rot_deg,train_aux_pm_mm,val_pose_sl1,val_pose_pm,val_pose_loss,val_gripper_loss,val_total,val_aux_loss,val_pose_l1,val_pose_pos_l1,val_pose_rot_l1,val_gripper_acc,val_pose_pos_m,val_pose_rot_rad,val_pose_pm_mm,val_aux_pos_mm,val_aux_rot_deg,val_aux_pm_mm,val_cond_delta
0,0.0009890738003669028,55.89,0.23585894856887943,0.030430207285261225,0.21301145132553068,0.11738909341409758,0.4277891174983883,0.09738857265662101,0.4983653225309233,0.43607188863744767,0.5606587558301354,0.9494641076769691,0.010042968314746442,0.0519632867176238,30.430207285261226,67.54813884809272,32.20896477275564,97.38857265662101,0.23017690039816358,0.03637674938709963,0.2546372452425578,0.14531405296117542,0.5175389972944108,0.11758768698052754,0.5107807998619383,0.5199043855780647,0.5016572131997064,0.9412698422159468,0.011783865848112675,0.046138599562266513,36.37674938709963,80.0519085119641,33.117551341519885,117.58768698052755,0.6690185070037842
1,0.0009567727288213003,52.86,0.20560166498985985,0.026639050955430104,0.18647335720799144,0.08961827285933203,0.35618134111849403,0.08008971180049991,0.45035585356970964,0.37895535032152533,0.521756357471584,0.9626744765702892,0.008726641601685096,0.048345487984500876,26.639050955430104,55.875874528380955,29.40551967669308,80.0897118004999,0.20008805484052689,0.030924524609295147,0.2164716730515162,0.06686204405767578,0.3677841540366884,0.08445043459771172,0.46241821939983063,0.4490867359297616,0.4757496886783176,0.9619047637969729,0.010374016960757593,0.04383323021114818,30.924524609295148,60.83188021466846,29.72154922224593,84.45043459771172,0.67691969871521
2,0.0009045084971874737,54.75,0.19640159275631605,0.025743076221224438,0.18020153405183809,0.0843688441210186,0.3401223283821897,0.0755519497868487,0.43538596566510224,0.36588047131346324,0.5048914594521907,0.964964481555334,0.008435053691446247,0.046766170197475705,25.743076221224438,52.90907998369674,27.88208596923184,75.55194978684871,0.1921841881104878,0.030776994805487377,0.21543896325996945,0.05078142046455353,0.3359650946798779,0.06974471151119187,0.45317807831461465,0.4453717652767424,0.4609844060171218,0.9793650793650793,0.010201425202900455,0.042810421105888154,30.776994805487377,49.7087161692362,28.28010054892254,69.74471151119187,0.7168950438499451
3,0.0008345653031794292,49.44,0.18927477977627652,0.02496789954417011,0.17477529725488852,0.07761774320203665,0.3233016302079289,0.07090858901931663,0.4242023750173962,0.35505027760002217,0.4933544742621311,0.967581630109671,0.00818531888426613,0.045693607430752826,24.96789954417011,49.85795522169958,26.889519927014646,70.90858901931662,0.18557116360891432,0.029579532968382987,0.2070567316952206,0.10219379753347427,0.3681805031640189,0.05892997140449191,0.43697930413579184,0.42642120558118063,0.4475373936077905,0.9603174612635658,0.009834297598590927,0.0413071180146838,29.57953296838299,39.91370836184139,25.92606605069827,58.92997140449191,0.8461539149284363
4,0.00075,49.39,0.1833435916977889,0.02417115755434912,0.1691981034793502,0.07489452432610785,0.30987590181447217,0.0657832742272203,0.4132551750537762,0.34333501576426495,0.4831753371660398,0.9693263958125623,0.0079192183048261,0.044790539799531105,24.171157554349122,46.50733416021643,25.75588547640331,65.7832742272203,0.17585628020858007,0.030099391068021456,0.2106957369380527,0.06742833539370506,0.34962060811027645,0.07149653363795508,0.4273652941461593,0.4352825270758735,0.41944807796251204,0.9698412717334808,0.0100243693528076,0.038795470257127096,30.099391068021458,50.73675282654308,24.54889995210457,71.49653363795508,1.0129914283752441
5,0.0006545084971874737,50.02,0.1791266953927332,0.02367305845033344,0.16571140968995698,0.07190183240916591,0.3007568863191728,0.0631436435310755,0.4063841481270605,0.33698813314154996,0.47578016384054395,0.9695289132602194,0.007769202434198777,0.04408278455168514,23.67305845033344,44.76829379395854,25.170577447891628,63.143643531075504,0.16890399403988368,0.03001869772043493,0.2101308851488053,0.0812819708907415,0.3630355129639308,0.07162265597827851,0.4148509546877846,0.43791828127134413,0.39178362006232853,0.971428572374677,0.00995273950494944,0.03615754068134323,30.01869772043493,47.31324519666414,23.769349361725187,71.6226559782785,0.9347327947616577
6,0.0005522642316338268,51.7,0.17661927013489923,0.023402302336516016,0.1638161168022384,0.06723420498920521,0.291732992200647,0.06068267035163412,0.4013796104926055,0.3329253749232943,0.4698338483944015,0.971367148554337,0.007678066857125711,0.043534797635802244,23.402302336516016,43.25916884784565,24.73903378919164,60.682670351634115,0.15633981601586416,0.026449143617517417,0.1851440070403947,0.05020544955891276,0.2997400767746426,0.06439062427906762,0.39663987301644826,0.3872130175904622,0.4060667129736098,0.9761904771365817,0.008930127659723872,0.0376086387487631,26.449143617517418,43.936246680834934,22.799712270385985,64.39062427906762,1.2066929340362549
7,0.0004477357683661734,48.44,0.16888376679698586,0.022533124682316157,0.1577318734670446,0.06202356799033026,0.27701512178181414,0.057259679628036554,0.3880374401302661,0.3207795494574968,0.45529532913909715,0.9739531405782652,0.007401099211721127,0.04217135303413286,22.533124682316156,41.086219884418064,23.736452192171747,57.25967962803655,0.1513829925703624,0.025625825277160084,0.17938077918120793,0.05193832918765053,0.2926957275186266,0.06137661826279428,0.3831600977314843,0.3740767154428694,0.3922434658285171,0.9777777787238833,0.008614305131846951,0.036235462755910934,25.625825277160086,40.18947473830647,21.47316734907435,61.37661826279428,1.1331316232681274
8,0.0003454915028125264,49.08,0.16558373821221462,0.02202530882431794,0.15417716218342453,0.05977544327547861,0.2682959268450856,0.05434332112015661,0.38259264987225783,0.3140578973269534,0.4511273998325154,0.9750591974077767,0.007242914948961582,0.04178164601660262,22.02530882431794,39.19930282352512,23.382955298828747,54.3433211201566,0.155197293181268,0.027461220288560503,0.19222854442066617,0.04574768635488692,0.2901182781609278,0.05214204891096978,0.3955939694056435,0.4033358608919477,0.3878520763109601,0.9841269850730896,0.009220745272579647,0.035849707798352316,27.461220288560504,35.88913020988306,21.288451618296794,52.14204891096978,1.1205798387527466
9,0.0002500000000000001,50.21,0.16339285353779912,0.021486901358728216,0.15040830996700916,0.05247889519604118,0.25552397000706445,0.05263676475417816,0.3771833202477585,0.3053485646115937,0.44901807589877996,0.9782371635094715,0.007038606706809843,0.04158159721445883,21.486901358728215,37.93144962032616,22.930637782351205,52.63676475417816,0.15338719787578733,0.0262168150099497,0.1835177043127635,0.04239412294257255,0.2744815547314901,0.048569733223744804,0.3871744159668211,0.38323980513073147,0.39110905007710534,0.9873015873015873,0.008815407727859796,0.036196288070271886,26.2168150099497,35.77292444450514,20.230305623592905,48.5697332237448,1.3274624347686768
