epoch,lr,wall_s,train_pose_sl1,train_pose_loss,train_gripper_loss,train_total,train_pose_l1,train_pose_pos_l1,train_pose_rot_l1,train_gripper_acc,train_pose_pos_m,train_pose_rot_rad,train_pose_pm_mm,val_pose_sl1,val_pose_loss,val_gripper_loss,val_total,val_pose_l1,val_pose_pos_l1,val_pose_rot_l1,val_gripper_acc,val_pose_pos_m,val_pose_rot_rad,val_pose_pm_mm
0,0.000996057350657239,56.42,0.2375752488294473,0.2375752488294473,0.0630850840270376,0.30066033295140815,0.5134420190293055,0.4807515833240289,0.5461324563393226,0.9726262019230769,0.008868471306497948,0.038099235833550876,26.372615068864363,0.22820050213016382,0.22820050213016382,0.068875674732259,0.2970761768624228,0.4903106568407278,0.581172861805817,0.39944843810145597,0.9775910364145658,0.010672249408642283,0.027660328352234278,31.585245609742586
1,0.0009842915805643156,33.58,0.19264556103600905,0.19264556103600905,0.05074936042611416,0.24339492200658872,0.44401720590316335,0.41512574708232514,0.47290865996709236,0.976953125,0.0076505885217697,0.03299502187695068,22.75722255357183,0.2130424868659813,0.2130424868659813,0.11941931862123206,0.33246180682289167,0.4807834339742901,0.5753396729461285,0.3862272020147628,0.9663865579610446,0.010611969511955976,0.026793364153689696,31.105080911634015
2,0.0009648882429441258,34.52,0.17795935538239205,0.17795935538239205,0.048041045741858676,0.22600040101947694,0.42129133865237234,0.39331819598491374,0.44926448126251883,0.9780348557692308,0.0072483533500837015,0.03136667332683618,21.549859968945384,0.20781076509578555,0.20781076509578555,0.0578979725952075,0.26570873530138106,0.4552553739367413,0.5495441354790321,0.36096663376530347,0.9831932773109243,0.010047585106029563,0.025202709857990092,29.27455762062086
3,0.0009381533400219318,34.01,0.16753518124325917,0.16753518124325917,0.049524217604014736,0.21705939881503583,0.4039314868358465,0.3782160925750549,0.4296468800077072,0.9776442307692308,0.006968620913819625,0.03000923889474227,20.748223973294863,0.20586110568013177,0.20586110568013177,0.09768341722733834,0.303544524629243,0.46159201059020866,0.5581318311163691,0.3650521549190126,0.949579833602371,0.010231170188948637,0.025284157951130252,30.088004277867764
4,0.0009045084971874737,33.54,0.16041347788503538,0.16041347788503538,0.047524571374882585,0.2079380494900621,0.3928032520871896,0.3671671258142361,0.4184393761249689,0.9795072115384615,0.006770378427329258,0.02923461325609913,20.155654519868012,0.19956863297968686,0.19956863297968686,0.06411415858178579,0.26368279433717917,0.44901105761528015,0.5401274722998216,0.35789463308011116,0.960784317064686,0.009915805167416815,0.025051835413072623,28.91760517736109
5,0.0008644843137107057,33.78,0.15351762166963173,0.15351762166963173,0.0450467633549124,0.19856438494932194,0.3817578214292343,0.3587550006233729,0.40476064487145497,0.9790865384615385,0.006613076711073518,0.028268687881959173,19.699114747345448,0.20130484215184755,0.20130484215184755,0.058031896478822585,0.2593367338514462,0.4555944599190346,0.5554471217951521,0.3557417980429171,0.9747899176359844,0.010180191846475714,0.024753444126340188,30.0248359129125
6,0.0008187119948743448,34.41,0.1464298066898034,0.1464298066898034,0.04390866401730678,0.19033847050024913,0.37025011703372,0.34729937991270654,0.3932008547278551,0.9805588942307693,0.0064020719683657475,0.02747019398241089,19.06920425199832,0.19797345749637327,0.19797345749637327,0.04999367036029738,0.24796712957844347,0.4474613589732921,0.5222597603036576,0.37266294077998785,0.9831932773109243,0.009546637296394891,0.026080442253364568,27.9780656454109
7,0.0007679133974894982,33.89,0.14140529823131287,0.14140529823131287,0.041107368389090806,0.18251266678651937,0.36292410189142593,0.3406694886776117,0.38517871691057315,0.9817908653846154,0.006280742565957973,0.026911760121583937,18.727411820481603,0.20027608747909717,0.20027608747909717,0.05794430330020039,0.25822039411849335,0.4520066889728151,0.5408287499131275,0.36318459681102205,0.9663865579610446,0.009908435254485584,0.025180270097085407,29.12765086552843
8,0.0007128896457825362,33.53,0.1355130431242287,0.1355130431242287,0.04120747856930113,0.17672052167069455,0.35312751912726803,0.33173401037660927,0.3745210275053978,0.981280048076923,0.006113417014981118,0.02616929152371505,18.280738316333064,0.206097834417466,0.206097834417466,0.07081892408159267,0.2769167579355694,0.4585966158146952,0.5372342620076251,0.3799589696217652,0.9579831966165067,0.009839414056724444,0.02655095285122969,28.827486184089125
9,0.0006545084971874736,34.25,0.13102200984095153,0.13102200984095153,0.039520669083308,0.17054267889605118,0.3458964370191097,0.32677237377143825,0.3650205024732993,0.9818209134615384,0.0060231408525186665,0.025506851084243793,17.962202281118014,0.1967702150678768,0.1967702150678768,0.051847563988688276,0.24861778172792173,0.4461789379099838,0.5311507105159492,0.3612071821669571,0.9775910380841637,0.009700011622411114,0.025236930155537043,28.411168876398847
10,0.0005936906572928624,34.33,0.12498302496253298,0.12498302496253298,0.03797423007557742,0.16295725469692396,0.3358736359156095,0.3187734360018602,0.3529738351989251,0.9826622596153847,0.005874752750297865,0.024659458497682443,17.547242631777547,0.1988719367847389,0.1988719367847389,0.04439821293582769,0.243270144659598,0.44987647014171805,0.5325391675744738,0.3672137620235358,0.9831932789805222,0.009755013163621519,0.025683760110821043,28.300307299785253
11,0.0005313952597646568,34.49,0.12009313182475476,0.12009313182475476,0.03716491633363498,0.15725804766496787,0.3278542362440091,0.31202085628532444,0.3436876169190957,0.9837139423076923,0.005754122358316986,0.024018523329868913,17.205739422486378,0.18831849091944575,0.18831849091944575,0.046185527925564795,0.23450401817717137,0.43470228169144703,0.49745642729834016,0.3719480849113785,0.9831932773109243,0.009113672868993018,0.02592630267498039,26.512329797951782
12,0.00046860474023534336,40.17,0.1151212187555547,0.1151212187555547,0.035189455715142405,0.15031067425241837,0.3196505529089616,0.3053065404869043,0.33399456515908243,0.9844350961538462,0.005628778562487031,0.0233448921272961,16.814829204947902,0.213801956811205,0.213801956811205,0.052396476748777704,0.26619843633568924,0.4645081318560101,0.5251418305378334,0.4038744790046489,0.9719887988574031,0.009597737910826,0.028200662760090093,27.948915608832483
13,0.0004063093427071377,48.21,0.11134532356921296,0.11134532356921296,0.032432490492311235,0.14377781382690255,0.3135798349403418,0.29921651774874103,0.32794315247581557,0.9859975961538462,0.005517552209158357,0.022917829502302294,16.507098007087524,0.21087598199603938,0.21087598199603938,0.03958762741806794,0.25046361319157256,0.46255613809206236,0.5231587907680276,0.4019534640452441,0.9775910380841637,0.009545884824277056,0.027998410363574654,27.903047288541032
14,0.00034549150281252644,34.01,0.10640515248792676,0.10640515248792676,0.031511572684394196,0.13791672518620124,0.3054463321199784,0.29268560335040095,0.3182070599725613,0.9865084134615385,0.005396763668306028,0.022241793531709565,16.14949352537783,0.2105077189975092,0.2105077189975092,0.03263717670651043,0.24314489192655442,0.4602964214917992,0.5177444595248759,0.402848433797099,0.9887955198768809,0.009470782650984218,0.028126211268227307,27.748187998680173
15,0.00028711035421746366,34.26,0.10198147331292813,0.10198147331292813,0.030439595094335695,0.13242106840301018,0.29704831322798364,0.2862081994804052,0.3078884266316891,0.987109375,0.005277118738292931,0.021522182011260438,15.784316352353645,0.2121744220163308,0.2121744220163308,0.04007712329010002,0.2522515482595321,0.4625358177500279,0.5278456817154124,0.39722595069588734,0.9859943994287015,0.009634108446976718,0.027702986192302544,28.16207903627755
16,0.00023208660251050156,35.49,0.09740987552616459,0.09740987552616459,0.02743885352788661,0.12484872899233149,0.2890022686467721,0.2792582548295076,0.29874628209150755,0.9888221153846154,0.005150095673833186,0.020880933499966677,15.411860391927453,0.1998375453868834,0.1998375453868834,0.03935210878963397,0.2391896520843025,0.44637910733703806,0.5113824999132076,0.381375725446295,0.9831932789805222,0.009343784838570516,0.02665185264157815,27.10630507299713
17,0.00018128800512565513,34.08,0.09359113296064046,0.09359113296064046,0.02806514741045808,0.1216562802473513,0.2826553517809281,0.2743322887099706,0.2909784133904255,0.9877103365384615,0.0050596618568166515,0.020343569282872172,15.151329933164211,0.20526065963323042,0.20526065963323042,0.033679429744305066,0.23894008560007027,0.4560353251732364,0.5246999511698714,0.3873706671203218,0.9859943994287015,0.009590310004151085,0.026929137878725175,27.871672439725458
18,0.00013551568628929433,34.14,0.09073476835798759,0.09073476835798759,0.025586991178547926,0.11632175956351253,0.2778465473881135,0.26946092465749155,0.2862321689724922,0.9889423076923077,0.004969855710917797,0.02001356565250227,14.886577703202,0.2021539580671727,0.2021539580671727,0.04046503446098803,0.2426189926325106,0.44971018887701486,0.5094236833374707,0.38999670201322945,0.9775910380841637,0.009301546380622965,0.02718484015086619,27.051083300085295
19,9.549150281252634e-05,33.68,0.0874714298460346,0.0874714298460346,0.02373932167941418,0.11121075158365644,0.2720815142186788,0.2649385161411304,0.2792245125827881,0.9900540865384615,0.0048874586887765106,0.01952092798713308,14.637355248515423,0.20740004430631964,0.20740004430631964,0.037603168552663144,0.24500321452858068,0.4581033788642296,0.5266425030238154,0.38956424318441824,0.9859943994287015,0.009612054890152119,0.0271963328644842,27.95447606895985
20,6.184665997806823e-05,34.21,0.08473845801244562,0.08473845801244562,0.020526701641798494,0.1052651597186923,0.2672534332252466,0.26054446124113523,0.27396240506607755,0.9914963942307692,0.004807159082534222,0.01915285571729048,14.408655718971904,0.21122988186129668,0.21122988186129668,0.048032950933407,0.2592628300189972,0.46473807246745136,0.5292999862121934,0.40017613960581333,0.9719887988574031,0.009666659360548028,0.027851955594719292,28.155631367482393
21,3.511175705587433e-05,34.47,0.08274623841190568,0.08274623841190568,0.021774175161688336,0.10452041355176614,0.26350940434405434,0.2581059155555872,0.268912891842998,0.9908353365384616,0.004761583128800759,0.01880346081362894,14.280984754889058,0.2120638201717569,0.2120638201717569,0.04258596225112092,0.25464978476031486,0.4648054780579415,0.5323399067425928,0.3972710699093442,0.9831932789805222,0.009722317491999777,0.02770765235318857,28.318100590624063
22,1.570841943568452e-05,33.76,0.08172307732300116,0.08172307732300116,0.020611661224169298,0.10233473860873626,0.2615207242851074,0.25559829049385513,0.2674431577611428,0.9912560096153846,0.004714823134082298,0.018696636617040404,14.137991284951568,0.21821157271120728,0.21821157271120728,0.044813738045405276,0.26302530885744496,0.4730177297144711,0.5341087743347767,0.411926635590588,0.9831932789805222,0.009753391252314093,0.028714483113390726,28.336375716979763
23,3.942649342761118e-06,33.8,0.08075808008702902,0.08075808008702902,0.020858599972976104,0.10161668006330729,0.26004222536889404,0.2549445233092858,0.26513992602435443,0.9911057692307692,0.004702550078778026,0.01853621668683795,14.107583106782,0.21220245377189306,0.21220245377189306,0.050845105461880605,0.2630475610077214,0.4633520963479157,0.5295480458843274,0.39715617352507027,0.9775910397537616,0.00967374110870919,0.02771149950848073,28.138385657795002
24,0.0,34.2,0.0798903282588491,0.0798903282588491,0.019684868514279794,0.09957519677252724,0.25842876580472174,0.2537004661388122,0.2631570677917737,0.9921875,0.00467867726379504,0.018401838826517074,14.020501782831092,0.21109139581187433,0.21109139581187433,0.039765634821827,0.25085703268939374,0.4619445549506767,0.5267197750195736,0.3971693363009381,0.980392158532343,0.009630135657051866,0.02770862664182146,27.973506119655294
