epoch,lr,wall_s,train_pose_loss,train_gripper_loss,train_total,train_pose_l1,train_pose_pos_l1,train_pose_rot_l1,train_gripper_acc,val_pose_loss,val_gripper_loss,val_total,val_pose_l1,val_pose_pos_l1,val_pose_rot_l1,val_gripper_acc
0,0.000996057350657239,64.11,0.1899189316581473,0.05765029301165553,0.24756922472079804,0.43696150123864985,0.43230947201996783,0.44161353284983945,0.9736174738219895,0.2885454357171259,0.18695519918821105,0.47550063490533695,0.5820366006438472,0.6810526378682348,0.4830205634194596,0.9551820761683274
1,0.0009842915805643156,64.84,0.1496959566666922,0.047805762582480496,0.19750171978462222,0.37009735379439584,0.36916548549400785,0.3710292211325797,0.9781440881326352,0.2724018524340889,0.05486761103971165,0.3272694655660154,0.5499674004166066,0.6425478396629419,0.457386978868009,0.969187675070028
2,0.0009648882429441258,65.9,0.13759258892679713,0.04541221108978548,0.1830047999702095,0.34880245170096036,0.3481963506361785,0.3494085535589105,0.9798347513089005,0.28130952567279505,0.08466772206065033,0.3659772453438334,0.5470094563914281,0.6326007118412093,0.46141818265954987,0.949579833602371
3,0.0009381533400219318,63.8,0.12954077591069602,0.04267802419255522,0.1722188001111748,0.3345516059827222,0.333628796678147,0.335474415794405,0.9804482984293194,0.27350534239903884,0.044620077159641836,0.3181254158333904,0.547873636003302,0.6109429904225827,0.4848042517816987,0.9775910380841637
4,0.0009045084971874737,61.48,0.12251905023557562,0.03977053252446593,0.1622895828495371,0.322475481550835,0.3225761519624717,0.3223748114642673,0.9816617582897034,0.274641306126485,0.05335569257537524,0.32799700466023773,0.5462588534301737,0.6218911714079667,0.47062655148052035,0.969187675070028
5,0.0008644843137107057,66.34,0.11752388642915569,0.03848941290674302,0.15601329934534602,0.31413006358641815,0.3141113982436753,0.3141487290721913,0.9834751308900523,0.2857239211724252,0.08183988165997323,0.36756380511766057,0.5571868319471344,0.6400775298350999,0.4742961776356737,0.9467787131541917
6,0.0008187119948743448,72.46,0.11201991659002362,0.036401395234124924,0.14842131184852872,0.30489424128494963,0.3056454146979783,0.3041430677288906,0.9838977966841187,0.2709302049891955,0.055949524618914816,0.32687972865852655,0.5438133612567303,0.6266437409137812,0.46098295263215605,0.9747899176359844
7,0.0007679133974894982,65.08,0.10751701501664587,0.034298995108664465,0.14181600996402025,0.29673434428571616,0.29739542761866333,0.29607326093976616,0.9851657940663177,0.30486916452228857,0.0646681629580443,0.36953732575856,0.595048302528905,0.6933349457775512,0.4967616814859107,0.9551820744987295
8,0.0007128896457825362,65.15,0.10344755513362755,0.0321570626612595,0.1356046177271305,0.2901986490603517,0.29100201059178327,0.28939528738588977,0.9857384380453752,0.2747798793289174,0.05232262846176364,0.3271025140829781,0.5415360915059803,0.6155578635152983,0.46751434846418577,0.9803921568627451
9,0.0006545084971874736,62.66,0.09838063364286125,0.029597155669774985,0.1279777892447527,0.28152978662108874,0.2820225528995612,0.28103701910735424,0.9876608856893543,0.2661947195186001,0.031187362593262137,0.29738207365952285,0.5308968397248693,0.5996333495909426,0.462160351229649,0.9775910380841637
