iter,buffer,beta,ei_hi,ei_lo,roll_succ,roll_len,roll_ret,critic_loss,q_mean,target_mean,actor_loss,pg_loss,bc_loss,grip_loss,aux_c,aux_a,lam,n_expert,roll_min_pos,roll_close,roll_skip,roll_miss,roll_timeout,roll_fail,exp_kept,exp_succ,eval_min_pos,eval_min_rot,eval_close,eval_miss,eval_timeout,eval_fail,q_pi,a_absmean,grip_logit,buf_pos,eval_succ,best_succ
0,334,0.5,24,22,0.5,29.83,0.5,0.005717499181628227,0.36951908469200134,0.37722885608673096,0.4946860373020172,-0.09999999403953552,0.06257428228855133,0.4599043130874634,0.004047319293022156,0.019266314804553986,0.2947390079498291,64,0.0157,0.5,5,0,2,1,5,0.6,,,,,,,0.3392832279205322,0.670982837677002,2.1983530521392822,0.01796,,-1.0
1,703,0.4921,24,22,0.0,30.0,0.0,0.007044701371341944,0.38723045587539673,0.397469162940979,0.39885643124580383,-0.0996808409690857,0.058833636343479156,0.3718252182006836,0.00879786629229784,0.018089568242430687,0.3021562397480011,64,0.0206,0.0,4,0,3,0,9,1.0,,,,,,,0.3298983573913574,0.6271024942398071,2.07548189163208,0.02134,,-1.0
2,1063,0.4841,24,22,0.0,29.75,0.0,0.009586443193256855,0.3678854703903198,0.3535992503166199,0.3903726041316986,-0.09944764524698257,0.046263061463832855,0.39127159118652344,0.006695351097732782,0.012045114301145077,0.2909458577632904,64,0.0124,0.0,4,0,3,1,8,0.875,,,,,,,0.3418080806732178,0.6791418790817261,1.9376373291015625,0.0207,,-1.0
3,1522,0.4762,24,22,0.5,30.0,0.5,0.004870135337114334,0.3726295828819275,0.36810803413391113,0.3659681975841522,-0.09989985078573227,0.027231676504015923,0.40577149391174316,0.006120416335761547,0.011266423389315605,0.2872338891029358,64,0.0103,0.5,1,0,3,0,9,0.889,,,,,,,0.3477996587753296,0.6758238673210144,1.9247455596923828,0.02168,,-1.0
4,1946,0.4683,24,22,0.0,30.0,0.0,0.003578911302611232,0.34558942914009094,0.34574800729751587,0.3267109990119934,-0.09999999403953552,0.03428671509027481,0.3484381437301636,0.003936868626624346,0.019398825243115425,0.3411423861980438,64,0.0071,0.0,2,0,10,0,4,1.0,,,,,,,0.2931327223777771,0.6491300463676453,2.0132040977478027,0.01901,,-1.0
5,2400,0.4603,24,22,0.0,29.62,0.0,0.003603909630328417,0.3313804268836975,0.3188202381134033,0.41295096278190613,-0.09872879087924957,0.03923381119966507,0.4250417649745941,0.00376994744874537,0.016340719535946846,0.3440462052822113,64,0.0142,0.0,1,0,7,1,7,1.0,,,,,,,0.2869637608528137,0.7331428527832031,2.147724151611328,0.01833,,-1.0
6,2815,0.4524,24,22,0.1429,30.0,0.1429,0.007370462641119957,0.3524337410926819,0.36818450689315796,0.7042905688285828,-0.09943346679210663,0.05582012981176376,0.6846082806587219,0.005456389859318733,0.0149509496986866,0.37619006633758545,64,0.0116,0.143,2,0,6,0,7,0.857,,,,,,,0.2643170952796936,0.6322880983352661,2.0979602336883545,0.01812,,-1.0
7,3270,0.4444,24,22,0.0,30.0,0.0,0.003201069077476859,0.29767072200775146,0.2921127676963806,0.3561553657054901,-0.09861889481544495,0.03142952919006348,0.38472625613212585,0.004040195140987635,0.014377868734300137,0.42788606882095337,64,0.0088,0.0,1,0,7,0,8,0.75,0.1602,0.8137,0.0,0,48,0,0.23047932982444763,0.6120890378952026,2.0914111137390137,0.01743,0.0,0.0
8,3726,0.4365,24,22,0.0,30.0,0.0,0.005103386472910643,0.31659436225891113,0.31106075644493103,0.34356456995010376,-0.09854361414909363,0.025735680013895035,0.38218754529953003,0.0042402776889503,0.01689855195581913,0.4461131989955902,64,0.0086,0.0,1,0,9,0,6,1.0,,,,,,,0.2208937406539917,0.6256284713745117,1.9884990453720093,0.01691,,0.0
9,4180,0.4286,24,22,0.0,30.0,0.0,0.005879038944840431,0.27363815903663635,0.2832750678062439,0.3349112272262573,-0.09636680781841278,0.032371409237384796,0.36039185523986816,0.004271302372217178,0.012286693789064884,0.4264318645000458,64,0.006,0.0,1,0,8,0,7,0.571,,,,,,,0.22598406672477722,0.6409071087837219,2.044651985168457,0.01603,,0.0
