iter,beta,m,episodes,steps,skipped,pinned,reached_standoff,reached_grasp,reach_steps,settle_steps,omg_fail,goal_switch,expert_steps,policy_closed,policy_close_cmds,dropped_tail,dart,dart_env_done,dart_reach,dart_reject,dart_sigma_trace,dart_noise_steps,dart_alpha,mean_min_pos,mean_min_rot,mean_policy_close_step,c_close_label,c_policy_close,c_max_steps,c_env_done,c_no_labels,c_omg_fail0,c_success_rate,co_grasp_ok,co_grasp_miss,co_no_release,co_drop,co_human_contact,co_bench_timeout,co_timeout,c_reach_pos,c_reach_rot,revisits,grasp_mismatch,max_grasp_drift,close_labels,approach_labels,mean_label_pos,tiny_labels,aggregate_files,D_episodes,D_steps,D_dagger_frac,epochs,train_loss,train_grip_acc,val_loss,val_grip_acc,best_val_loss,aux_pos_mm,aux_rot_deg,aux_pm_mm,success_rate,grasp_rate,near_rate,close_rate,close_success_rate,chance_rate,missed_rate,miss_given_chance,box_chance_rate,box_taken_rate,box_missed_rate,miss_given_box,mean_box_steps,mean_box_frac,mean_reach_pos_err,mean_reach_rot_err,box_after_rate,eval_min_pos,eval_min_rot,mean_dist,mean_pos_err,mean_rot_err,mean_close_step,dir_err,dir_err_median,dir_track,sector_err,bin_hit_rate,bin_diag_rate,cond_sep,retry_at_1,retry_at_2,retry_at_3,retry_at_4,succ_bin_0,succ_bin_1,succ_bin_2,succ_bin_3,succ_bin_4,succ_bin_5,n_bin_0,n_bin_1,n_bin_2,n_bin_3,n_bin_4,n_bin_5,succ_g0,succ_g1,f_grasp_ok,f_grasp_miss,f_no_release,f_drop,f_timeout,f_human_contact,ff_grasp_miss,ff_no_release,ff_drop,ff_timeout,ff_human_contact,is_best,collect_s,train_s,eval_s,wall_s,c_episodes_b0,c_reached_standoff_b0,c_reached_grasp_b0,c_policy_closed_b0,c_success_b0,c_episodes_b1,c_reached_standoff_b1,c_reached_grasp_b1,c_policy_closed_b1,c_success_b1,c_episodes_b2,c_reached_standoff_b2,c_reached_grasp_b2,c_policy_closed_b2,c_success_b2,c_episodes_b3,c_reached_standoff_b3,c_reached_grasp_b3,c_policy_closed_b3,c_success_b3,c_episodes_b4,c_reached_standoff_b4,c_reached_grasp_b4,c_policy_closed_b4,c_success_b4,c_episodes_b5,c_reached_standoff_b5,c_reached_grasp_b5,c_policy_closed_b5,c_success_b5,n_b0,close_rate_b0,near_rate_b0,grasp_rate_b0,success_rate_b0,box_chance_rate_b0,box_taken_rate_b0,miss_given_box_b0,close_success_rate_b0,mean_box_frac_b0,eval_min_pos_b0,eval_min_rot_b0,mean_pos_err_b0,mean_rot_err_b0,dir_err_b0,dir_track_b0,sector_err_b0,bin_hit_rate_b0,bin_diag_rate_b0,f_grasp_ok_b0,f_grasp_miss_b0,f_no_release_b0,f_drop_b0,f_timeout_b0,f_human_contact_b0,ff_grasp_miss_b0,ff_no_release_b0,ff_drop_b0,ff_timeout_b0,ff_human_contact_b0,n_b1,close_rate_b1,near_rate_b1,grasp_rate_b1,success_rate_b1,box_chance_rate_b1,box_taken_rate_b1,miss_given_box_b1,close_success_rate_b1,mean_box_frac_b1,eval_min_pos_b1,eval_min_rot_b1,mean_pos_err_b1,mean_rot_err_b1,dir_err_b1,dir_track_b1,sector_err_b1,bin_hit_rate_b1,bin_diag_rate_b1,f_grasp_ok_b1,f_grasp_miss_b1,f_no_release_b1,f_drop_b1,f_timeout_b1,f_human_contact_b1,ff_grasp_miss_b1,ff_no_release_b1,ff_drop_b1,ff_timeout_b1,ff_human_contact_b1,n_b2,close_rate_b2,near_rate_b2,grasp_rate_b2,success_rate_b2,box_chance_rate_b2,box_taken_rate_b2,miss_given_box_b2,close_success_rate_b2,mean_box_frac_b2,eval_min_pos_b2,eval_min_rot_b2,mean_pos_err_b2,mean_rot_err_b2,dir_err_b2,dir_track_b2,sector_err_b2,bin_hit_rate_b2,bin_diag_rate_b2,f_grasp_ok_b2,f_grasp_miss_b2,f_no_release_b2,f_drop_b2,f_timeout_b2,f_human_contact_b2,ff_grasp_miss_b2,ff_no_release_b2,ff_drop_b2,ff_timeout_b2,ff_human_contact_b2,n_b3,close_rate_b3,near_rate_b3,grasp_rate_b3,success_rate_b3,box_chance_rate_b3,box_taken_rate_b3,miss_given_box_b3,close_success_rate_b3,mean_box_frac_b3,eval_min_pos_b3,eval_min_rot_b3,mean_pos_err_b3,mean_rot_err_b3,dir_err_b3,dir_track_b3,sector_err_b3,bin_hit_rate_b3,bin_diag_rate_b3,f_grasp_ok_b3,f_grasp_miss_b3,f_no_release_b3,f_drop_b3,f_timeout_b3,f_human_contact_b3,ff_grasp_miss_b3,ff_no_release_b3,ff_drop_b3,ff_timeout_b3,ff_human_contact_b3,n_b4,close_rate_b4,near_rate_b4,grasp_rate_b4,success_rate_b4,box_chance_rate_b4,box_taken_rate_b4,miss_given_box_b4,close_success_rate_b4,mean_box_frac_b4,eval_min_pos_b4,eval_min_rot_b4,mean_pos_err_b4,mean_rot_err_b4,dir_err_b4,dir_track_b4,sector_err_b4,bin_hit_rate_b4,bin_diag_rate_b4,f_grasp_ok_b4,f_grasp_miss_b4,f_no_release_b4,f_drop_b4,f_timeout_b4,f_human_contact_b4,ff_grasp_miss_b4,ff_no_release_b4,ff_drop_b4,ff_timeout_b4,ff_human_contact_b4,n_b5,close_rate_b5,near_rate_b5,grasp_rate_b5,success_rate_b5,box_chance_rate_b5,box_taken_rate_b5,miss_given_box_b5,close_success_rate_b5,mean_box_frac_b5,eval_min_pos_b5,eval_min_rot_b5,mean_pos_err_b5,mean_rot_err_b5,dir_err_b5,dir_track_b5,sector_err_b5,bin_hit_rate_b5,bin_diag_rate_b5,f_grasp_ok_b5,f_grasp_miss_b5,f_no_release_b5,f_drop_b5,f_timeout_b5,f_human_contact_b5,ff_grasp_miss_b5,ff_no_release_b5,ff_drop_b5,ff_timeout_b5,ff_human_contact_b5
0,1.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1596,30028,0.0,20,0.174,0.987,0.2554,0.9861,0.2552,47.5262,23.1211,71.4091,0.3048,0.2952,0.0,0.3524,0.8649,0.0,0.0,,0.3619,0.8158,0.0762,0.2105,2.0789,0.3561,,,,0.1217,1.0061,0.1788,0.1197,1.455,28.7297,62.0069,54.618,0.311,66.6595,0.2095,0.4667,0.5566,0.325,0.425,0.425,0.475,0.3571,,0.32,0.1739,0.3448,,28.0,0.0,25.0,23.0,29.0,0.0,0.325,0.2759,0.3048,0.0,0.0286,0.3333,0.019,0.3143,0.0,0.0411,0.4795,0.0274,0.4521,1,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,0.4286,0.0,0.3571,0.3571,0.5357,0.6667,0.3333,0.8333,0.4759,0.0929,0.9557,0.0748,0.9079,29.6405,0.6707,31.1931,0.5,0.8929,0.3571,0.0,0.0714,0.2143,0.0714,0.2857,0.0,0.1111,0.3333,0.1111,0.4444,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,0.32,0.0,0.32,0.32,0.32,1.0,0.0,1.0,0.3224,0.0825,0.7591,0.072,0.7366,43.5518,0.5161,41.5288,0.32,0.6,0.32,0.0,0.0,0.4,0.0,0.28,0.0,0.0,0.5882,0.0,0.4118,23,0.2174,0.0,0.1304,0.1739,0.1739,0.75,0.25,0.8,0.1961,0.1772,1.5468,0.1967,2.9548,119.3028,-0.3256,113.8066,0.0,0.0,0.1739,0.0,0.0,0.5217,0.0,0.3043,0.0,0.0,0.6316,0.0,0.3684,29,0.4138,0.0,0.3448,0.3448,0.3793,0.9091,0.1818,0.8333,0.3962,0.1391,0.8389,0.1644,1.8562,63.7253,0.2919,85.1746,0.0,0.3103,0.3448,0.0,0.0345,0.2414,0.0,0.3793,0.0,0.0526,0.3684,0.0,0.5789,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0,126,126,4137,0,125,79,70,458,0,0,1,2861,0,0,32,1122,12,116,54,0.032876,0,3.0,0.0573,0.26,,70,0,12,44,0,0,0.4762,0.4762,0.0,0.0556,0.2302,0.1429,0.0,0.0952,,,0,0,0.0,70,4067,0.0398,1,2,1722,34165,0.1211,6,0.1952,0.9837,0.2563,0.9892,0.2563,46.7186,23.1576,70.1762,0.3238,0.3143,0.0095,0.381,0.85,0.0095,0.0,0.0,0.3143,0.8788,0.0381,0.1212,1.8182,0.319,,,,0.1146,0.9881,0.1903,0.1155,1.4103,25.275,57.1234,48.8836,0.3653,65.1973,0.2095,0.4952,0.5154,0.4,0.5,0.5,0.5,0.5357,,0.36,0.1304,0.2414,,28.0,0.0,25.0,23.0,29.0,0.0,0.4,0.3448,0.3238,0.0,0.0381,0.4667,0.019,0.1524,0.0,0.0563,0.6901,0.0282,0.2254,1,243.4,278.7,372.0,894.2,40,28,25,0,23,0,0,0,0,0,26,17,17,0,14,22,7,6,0,5,38,27,22,0,18,0,0,0,0,0,28,0.6071,0.0,0.5357,0.5357,0.5357,0.8667,0.1333,0.8824,0.4898,0.0839,0.9514,0.0986,1.214,32.2309,0.6419,28.3114,0.6071,0.8929,0.5357,0.0,0.0714,0.25,0.0,0.1429,0.0,0.1538,0.5385,0.0,0.3077,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,0.4,0.04,0.32,0.36,0.36,0.8889,0.1111,0.9,0.3706,0.0819,0.7241,0.0711,0.6361,41.812,0.5354,49.8507,0.2,0.6,0.36,0.0,0.04,0.32,0.08,0.2,0.0,0.0625,0.5,0.125,0.3125,23,0.1739,0.0,0.1304,0.1304,0.1739,0.75,0.25,0.75,0.1686,0.1642,1.5085,0.2149,2.8772,106.3386,-0.1815,98.8957,0.0,0.0,0.1304,0.0,0.0,0.6522,0.0,0.2174,0.0,0.0,0.75,0.0,0.25,29,0.3103,0.0,0.2414,0.2414,0.1724,1.0,0.0,0.7778,0.2287,0.1331,0.8384,0.1525,1.9894,55.3245,0.3853,87.3146,0.0,0.4138,0.2414,0.0,0.0345,0.6552,0.0,0.069,0.0,0.0455,0.8636,0.0,0.0909,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.9643,125,125,4129,0,125,87,66,496,0,0,0,2747,0,0,29,1116,14,127,50,0.028006,0,3.0,0.0514,0.1592,,66,0,15,44,0,0,0.424,0.424,0.008,0.064,0.312,0.072,0.0,0.12,,,14,0,0.0,66,4063,0.037,0,3,1847,38294,0.2159,6,0.1926,0.9865,0.2634,0.9861,0.2628,47.752,23.1049,71.8529,0.2571,0.2571,0.0,0.3143,0.8182,0.0,0.0,,0.3048,0.7812,0.0667,0.2188,3.0312,0.3022,,,,0.0995,0.8942,0.1833,0.0956,1.0288,26.5152,45.1235,33.2031,0.4986,55.8024,0.2762,0.6286,0.5675,0.375,0.4,0.425,0.425,0.3929,,0.36,0.087,0.1724,,28.0,0.0,25.0,23.0,29.0,0.0,0.375,0.2759,0.2571,0.0,0.0286,0.4476,0.0381,0.2286,0.0,0.0385,0.6026,0.0513,0.3077,0,231.8,313.3,402.9,948.1,38,30,21,0,17,0,0,0,0,0,28,17,14,0,11,26,13,9,0,6,33,27,22,0,19,0,0,0,0,0,28,0.4643,0.0,0.3929,0.3929,0.4286,0.8333,0.1667,0.8462,0.3805,0.0884,0.9402,0.0886,1.189,30.8815,0.6569,25.7732,0.6429,0.8571,0.3929,0.0,0.0357,0.3571,0.0714,0.1429,0.0,0.0588,0.5882,0.1176,0.2353,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,0.48,0.0,0.36,0.36,0.36,0.8889,0.1111,0.75,0.3796,0.0825,0.6926,0.0755,0.7485,42.8937,0.5234,48.9183,0.2,0.64,0.36,0.0,0.04,0.28,0.04,0.28,0.0,0.0625,0.4375,0.0625,0.4375,23,0.1304,0.0,0.087,0.087,0.1739,0.5,0.5,0.6667,0.1668,0.1198,1.2015,0.122,1.0768,73.2798,0.1858,70.1674,0.1304,0.2609,0.087,0.0,0.0435,0.6522,0.0,0.2174,0.0,0.0476,0.7143,0.0,0.2381,29,0.1724,0.0,0.1724,0.1724,0.2414,0.7143,0.2857,1.0,0.2674,0.1088,0.7797,0.1461,1.2564,38.4656,0.5726,79.3379,0.1034,0.6897,0.1724,0.0,0.0,0.5172,0.0345,0.2759,0.0,0.0,0.625,0.0417,0.3333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.9286,122,122,4043,0,120,85,76,502,0,0,0,2598,1,2,23,1090,14,122,55,0.025973,0,3.0,0.0417,0.183,36.0,76,0,8,38,0,0,0.5328,0.5328,0.0,0.0574,0.2705,0.0738,0.0,0.0656,,,20,0,0.0,76,3967,0.0391,4,4,1969,42337,0.2907,6,0.1893,0.9889,0.259,0.9884,0.2589,46.8861,22.3957,70.3114,0.3238,0.3048,0.0,0.4286,0.7556,0.0,0.0,,0.3524,0.7027,0.1048,0.2973,3.0541,0.352,,,,0.0979,0.8905,0.1787,0.0893,1.0727,26.0222,43.6838,33.5146,0.5146,52.8953,0.2476,0.6571,0.5267,0.375,0.475,0.475,0.525,0.3929,,0.44,0.1739,0.2759,,28.0,0.0,25.0,23.0,29.0,0.0,0.375,0.3793,0.3238,0.0,0.0667,0.4,0.0286,0.181,0.0,0.0986,0.5915,0.0423,0.2676,0,238.0,345.2,417.2,1000.4,40,30,29,1,26,0,0,0,0,0,23,13,11,0,9,23,14,13,0,8,36,28,23,0,22,0,0,0,0,0,28,0.5357,0.0,0.4286,0.3929,0.3929,0.7273,0.2727,0.7333,0.4329,0.0862,0.923,0.0917,1.289,28.1541,0.6872,31.5322,0.5357,0.8929,0.3929,0.0,0.0714,0.25,0.0714,0.2143,0.0,0.1176,0.4118,0.1176,0.3529,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,0.6,0.0,0.36,0.44,0.4,0.9,0.2,0.7333,0.3714,0.0832,0.7154,0.0696,0.7885,40.3336,0.5518,43.1383,0.24,0.76,0.44,0.0,0.08,0.28,0.04,0.16,0.0,0.1429,0.5,0.0714,0.2857,23,0.2609,0.0,0.1304,0.1739,0.3043,0.1429,0.7143,0.6667,0.2964,0.1143,1.1685,0.0838,1.044,72.5098,0.1943,71.1248,0.1304,0.2174,0.1739,0.0,0.087,0.5652,0.0,0.1739,0.0,0.1053,0.6842,0.0,0.2105,29,0.3103,0.0,0.2759,0.2759,0.3103,0.8889,0.1111,0.8889,0.3012,0.1089,0.7895,0.1218,1.2049,38.704,0.57,67.475,0.069,0.6897,0.2759,0.0,0.0345,0.5172,0.0,0.1724,0.0,0.0476,0.7143,0.0,0.2381,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.8929,120,120,4125,0,120,78,70,470,0,0,0,2573,2,2,29,1114,8,118,70,0.022401,0,3.0,0.0549,0.1826,31.5,70,0,12,38,0,0,0.5333,0.5333,0.0,0.0083,0.3083,0.05,0.0,0.1,,,30,0,0.0,70,4055,0.0377,1,5,2089,46462,0.3537,6,0.1814,0.9912,0.2634,0.9869,0.263,45.9557,21.9958,69.8518,0.3905,0.3619,0.0,0.4476,0.8723,0.0,0.0,,0.3333,0.8857,0.0381,0.1143,3.9714,0.3368,,,,0.0912,0.8304,0.1853,0.0984,1.0121,27.1702,34.1937,28.6756,0.6201,48.6999,0.2667,0.7238,0.6425,0.5,0.55,0.55,0.55,0.5,,0.48,0.2174,0.3448,,28.0,0.0,25.0,23.0,29.0,0.0,0.5,0.3793,0.3905,0.0,0.0476,0.381,0.0286,0.1524,0.0,0.0781,0.625,0.0469,0.25,1,233.2,376.5,413.6,1023.4,36,30,28,0,25,0,0,0,0,0,27,17,15,1,14,21,9,8,0,7,36,22,19,1,18,0,0,0,0,0,28,0.5357,0.0,0.4643,0.5,0.4286,0.8333,0.1667,0.9333,0.4424,0.0853,0.9549,0.0968,1.1778,28.2951,0.6856,25.9875,0.5714,0.9286,0.5,0.0,0.0357,0.2143,0.0357,0.2143,0.0,0.0714,0.4286,0.0714,0.4286,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,0.56,0.0,0.44,0.48,0.36,1.0,0.0,0.8571,0.3478,0.0797,0.6424,0.0728,0.6359,30.2982,0.6634,47.0121,0.2,0.72,0.48,0.0,0.08,0.36,0.08,0.0,0.0,0.1538,0.6923,0.1538,0.0,23,0.2609,0.0,0.2174,0.2174,0.3043,0.8571,0.2857,0.8333,0.2866,0.1064,0.9381,0.1138,1.2008,43.641,0.5151,53.1323,0.1304,0.5652,0.2174,0.0,0.0435,0.5217,0.0,0.2174,0.0,0.0556,0.6667,0.0,0.2778,29,0.4138,0.0,0.3103,0.3448,0.2414,0.8571,0.0,0.8333,0.2653,0.0946,0.7868,0.1225,1.1497,35.7543,0.6027,68.5688,0.1379,0.6552,0.3448,0.0,0.0345,0.4483,0.0,0.1724,0.0,0.0526,0.6842,0.0,0.2632,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.8571,123,123,4265,0,120,79,66,448,0,0,0,2615,0,0,25,1140,11,105,49,0.016607,0,3.0,0.0501,0.1864,,66,0,14,43,0,0,0.4553,0.4553,0.0,0.0488,0.3089,0.0732,0.0,0.1138,,,43,0,0.0,66,4199,0.037,5,6,2212,50727,0.408,6,0.1767,0.9921,0.269,0.9884,0.269,45.6219,22.2378,69.9346,0.4381,0.4381,0.0095,0.5333,0.8214,0.0095,0.0,0.0,0.419,0.9318,0.0571,0.1364,2.3636,0.4019,,,,0.0954,0.8111,0.1839,0.0871,1.0195,26.0893,35.3171,27.8761,0.6076,48.1009,0.3238,0.7143,0.5982,0.475,0.5,0.55,0.55,0.4643,,0.52,0.4348,0.3448,,28.0,0.0,25.0,23.0,29.0,0.0,0.475,0.4828,0.4381,0.0,0.0571,0.3524,0.0286,0.1238,0.0,0.1017,0.6271,0.0508,0.2203,1,235.5,411.4,401.2,1048.2,33,25,18,0,13,0,0,0,0,0,24,11,11,0,11,28,14,11,0,8,38,29,26,0,24,0,0,0,0,0,28,0.6429,0.0,0.4643,0.4643,0.5,0.9286,0.2143,0.7222,0.4206,0.0824,0.9755,0.0832,1.2264,30.8273,0.6575,27.008,0.6786,0.8571,0.4643,0.0,0.1071,0.2857,0.0714,0.0714,0.0,0.2,0.5333,0.1333,0.1333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,0.68,0.04,0.52,0.52,0.48,1.0,0.0833,0.7647,0.4457,0.0886,0.6861,0.0756,0.8522,35.7573,0.6027,42.7662,0.32,0.72,0.52,0.0,0.12,0.24,0.04,0.08,0.0,0.25,0.5,0.0833,0.1667,23,0.4348,0.0,0.4348,0.4348,0.3913,0.8889,0.1111,1.0,0.4117,0.1096,0.8094,0.0741,0.7306,38.9557,0.5672,53.0077,0.1739,0.6087,0.4348,0.0,0.0,0.4348,0.0,0.1304,0.0,0.0,0.7692,0.0,0.2308,29,0.3793,0.0,0.3448,0.3448,0.3103,0.8889,0.1111,0.9091,0.3385,0.1027,0.7615,0.1229,1.2022,36.3867,0.5957,69.1737,0.1034,0.6552,0.3448,0.0,0.0,0.4483,0.0,0.2069,0.0,0.0,0.6842,0.0,0.3158,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.8214,135,135,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,3.0,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-1,-1,,-1,-1,,-1,7,2347,55140,0.4554,6,0.1751,0.9926,0.2766,0.9892,0.2766,46.2695,22.6432,69.302,0.419,0.4095,0.019,0.4667,0.898,0.019,0.0,0.0,0.419,0.8636,0.0571,0.1364,3.4773,0.4229,,,,0.0897,0.8119,0.183,0.0868,0.9802,25.6327,34.532,28.3841,0.6163,46.2927,0.3238,0.781,0.6269,0.45,0.525,0.55,0.6,0.4286,,0.44,0.3478,0.4483,,28.0,0.0,25.0,23.0,29.0,0.0,0.45,0.4138,0.419,0.0,0.0476,0.3429,0.019,0.1714,0.0,0.082,0.5902,0.0328,0.2951,0,0.0,0.9,407.9,408.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28,0.5357,0.0357,0.3929,0.4286,0.4286,0.75,0.3333,0.8,0.4672,0.0749,1.0272,0.0906,1.5668,33.3228,0.6297,30.7283,0.5357,0.8214,0.4286,0.0,0.1071,0.2143,0.0357,0.2143,0.0,0.1875,0.375,0.0625,0.375,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,0.48,0.04,0.44,0.44,0.52,0.9231,0.1538,0.9167,0.52,0.089,0.5879,0.0774,0.6404,29.7546,0.6694,39.5935,0.44,0.88,0.44,0.0,0.04,0.32,0.04,0.16,0.0,0.0714,0.5714,0.0714,0.2857,23,0.3478,0.0,0.3478,0.3478,0.3043,0.7143,0.0,1.0,0.2937,0.1082,0.8941,0.0693,0.6441,41.9147,0.5343,57.0836,0.1739,0.6087,0.3478,0.0,0.0,0.5652,0.0,0.087,0.0,0.0,0.8667,0.0,0.1333,29,0.4828,0.0,0.4483,0.4483,0.4138,1.0,0.0,0.9286,0.399,0.0901,0.732,0.1008,0.8352,33.9628,0.6226,58.5374,0.1379,0.7931,0.4483,0.0,0.0345,0.3103,0.0,0.2069,0.0,0.0625,0.5625,0.0,0.375,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.7857,139,139,4453,0,135,86,77,518,0,0,1,2501,0,0,30,1179,14,120,31,0.022037,0,3.0,0.0606,0.262,,77,0,14,48,0,0,0.5252,0.5252,0.0,0.0288,0.2518,0.0935,0.0,0.1007,,,39,0,0.0039,77,4376,0.039,2,8,2486,59593,0.4961,6,0.1733,0.9938,0.2836,0.9892,0.2836,46.3332,22.9374,70.0704,0.3714,0.3429,0.0095,0.419,0.8864,0.0095,0.0,0.0,0.3905,0.7561,0.0762,0.1951,2.7073,0.3576,,,,0.0933,0.8588,0.1868,0.091,1.1203,26.0455,35.9942,30.2335,0.6001,49.8646,0.2667,0.7143,0.5766,0.325,0.525,0.575,0.575,0.2857,,0.56,0.2609,0.3793,,28.0,0.0,25.0,23.0,29.0,0.0,0.325,0.4828,0.3714,0.0,0.0286,0.381,0.0095,0.2095,0.0,0.0455,0.6061,0.0152,0.3333,0,261.6,486.9,419.8,1168.4,42,31,29,0,28,0,0,0,0,0,31,16,12,0,11,28,16,15,0,14,38,23,21,0,20,0,0,0,0,0,28,0.3214,0.0,0.2857,0.2857,0.4286,0.6667,0.3333,0.8889,0.3768,0.0836,1.1231,0.0948,1.9323,34.8694,0.6126,33.7471,0.4643,0.8214,0.2857,0.0,0.0357,0.2143,0.0,0.4643,0.0,0.05,0.3,0.0,0.65,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,0.6,0.04,0.52,0.56,0.52,0.8462,0.1538,0.9333,0.4694,0.0983,0.642,0.0939,0.947,30.6612,0.6593,43.8581,0.24,0.76,0.56,0.0,0.0,0.28,0.04,0.12,0.0,0.0,0.6364,0.0909,0.2727,23,0.3043,0.0,0.2609,0.2609,0.2609,0.8333,0.1667,0.8571,0.2689,0.1076,0.9081,0.0588,0.6745,44.2819,0.508,56.3653,0.1304,0.5652,0.2609,0.0,0.0435,0.6087,0.0,0.087,0.0,0.0588,0.8235,0.0,0.1176,29,0.4483,0.0,0.3103,0.3793,0.3448,0.7,0.1,0.8462,0.3132,0.0869,0.7512,0.1023,0.9983,35.1046,0.6099,65.4485,0.2069,0.6897,0.3793,0.0,0.0345,0.4483,0.0,0.1379,0.0,0.0556,0.7222,0.0,0.2222,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.75,138,138,4664,0,135,73,65,424,0,0,2,2477,2,3,28,1313,15,95,37,0.019666,0,3.0,0.0679,0.2765,28.5,65,0,20,53,0,0,0.4058,0.4058,0.0,0.0362,0.3333,0.0797,0.0,0.1449,,,73,1,0.0636,65,4599,0.0378,3,9,2624,64257,0.5327,6,0.1709,0.995,0.2973,0.9884,0.2959,45.8609,23.3255,69.5885,0.4571,0.4571,0.0,0.5524,0.8276,0.0,0.0,,0.4667,0.8367,0.0667,0.1429,2.6531,0.4412,,,,0.0912,0.8488,0.1779,0.0886,1.0176,26.6897,35.0457,28.1221,0.6106,47.554,0.2762,0.7714,0.574,0.375,0.6,0.7,0.7,0.25,,0.72,0.4348,0.4483,,28.0,0.0,25.0,23.0,29.0,0.0,0.375,0.6552,0.4571,0.0095,0.0667,0.3333,0.0095,0.1238,0.0175,0.1228,0.614,0.0175,0.2281,1,283.9,524.5,435.7,1244.2,39,25,24,0,21,0,0,0,0,0,27,13,10,0,7,34,10,8,1,6,38,25,23,1,22,0,0,0,0,0,28,0.3929,0.0,0.25,0.25,0.3929,0.5455,0.3636,0.6364,0.4176,0.0777,1.1246,0.0895,1.6272,34.8802,0.6124,27.6319,0.5357,0.8214,0.25,0.0357,0.0714,0.3571,0.0,0.2857,0.0476,0.0952,0.4762,0.0,0.381,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,0.84,0.0,0.68,0.72,0.6,1.0,0.0,0.8571,0.5992,0.0869,0.6833,0.0804,0.893,30.9419,0.6562,38.5486,0.28,0.76,0.72,0.0,0.08,0.12,0.04,0.04,0.0,0.2857,0.4286,0.1429,0.1429,23,0.4348,0.0,0.4348,0.4348,0.3913,1.0,0.0,1.0,0.3372,0.1106,0.8551,0.0771,0.7412,39.4408,0.5618,56.9981,0.1304,0.6957,0.4348,0.0,0.0,0.5217,0.0,0.0435,0.0,0.0,0.9231,0.0,0.0769,29,0.5517,0.0,0.4828,0.4483,0.4828,0.7857,0.2143,0.8125,0.4103,0.0926,0.7201,0.1058,0.9348,35.2576,0.6082,67.0625,0.1379,0.7931,0.4483,0.0,0.1034,0.3448,0.0,0.1034,0.0,0.1875,0.625,0.0,0.1875,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
