iter,buffer,beta,ei_hi,ei_lo,roll_succ,roll_len,roll_ret,critic_loss,q_mean,target_mean,actor_loss,pg_loss,bc_loss,grip_loss,aux_c,aux_a,lam,n_expert,roll_min_pos,roll_close,roll_skip,roll_miss,roll_timeout,roll_fail,exp_kept,exp_succ,eval_min_pos,eval_min_rot,eval_close,eval_miss,eval_timeout,eval_fail,q_pi,a_absmean,grip_logit,buf_pos,eval_succ,best_succ
0,332,0.5,24,22,0.5,29.5,0.5,0.007707994431257248,0.3468385636806488,0.33434075117111206,0.4101725220680237,-0.0998247042298317,0.051817458122968674,0.39899522066116333,0.00830619502812624,0.014734123833477497,0.2693498432636261,64,0.0219,0.667,5,1,2,0,5,0.6,,,,,,,0.37061357498168945,0.7037352919578552,2.209853410720825,0.01807,,-1.0
1,701,0.4921,24,22,0.0,30.0,0.0,0.004109041765332222,0.3474884033203125,0.34683313965797424,0.5514641404151917,-0.09894237667322159,0.09933099150657654,0.4427626132965088,0.0062453048303723335,0.01796388067305088,0.3039906919002533,64,0.0214,0.0,4,0,3,0,9,1.0,,,,,,,0.32547831535339355,0.8165361285209656,2.104506492614746,0.0214,,-1.0
2,1062,0.4841,24,22,0.25,30.0,0.25,0.006377796176820993,0.36202144622802734,0.35799792408943176,0.43160536885261536,-0.09978584945201874,0.04816875979304314,0.42620378732681274,0.008345629088580608,0.017699824646115303,0.29885146021842957,64,0.0124,0.25,4,0,2,1,8,0.875,,,,,,,0.33389782905578613,0.6624494194984436,2.1834518909454346,0.02166,,-1.0
3,1521,0.4762,24,22,0.0,30.0,0.0,0.0069524794816970825,0.388704776763916,0.3841598629951477,0.7350211143493652,-0.09886392951011658,0.05480821430683136,0.7129991054534912,0.007625324185937643,0.022538989782333374,0.2908911406993866,64,0.0063,0.0,1,0,6,0,9,0.889,,,,,,,0.3398657441139221,0.7065454721450806,1.981177806854248,0.02038,,-1.0
4,1945,0.4683,24,21,0.4,30.0,0.4,0.0033397311344742775,0.3645894527435303,0.3662790060043335,0.4522028863430023,-0.09785878658294678,0.0347137376666069,0.4696413278579712,0.0044834972359240055,0.02198568359017372,0.3214660584926605,64,0.0116,0.4,2,0,6,0,4,1.0,,,,,,,0.3044140934944153,0.6587494611740112,2.015152931213379,0.02005,,-1.0
5,2368,0.4603,24,21,0.0,29.62,0.0,0.0036312458105385303,0.3279872536659241,0.31805914640426636,0.3505069613456726,-0.09982156753540039,0.030631056055426598,0.37915199995040894,0.003959496971219778,0.01982884667813778,0.3078640401363373,64,0.0144,0.0,2,0,7,1,6,0.833,,,,,,,0.3242391347885132,0.6989854574203491,2.045395851135254,0.01858,,-1.0
6,2812,0.4524,24,21,0.7143,29.71,0.7143,0.009014289826154709,0.3651989996433258,0.34394609928131104,0.5177814364433289,-0.09994092583656311,0.04084514081478119,0.5310185551643372,0.004904108587652445,0.010027006268501282,0.2850516736507416,64,0.0212,0.714,1,0,2,0,8,0.875,,,,,,,0.35060638189315796,0.6015945076942444,1.9058194160461426,0.01991,,-1.0
7,3265,0.4444,24,21,0.0,30.0,0.0,0.01928561180830002,0.38094907999038696,0.3690195679664612,0.3453938066959381,-0.09999999403953552,0.03218812495470047,0.37069636583328247,0.00704092625528574,0.02064235880970955,0.3156529366970062,64,0.0168,0.0,1,0,3,0,12,0.75,0.1594,0.7902,0.0,0,48,0,0.31680363416671753,0.6414284706115723,2.090630531311035,0.01991,0.0,0.0
8,3712,0.4365,24,21,0.0,29.25,0.0,0.0034769100602716208,0.338129460811615,0.3480800688266754,0.5080777406692505,-0.09970147907733917,0.025766491889953613,0.5483505129814148,0.0035456824116408825,0.0157913938164711,0.39919862151145935,64,0.0083,0.0,1,0,7,1,7,0.714,,,,,,,0.24975408613681793,0.6654918193817139,1.8928661346435547,0.01886,,0.0
9,4164,0.4286,24,21,0.0,30.0,0.0,0.004626456182450056,0.3083689212799072,0.30698826909065247,0.38295644521713257,-0.09972657263278961,0.02964775077998638,0.41650980710983276,0.003810655325651169,0.013755430467426777,0.3277852535247803,64,0.0074,0.0,1,0,11,0,4,0.5,,,,,,,0.30424362421035767,0.5813155770301819,1.9361109733581543,0.01729,,0.0
10,4620,0.4206,24,21,0.4286,29.86,0.4286,0.004842644091695547,0.27686214447021484,0.27535054087638855,0.3442089855670929,-0.09822407364845276,0.0295950248837471,0.37267816066741943,0.005473843310028315,0.02112966775894165,0.36223238706588745,64,0.0172,0.714,1,2,2,0,8,0.875,,,,,,,0.27116313576698303,0.6486471891403198,2.0564002990722656,0.01775,,0.0
11,4982,0.4127,24,21,0.0,30.0,0.0,0.006965508684515953,0.21661069989204407,0.2255113124847412,0.4409990608692169,-0.09866060316562653,0.019957516342401505,0.4926738739013672,0.008096729405224323,0.014141523279249668,0.39978569746017456,64,0.0084,0.0,4,0,7,0,5,0.6,,,,,,,0.24678373336791992,0.6915701627731323,2.062262535095215,0.01706,,0.0
12,5317,0.4048,24,20,0.0,30.0,0.0,0.004217703826725483,0.2999442219734192,0.28916144371032715,0.44561246037483215,-0.09828637540340424,0.03285220265388489,0.47272026538848877,0.003549153683707118,0.01094838883727789,0.4179495871067047,64,0.0092,0.0,5,0,6,0,5,0.8,,,,,,,0.23516325652599335,0.5810010433197021,1.9181665182113647,0.01674,,0.0
13,5681,0.3968,24,20,0.0,30.0,0.0,0.003620955627411604,0.31825101375579834,0.32308948040008545,0.32694220542907715,-0.09857246279716492,0.03469114750623703,0.34807127714157104,0.0029915461782366037,0.016122210770845413,0.4681278169155121,64,0.0217,0.0,4,0,7,0,5,0.8,,,,,,,0.2105674147605896,0.6933867335319519,2.150599956512451,0.01637,,0.0
14,6077,0.3889,24,20,0.0,30.0,0.0,0.002899771323427558,0.31149569153785706,0.3028576374053955,0.37384477257728577,-0.0987764298915863,0.021127087995409966,0.42304283380508423,0.002418164163827896,0.014648369513452053,0.4583517611026764,64,0.0254,0.0,3,0,7,0,6,0.833,0.1105,0.7848,0.021,0,46,1,0.21550355851650238,0.6710195541381836,1.9915592670440674,0.01613,0.0208,0.0208
15,6436,0.381,24,20,0.2,30.0,0.2,0.004660030826926231,0.26583537459373474,0.25190469622612,0.31015461683273315,-0.09752978384494781,0.02170836552977562,0.3604845404624939,0.004221947398036718,0.007566272281110287,0.5833204388618469,64,0.0199,0.2,4,0,4,0,7,0.571,,,,,,,0.1671976000070572,0.5521944761276245,2.122396945953369,0.016,,0.0208
16,6796,0.373,24,20,0.25,28.0,0.25,0.0033270567655563354,0.2785024046897888,0.2755506932735443,0.35896050930023193,-0.09872302412986755,0.01777590624988079,0.4177438020706177,0.002621342660859227,0.008775836788117886,0.45994988083839417,64,0.0067,0.25,4,0,2,1,8,1.0,,,,,,,0.21463865041732788,0.6407808661460876,2.0860512256622314,0.01648,,0.0208
17,7192,0.3651,24,20,0.25,29.25,0.25,0.004845685791224241,0.25235846638679504,0.24931876361370087,0.3354869782924652,-0.09995695948600769,0.02023877203464508,0.3893485367298126,0.002492031781002879,0.011235727928578854,0.5317593216896057,64,0.0233,0.25,3,0,2,1,9,1.0,,,,,,,0.18797406554222107,0.5482651591300964,2.1872410774230957,0.01696,,0.0208
18,7612,0.3571,24,20,0.1429,30.0,0.1429,0.004820308182388544,0.26899629831314087,0.2705933749675751,0.3486350178718567,-0.09785724431276321,0.03311317414045334,0.37492436170578003,0.0028386160265654325,0.010683116503059864,0.4304908215999603,64,0.0161,0.143,2,0,6,0,7,0.857,,,,,,,0.2273155003786087,0.7034682631492615,1.9711167812347412,0.01695,,0.0208
19,8062,0.3492,24,19,0.0,29.33,0.0,0.0031152223236858845,0.22953598201274872,0.227341890335083,0.3210257887840271,-0.09807127714157104,0.0273502878844738,0.355404257774353,0.002522971946746111,0.01798446662724018,0.5071403384208679,64,0.0188,0.0,1,0,8,1,6,1.0,,,,,,,0.1933809518814087,0.6877192258834839,2.1347551345825195,0.01675,,0.0208
20,8517,0.3413,24,19,0.0,30.0,0.0,0.00459212064743042,0.2653433084487915,0.2728627920150757,0.30706846714019775,-0.09917634725570679,0.03075006604194641,0.33727753162384033,0.003720563370734453,0.014934313483536243,0.6750507354736328,64,0.0132,0.0,1,0,9,0,6,0.833,,,,,,,0.14691686630249023,0.6286512017250061,2.1726536750793457,0.01644,,0.0208
21,8945,0.3333,24,19,0.0,30.0,0.0,0.0035194596275687218,0.257179319858551,0.26462358236312866,0.3056914210319519,-0.09699630737304688,0.033557355403900146,0.33018529415130615,0.002385866828262806,0.010775423608720303,0.5533894896507263,64,0.0119,0.0,2,0,5,0,9,0.889,0.1327,0.7012,0.042,2,46,0,0.1752767562866211,0.669650673866272,2.1546237468719482,0.01655,0.0,0.0208
22,9335,0.3254,24,19,0.0,29.38,0.0,0.006257570348680019,0.22476467490196228,0.2405906319618225,0.3982091546058655,-0.0946623831987381,0.05734122544527054,0.37272879481315613,0.0026612498331815004,0.010920591652393341,0.6473568677902222,64,0.0239,0.0,3,0,7,1,5,0.8,,,,,,,0.1462290734052658,0.6328026056289673,2.115938901901245,0.01628,,0.0208
23,9731,0.3175,24,19,0.0,30.0,0.0,0.004336566664278507,0.18948134779930115,0.17976859211921692,0.3930674195289612,-0.09925782680511475,0.047713764011859894,0.3926362097263336,0.0026074822526425123,0.00852299202233553,0.6171883940696716,64,0.0224,0.0,3,0,7,0,6,0.833,,,,,,,0.1608225703239441,0.5524961352348328,2.059292793273926,0.01613,,0.0208
24,10127,0.3095,24,19,0.3333,29.83,0.3333,0.0034787131007760763,0.27723267674446106,0.26574021577835083,0.318179726600647,-0.09809189289808273,0.038947977125644684,0.33308538794517517,0.0016357027925550938,0.010580552741885185,0.6172751188278198,64,0.0147,0.333,3,0,4,0,7,0.857,,,,,,,0.15891113877296448,0.6393877267837524,2.0970959663391113,0.01629,,0.0208
25,10555,0.3016,24,19,0.2,30.0,0.2,0.00476085813716054,0.2544204890727997,0.24146583676338196,0.3569270968437195,-0.0987214744091034,0.014429301023483276,0.42187976837158203,0.0019133695168420672,0.009820393286645412,0.688845157623291,64,0.0133,0.2,2,0,4,0,9,0.889,,,,,,,0.14331446588039398,0.5898297429084778,2.0430378913879395,0.01649,,0.0208
26,10979,0.2937,24,19,0.0,30.0,0.0,0.004807051736861467,0.21586725115776062,0.20684272050857544,0.5929928421974182,-0.09952133893966675,0.03047390840947628,0.6252238750457764,0.0024110290687531233,0.012684897519648075,0.5791051387786865,64,0.0145,0.0,2,0,9,0,5,0.6,,,,,,,0.1718536764383316,0.6867998838424683,2.0582568645477295,0.01612,,0.0208
27,11436,0.2857,24,18,0.125,30.0,0.125,0.005464828573167324,0.3088192343711853,0.3098510503768921,0.327753484249115,-0.09858635067939758,0.04036073759198189,0.33935338258743286,0.003052147338166833,0.012529966421425343,0.5927248597145081,64,0.014,0.125,1,0,7,0,7,0.857,,,,,,,0.1663273423910141,0.71041339635849,2.040602207183838,0.01609,,0.0208
28,11865,0.2778,24,18,0.0,30.0,0.0,0.00258226552978158,0.2233509123325348,0.22572071850299835,0.6114696860313416,-0.09938935935497284,0.044641733169555664,0.6155230402946472,0.00198367633856833,0.012105117551982403,0.7356200218200684,64,0.0182,0.0,2,0,5,0,9,1.0,0.1177,0.6414,0.0,0,47,1,0.13510964810848236,0.5943896174430847,2.1010985374450684,0.01627,0.0,0.0208
29,12230,0.2698,24,18,0.0,30.0,0.0,0.0033252849243581295,0.2575708031654358,0.27034905552864075,0.37539729475975037,-0.096967414021492,0.015547972172498703,0.4373237192630768,0.0014901637332513928,0.007890105247497559,0.6072255373001099,64,0.0115,0.0,4,0,7,0,5,1.0,,,,,,,0.1596893072128296,0.6281508207321167,2.0086183547973633,0.01619,,0.0208
