epoch,lr,wall_s,train_pose_sl1,train_pose_pm,train_pose_loss,train_gripper_loss,train_total,train_aux_loss,train_pose_l1,train_pose_pos_l1,train_pose_rot_l1,train_gripper_acc,train_pose_pos_m,train_pose_rot_rad,train_pose_pm_mm,train_aux_pos_mm,train_aux_rot_deg,train_aux_pm_mm,val_pose_sl1,val_pose_pm,val_pose_loss,val_gripper_loss,val_total,val_aux_loss,val_pose_l1,val_pose_pos_l1,val_pose_rot_l1,val_gripper_acc,val_pose_pos_m,val_pose_rot_rad,val_pose_pm_mm,val_aux_pos_mm,val_aux_rot_deg,val_aux_pm_mm,val_cond_delta
0,0.0009890738003669028,34.56,0.24907378110375425,0.03495989672952064,0.24471927747968455,0.11228363618346644,0.4772449654561502,0.12024205134075201,0.5238006167287526,0.4569040755594382,0.5906971588792134,0.949974279835391,0.011764217204502459,0.051832706017217844,34.95989672952064,83.67123460941355,37.70854412228998,120.24205134075201,0.2715738501854621,0.036287300755058226,0.2540111056942107,0.05419974749939519,0.41888346415951594,0.11067261024042849,0.5656892145066946,0.4745904916589374,0.6567879606159246,0.9799072646652528,0.012055571178057832,0.0570898092333141,36.287300755058226,78.57804779406678,41.919666639946115,110.67261024042848,0.5119513273239136
1,0.0009567727288213003,34.63,0.21123622263818775,0.02987452511597726,0.2091216759549247,0.08848881453469866,0.3967237446779086,0.09911325396088416,0.46764650654727374,0.38800340600628586,0.5472896088870302,0.9607767489711934,0.009989819515608915,0.0478924585989228,29.874525115977264,68.52004633110083,31.782973847775864,99.11325396088415,0.24474679583099193,0.03520160848116488,0.24641126108685454,0.0451051457000571,0.3978233984117346,0.10630699026022665,0.5282463294553241,0.4641339742510912,0.592358684659557,0.9791344667697064,0.011810251875093906,0.05108500037117756,35.201608481164875,72.83278647090496,36.26083673790055,106.30699026022666,0.552111029624939
2,0.0009045084971874737,34.54,0.19216052171951786,0.027942560753684148,0.1955979255491814,0.07898522779825866,0.36721741556303655,0.09263426256564092,0.43841778537046433,0.36299907314924545,0.5138365008621713,0.9664566186556928,0.009352048549836883,0.0449815419399076,27.94256075368415,63.79695997582378,29.766348261420763,92.63426256564092,0.2086093886604265,0.032138604474998146,0.2249702312846825,0.042548392181050096,0.35869671687645005,0.0911780901978705,0.47911106411603727,0.4225084701498288,0.535713640394314,0.9760432770300133,0.010809001629420742,0.04656449909188095,32.13860447499815,61.56650204009951,35.72849520512557,91.1780901978705,0.5555709600448608
3,0.0008345653031794292,34.3,0.17948126610986817,0.026797420599476138,0.18758194466391054,0.07630225340101168,0.35076507337299395,0.08688087593789617,0.4175598580896119,0.34752420073347,0.4875955165495434,0.9668638545953361,0.00895948200045851,0.04272929347274807,26.797420599476137,59.765681900359965,28.05795041595385,86.88087593789618,0.19965494502410638,0.031124188638129595,0.21786932041508705,0.035076262794976255,0.3551688848359876,0.10222330020950787,0.4573833700125516,0.4048309101387743,0.5099358359435242,0.9829984544049459,0.01038681905733931,0.044069982941335836,31.124188638129596,68.9144529074062,32.27257746225462,102.22330020950787,0.6807121634483337
4,0.00075,34.2,0.1693669181465285,0.025665485917172805,0.1796584021202985,0.07165136733009328,0.3331328952999272,0.08182312633499851,0.4003869167980016,0.3331783902416177,0.4675954442128887,0.968985768175583,0.008591271188258308,0.04099914819942417,25.665485917172806,56.366737318750275,26.71226461092609,81.8231263349985,0.17696395271113705,0.028871227648840436,0.20209859346127398,0.036097683703420334,0.3323885154503022,0.09419223272934027,0.4216697409495688,0.3768157074587791,0.4665237516855715,0.9814528597193487,0.009604012497903713,0.04056521834031185,28.87122764884044,62.10354209763834,30.966817046605794,94.19223272934026,0.6507852077484131
5,0.0006545084971874737,34.64,0.16215722524498388,0.02468490220647208,0.17279431566248543,0.0684893213950905,0.32034630554284904,0.07906266905377594,0.3879438570415696,0.32068874205581444,0.4551989747663584,0.969693072702332,0.008267041368586291,0.039895238058414155,24.68490220647208,54.304569739904586,25.825005449301617,79.06266905377595,0.18231962158861448,0.028784486385986463,0.20149140610392716,0.03653404103963415,0.3253994230785547,0.08737397751262789,0.43223180507858167,0.3773419222977283,0.4871216764820414,0.982225656877898,0.009682642133299037,0.04247491273430206,28.78448638598646,59.9743768636143,31.300026642913735,87.37397751262789,0.9736287593841553
6,0.0005522642316338268,34.92,0.1568116804965566,0.023950666368048542,0.16765466515378533,0.06432512875413841,0.3064054807517754,0.07442568711660526,0.37783895001653456,0.3105279693714712,0.44514993246036627,0.9708719135802469,0.00801118544401251,0.03900594302850414,23.95066636804854,51.191409326711636,24.56629142708442,74.42568711660526,0.17311699720102447,0.02825650349086643,0.1977955249168405,0.032323387553670674,0.3100774330785138,0.07995852405979792,0.4134075362494408,0.36648465831183946,0.46033042835120624,0.9860896445131375,0.009403139517615209,0.0398844031133391,28.25650349086643,52.785375640602346,27.944642936085927,79.95852405979792,0.9596482515335083
7,0.0004477357683661734,34.53,0.1475171928277395,0.022982706929031958,0.16087894901040486,0.06188235599905334,0.29378598139446294,0.07102467650637051,0.3631625346767886,0.298048588474101,0.42827648521287287,0.9740012002743484,0.007687164665377394,0.03748641806477055,22.98270692903196,48.722582359495476,23.450849856112086,71.02467650637051,0.1710324828186212,0.02821748490679946,0.19752239351847442,0.029333096374707206,0.320000685947203,0.09314519283829553,0.4133220387988334,0.36599494968260277,0.46064912759262777,0.9860896445131375,0.009378078455534379,0.03998276692062294,28.21748490679946,61.611304885867575,27.51960823302993,93.14519283829553,1.0883485078811646
8,0.0003454915028125264,34.35,0.1432860246329314,0.022249308648546046,0.15574516089242182,0.05760021589246715,0.2809897460687308,0.06764436924551577,0.353743327334421,0.2882304006602375,0.41925625476490486,0.9756515775034293,0.007440169796664447,0.036696087111641025,22.249308648546045,46.551836360710965,22.842306197509643,67.64436924551576,0.1637754793375316,0.026704663589274313,0.18693264519689257,0.03266743083601066,0.3001789684642043,0.08057889302003512,0.3962008914862755,0.3487542788433328,0.4436475037146573,0.9860896445131375,0.008950296781490768,0.03846144361401314,26.70466358927431,52.83552508403935,26.858889767544984,80.57889302003512,1.394218921661377
9,0.0002500000000000001,35.11,0.1372976733169765,0.02134128159297878,0.1493889716835833,0.051898429441247874,0.26657215950420365,0.06528475856094203,0.34368448744340196,0.2773834957098601,0.40998547884989506,0.9782235939643347,0.007155344551314174,0.03585291285430617,21.34128159297878,44.78533816905833,22.04933876943772,65.28475856094204,0.16050977089443752,0.02686330309019667,0.18804312290096947,0.03517741623292843,0.2989419642288865,0.07572142366993556,0.3940552012675328,0.3500485187151701,0.4380618832441165,0.9876352395672334,0.008968828169706709,0.03794339590258263,26.863303090196673,50.19242846776934,26.48171613320016,75.72142366993556,1.1725953817367554
