iter,buffer,beta,ei_hi,ei_lo,roll_succ,roll_len,roll_ret,critic_loss,q_mean,target_mean,actor_loss,pg_loss,bc_loss,grip_loss,aux_c,aux_a,lam,n_expert,roll_min_pos,roll_close,roll_skip,roll_miss,roll_timeout,roll_fail,exp_kept,exp_succ,eval_min_pos,eval_min_rot,eval_close,eval_miss,eval_timeout,eval_fail,q_pi,a_absmean,grip_logit,buf_pos,eval_succ,best_succ
0,211,0.5,28,22,0.1667,30.0,0.1667,0.004193429835140705,0.30986106395721436,0.31279489398002625,0.2557399272918701,-0.09901899844408035,0.01129058562219143,0.3278346061706543,0.002262416062876582,0.008686293847858906,0.35334470868110657,64,0.008,0.167,9,0,5,0,1,1.0,,,,,,,0.2802334427833557,0.773056149482727,2.2057089805603027,0.00948,,-1.0
1,415,0.4984,28,22,0.0,28.83,0.0,0.004045065492391586,0.27453744411468506,0.2623647451400757,0.31490299105644226,-0.09941865503787994,0.007895262911915779,0.3934380114078522,0.0037722198758274317,0.010186266154050827,0.38344261050224304,64,0.008,0.0,9,0,5,1,1,1.0,,,,,,,0.2592790722846985,0.7017966508865356,2.1415514945983887,0.00723,,-1.0
2,625,0.4968,28,22,0.0,30.0,0.0,0.007697255350649357,0.2075410783290863,0.21171990036964417,0.2583446204662323,-0.09767579287290573,0.006046764552593231,0.33830565214157104,0.0028078898321837187,0.011242463253438473,0.4407988488674164,64,0.0052,0.0,9,0,7,0,0,0.0,,,,,,,0.2215881198644638,0.7231706976890564,2.0666260719299316,0.0048,,-1.0
3,896,0.4952,28,22,0.0,30.0,0.0,0.003973572514951229,0.3067052662372589,0.29166048765182495,0.3409349024295807,-0.09951630234718323,0.008648359216749668,0.4199717044830322,0.004285893402993679,0.006365601439028978,0.4577920436859131,64,0.0057,0.0,7,0,5,0,4,0.75,,,,,,,0.21738320589065552,0.7537474632263184,2.0451393127441406,0.0067,,-1.0
4,1197,0.4937,28,22,0.0,30.0,0.0,0.00226171244867146,0.24229805171489716,0.22871103882789612,0.24340616166591644,-0.09895829111337662,0.005928324069827795,0.32700324058532715,0.0019269386539235711,0.007009120658040047,0.4723914563655853,64,0.0071,0.0,6,0,9,0,1,1.0,,,,,,,0.20948366820812225,0.6334117650985718,2.2052440643310547,0.00585,,-1.0
5,1439,0.4921,28,22,0.0,30.0,0.0,0.00223725289106369,0.24561752378940582,0.23259451985359192,0.25480028986930847,-0.09691805392503738,0.005994876381009817,0.33386921882629395,0.0019007973605766892,0.011718728579580784,0.5122889876365662,64,0.0082,0.0,8,0,6,0,2,1.0,,,,,,,0.18918627500534058,0.7283141016960144,2.099092960357666,0.00625,,-1.0
6,1622,0.4905,28,22,0.0,30.0,0.0,0.008032003417611122,0.24127966165542603,0.24074125289916992,0.36975565552711487,-0.09639724344015121,0.023504868149757385,0.4148963689804077,0.001942721544764936,0.008493606932461262,0.5621286630630493,64,0.0054,0.0,10,0,3,0,3,1.0,,,,,,,0.17148607969284058,0.7165846824645996,2.128392219543457,0.0074,,-1.0
7,1824,0.4889,27,21,0.0,28.8,0.0,0.003057861002162099,0.20196573436260223,0.2033359706401825,0.28931039571762085,-0.09966759383678436,0.004950189962983131,0.375957190990448,0.0014919651439413428,0.006240827962756157,0.5476561784744263,64,0.0051,0.0,9,0,4,1,2,0.0,0.2642,0.5595,0.0,0,24,0,0.18198935687541962,0.6915220022201538,2.121649742126465,0.00658,0.0,0.0
8,2096,0.4873,27,21,0.0,30.0,0.0,0.0026775531005114317,0.2595388889312744,0.25017133355140686,0.3146526515483856,-0.09718641638755798,0.013952262699604034,0.37965720891952515,0.002837574575096369,0.008554616011679173,0.5539408326148987,64,0.0076,0.0,7,0,7,0,2,1.0,,,,,,,0.17544548213481903,0.6707123517990112,2.044809341430664,0.00668,,0.0
9,2398,0.4857,27,21,0.0,30.0,0.0,0.0033144336193799973,0.22778208553791046,0.23559388518333435,0.3464103043079376,-0.09689083695411682,0.009197530336678028,0.4196624159812927,0.0022743067238479853,0.010487332940101624,0.4813239574432373,64,0.0071,0.0,6,0,8,0,2,1.0,,,,,,,0.20130066573619843,0.784809947013855,1.9877952337265015,0.00667,,0.0
