epoch,lr,wall_s,train_pose_sl1,train_pose_loss,train_gripper_loss,train_total,train_aux_loss,train_pose_l1,train_pose_pos_l1,train_pose_rot_l1,train_gripper_acc,train_pose_pos_m,train_pose_rot_rad,train_pose_pm_mm,train_aux_pos_mm,train_aux_rot_deg,train_aux_pm_mm,val_pose_sl1,val_pose_loss,val_gripper_loss,val_total,val_aux_loss,val_pose_l1,val_pose_pos_l1,val_pose_rot_l1,val_gripper_acc,val_pose_pos_m,val_pose_rot_rad,val_pose_pm_mm,val_aux_pos_mm,val_aux_rot_deg,val_aux_pm_mm
0,0.000996057350657239,15.48,0.24392359537407032,0.24392359537407032,0.08704624131086816,0.44989922223160567,0.11892938675376975,0.5248872079316852,0.49877916898542235,0.550995245286562,0.9615442961165048,0.00992969706546045,0.03208445081288375,28.891418599387976,80.04746877235695,33.5919831781917,118.92938675376975,0.19102704253684238,0.19102704253684238,0.12325081801047179,0.399204340218162,0.08492648501356109,0.46731028069301145,0.49413636343485834,0.44048418417698193,0.9551820761683274,0.009851361460545483,0.025649863657872883,28.74308982629235,57.06633358192043,28.092396555378077,84.92648501356109
1,0.0009842915805643156,13.6,0.16212634496318484,0.16212634496318484,0.06684672968118514,0.317916120935991,0.08894304634587279,0.4050432242525434,0.40200874961695626,0.40807769816477324,0.9703428398058253,0.007977170575844142,0.02375398712793311,23.298316788904874,61.156892696919954,24.51847012391809,88.94304634587279,0.17543563597342549,0.17543563597342549,0.08732140895907953,0.35184910476040776,0.08909205965050797,0.42784342537073194,0.47510081204045723,0.38058600889868427,0.9467787131541917,0.009397486223466173,0.02188633403190378,27.70317810214534,59.41298718796391,25.209843009587534,89.09205965050796
2,0.0009648882429441258,13.58,0.13999946748168723,0.13999946748168723,0.058739603239391903,0.2804523694139082,0.0817132996196307,0.36910078840927013,0.3688314519460919,0.36937012704252037,0.9743628640776699,0.007320480907191206,0.02150484800646172,21.303816128847668,56.30273541923866,21.729065735591163,81.7132996196307,0.15132656478497827,0.15132656478497827,0.04796765156152869,0.2786949594982532,0.0794007440282851,0.3840868839529716,0.40338452798979624,0.3647892345734337,0.9719887955182073,0.008027290821033699,0.02090112666706411,23.585830749917765,54.14659512184915,22.34989913097834,79.4007440282851
3,0.0009381533400219318,13.36,0.1259849006400525,0.1259849006400525,0.05906949032694825,0.2621831590834173,0.07712876885333686,0.34391078786942564,0.3449023342103634,0.3429192442772458,0.9737560679611651,0.006841612939080856,0.019956867436616166,19.946492837687718,52.86989538270293,19.465634404382705,77.12876885333687,0.15377565097658574,0.15377565097658574,0.0712027219580669,0.2992579891902058,0.07427961101718977,0.3959372120411122,0.40244667419866353,0.38942772767790895,0.960784317064686,0.008016082690376528,0.02278294968901395,23.79852519774971,50.38654422309218,21.142217884063665,74.27961101718978
4,0.0009045084971874737,13.21,0.11670319126575317,0.11670319126575317,0.05432403244946188,0.24150078447119702,0.07047356126233212,0.32835389666476295,0.3304839987054612,0.32622379737282264,0.9756523058252428,0.006556923467286148,0.019009134908505147,19.084773306707735,48.515503593150854,18.05967897207323,70.47356126233213,0.14189878767695413,0.14189878767695413,0.05514114736175003,0.2784295475699988,0.08138961129996623,0.3673353362150219,0.3967777347865225,0.3378929750425141,0.980392158532343,0.007912994067625505,0.019432279440451738,23.264836713003845,53.973533046178794,19.47217763312761,81.38961129996623
5,0.0008644843137107057,13.76,0.10670888396793778,0.10670888396793778,0.05575203858948882,0.2290452385990365,0.06658431592858532,0.31114394658977546,0.3125838980946726,0.3097039937104994,0.9740594660194175,0.006203372992159238,0.018022370601561175,18.085761994882983,45.92582476732222,16.74153965078599,66.58431592858533,0.13300137626690692,0.13300137626690692,0.0547107866226959,0.24966663122177124,0.06195446283293037,0.3446523276697688,0.3560231312984178,0.3332815520068845,0.980392158532343,0.007138880893212406,0.019017599290889017,20.87597940795395,42.148528761473024,18.26848709642516,61.954462832930375
6,0.0008187119948743448,13.5,0.1011322932046594,0.1011322932046594,0.05073517941173564,0.21366852051714091,0.061801048682876,0.30176836707927646,0.3019093608537924,0.30162737229206027,0.9774726941747572,0.005998593133431181,0.01759231025443494,17.41717849830979,42.79256812794116,15.720475934330436,61.801048682876,0.1326152653295119,0.1326152653295119,0.03675677834981296,0.2459006641759258,0.07652861566520204,0.3511199636452672,0.3856750573931622,0.3165648485265192,0.9859943977591037,0.007689831881452592,0.018194798163610512,22.489199936598624,50.51040776720902,18.73548546339286,76.52861566520205
7,0.0007679133974894982,13.23,0.09579616600593317,0.09579616600593317,0.05114553090483312,0.20997053956233183,0.06302884231927325,0.2922123194608873,0.29325910997622223,0.29116552807752366,0.9782311893203883,0.00582681775536135,0.016950549842627012,16.985870567738143,43.27739113308851,15.274703700317538,63.02884231927325,0.11932665013632521,0.11932665013632521,0.03590398399728019,0.2271714053568052,0.07194077728592715,0.33398714202458785,0.3408280575141853,0.3271462327125026,0.9887955198768809,0.006812338195532477,0.018774098849722316,20.146791786685878,48.086523894919736,18.687156922171262,71.94077728592715
8,0.0007128896457825362,13.31,0.0887116010038598,0.0887116010038598,0.04656117459142002,0.19296080087429113,0.057688025016229126,0.27810565179702146,0.27893073314312594,0.2772805684978522,0.9805066747572816,0.005536322329347067,0.01614179435972739,16.15456897240964,39.791642326536106,14.543976699424848,57.688025016229126,0.1151868394401227,0.1151868394401227,0.036645249534053966,0.2158456091620341,0.06401352018785744,0.32143604563397854,0.3359247088766232,0.3069473770486207,0.980392158532343,0.006686762013115219,0.01779932302294993,19.901971862304446,42.30093637726554,17.66725169748248,64.01352018785744
9,0.0006545084971874736,13.37,0.08465179055929184,0.08465179055929184,0.05073197567112093,0.18993370206031984,0.05454993548179136,0.27213301770027404,0.2732073180739162,0.2710587168202817,0.978003640776699,0.005416092444753762,0.01579743223626492,15.815594382764933,37.615504450372704,14.007973497076627,54.54993548179136,0.11783188376940933,0.11783188376940933,0.05626657083421862,0.2389009728485129,0.06480252168843058,0.32280227950975005,0.3403198332930146,0.30528472192815037,0.9719887988574031,0.006785880600777911,0.017530458491472972,20.08957907046173,42.836941893444674,16.43119885158668,64.80252168843059
