iter,c_min_pos_b0,c_min_rot_b0,c_min_pos_b1,c_min_rot_b1,c_min_pos_b2,c_min_rot_b2,c_min_pos_b3,c_min_rot_b3,c_min_pos_b4,c_min_rot_b4,c_min_pos_b5,c_min_rot_b5
1,0.0897,0.3586,,,0.0868,0.4881,0.0814,0.4939,0.0697,0.3601,,
2,0.0661,0.2581,0.0543,0.6485,0.0912,0.4594,0.067,0.3716,0.0748,0.3452,,
3,0.0609,0.2757,0.095,0.8759,0.1017,0.4685,0.0753,0.4597,0.0589,0.2613,,
4,0.078,0.3019,0.0491,0.3312,0.0988,0.4613,0.1129,0.4607,0.0626,0.3167,,
5,0.0758,0.3959,,,0.0964,0.458,0.0788,0.4601,0.0686,0.3161,,
6,0.0741,0.3985,,,0.0849,0.3694,0.1117,0.5784,0.0738,0.3756,,
7,0.058,0.2275,0.0589,0.5188,0.0793,0.2413,0.0873,0.5385,0.0691,0.3388,,
8,0.0803,0.3715,0.0055,0.009,0.1297,0.6405,0.1019,0.5685,0.0609,0.2517,,
9,0.0705,0.2802,,,0.0786,0.3506,0.0973,0.5494,0.0657,0.2627,,
10,0.102,0.3973,,,0.0799,0.4312,0.0625,0.2543,0.086,0.3779,,
11,0.1008,0.4979,,,0.1038,0.4377,0.0955,0.5148,0.0713,0.3682,,
12,0.0798,0.3551,0.0186,0.0143,0.0902,0.5129,0.0776,0.4604,0.0769,0.3548,,
13,0.1023,0.5224,,,0.1294,0.5451,0.0966,0.4638,0.0816,0.3469,,
14,0.0873,0.3787,,,0.0724,0.331,0.0787,0.4102,0.0719,0.2995,,
15,0.0882,0.4056,,,0.0905,0.4506,0.0962,0.6426,0.0513,0.2089,,
16,0.0703,0.3671,,,0.1358,0.4996,0.0836,0.3487,0.0792,0.3694,,
17,0.1031,0.3583,,,0.0928,0.2833,0.1022,0.6615,0.0632,0.297,,
18,0.0964,0.3226,,,0.1463,0.4902,0.0698,0.3065,0.0738,0.3095,,
19,0.0761,0.2435,,,0.0709,0.372,0.0795,0.5447,0.0727,0.2876,,
