iter,buffer,beta,roll_succ,roll_len,roll_ret,critic_loss,q_mean,target_mean,actor_loss,pg_loss,bc_loss,grip_loss,aux_c,aux_a,lam,n_expert,eval_succ,best_succ
0,209,0.5,0.0,0.0,0.0,0.00777160469442606,0.03138308599591255,0.034970056265592575,-0.4750198721885681,-2.305039644241333,0.29329535365104675,1.5121999979019165,0.009539821185171604,0.04904878884553909,9.948602676391602,64,,-1.0
1,229,0.499,0.0,20.0,0.0,0.004801501985639334,0.06033235415816307,0.07045622915029526,2.5748376846313477,-2.500000238418579,0.32397302985191345,4.736708164215088,0.005334251560270786,0.028313567861914635,1.2944198846817017,64,,-1.0
2,269,0.498,0.0,20.0,0.0,0.005736145190894604,0.1037142351269722,0.09224259108304977,27.014245986938477,-2.5,0.3420271873474121,29.157894134521484,0.007508189417421818,0.02864772453904152,0.2053612470626831,64,,-1.0
3,269,0.497,0.0,0.0,0.0,0.005063720978796482,0.08742333948612213,0.09963487088680267,-1.865657091140747,-2.499999761581421,0.6188176870346069,0.0024881830904632807,0.005887291394174099,0.026073724031448364,0.1068989560008049,64,,-1.0
4,309,0.496,0.0,20.0,0.0,0.006156072486191988,0.09233387559652328,0.11203467100858688,-2.2402913570404053,-2.5,0.2440497875213623,0.0,0.006876408122479916,0.03131760284304619,0.05341865494847298,64,,-1.0
5,349,0.495,0.0,20.0,0.0,0.005720027722418308,0.15066838264465332,0.14483167231082916,-2.099796772003174,-2.499999761581421,0.386148065328598,0.0012545991921797395,0.008824470452964306,0.025601116940379143,0.03534582629799843,64,,-1.0
6,389,0.494,0.0,20.0,0.0,0.005295397713780403,0.16615846753120422,0.17057771980762482,-1.996666431427002,-2.5,0.49111658334732056,0.0,0.005773261655122042,0.024434110149741173,0.02416343241930008,64,,-1.0
7,409,0.493,0.0,20.0,0.0,0.004022696986794472,0.18250443041324615,0.17757409811019897,-1.6575864553451538,-2.5,0.8298581838607788,0.00010572602332103997,0.005177534185349941,0.024899251759052277,0.02106679230928421,64,,-1.0
8,409,0.492,0.0,0.0,0.0,0.003324339631944895,0.17908330261707306,0.1848267763853073,-1.9116158485412598,-2.500000238418579,0.5607649087905884,0.010240231640636921,0.004023123066872358,0.03475863113999367,0.022571997717022896,64,,-1.0
9,429,0.491,0.0,20.0,0.0,0.0033062733709812164,0.1661665290594101,0.17081260681152344,-1.5577728748321533,-2.5,0.8062524795532227,0.1251828670501709,0.004211687482893467,0.021583566442131996,0.017563600093126297,64,,-1.0
10,463,0.49,0.0,17.0,0.0,0.005309058353304863,0.18923644721508026,0.17278236150741577,-1.5952175855636597,-2.5,0.8823792934417725,0.007162449881434441,0.007742100395262241,0.03048124350607395,0.01571469195187092,64,,-1.0
11,463,0.489,0.0,0.0,0.0,0.003632929641753435,0.19005393981933594,0.19341331720352173,-1.3988512754440308,-2.5,1.0770533084869385,0.005360619630664587,0.005059002432972193,0.037469685077667236,0.0156958419829607,64,,-1.0
