epoch,lr,wall_s,train_pose_loss,train_gripper_loss,train_total,train_pose_l1,train_pose_pos_l1,train_pose_rot_l1,train_gripper_acc,val_pose_loss,val_gripper_loss,val_total,val_pose_l1,val_pose_pos_l1,val_pose_rot_l1,val_gripper_acc
0,0.000996057350657239,31.48,0.17548954757169272,0.0743195141450717,0.24980906173586845,0.41857524865712875,0.4201171258321175,0.41703337006844005,0.9656650641025641,0.09855748842683644,0.0582174102769417,0.1567748973226331,0.2986024537054049,0.3560022780346492,0.24120264018879456,0.9727891175384694
1,0.0009842915805643156,26.55,0.09907331682550602,0.05584318616624492,0.15491650266907153,0.2927931673633747,0.301342432315533,0.2842439039013325,0.9754006410256411,0.07904113708338499,0.08394840613108914,0.16298954435486912,0.2642076417567238,0.3036046900581611,0.2248105977803401,0.9682539710922847
2,0.0009648882429441258,61.96,0.08319144822083986,0.04880584321635512,0.13199729157181886,0.26056300757023004,0.2670389657983413,0.2540870496477836,0.9778846153846154,0.06290772413653312,0.050418741578688156,0.11332646517458957,0.22780657608628002,0.2616304685604545,0.19398270331137304,0.9773242668229707
3,0.0009381533400219318,32.74,0.07503614525000254,0.045469305907877594,0.12050545146832099,0.24120657539520507,0.24866655541536137,0.23374659690337304,0.9801282051282051,0.060912242243721104,0.06787962540815207,0.12879186951451832,0.21891178437371372,0.24193875663945463,0.19588482268408042,0.9682539720383901
4,0.0009045084971874737,25.19,0.07022928367727078,0.04589161230907895,0.11612089628783556,0.2310381543941987,0.23675074940308546,0.2253255594617281,0.979286858974359,0.06081765088466019,0.05920076128644468,0.12001841223023646,0.21931155921380266,0.2378554523599391,0.20076768000582718,0.9682539652804939
5,0.0008644843137107057,24.6,0.06709390696233664,0.0432498553290199,0.11034376209554,0.22245987539107984,0.227411922506797,0.21750783037680846,0.9806089743589743,0.0541481407794282,0.037048229605567695,0.091196372006891,0.2043762338979174,0.23209641360236405,0.17665605635599754,0.9841269869653005
6,0.0008187119948743448,30.3,0.06406682804226875,0.046154657881766654,0.11022148590821486,0.21575016054587487,0.2208068112914379,0.21069351132863606,0.9789663461538461,0.051907083505338014,0.04327295980756245,0.09518004460534811,0.20042273486687753,0.2137071124009805,0.18713835324424735,0.9818594142152609
7,0.0007679133974894982,26.63,0.06101221512429989,0.04097744591223697,0.10198966109026701,0.20687581235781694,0.2102263256907463,0.20352529854728627,0.9815304487179487,0.04621131461358665,0.041326669811391506,0.08753798442497816,0.1834774400168806,0.19844746025376309,0.16850741317415455,0.9773242658768652
8,0.0007128896457825362,27.69,0.05809749291779903,0.04150540309343248,0.099602896003769,0.199728685655655,0.20249415743045318,0.19696321286834204,0.9814503205128206,0.04703148791900162,0.05122774106169504,0.09825923138397351,0.18806688058403342,0.18980720578407756,0.18632656163504335,0.9727891184845749
9,0.0006545084971874736,31.81,0.05701453280515778,0.04073822045495781,0.09775275331086074,0.19683116284700541,0.20002702222420618,0.1936353033933884,0.9814503205128206,0.042812966137634516,0.057117671450249465,0.0999306372267589,0.17112317907702085,0.18770960142282672,0.1545367533691616,0.9637188236999944
10,0.0005936906572928624,26.55,0.05492279806580299,0.04031338210408695,0.09523617998720743,0.1908785720475209,0.19324415648976961,0.18851298892345184,0.9824519230769231,0.04456886790625227,0.04481746685477882,0.08938633446114945,0.1804549708083914,0.19879610485095286,0.16211384109088353,0.9795918395730103
11,0.0005313952597646568,23.55,0.0531977142040164,0.036244552189526026,0.08944226654771811,0.18636279830183738,0.18914923776800815,0.1835763581861288,0.9846153846153847,0.04641519279098835,0.05557484478772092,0.10199003595681418,0.18159780950367857,0.2023690074276762,0.16082662840684256,0.9750566912346146
12,0.00046860474023534336,27.56,0.051484122762504296,0.034861897598975934,0.08634602064983203,0.1816925704288177,0.1830506715636987,0.1803344689691678,0.9854967948717949,0.04392757616481002,0.042609741205936656,0.08653731547853574,0.17693689901407073,0.18477552443269699,0.16909826950691725,0.98185941232305
13,0.0004063093427071377,25.17,0.049714089216043554,0.03392292049277622,0.08363700983807063,0.17701703844926295,0.17780402375337406,0.1762300530114235,0.9845352564102564,0.0434654693640853,0.038418252789784994,0.0818837233850745,0.1696763232248981,0.18297158384404213,0.15638105936196386,0.9841269869653005
14,0.00034549150281252644,28.35,0.04831308493008598,0.03098862844083506,0.07930171339271161,0.17249895003743662,0.17323598108994656,0.17176191843090913,0.9869791666666666,0.04036214465144473,0.04520762377247518,0.08556976833311068,0.16503089372398091,0.17667954271477637,0.15338224485144863,0.9795918395730103
15,0.00028711035421746366,32.54,0.04704669446994861,0.029556029493239922,0.0766027239891581,0.1685108784490671,0.1690081318028462,0.1680136244648542,0.9876201923076923,0.04103883293556586,0.03734149087786404,0.07838032369305488,0.16534938080375697,0.1768282689745464,0.1538704993570743,0.9863945606614457
16,0.00023208660251050156,24.04,0.045429100652631275,0.028554567577129302,0.07398366841654747,0.163805280568508,0.16357009034508313,0.16404047052447612,0.9876201923076923,0.04121358813232238,0.04359820581415073,0.08481179412597972,0.16744799340933628,0.1845531109002442,0.1503428714751116,0.9795918386269048
17,0.00018128800512565513,25.77,0.04404965593025852,0.02843711833829263,0.07248677427952106,0.16013321064603633,0.15988214703706594,0.1603842749236486,0.9879407051282051,0.04049402836904504,0.04264269449881145,0.08313672327333027,0.16514263280124622,0.1809659398534671,0.14931933992371269,0.9841269860191951
18,0.00013551568628929433,24.38,0.042745594188379935,0.026643848271133044,0.06938944236399272,0.1561637465770428,0.1558064248508368,0.15652106432960583,0.989423076923077,0.04041218015527914,0.03717477572342706,0.07758695828198306,0.1617883951519352,0.17203071377242232,0.15154607436892126,0.9886621334114853
19,9.549150281252634e-05,27.01,0.04174040267482782,0.02430971222175942,0.06605011502710673,0.15314220656187105,0.15209828515847523,0.15418612846197227,0.9898237179487179,0.04008172253936597,0.03918336956949731,0.07926509054609977,0.1617628238639053,0.17311191742990564,0.15041374207353916,0.9863945597153402
20,6.184665997806823e-05,25.55,0.04072893063466136,0.02289818953230189,0.06362712024352872,0.15006590369038092,0.14898140533612325,0.15115040150972514,0.9910657051282051,0.03919341338929338,0.04190428560080171,0.08109769856983842,0.15958066756019787,0.16929523927284207,0.1498661047341872,0.98185941232305
21,3.511175705587433e-05,28.45,0.03989709035660594,0.022881181763874246,0.06277827223380789,0.1482912878959607,0.14683106809090346,0.14975150571419643,0.9904647435897436,0.03958118706096868,0.04145934579729223,0.08104053116033948,0.16269292381682904,0.1752183241199474,0.15016752880176448,0.9863945597153402
22,1.570841943568452e-05,27.68,0.03947361416708774,0.02152947842185266,0.06100309276714539,0.14661706764346513,0.14519587468642456,0.14803826107810705,0.9911057692307692,0.03900401660636101,0.04457466513796999,0.08357868213502187,0.16012442199821644,0.17104198925551914,0.1492068625462839,0.9863945597153402
23,3.942649342761118e-06,23.83,0.038976017329603055,0.021037259970687908,0.06001327715049951,0.1450274316355204,0.1436984767516454,0.1463563866340197,0.9917467948717948,0.040030426005758936,0.03916541377162717,0.07919584136971541,0.16292386807822315,0.17481731217937405,0.15103043274544264,0.9886621324653798
24,0.0,27.97,0.03898630909717236,0.02216908827271814,0.06115539754048372,0.14478018811115853,0.14314683415950874,0.14641354013329896,0.991386217948718,0.039666231033178956,0.045914826023470516,0.08558105675676783,0.16139280917693158,0.17353565345545746,0.1492499692234593,0.9818594132691554
