epoch,lr,wall_s,train_pose_loss,train_gripper_loss,train_total,train_pose_l1,train_pose_pos_l1,train_pose_rot_l1,train_gripper_acc,val_pose_loss,val_gripper_loss,val_total,val_pose_l1,val_pose_pos_l1,val_pose_rot_l1,val_gripper_acc
0,0.000996057350657239,45.88,0.2564888781636544,0.05237281544642121,0.30886169373244976,0.5408694769410456,0.5067304212055849,0.5750085306301546,0.9763771847690387,0.250778770747305,0.054428283813871256,0.30520705427943157,0.5294645900318936,0.5951232986957753,0.4638058937230364,0.9775910364145658
1,0.0009842915805643156,45.47,0.2191623006662477,0.043223719791591765,0.2623860207240977,0.4843534031759636,0.45233851708425266,0.5163682916116774,0.9796543383270911,0.24946740795584285,0.06357800718449078,0.31304541781169026,0.5199268103814593,0.6312892056312882,0.4085644693935619,0.9691876784092238
2,0.0009648882429441258,45.74,0.20481326820772983,0.04019533066874307,0.24500859877589937,0.4630448549576615,0.4332675995228442,0.4928221106157172,0.9811758739076155,0.2528483777069578,0.049567027419221164,0.30241541201327027,0.5146982922774404,0.6116211052034416,0.417775457980586,0.9831932773109243
3,0.0009381533400219318,45.54,0.19346831561288286,0.039130485608485456,0.23259880106324113,0.4470153868421633,0.41904448655511856,0.47498628977086216,0.981624531835206,0.21871295153927736,0.0581836683117375,0.2768966170753084,0.4833698721826911,0.539442091512413,0.42729765677652437,0.9775910364145658
4,0.0009045084971874737,45.78,0.18239552637424958,0.03732610307081594,0.2197216295924377,0.43112006463510416,0.4059386672673005,0.4563014627842421,0.982541354556804,0.23262387075844934,0.04534953372443423,0.2779734008619431,0.4990451787533212,0.5913144322503515,0.40677592751024816,0.9831932789805222
5,0.0008644843137107057,46.17,0.1725761408030466,0.036674775663105195,0.20925091638621618,0.4174365809794222,0.39333925558981975,0.44153390737359743,0.9828144506866417,0.22568764977929304,0.05160517377011916,0.27729282021021645,0.48594729372767176,0.5837887552272037,0.3881058429135662,0.9803921568627451
6,0.0008187119948743448,45.47,0.16254562443673387,0.0347770412944341,0.19732266599393813,0.4030428954798928,0.3811559905199225,0.42492980055148233,0.9839653558052435,0.2110071742818469,0.050416432143676845,0.26142360871078585,0.46756101848364545,0.5559215904617844,0.37920047547302993,0.9859943977591037
7,0.0007679133974894982,45.65,0.15305193707105075,0.033924796172335146,0.18697673321402772,0.3895146462801244,0.37139619278550595,0.407633098472519,0.9842384519350812,0.22461185852686563,0.05061892650666691,0.2752307900945012,0.4891608167930144,0.583434261444236,0.3948873530248968,0.9747899176359844
8,0.0007128896457825362,45.91,0.14436829259407505,0.031907923898360835,0.17627621663457593,0.3764982396892543,0.359825699851754,0.39317078012205686,0.9856624531835206,0.22568991216791778,0.04412547318416149,0.2698153863016631,0.4901459777221626,0.5791558288559526,0.40113608835458087,0.9775910364145658
9,0.0006545084971874736,45.51,0.13648976732543047,0.03120285266334221,0.16769261982817477,0.3642386639683732,0.3486630611130956,0.3798142671399051,0.9857990012484394,0.23425745471518913,0.04389980740073014,0.2781572579001846,0.5056925409314346,0.5968700577231014,0.4145150187970543,0.9775910380841637
10,0.0005936906572928624,46.07,0.12869272225265496,0.03138822563979123,0.16008094793066996,0.3521829288401705,0.3384505349598574,0.36591532376226266,0.9860330836454432,0.22815360437755158,0.06538639234311107,0.29354000216772574,0.49880195932895866,0.5859834231248423,0.41162052617019634,0.9691876767396259
11,0.0005313952597646568,45.87,0.12133532502547781,0.02867648614493179,0.1500118113728647,0.340272432669867,0.3273282435428486,0.35321662187129815,0.9867938514357054,0.2301459472302963,0.03471616272624133,0.2648621080051951,0.5006632303991237,0.5832031387574866,0.41812331135533437,0.9859943994287015
12,0.00046860474023534336,45.62,0.1144178860382492,0.026997225367584466,0.1414151115438316,0.32968005071046497,0.3184748430005025,0.34088525721121965,0.9872620162297129,0.23218979684411645,0.04741489464098833,0.2796046889546205,0.5082048322974133,0.5907764277872252,0.4256332185255045,0.9775910364145658
13,0.0004063093427071377,45.39,0.10821471928843249,0.024875145345524718,0.13308986458699504,0.3192395388373126,0.3089796910608901,0.3294993859068136,0.9886665106117354,0.24235198152165452,0.04208356680489388,0.28443555133182463,0.5124138466784266,0.5930951710174731,0.43173254287543417,0.980392158532343
14,0.00034549150281252644,45.67,0.10243171861816137,0.022675452552954247,0.12510717129067386,0.3095538397964913,0.3001865939180205,0.3189210882794098,0.9897393882646691,0.23708091425795516,0.04468610780496223,0.2817670224594469,0.5130861857358147,0.5944158464920621,0.43175657448314486,0.9775910380841637
15,0.00028711035421746366,45.35,0.09714254202058402,0.022739161273800143,0.11988170340787456,0.300330392746592,0.2926814543843716,0.30797933051351006,0.9902465667915106,0.23912527602092892,0.11509679516657394,0.35422207185534205,0.5160949169253769,0.5932489957462171,0.43894084962476204,0.9635854375128653
16,0.00023208660251050156,45.47,0.09219963540242852,0.020033373156832665,0.11223300844058859,0.2915481597780437,0.2844032608205162,0.2986930585309361,0.9915925405742821,0.23819695663552323,0.042319773605056836,0.28051672663007465,0.5083737417596395,0.5890961217613113,0.42765137862090635,0.9831932789805222
17,0.00018128800512565513,48.19,0.08792155695039681,0.018936951386453946,0.106858508263746,0.2840183646826262,0.2779214938035172,0.290115235729164,0.9922557740324595,0.24446370124983854,0.03911033539878888,0.2835740388191047,0.5195282929751719,0.5955127763981912,0.44354383092300564,0.980392158532343
18,0.00013551568628929433,45.84,0.08414389366997911,0.0176702152685254,0.1018141091995397,0.277128541644444,0.2715935947445597,0.2826634883768996,0.9928604868913857,0.23921523182665935,0.04435472835262282,0.2835699624541093,0.5108146573148188,0.5970561728090131,0.42457318539712946,0.9775910380841637
19,9.549150281252634e-05,45.97,0.08076946319228552,0.016767950327195285,0.09753741363944782,0.27074545580944914,0.2661060882492756,0.2753848215651125,0.9931530898876404,0.2412854534905164,0.040171047041312656,0.281456499749205,0.5144317069140469,0.5947649990644107,0.4340984383884932,0.980392158532343
