epoch,lr,wall_s,train_pose_loss,train_gripper_loss,train_total,train_pose_l1,train_pose_pos_l1,train_pose_rot_l1,train_gripper_acc,val_pose_loss,val_gripper_loss,val_total,val_pose_l1,val_pose_pos_l1,val_pose_rot_l1,val_gripper_acc
0,0.000996057350657239,54.87,0.1649856450569003,0.05826247571557669,0.22324812096204327,0.3953020453890262,0.3879854251564569,0.4026186650750981,0.9743658312958435,0.12899320733313466,0.06770891725432639,0.19670212402397177,0.34506300183571353,0.39688729597072975,0.2932386970152708,0.9691876784092238
1,0.0009842915805643156,47.14,0.12089790038600527,0.04508593353422354,0.1659838339008737,0.3170752236050324,0.30968621979788635,0.3244642280497586,0.9794277200488998,0.0968622315873285,0.06823761373006997,0.16509984721656606,0.28881939231347636,0.3311437460638228,0.24649504277886464,0.960784317064686
2,0.0009648882429441258,54.07,0.11191165634410451,0.04299900157993072,0.15491065775524723,0.29987545491795087,0.2910566181673106,0.3086942922515216,0.9797906479217604,0.09113588048463442,0.07939968872763195,0.1705355709340392,0.28660352139913736,0.3268241192780289,0.2463829304073371,0.9607843153950881
3,0.0009381533400219318,47.4,0.10559101786218529,0.04042541041792641,0.14601642813324053,0.2884272861779465,0.2794990900421201,0.29735548214982366,0.9821019254278729,0.09261981903964064,0.11197853793784016,0.20459836003493195,0.289914798961968,0.3090217466197428,0.2708078421631447,0.9551820761683274
4,0.0009045084971874737,48.21,0.10071149601858373,0.03884171137260615,0.13955320712989583,0.2790394967881858,0.2689594794565716,0.2891195128810726,0.9826940709046454,0.08595692393492584,0.04280919251906104,0.1287661176227054,0.28039760528659285,0.28336607466558783,0.27742913056488466,0.9803921602019409
5,0.0008644843137107057,46.91,0.09656363475639691,0.03799587714344645,0.13455951180591413,0.27121578209776165,0.26090425874099754,0.28152730685720234,0.9826367665036675,0.08644544698444068,0.04108307706792148,0.12752852405236215,0.2716954774966761,0.2870521593828495,0.2563387871790333,0.9747899176359844
6,0.0008187119948743448,51.4,0.09292717743437273,0.0361633969717494,0.12909057432635343,0.264661683393574,0.2538257415035243,0.27549762759712915,0.9833244193154034,0.10165825146002595,0.05726696616586517,0.15892521957723366,0.3188707593525825,0.3383755187193553,0.2993660137599924,0.980392158532343
7,0.0007679133974894982,47.48,0.08930925430370208,0.034609865337157104,0.12391911963943601,0.2579557749563441,0.24611884953048818,0.2697926999996519,0.9843941014669927,0.0712788960158157,0.04120780169671657,0.11248669938213017,0.2466008311727134,0.24943854949888394,0.24376310554205202,0.9887955198768809
8,0.0007128896457825362,47.03,0.08499678732112305,0.03349406050781015,0.11849084782042976,0.250002938042643,0.23820954971106537,0.26179632646530354,0.9852727689486552,0.07462960024591253,0.050106662349039766,0.12473626393063061,0.255356822653311,0.2703745874787579,0.24033906204359873,0.9803921568627451
9,0.0006545084971874736,54.5,0.08169185251799073,0.0324046080088437,0.1140964604176417,0.24455144294608194,0.23269814644509831,0.2564047400117795,0.9854255806845966,0.07311502112602654,0.04082072107773535,0.11393574287160103,0.25430156023395495,0.2685792830978789,0.24002383624305243,0.9831932789805222
10,0.0005936906572928624,47.92,0.07722569040015959,0.029253214756670136,0.10647890520052106,0.2368070144379343,0.22462083222594995,0.24899319692316732,0.9874121332518337,0.07364221472366184,0.09432659387922421,0.16796880993856436,0.2579530519681151,0.27125817912967265,0.24464793282062733,0.9719887971878052
11,0.0005313952597646568,47.28,0.07331622077475478,0.028749078739156286,0.10206529927328412,0.23028985336240754,0.2193664867603983,0.24121321981868418,0.9868199877750611,0.06697442150917374,0.03290332260043347,0.09987774616529961,0.2412779813303667,0.25333514091681364,0.229220815983807,0.9887955198768809
12,0.00046860474023534336,48.85,0.06895658923062543,0.026795615762097005,0.09575220496646496,0.22259876773234977,0.21153767428800355,0.23365986068484837,0.9888638447432763,0.07512912345157952,0.04346519307929929,0.11859431825265163,0.25870428182163824,0.27005687577216897,0.2473517069880034,0.980392158532343
13,0.0004063093427071377,48.75,0.06473279205403658,0.024882368710722313,0.08961516071320455,0.2153789438580534,0.20457382849929967,0.22618405887069212,0.9895132946210269,0.07504410497030291,0.03580015007646478,0.11084425532851233,0.2572131403604475,0.2670158986784831,0.24741039807055176,0.9831932789805222
14,0.00034549150281252644,47.59,0.06106290894999991,0.0234648119541176,0.08452772095453331,0.20866256210871023,0.19817088526152166,0.21915423924736405,0.9903537591687042,0.0732588390884947,0.04373441371513682,0.11699325146795321,0.2541632043714283,0.26676158669615996,0.24156479842188647,0.9747899176359844
15,0.00028711035421746366,46.63,0.05704530178908541,0.022179449178455775,0.07922475109409659,0.20157766300264957,0.19227053858977367,0.21088478869068594,0.9903728606356969,0.07016430462316639,0.040504947972564806,0.11066925220963668,0.24558061741146386,0.256908158377773,0.23425307110244153,0.980392158532343
16,0.00023208660251050156,46.86,0.05356002303436945,0.020969170241932327,0.07452919336222567,0.19468556278929441,0.18580181377514068,0.203569313561348,0.9912133251833741,0.0748558738360218,0.03221204954118622,0.10706792404504717,0.255076439691191,0.26293748020290997,0.24721541716938927,0.9887955198768809
17,0.00018128800512565513,46.88,0.05091763332413286,0.019368156930524228,0.07028579029020077,0.18987260414583468,0.1816003102909382,0.1981448972811763,0.9917481662591687,0.07438703842398499,0.04431110936157009,0.11869815031603939,0.25428499423322226,0.26789202960599373,0.2406779802313038,0.9831932789805222
18,0.00013551568628929433,46.66,0.04751438101011267,0.01604043648485836,0.06355481759660984,0.18393428215624943,0.17608265458517378,0.1917859114943332,0.9934099938875306,0.07272027723011182,0.05522747504777935,0.12794775261181077,0.2522124101300867,0.2587967298361434,0.24562808015600307,0.9747899176359844
19,9.549150281252634e-05,46.93,0.04507553065309533,0.01558466712325006,0.06066019779576722,0.17855671850604649,0.17090450880324928,0.18620892890107368,0.9938493276283619,0.07035197045247094,0.041449270469426105,0.11180124239844769,0.24778540328103288,0.2553328837917632,0.24023793416530811,0.9859943977591037
