iter,beta,m,episodes,steps,skipped,pinned,reached_standoff,reached_grasp,reach_steps,omg_fail,goal_switch,expert_steps,policy_closed,policy_close_cmds,dropped_tail,dart,dart_env_done,dart_reach,dart_reject,mean_min_pos,mean_min_rot,mean_policy_close_step,c_close_label,c_policy_close,c_max_steps,c_env_done,c_no_labels,c_omg_fail0,revisits,grasp_mismatch,max_grasp_drift,close_labels,approach_labels,mean_label_pos,tiny_labels,aggregate_files,D_episodes,D_steps,D_dagger_frac,epochs,train_loss,train_grip_acc,val_loss,val_grip_acc,best_val_loss,aux_pos_mm,aux_rot_deg,aux_pm_mm,success_rate,grasp_rate,near_rate,close_rate,close_success_rate,chance_rate,missed_rate,miss_given_chance,box_chance_rate,box_taken_rate,box_missed_rate,miss_given_box,mean_box_steps,mean_box_frac,eval_min_pos,eval_min_rot,mean_dist,mean_pos_err,mean_rot_err,mean_close_step,f_grasp_ok,f_grasp_miss,f_no_release,f_drop,f_timeout,f_human_contact,is_best,collect_s,train_s,eval_s,wall_s
0,1.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,472,9912,0.0,100,0.0264,0.9993,0.2186,0.9748,0.1464,36.6631,11.9935,52.725,0.24,0.21,0.0,0.54,0.4444,0.0,0.0,,0.19,0.8421,0.03,0.1579,2.1053,0.2204,0.1012,0.8,0.2177,0.1206,1.189,25.9815,0.24,0.0,0.23,0.2,0.06,0.27,1,,,,0.0
1,0.75,100,100,3653,0,100,66,62,399,0,0,1949,0,0,5,935,9,100,51,0.0633,0.1795,,62,0,21,17,0,0,0,0,0.0,62,3591,0.0337,0,2,572,13565,0.2693,25,0.0845,0.9953,0.1534,0.986,0.1366,32.9739,14.4617,51.3138,0.43,0.41,0.02,0.52,0.8269,0.03,0.01,0.3333,0.36,0.8333,0.06,0.1667,2.8056,0.3647,0.0941,0.8385,0.1717,0.0875,1.0005,23.6538,0.43,0.0,0.05,0.18,0.02,0.32,1,85.0,359.9,687.0,1132.8
2,0.75,100,100,3640,0,100,77,69,467,0,0,1987,1,1,10,955,5,104,54,0.0416,0.1023,29.0,69,0,15,16,0,0,22,0,0.0,69,3571,0.0341,0,3,672,17205,0.4239,25,0.0964,0.9952,0.1776,0.9804,0.1623,33.4465,13.6144,50.0034,0.52,0.51,0.0,0.63,0.8254,0.0,0.0,,0.47,0.8511,0.08,0.1702,1.9149,0.4569,0.0957,0.8196,0.175,0.095,1.1517,24.3651,0.52,0.0,0.09,0.14,0.01,0.24,1,74.6,411.4,714.7,1202.4
3,0.75,100,100,3426,0,100,74,69,451,0,0,1889,0,0,11,867,5,107,40,0.0413,0.1376,,69,0,12,19,0,0,40,0,0.0134,69,3357,0.0343,1,4,772,20631,0.5196,25,0.1039,0.9953,0.165,0.9832,0.1526,33.8285,14.4312,49.7323,0.38,0.39,0.01,0.52,0.7308,0.01,0.0,0.0,0.38,0.8421,0.09,0.2368,3.3158,0.3935,0.094,0.7594,0.1666,0.0852,1.1009,26.3846,0.38,0.0,0.11,0.14,0.03,0.34,0,75.7,565.0,817.4,1458.6
4,0.75,100,100,3669,0,100,78,70,464,0,0,1976,0,0,6,970,3,107,52,0.0375,0.1104,,70,0,18,12,0,0,53,0,0.0,70,3599,0.0337,0,5,872,24300,0.5921,25,0.1058,0.9961,0.1658,0.986,0.1565,33.4965,14.629,50.322,0.45,0.46,0.01,0.58,0.7759,0.02,0.01,0.5,0.45,0.7778,0.12,0.2667,2.6889,0.4437,0.0896,0.7772,0.173,0.1002,1.0409,26.3276,0.45,0.01,0.05,0.2,0.02,0.27,0,68.5,618.9,758.1,1446.6
5,0.75,100,100,3592,0,100,82,77,507,0,0,1946,1,1,7,922,2,113,64,0.0321,0.0893,37.0,77,0,10,13,0,0,50,0,0.0158,77,3515,0.0336,0,6,972,27892,0.6446,25,0.1077,0.9963,0.1663,0.986,0.158,33.5809,14.1196,50.3888,0.42,0.43,0.01,0.5,0.84,0.01,0.0,0.0,0.4,0.775,0.09,0.225,1.975,0.4186,0.091,0.837,0.1719,0.0814,0.991,23.04,0.42,0.01,0.06,0.1,0.01,0.4,0,79.5,765.5,676.5,1522.6
6,0.75,100,100,3678,0,100,70,61,405,0,0,1971,0,0,11,973,7,86,33,0.0498,0.1496,,61,0,20,19,0,0,76,0,0.0134,61,3617,0.0335,0,7,1072,31570,0.686,25,0.1114,0.9959,0.1806,0.9748,0.1572,34.2939,14.2497,49.1137,0.37,0.34,0.02,0.63,0.5873,0.02,0.01,0.5,0.29,0.8966,0.04,0.1379,2.2069,0.3347,0.0818,0.7972,0.1688,0.0812,0.8954,19.1111,0.37,0.0,0.16,0.21,0.0,0.26,0,75.0,888.1,581.7,1545.9
7,0.75,100,100,3755,0,100,80,71,479,0,0,2022,1,1,6,1009,2,109,37,0.0474,0.0994,29.0,71,0,19,10,0,0,85,0,0.0038,71,3684,0.0341,0,8,1172,35325,0.7194,25,0.1125,0.9961,0.1368,0.9888,0.1368,33.7279,14.5659,49.9675,0.51,0.5,0.02,0.58,0.8793,0.02,0.0,0.0,0.53,0.8302,0.11,0.2075,2.5094,0.5031,0.0888,0.7553,0.1702,0.086,1.043,27.1897,0.51,0.0,0.04,0.16,0.01,0.28,0,76.0,984.8,792.1,1853.6
8,0.75,100,100,3350,0,100,76,75,469,0,0,1856,0,0,11,855,5,91,47,0.0303,0.1109,,75,0,5,20,0,0,84,0,0.0134,75,3275,0.0344,0,9,1272,38675,0.7437,25,0.113,0.9962,0.1741,0.986,0.1537,33.5939,15.3799,48.6985,0.38,0.33,0.0,0.68,0.5588,0.0,0.0,,0.23,0.8261,0.01,0.0435,2.7391,0.2633,0.0854,0.7939,0.1765,0.0919,0.9805,21.8971,0.38,0.0,0.19,0.27,0.0,0.16,0,68.7,1084.0,663.8,1817.8
9,0.75,100,100,3713,0,100,69,64,421,0,0,1962,0,0,6,1006,7,97,31,0.0442,0.1412,,64,0,20,16,0,0,85,0,0.0,64,3649,0.0339,0,10,1372,42388,0.7662,25,0.1126,0.9962,0.1457,0.986,0.1419,33.9923,15.3027,49.9594,0.49,0.49,0.0,0.65,0.7538,0.0,0.0,,0.53,0.8868,0.1,0.1887,2.5094,0.5357,0.0833,0.8395,0.1707,0.0714,0.8475,24.4769,0.49,0.0,0.12,0.12,0.03,0.24,0,71.5,1209.6,731.2,2013.1
