iter,c_min_pos_b0,c_min_rot_b0,c_min_pos_b1,c_min_rot_b1,c_min_pos_b2,c_min_rot_b2,c_min_pos_b3,c_min_rot_b3,c_min_pos_b4,c_min_rot_b4,c_min_pos_b5,c_min_rot_b5
1,0.0552,0.2487,,,0.0692,0.4141,0.0859,0.3327,0.0437,0.1575,,
2,0.0425,0.2067,,,0.0771,0.3534,0.0921,0.4468,0.0328,0.1161,,
3,0.037,0.2252,,,0.0736,0.4042,0.0661,0.3493,0.0467,0.162,,
4,0.0542,0.2424,,,0.0695,0.3635,0.0784,0.4099,0.0478,0.1548,,
5,0.0312,0.1418,,,0.0689,0.3227,0.0884,0.5236,0.0417,0.1278,,
6,0.0373,0.2614,,,0.0654,0.3644,0.1133,0.4537,0.0461,0.1586,,
7,0.0556,0.2913,,,0.0732,0.3518,0.0785,0.4092,0.0429,0.1427,,
8,0.0386,0.2461,,,0.0841,0.4816,0.0879,0.4623,0.052,0.1044,,
9,0.0453,0.2382,,,0.0824,0.3039,0.0811,0.4338,0.0584,0.1707,,
10,0.0483,0.2332,,,0.0754,0.3831,0.0663,0.2967,0.0438,0.129,,
11,0.0493,0.2646,,,0.075,0.4054,0.1053,0.5859,0.0571,0.1779,,
12,0.0452,0.2702,,,0.0812,0.4615,0.0986,0.4956,0.0518,0.1624,,
13,0.0512,0.2625,,,0.0694,0.3392,0.0992,0.5218,0.0536,0.1649,,
14,0.0451,0.2445,,,0.0794,0.425,0.0936,0.4182,0.0432,0.1146,,
15,0.0332,0.1485,,,0.0576,0.3306,0.0839,0.5169,0.0565,0.1712,,
16,0.048,0.211,,,0.0717,0.2681,0.1022,0.5219,0.053,0.141,,
17,0.0479,0.2367,,,0.079,0.3475,0.0935,0.4324,0.0514,0.1321,,
18,0.0489,0.1508,,,0.0758,0.3549,0.1035,0.4382,0.0603,0.1787,,
19,0.033,0.2524,,,0.0822,0.319,0.08,0.4195,0.0589,0.1687,,
20,0.06,0.2303,,,0.0961,0.3376,0.104,0.4966,0.0543,0.1602,,
21,0.0384,0.1989,,,0.1087,0.5317,0.1007,0.5045,0.0568,0.1776,,
22,0.0442,0.1706,,,0.0787,0.3396,0.0881,0.4806,0.0519,0.134,,
23,0.0428,0.1826,,,0.0685,0.245,0.0912,0.4822,0.0451,0.146,,
24,0.0448,0.1603,,,0.0938,0.3501,0.0769,0.4163,0.0645,0.1932,,
25,0.0498,0.279,,,0.081,0.3179,0.1114,0.4663,0.0596,0.1969,,
