epoch,lr,wall_s,train_pose_sl1,train_pose_pm,train_pose_loss,train_gripper_loss,train_total,train_aux_loss,train_pose_l1,train_pose_pos_l1,train_pose_rot_l1,train_gripper_acc,train_pose_pos_m,train_pose_rot_rad,train_pose_pm_mm,train_aux_pos_mm,train_aux_rot_deg,train_aux_pm_mm,val_pose_sl1,val_pose_pm,val_pose_loss,val_gripper_loss,val_total,val_aux_loss,val_pose_l1,val_pose_pos_l1,val_pose_rot_l1,val_gripper_acc,val_pose_pos_m,val_pose_rot_rad,val_pose_pm_mm,val_aux_pos_mm,val_aux_rot_deg,val_aux_pm_mm
0,0.0009997532801828658,28.71,0.23664994803922518,0.025492827637822596,0.17844979387599152,0.14034431243871714,0.41661982731772707,0.09782572013217133,0.4841466803442348,0.42825085524614753,0.5400425011848474,0.9422686688311688,0.008802917888750891,0.03183385399593548,25.492827637822597,66.19956535468629,23.274789233003126,97.82572013217133,0.2807156133468078,0.028419173017394644,0.19893420769386932,0.07694848219365799,0.39362793985535116,0.11774525912452478,0.5710545242333612,0.47887412072563706,0.6632349072050314,0.9719887955182073,0.009878131604025593,0.03881116617335325,28.419173017394645,82.52602131092915,27.344335444891968,117.7452591245248
1,0.0009990133642141358,8.77,0.18650327182628892,0.019553299793707474,0.13687309869504594,0.1055408732530165,0.3152510915677269,0.07283711970433013,0.4070134861515714,0.32338744527720786,0.4906395242198721,0.9544439935064936,0.006657205957483935,0.029027751743696727,19.553299793707474,50.51171922354729,19.71327418629987,72.83711970433012,0.24382169661568662,0.025342506171316326,0.1773975440601007,0.14927369026409812,0.4078282800709166,0.08115704040400454,0.5172106844036519,0.41441509812152016,0.6200062515688878,0.9551820761683274,0.008644643581422772,0.036355471035011674,25.342506171316327,55.03186783870729,26.855872644058117,81.15704040400455
2,0.00099778098230154,8.5,0.16533325143255195,0.017306553345028456,0.12114587343938939,0.09347340719798555,0.28147965901857847,0.06686037894967314,0.3728877317595792,0.2859041044464359,0.45987135771807136,0.960734577922078,0.0058751238764009695,0.027308975080294267,17.306553345028455,46.40025594695048,18.720124836361865,66.86037894967315,0.2297737877659437,0.023140993438848928,0.16198695073274672,0.11257241169611613,0.3664155967679678,0.09185622994597553,0.4930850317498215,0.3825995309346196,0.6035705646213029,0.9551820744987295,0.00789273211586417,0.03535351807288095,23.140993438848927,65.27057824348535,26.669526601811828,91.85622994597553
3,0.000996057350657239,8.88,0.15716644289431633,0.016589325393078388,0.11612527798135559,0.09456588612724241,0.2778963153431942,0.06720515098664667,0.36292286081747577,0.2743035305243034,0.45154218936895396,0.9590097402597403,0.005656459692309236,0.026834499175575646,16.58932539307839,46.47179990523047,18.827999374957088,67.20515098664667,0.20619466303944253,0.024583965753849482,0.1720877580282067,0.1916020856935437,0.4574077191139136,0.09371788916634578,0.471730204940844,0.3801748270080203,0.5632856104220328,0.9551820761683274,0.008095626177981036,0.033195091969743164,24.58396575384948,62.563180234752785,26.0797049894564,93.71788916634578
4,0.0009938441702975688,8.73,0.14186673650106826,0.01530083677090414,0.10710585741447164,0.08077305768217359,0.25011312255224627,0.06223420798778534,0.3378943860917896,0.2530580041083423,0.42273076401128395,0.9675324675324676,0.005224317017422578,0.025181928806780995,15.30083677090414,43.16211433766724,17.90031272572251,62.23420798778534,0.19049105549058995,0.020947681985148528,0.1466337769013159,0.044175457465005855,0.2723095374865358,0.08150029725053397,0.44091468131174893,0.3346218984334075,0.547207431299012,0.9859943977591037,0.0069604237415209535,0.03192741572022104,20.947681985148527,52.90288831882116,25.67884445388852,81.50029725053398
5,0.0009911436253643444,8.45,0.13009454605060738,0.01486482300082004,0.1040537611327388,0.08516398970908545,0.24918812619788305,0.059970376988897074,0.32050916126796175,0.24761406496747748,0.393404252149842,0.9623579545454546,0.005092630416832187,0.023326586907753695,14.864823000820039,41.32211710290088,16.82518006632235,59.97037698889707,0.1736654313255091,0.02033885009586811,0.14237195019628487,0.06750580583926008,0.2872745411402705,0.0773967867221485,0.41929404900855377,0.32958507562885764,0.5090030254770059,0.9719887988574031,0.0068564634608412655,0.0295456734900715,20.33885009586811,54.54525435004248,25.159719996393537,77.3967867221485
6,0.0009879583809693736,8.66,0.11987109849979351,0.01399570842600101,0.09796995979237866,0.07191329975551985,0.22873695794638102,0.05885369843476779,0.3044636244704197,0.23331844777642907,0.37560880087412796,0.9698660714285714,0.00479083874281012,0.02223170197919592,13.99570842600101,40.499160054151886,16.326388349093452,58.853698434767786,0.16464156327711768,0.018797282711276654,0.13158097721281506,0.03633714007365019,0.24070475185785642,0.07278663166263859,0.3967280463845122,0.30593795794732764,0.48751813482169676,0.9831932773109243,0.006346611388246803,0.02836379446924067,18.797282711276655,48.8762701926779,23.365059792023533,72.78663166263858
7,0.0009842915805643154,8.99,0.11226183427618695,0.01347523523712313,0.09432664687757368,0.06695080276385143,0.2168153261209463,0.055537877168941804,0.2905839750325525,0.22481416533519696,0.3563537849234296,0.9750405844155844,0.004619034782789841,0.021020060991747427,13.47523523712313,38.44568065621636,14.65029411098209,55.537877168941804,0.1507493450987239,0.019750732185021668,0.13825512458296382,0.07076437989411567,0.28942119365646723,0.08040168845937365,0.38739124065687675,0.31929287089019265,0.45548963488317,0.9719887955182073,0.006626280096388247,0.02633538744634106,19.75073218502167,53.758140215102365,22.548960546105917,80.40168845937366
8,0.0009801468428384714,8.51,0.11221550900924515,0.013424614414137292,0.0939723008203429,0.07229380824832947,0.22073983817131487,0.05447372866721897,0.2909820056580878,0.22284377763023624,0.35912023320213543,0.9705762987012987,0.004601800126362254,0.0211883813941053,13.424614414137292,37.748606524780975,14.67091441882245,54.473728667218964,0.15316968135723547,0.018741748147025828,0.13119223421695186,0.05720346633877073,0.2609665529484175,0.07257084982568811,0.38671181390599374,0.3043377937055102,0.4690858194974958,0.9775910380841637,0.006324856690749401,0.02715380056774249,18.74174814702583,49.426623627919106,21.46758822256845,72.5708498256881
9,0.0009755282581475767,8.75,0.10506066007467059,0.012913009907760016,0.09039106965065002,0.0686404300466567,0.2104630662829845,0.051431566936435635,0.2786798681338112,0.21602623319471037,0.3413335023955865,0.971489448051948,0.004440795223518916,0.020109001946236407,12.913009907760017,35.593253378937774,13.228969510326307,51.43156693643564,0.14375645070433282,0.01831326427600798,0.12819284912334436,0.045019057613252256,0.2521089600498269,0.07889704577395228,0.37040655803279715,0.2957513069822675,0.44506183341771616,0.9803921568627451,0.006177136814091303,0.025659232794278477,18.313264276007978,51.40116227482881,21.086941292252984,78.89704577395229
