iter,beta,m,episodes,steps,skipped,pinned,reached_standoff,reached_grasp,reach_steps,omg_fail,goal_switch,expert_steps,policy_closed,policy_close_cmds,dropped_tail,dart,dart_env_done,dart_reach,dart_reject,mean_min_pos,mean_min_rot,mean_policy_close_step,c_close_label,c_policy_close,c_max_steps,c_env_done,c_no_labels,c_omg_fail0,revisits,grasp_mismatch,max_grasp_drift,close_labels,approach_labels,mean_label_pos,tiny_labels,aggregate_files,D_episodes,D_steps,D_dagger_frac,epochs,train_loss,train_grip_acc,val_loss,val_grip_acc,best_val_loss,aux_pos_mm,aux_rot_deg,aux_pm_mm,success_rate,grasp_rate,near_rate,close_rate,close_success_rate,chance_rate,missed_rate,miss_given_chance,eval_min_pos,eval_min_rot,mean_dist,mean_pos_err,mean_rot_err,mean_close_step,f_grasp_ok,f_grasp_miss,f_no_release,f_drop,f_timeout,f_human_contact,is_best,collect_s,train_s,eval_s,wall_s
10,0.625,100,100,3436,0,100,87,79,502,0,0,1844,0,0,6,684,4,0,0,0.0223,0.0562,,79,0,10,11,0,0,90,0,0.015,79,3357,0.0307,2,11,1472,43623,0.7728,25,0.0973,0.9955,0.3557,0.9776,0.3222,39.461,15.9908,58.6615,0.58,0.56,0.1,0.62,0.9355,0.1,0.01,0.1,0.0693,0.4463,0.1757,0.0624,0.5603,25.4677,0.58,0.0,0.04,0.13,0.08,0.17,0,54.0,1183.3,533.0,1771.0
11,0.5833,100,100,3431,0,100,79,75,467,0,0,1691,0,0,4,734,6,0,0,0.0296,0.1045,,75,0,8,17,0,0,91,0,0.01,75,3356,0.0321,1,12,1572,47054,0.7893,25,0.0999,0.9952,0.3718,0.9692,0.3166,37.3412,17.2368,55.1322,,,,,,,,,,,,,,,,,,,,,0,56.0,1276.8,0.0,1333.4
12,0.5417,100,100,3639,0,100,71,67,413,0,0,1657,2,15,4,785,7,0,0,0.0297,0.0861,31.0,67,0,16,17,0,0,92,0,0.0113,67,3572,0.0317,0,13,1672,50693,0.8045,25,0.0986,0.9963,0.3438,0.9748,0.3232,39.3846,16.8585,58.8963,0.61,0.62,0.02,0.73,0.8356,0.02,0.01,0.5,0.0785,0.6024,0.1687,0.0737,0.7834,25.7534,0.61,0.0,0.1,0.13,0.03,0.13,0,64.5,1367.0,507.5,1939.5
13,0.5,100,100,3346,0,100,76,71,439,0,0,1481,2,3,7,678,6,0,0,0.0366,0.1296,27.5,71,0,8,21,0,0,90,0,0.0158,71,3275,0.033,1,14,1772,54039,0.8166,25,0.1003,0.9953,0.3871,0.9776,0.3363,39.9216,17.8221,58.2889,,,,,,,,,,,,,,,,,,,,,0,59.8,1464.0,0.0,1525.5
14,0.4714,100,100,3448,0,100,73,67,418,0,0,1464,3,11,5,724,8,0,0,0.0312,0.0887,38.33,67,0,15,18,0,0,98,0,0.015,67,3381,0.0327,1,15,1872,57487,0.8276,25,0.1012,0.9962,0.3927,0.9804,0.3397,44.5212,17.1115,63.0511,0.62,0.63,0.1,0.68,0.9118,0.13,0.03,0.2308,0.0741,0.483,0.1711,0.0628,0.5778,27.4412,0.62,0.0,0.03,0.12,0.04,0.19,0,63.5,1615.2,532.5,2219.9
15,0.4429,100,100,3601,0,100,67,62,386,0,0,1342,0,0,5,846,10,0,0,0.0419,0.1096,,62,0,13,25,0,0,94,0,0.0003,62,3539,0.0338,7,16,1972,61088,0.8377,25,0.0983,0.9968,0.3578,0.9804,0.3241,38.0895,17.3421,58.1299,,,,,,,,,,,,,,,,,,,,,0,62.1,1691.5,0.0,1754.3
16,0.4143,100,100,3491,0,100,73,69,427,0,0,1362,0,0,7,725,7,0,0,0.0372,0.102,,69,0,9,22,0,0,97,0,0.0158,69,3422,0.0309,8,17,2072,64579,0.8465,25,0.0959,0.9972,0.3986,0.972,0.3269,38.1006,17.308,55.9045,0.65,0.65,0.08,0.69,0.942,0.11,0.01,0.0909,0.076,0.4575,0.1899,0.0583,0.5414,29.5072,0.65,0.0,0.04,0.07,0.1,0.14,0,60.5,1766.1,585.9,2412.9
17,0.3857,100,100,3547,0,100,68,63,393,0,0,1251,0,0,5,791,9,0,0,0.0384,0.1349,,63,0,12,25,0,0,96,0,0.0,63,3484,0.0324,4,18,2172,68126,0.8545,25,0.102,0.9964,0.4317,0.9748,0.3399,40.1845,16.6956,59.7317,,,,,,,,,,,,,,,,,,,,,0,58.7,1812.9,0.0,1872.1
18,0.3571,100,100,3691,0,100,68,59,385,0,0,1251,5,16,3,760,10,0,0,0.0435,0.117,36.2,59,0,19,22,0,0,97,0,0.0133,59,3632,0.0336,3,19,2272,71817,0.862,25,0.0994,0.9971,0.355,0.986,0.3359,40.0921,16.701,57.9902,0.68,0.66,0.08,0.72,0.9444,0.08,0.0,0.0,0.0754,0.4734,0.1779,0.0552,0.5718,28.7639,0.68,0.0,0.02,0.13,0.06,0.11,1,60.5,1882.1,563.4,2506.3
19,0.3286,100,100,3729,0,100,68,64,396,0,0,1121,4,14,1,847,8,0,0,0.0359,0.1112,42.5,64,0,20,16,0,0,94,0,0.0154,64,3665,0.0322,1,20,2372,75546,0.8688,25,0.1009,0.9968,0.4336,0.972,0.3495,38.8797,16.3523,56.6579,,,,,,,,,,,,,,,,,,,,,0,71.1,2015.7,0.0,2087.3
20,0.3,100,100,3613,0,100,71,61,394,0,0,1028,5,38,5,761,9,0,0,0.0373,0.1279,30.6,61,0,16,23,0,0,99,0,0.0094,61,3552,0.0321,4,21,2472,79159,0.8748,25,0.1007,0.9974,0.45,0.9776,0.3513,40.111,16.7151,58.0925,0.38,0.39,0.01,0.43,0.8837,0.01,0.0,0.0,0.0991,0.7692,0.1726,0.0916,1.1398,31.0465,0.38,0.0,0.03,0.08,0.17,0.34,0,65.3,2104.4,659.6,2829.6
