iter,beta,m,episodes,steps,skipped,pinned,reached_standoff,reached_grasp,reach_steps,omg_fail,goal_switch,expert_steps,policy_closed,policy_close_cmds,dropped_tail,dart,dart_env_done,dart_reach,dart_reject,dart_sigma_trace,dart_noise_steps,dart_alpha,mean_min_pos,mean_min_rot,mean_policy_close_step,c_close_label,c_policy_close,c_max_steps,c_env_done,c_no_labels,c_omg_fail0,c_success_rate,co_grasp_ok,co_grasp_miss,co_no_release,co_drop,co_human_contact,co_bench_timeout,co_timeout,revisits,grasp_mismatch,max_grasp_drift,close_labels,approach_labels,mean_label_pos,tiny_labels,aggregate_files,D_episodes,D_steps,D_dagger_frac,epochs,train_loss,train_grip_acc,val_loss,val_grip_acc,best_val_loss,aux_pos_mm,aux_rot_deg,aux_pm_mm,success_rate,grasp_rate,near_rate,close_rate,close_success_rate,chance_rate,missed_rate,miss_given_chance,box_chance_rate,box_taken_rate,box_missed_rate,miss_given_box,mean_box_steps,mean_box_frac,eval_min_pos,eval_min_rot,mean_dist,mean_pos_err,mean_rot_err,mean_close_step,f_grasp_ok,f_grasp_miss,f_no_release,f_drop,f_timeout,f_human_contact,is_best,collect_s,train_s,eval_s,wall_s
0,1.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,471,9891,0.0,100,0.0506,0.9982,0.3909,0.9552,0.2394,43.3836,15.39,66.9054,0.14,0.12,0.0,0.84,0.1667,0.0,0.0,,0.08,1.0,0.0,0.0,2.125,0.0765,0.1019,0.8462,0.1742,0.0998,1.0292,21.9524,0.14,0.0,0.63,0.16,0.02,0.05,1,,,,0.0
1,0.75,100,100,3422,0,100,87,80,518,0,0,1860,4,7,6,814,6,131,29,0.024808,0,3.0,0.0264,0.0966,21.5,80,0,8,12,0,0,0.72,0.72,0.0,0.05,0.12,0.03,0.0,0.08,0,0,0.0,80,3342,0.0324,0,2,571,13313,0.257,25,0.1397,0.9897,0.2978,0.972,0.2783,42.9303,20.6259,63.9987,0.55,0.53,0.01,0.72,0.7639,0.01,0.01,1.0,0.49,0.8571,0.08,0.1633,2.4694,0.4708,0.0871,0.8806,0.1651,0.0866,0.9421,20.625,0.55,0.0,0.1,0.1,0.03,0.22,1,55.4,339.2,375.0,771.7
2,0.75,100,100,3475,0,99,84,78,508,0,0,1901,1,1,9,886,6,110,18,0.02578,0,3.0,0.0294,0.0907,32.0,78,0,5,17,0,0,0.69,0.69,0.0,0.03,0.15,0.08,0.0,0.05,21,0,0.0158,78,3397,0.0351,1,3,671,16788,0.4108,25,0.1459,0.992,0.3049,0.972,0.2867,39.4571,19.254,58.4346,0.54,0.52,0.03,0.77,0.7013,0.03,0.01,0.3333,0.37,0.8919,0.06,0.1622,2.1622,0.3827,0.0942,0.8642,0.1676,0.0897,0.9572,21.3896,0.54,0.01,0.18,0.1,0.03,0.14,0,52.0,479.2,385.1,917.2
3,0.75,100,100,3594,0,100,85,79,517,0,0,1989,0,0,9,889,2,126,47,0.016251,0,3.0,0.0268,0.0777,,79,0,8,13,0,0,0.73,0.73,0.0,0.02,0.13,0.04,0.0,0.08,38,0,0.0053,79,3515,0.0332,1,4,771,20382,0.5147,25,0.1568,0.9916,0.3446,0.9776,0.3044,39.868,20.2348,59.4715,0.57,0.56,0.01,0.74,0.7703,0.01,0.0,0.0,0.53,0.9057,0.06,0.1132,3.2264,0.5104,0.0903,0.8672,0.1657,0.085,0.9626,21.7838,0.57,0.0,0.12,0.12,0.03,0.16,1,52.4,557.9,395.7,1008.2
4,0.75,100,100,3664,0,100,81,74,486,0,0,1952,2,3,6,973,5,123,50,0.016524,0,3.0,0.0308,0.0935,30.0,74,0,13,13,0,0,0.69,0.69,0.0,0.03,0.12,0.03,0.0,0.13,52,0,0.0158,74,3590,0.0335,4,5,871,24046,0.5887,25,0.1715,0.9888,0.328,0.9748,0.3078,41.1227,21.452,60.6336,0.46,0.44,0.01,0.69,0.6667,0.02,0.0,0.0,0.37,0.8919,0.04,0.1081,2.9189,0.3963,0.0968,0.845,0.1674,0.0874,1.0549,20.8116,0.46,0.0,0.21,0.11,0.01,0.21,0,55.4,700.3,366.9,1123.5
5,0.75,100,100,3562,0,100,81,76,493,0,0,1927,1,1,9,904,5,115,47,0.016367,0,3.0,0.0374,0.108,26.0,76,0,10,14,0,0,0.7,0.7,0.01,0.02,0.15,0.02,0.0,0.1,55,0,0.0017,76,3486,0.034,1,6,971,27608,0.6417,25,0.1653,0.992,0.3587,0.9636,0.3241,39.8985,20.8154,58.68,0.58,0.56,0.02,0.89,0.6517,0.02,0.0,0.0,0.29,0.8966,0.02,0.069,2.1724,0.3198,0.0929,0.8592,0.163,0.0924,0.9715,21.8427,0.58,0.0,0.27,0.11,0.0,0.04,1,54.4,682.4,369.4,1108.1
6,0.75,100,100,3803,0,100,75,63,437,0,0,2036,3,8,10,994,6,104,32,0.014127,0,3.0,0.0411,0.1052,37.0,63,0,19,18,0,0,0.56,0.56,0.0,0.03,0.19,0.03,0.0,0.19,75,0,0.0062,63,3740,0.0325,1,7,1071,31411,0.6851,25,0.1687,0.9912,0.3883,0.972,0.34,40.2978,20.9543,59.8053,0.55,0.57,0.02,0.78,0.7051,0.02,0.01,0.5,0.53,0.8491,0.09,0.1698,2.9057,0.5384,0.0907,0.8068,0.1654,0.0897,1.033,22.6154,0.55,0.0,0.18,0.11,0.02,0.14,0,51.7,786.6,393.4,1233.2
7,0.75,100,100,3518,0,100,74,67,435,0,0,1889,0,0,11,932,5,102,39,0.01404,0,3.0,0.0487,0.1192,,67,0,15,18,0,0,0.6,0.6,0.0,0.02,0.16,0.07,0.0,0.15,75,0,0.0,67,3451,0.0344,0,8,1171,34929,0.7168,25,0.1704,0.9907,0.3767,0.972,0.3313,42.0793,21.2784,61.7211,0.56,0.56,0.01,0.77,0.7273,0.03,0.01,0.3333,0.42,0.9524,0.02,0.0476,2.0476,0.4718,0.0947,0.8824,0.1666,0.0887,0.9629,23.2338,0.56,0.0,0.17,0.1,0.03,0.14,0,58.1,888.7,404.2,1353.4
8,0.75,100,100,3530,0,100,78,73,464,0,0,1930,5,7,10,894,6,105,70,0.016481,0,3.0,0.036,0.0893,35.8,73,0,9,18,0,0,0.64,0.64,0.01,0.04,0.17,0.05,0.0,0.09,80,0,0.0017,73,3457,0.0338,0,9,1271,38459,0.7428,25,0.172,0.9901,0.3878,0.972,0.3411,42.528,23.2614,63.9822,0.26,0.26,0.0,0.52,0.5,0.0,0.0,,0.19,0.8421,0.03,0.1579,9.1579,0.1916,0.1026,0.8598,0.1782,0.0901,1.0538,24.7692,0.26,0.0,0.2,0.41,0.02,0.11,0,49.5,1003.4,364.2,1418.3
9,0.75,100,100,3680,0,100,71,57,411,0,0,1950,0,0,11,999,9,99,23,0.014386,0,3.0,0.0461,0.1577,,57,0,21,22,0,0,0.48,0.48,0.0,0.06,0.18,0.07,0.0,0.21,88,0,0.0,57,3623,0.0342,6,10,1371,42139,0.7653,25,0.1712,0.991,0.401,0.9608,0.3378,41.1357,21.2867,60.4187,0.5,0.46,0.01,0.79,0.6329,0.01,0.0,0.0,0.39,0.8974,0.05,0.1282,2.2564,0.378,0.0884,0.8118,0.1653,0.0862,1.0185,23.2405,0.5,0.0,0.19,0.15,0.02,0.14,0,52.9,1111.4,396.9,1562.7
