iter,beta,m,episodes,steps,skipped,pinned,reached_standoff,reached_grasp,reach_steps,omg_fail,goal_switch,expert_steps,policy_closed,policy_close_cmds,dropped_tail,mean_min_pos,mean_min_rot,mean_policy_close_step,c_close_label,c_policy_close,c_max_steps,c_env_done,c_no_labels,c_omg_fail0,revisits,grasp_mismatch,max_grasp_drift,close_labels,approach_labels,mean_label_pos,tiny_labels,aggregate_files,D_episodes,D_steps,D_dagger_frac,epochs,train_loss,train_grip_acc,val_loss,val_grip_acc,best_val_loss,success_rate,grasp_rate,near_rate,close_rate,close_success_rate,chance_rate,missed_rate,miss_given_chance,eval_min_pos,eval_min_rot,mean_dist,mean_pos_err,mean_rot_err,mean_close_step,f_grasp_ok,f_grasp_miss,f_no_release,f_drop,f_timeout,f_human_contact,is_best,collect_s,train_s,eval_s,wall_s
0,1.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,472,9912,0.0,100,0.0108,0.9981,0.1206,0.9804,0.0691,0.09,0.09,0.0,0.83,0.1084,0.0,0.0,,0.1335,0.8176,0.2161,0.1457,0.9337,27.2651,0.09,0.0,0.72,0.08,0.04,0.07,1,,,,0.0
1,0.75,100,100,2706,0,100,87,87,522,0,0,2075,6,9,9,0.0182,0.0926,15.5,87,0,0,13,0,0,0,0,0.0,87,2619,0.0324,1,2,572,12618,0.2145,25,0.0474,0.9906,0.0832,0.9776,0.0776,,,,,,,,,,,,,,,,,,,,,0,655.5,278.4,0.0,934.2
2,0.7036,100,100,2809,0,100,93,90,547,0,0,2060,0,0,9,0.0116,0.0397,,90,0,0,10,0,0,22,0,0.0,90,2719,0.0327,1,3,672,15427,0.3575,25,0.0508,0.9913,0.0953,0.9832,0.0787,0.29,0.28,0.01,0.45,0.6444,0.01,0.0,0.0,0.0945,0.7058,0.1823,0.0804,0.9709,33.8889,0.29,0.0,0.16,0.14,0.21,0.2,1,658.5,339.6,682.5,1681.6
3,0.6571,100,100,2781,0,100,89,87,540,0,0,1940,0,0,10,0.017,0.0485,,87,0,2,11,0,0,40,0,0.0,87,2694,0.0316,0,4,772,18208,0.4556,25,0.0515,0.9914,0.0936,0.9776,0.0716,,,,,,,,,,,,,,,,,,,,,0,665.7,401.8,0.0,1067.9
4,0.6107,100,100,2948,0,100,90,88,531,0,0,1907,0,0,5,0.0166,0.0372,,88,0,3,9,0,0,53,0,0.0,88,2860,0.0308,0,5,872,21156,0.5315,25,0.0533,0.991,0.0875,0.9804,0.0755,0.24,0.19,0.01,0.36,0.6667,0.01,0.0,0.0,0.1177,0.6747,0.1936,0.0965,0.7613,30.0,0.24,0.01,0.08,0.17,0.41,0.09,0,702.9,489.2,699.8,1893.0
5,0.5643,100,100,2772,0,100,92,93,552,0,0,1695,0,0,3,0.0119,0.0331,,93,0,0,7,0,0,50,0,0.0,93,2679,0.031,0,6,972,23928,0.5858,25,0.0509,0.993,0.0935,0.9832,0.0892,,,,,,,,,,,,,,,,,,,,,0,656.8,578.6,0.0,1235.6
6,0.5179,100,100,2982,0,100,92,90,541,0,0,1694,0,0,4,0.0128,0.0441,,90,0,2,8,0,0,76,0,0.0,90,2892,0.0308,0,7,1072,26910,0.6317,25,0.0483,0.9942,0.1018,0.9804,0.0994,0.09,0.09,0.0,0.15,0.6,0.0,0.0,,0.167,0.6855,0.2567,0.0705,1.1839,31.6667,0.09,0.0,0.04,0.17,0.63,0.07,0,698.8,631.7,771.1,2102.1
7,0.4714,100,100,3063,0,100,88,87,523,0,0,1604,1,1,4,0.0182,0.0513,25.0,87,0,1,12,0,0,85,0,0.0,87,2976,0.0315,2,8,1172,29973,0.6693,25,0.0488,0.9942,0.095,0.9888,0.0945,,,,,,,,,,,,,,,,,,,,,0,728.0,724.8,0.0,1453.1
8,0.425,100,100,2848,0,100,91,89,536,0,0,1431,1,1,6,0.0138,0.0434,36.0,89,0,0,11,0,0,84,0,0.0,89,2759,0.0307,0,9,1272,32821,0.698,25,0.0516,0.9932,0.1168,0.9748,0.0975,0.14,0.14,0.02,0.29,0.4828,0.03,0.01,0.3333,0.1135,0.5501,0.2213,0.0923,0.8153,28.4483,0.14,0.0,0.14,0.2,0.24,0.28,0,671.7,844.1,614.7,2131.0
9,0.3786,100,100,2952,0,100,87,87,521,0,0,1343,0,0,4,0.0162,0.0394,,87,0,1,12,0,0,85,0,0.0,87,2865,0.0314,0,10,1372,35773,0.7229,25,0.0538,0.9934,0.1383,0.9804,0.0975,,,,,,,,,,,,,,,,,,,,,0,698.8,828.7,0.0,1528.0
10,0.3321,100,100,3167,0,100,84,81,492,0,0,1276,3,4,9,0.021,0.0529,19.33,81,0,8,11,0,0,90,0,0.0147,81,3086,0.0304,7,11,1472,38940,0.7455,25,0.0491,0.9949,0.1247,0.9748,0.0997,0.35,0.33,0.04,0.39,0.8974,0.05,0.01,0.2,0.0993,0.4686,0.2071,0.0594,0.6725,29.1282,0.35,0.0,0.02,0.21,0.29,0.13,1,741.7,897.9,640.5,2280.6
