iter,beta,m,episodes,steps,skipped,pinned,reached_standoff,reached_grasp,reach_steps,settle_steps,omg_fail,goal_switch,expert_steps,policy_closed,policy_close_cmds,dropped_tail,dart,dart_env_done,dart_reach,dart_reject,dart_sigma_trace,dart_noise_steps,dart_alpha,mean_min_pos,mean_min_rot,mean_policy_close_step,c_close_label,c_policy_close,c_max_steps,c_env_done,c_no_labels,c_omg_fail0,c_success_rate,co_grasp_ok,co_grasp_miss,co_no_release,co_drop,co_human_contact,co_bench_timeout,co_timeout,c_reach_pos,c_reach_rot,revisits,grasp_mismatch,max_grasp_drift,close_labels,approach_labels,mean_label_pos,tiny_labels,aggregate_files,D_episodes,D_steps,D_dagger_frac,epochs,train_loss,train_grip_acc,val_loss,val_grip_acc,best_val_loss,aux_pos_mm,aux_rot_deg,aux_pm_mm,success_rate,grasp_rate,near_rate,close_rate,close_success_rate,chance_rate,missed_rate,miss_given_chance,box_chance_rate,box_taken_rate,box_missed_rate,miss_given_box,mean_box_steps,mean_box_frac,mean_reach_pos_err,mean_reach_rot_err,box_after_rate,eval_min_pos,eval_min_rot,mean_dist,mean_pos_err,mean_rot_err,mean_close_step,f_grasp_ok,f_grasp_miss,f_no_release,f_drop,f_timeout,f_human_contact,is_best,collect_s,train_s,eval_s,wall_s
10,0.75,100,100,3429,0,100,82,78,240,80,0,0,1835,4,4,7,903,2,0,0,0.012639,0,3.0,0.0329,0.0885,32.75,78,0,12,10,0,0,0.67,0.67,0.01,0.06,0.11,0.03,0.0,0.12,0.0107,0.0121,90,2,0.0209,78,3351,0.0332,3,11,1472,45372,0.7452,25,0.0909,0.9995,0.5056,0.9518,0.3559,58.9745,28.4621,83.7262,0.5,0.45,0.02,0.89,0.5618,0.02,0.0,0.0,0.02,0.0,0.02,1.0,6.0,0.0214,0.0837,0.8801,0.3483,0.1024,0.686,0.2095,0.112,0.88,23.5056,0.5,0.0,0.27,0.15,0.03,0.05,0,62.5,1129.8,611.5,1804.2
11,0.75,100,100,3420,0,100,76,73,223,74,0,0,1811,2,4,8,968,5,0,0,0.01297,0,3.0,0.035,0.1361,33.0,73,0,12,15,0,0,0.65,0.65,0.0,0.06,0.12,0.05,0.0,0.12,0.011,0.0109,91,1,0.0207,73,3347,0.0342,1,12,1572,48792,0.763,25,0.0892,0.9999,0.4484,0.9557,0.3732,59.2109,28.401,82.9757,0.58,0.58,0.02,0.89,0.6517,0.04,0.01,0.25,0.01,0.0,0.01,1.0,25.0,0.0218,0.0817,0.882,0.4494,0.108,0.7323,0.2025,0.1136,0.882,24.8989,0.58,0.0,0.09,0.13,0.05,0.15,0,65.7,1207.8,661.9,1935.6
12,0.75,100,100,3531,0,100,78,77,232,77,0,0,1933,0,0,7,967,2,0,0,0.011005,0,3.0,0.0296,0.0846,,77,0,12,11,0,0,0.67,0.67,0.01,0.06,0.13,0.01,0.0,0.12,0.0107,0.0121,92,0,0.015,77,3454,0.0335,2,13,1672,52323,0.779,25,0.0884,0.9999,0.4906,0.9531,0.3512,58.7973,28.1401,81.2098,0.45,0.42,0.01,0.76,0.5921,0.01,0.0,0.0,0.04,0.25,0.04,1.0,4.75,0.048,0.0744,0.9163,0.5132,0.1009,0.6671,0.2038,0.1044,0.9163,24.9474,0.45,0.02,0.12,0.23,0.05,0.13,0,68.1,1288.7,617.9,1974.9
13,0.75,100,100,3395,0,100,84,81,247,82,0,0,1833,1,1,2,913,5,0,0,0.011601,0,3.0,0.0288,0.0865,34.0,81,0,12,7,0,0,0.71,0.71,0.01,0.04,0.09,0.03,0.0,0.12,0.0108,0.0105,90,0,0.0158,81,3314,0.0336,5,14,1772,55718,0.7925,25,0.087,0.9998,0.5272,0.9544,0.3491,59.2524,28.4568,80.2058,0.65,0.63,0.05,0.88,0.7386,0.06,0.01,0.1667,0.04,0.25,0.03,0.75,4.75,0.0447,0.0647,0.7779,0.5227,0.0849,0.6442,0.2034,0.0899,0.7778,25.6818,0.65,0.0,0.1,0.14,0.05,0.06,1,61.7,1357.7,679.7,2099.5
14,0.75,100,100,3362,0,100,79,77,235,78,0,0,1822,0,0,7,927,1,0,0,0.011037,0,3.0,0.0317,0.088,,77,0,12,11,0,0,0.7,0.7,0.0,0.05,0.11,0.02,0.0,0.12,0.0104,0.0112,98,0,0.0158,77,3285,0.034,0,15,1872,59080,0.8043,25,0.0865,0.9998,0.5135,0.9583,0.3766,61.0534,28.9976,82.3498,0.65,0.63,0.04,0.96,0.6771,0.05,0.01,0.2,0.0,,0.0,,,0.0129,0.0682,0.783,0.5104,0.0891,0.6277,0.211,0.0941,0.7829,23.8333,0.65,0.0,0.14,0.11,0.03,0.07,0,62.9,1456.9,619.1,2139.1
15,0.75,100,100,3349,0,100,74,70,216,72,0,0,1818,0,0,13,924,4,0,0,0.014095,0,3.0,0.034,0.13,,70,0,10,20,0,0,0.6,0.6,0.0,0.04,0.21,0.05,0.0,0.1,0.0116,0.0107,94,0,0.0,70,3279,0.0353,2,16,1972,62429,0.8148,25,0.0862,0.9998,0.5686,0.957,0.4174,59.0857,28.9997,79.6138,0.68,0.66,0.04,0.92,0.7391,0.05,0.03,0.6,0.01,1.0,0.0,0.0,9.0,0.012,0.0668,0.7347,0.5652,0.0882,0.575,0.2076,0.0919,0.7347,25.7283,0.68,0.01,0.09,0.15,0.03,0.04,1,65.8,1526.9,658.0,2251.2
16,0.75,100,100,3354,0,100,79,76,234,77,0,0,1785,0,0,8,946,4,0,0,0.012072,0,3.0,0.0292,0.1124,,76,0,7,17,0,0,0.69,0.69,0.0,0.03,0.15,0.06,0.0,0.07,0.0115,0.0111,97,0,0.0036,76,3278,0.034,4,17,2072,65783,0.8242,25,0.0845,0.9999,0.5612,0.957,0.415,58.2878,29.156,79.0935,0.52,0.52,0.03,0.82,0.6341,0.04,0.02,0.5,0.03,0.6667,0.03,1.0,4.0,0.0357,0.0708,0.7238,0.4756,0.0837,0.5775,0.2028,0.0971,0.7237,26.3537,0.52,0.0,0.13,0.18,0.05,0.12,0,67.7,1600.5,663.0,2331.6
17,0.75,100,100,3369,0,100,78,75,232,77,0,0,1801,0,0,9,946,4,0,0,0.011551,0,3.0,0.0344,0.1284,,75,0,9,16,0,0,0.66,0.66,0.0,0.04,0.19,0.02,0.0,0.09,0.0098,0.0106,96,0,0.0,75,3294,0.0338,1,18,2172,69152,0.8328,25,0.0826,0.9998,0.5282,0.9544,0.4134,58.9678,29.9968,79.3177,0.61,0.58,0.05,0.91,0.6703,0.08,0.01,0.125,0.01,0.0,0.0,0.0,3.0,0.0214,0.0663,0.6887,0.4945,0.0833,0.5372,0.2023,0.0888,0.6887,27.2637,0.61,0.02,0.14,0.12,0.06,0.05,0,67.5,1678.0,700.7,2446.5
18,0.75,100,100,3538,0,99,68,67,202,67,0,0,1832,0,0,12,1067,2,0,0,0.011354,0,3.0,0.0641,0.1609,,67,0,17,16,0,0,0.62,0.62,0.0,0.04,0.13,0.04,0.0,0.17,0.011,0.0103,97,2,0.0354,67,3471,0.0346,2,19,2272,72690,0.8409,25,0.0813,0.9999,0.5579,0.9518,0.4541,60.1965,30.1444,79.7645,0.64,0.64,0.07,0.91,0.7033,0.09,0.02,0.2222,0.04,0.5,0.03,0.75,11.5,0.0496,0.0685,0.7056,0.5604,0.0871,0.515,0.1974,0.0946,0.7055,27.3516,0.64,0.01,0.07,0.16,0.03,0.09,0,63.8,1749.5,693.1,2506.7
19,0.75,100,100,3418,0,99,80,78,236,78,0,0,1834,0,0,5,963,7,0,0,0.010946,0,3.0,0.0347,0.0991,,78,0,9,13,0,0,0.7,0.7,0.0,0.06,0.11,0.04,0.0,0.09,0.0109,0.0118,94,1,0.0354,78,3340,0.0341,0,20,2372,76108,0.8481,25,0.0807,0.9999,0.5001,0.9609,0.3995,59.913,29.8655,78.7375,0.59,0.55,0.06,0.84,0.7024,0.07,0.01,0.1429,0.04,0.75,0.03,0.75,6.0,0.0565,0.0614,0.6548,0.5,0.0727,0.4856,0.2017,0.0822,0.6546,27.1071,0.59,0.0,0.06,0.17,0.07,0.11,0,66.8,1830.8,701.9,2599.8
20,0.75,100,100,3247,0,99,78,76,233,78,0,0,1754,3,3,8,859,6,0,0,0.010908,0,3.0,0.0283,0.0991,35.33,76,0,9,15,0,0,0.68,0.68,0.0,0.05,0.13,0.05,0.0,0.09,0.0122,0.0104,99,1,0.0354,76,3171,0.0348,0,21,2472,79355,0.8543,25,0.0792,0.9999,0.5543,0.957,0.4211,58.5036,29.8804,77.957,0.61,0.57,0.07,0.83,0.7349,0.08,0.01,0.125,0.02,0.5,0.01,0.5,2.0,0.0324,0.0545,0.6411,0.5783,0.0782,0.4938,0.2068,0.0733,0.6412,27.2169,0.61,0.0,0.08,0.23,0.03,0.05,0,61.7,1888.1,671.2,2621.5
21,0.75,100,100,3514,0,100,85,80,262,83,0,0,1905,0,0,4,997,4,0,0,0.012191,0,3.0,0.0218,0.0723,,80,0,12,8,0,0,0.69,0.69,0.0,0.09,0.09,0.01,0.0,0.12,0.0113,0.0111,98,0,0.0,80,3434,0.0327,2,22,2572,82869,0.8605,25,0.0783,0.9998,0.4934,0.9635,0.4006,59.1588,29.9049,78.4555,0.71,0.7,0.04,0.93,0.7634,0.06,0.01,0.1667,0.01,1.0,0.0,0.0,4.0,0.0141,0.0599,0.5851,0.6452,0.0736,0.465,0.1998,0.0788,0.5851,26.3978,0.71,0.0,0.08,0.12,0.02,0.07,1,65.0,1974.3,666.5,2706.3
22,0.75,100,100,3525,0,100,68,65,199,67,0,0,1888,1,1,10,1024,5,0,0,0.009822,0,3.0,0.0494,0.1141,28.0,65,0,20,15,0,0,0.55,0.55,0.01,0.04,0.19,0.01,0.0,0.2,0.0118,0.0116,99,0,0.0036,65,3460,0.0332,2,23,2672,86394,0.8662,25,0.078,0.9998,0.4765,0.9622,0.3985,58.7131,30.2842,77.0607,0.67,0.63,0.09,0.92,0.7283,0.09,0.0,0.0,0.03,0.3333,0.02,0.6667,4.3333,0.0263,0.054,0.5371,0.5435,0.0682,0.4194,0.2086,0.0702,0.5371,25.3478,0.67,0.01,0.1,0.15,0.02,0.05,0,65.8,2060.6,650.2,2776.9
23,0.75,100,100,3375,0,100,76,74,226,76,0,0,1822,1,1,7,939,4,0,0,0.010978,0,3.0,0.0363,0.1106,32.0,74,0,13,13,0,0,0.67,0.67,0.0,0.03,0.14,0.03,0.0,0.13,0.0099,0.0119,99,0,0.0158,74,3301,0.0333,1,24,2772,89769,0.8712,25,0.0763,0.9999,0.5197,0.9635,0.4117,58.4253,30.555,76.9579,0.67,0.66,0.1,0.88,0.7614,0.12,0.04,0.3333,0.03,0.0,0.03,1.0,7.3333,0.0357,0.0522,0.5526,0.5114,0.0692,0.4393,0.2099,0.0689,0.5526,27.9432,0.67,0.0,0.11,0.12,0.04,0.06,0,63.7,2175.5,694.5,2934.0
24,0.75,100,100,3297,0,100,78,76,230,76,0,0,1742,0,0,7,920,6,0,0,0.010478,0,3.0,0.0282,0.121,,76,0,9,15,0,0,0.69,0.69,0.0,0.05,0.13,0.04,0.0,0.09,0.011,0.0102,100,0,0.0158,76,3221,0.034,0,25,2872,93066,0.8758,25,0.0759,0.9999,0.4932,0.9596,0.4039,58.6682,30.8915,77.5161,0.57,0.51,0.07,0.83,0.6867,0.1,0.01,0.1,0.04,0.0,0.03,0.75,12.5,0.0402,0.0559,0.5663,0.3976,0.0697,0.424,0.2072,0.0707,0.5663,26.3614,0.57,0.0,0.14,0.18,0.05,0.06,0,61.0,2261.9,666.4,2989.6
25,0.75,100,100,3382,0,100,79,76,233,78,0,0,1847,0,0,7,920,5,0,0,0.010204,0,3.0,0.0316,0.0899,,76,0,11,13,0,0,0.66,0.66,0.0,0.07,0.14,0.02,0.0,0.11,0.0116,0.0107,100,0,0.0,76,3306,0.0331,1,26,2972,96448,0.8801,25,0.0747,0.9999,0.5792,0.9557,0.4115,58.1283,30.4606,76.7018,0.68,0.66,0.09,0.92,0.7391,0.11,0.01,0.0909,0.03,0.3333,0.03,1.0,14.0,0.0347,0.0564,0.5437,0.5217,0.0719,0.4026,0.2031,0.075,0.5437,26.1957,0.68,0.0,0.09,0.12,0.04,0.07,0,60.7,2347.6,675.9,3084.4
