epoch,lr,wall_s,train_pose_sl1,train_pose_pm,train_pose_loss,train_gripper_loss,train_total,train_aux_loss,train_pose_l1,train_pose_pos_l1,train_pose_rot_l1,train_gripper_acc,train_pose_pos_m,train_pose_rot_rad,train_pose_pm_mm,train_aux_pos_mm,train_aux_rot_deg,train_aux_pm_mm,val_pose_sl1,val_pose_pm,val_pose_loss,val_gripper_loss,val_total,val_aux_loss,val_pose_l1,val_pose_pos_l1,val_pose_rot_l1,val_gripper_acc,val_pose_pos_m,val_pose_rot_rad,val_pose_pm_mm,val_aux_pos_mm,val_aux_rot_deg,val_aux_pm_mm,val_cond_delta
0,0.0009890738003669028,95.53,0.24686502907976746,0.031670058511859465,0.22169041001579484,0.0783072669918231,0.4140779766786614,0.11408029956942539,0.5242479353803708,0.4443109531201643,0.6041849175726905,0.9672266514806378,0.010526434926778622,0.052991913820792984,31.670058511859462,79.70555173848376,39.06596094555984,114.08029956942539,0.29253600663296775,0.040687252860948146,0.2848107716445761,0.052766676134267214,0.4384597271128084,0.10088228158526111,0.5957225330830357,0.5846725573771888,0.6067725191068428,0.9783616692426584,0.013746894035240782,0.05293092074900451,40.68725286094814,67.9631251582683,38.61735751055905,100.88228158526111,0.4459666311740875
1,0.0009567727288213003,96.84,0.21687024886420755,0.02846255132627243,0.19923785981257575,0.06443626580288918,0.3604213861167295,0.09674726054581531,0.47761978703913766,0.39743162040558383,0.5578079544873336,0.971875,0.009419134675242974,0.04889945391234613,28.46255132627243,67.09977714408502,34.01741082320409,96.74726054581531,0.27219550218289196,0.039866725990471,0.2790670843083855,0.05940063306385251,0.4307286186140877,0.09226090279069529,0.5642058822157947,0.5723626373171622,0.5560491238440023,0.9721792893947737,0.013498684569151131,0.048503317088579655,39.866725990471,62.513076462761326,34.46089224036813,92.2609027906953,0.47332972288131714
2,0.0009045084971874737,95.28,0.20543905802766935,0.027292274835610714,0.19104592426762765,0.061406576590811945,0.3420920168756081,0.08963951608654035,0.45897224462656877,0.38148563339932906,0.5364588581348063,0.9732132687927108,0.009039327587533513,0.04703033441732848,27.292274835610716,62.137259923108346,31.826358408333487,89.63951608654035,0.27781253767529446,0.039362625675232736,0.2755383806996957,0.03602527374462145,0.3924419079350172,0.08087824956388709,0.5781015133516866,0.570174616791734,0.5860283897593732,0.9829984547734445,0.013422395545309856,0.05115478505687054,39.362625675232735,54.62148121717909,32.73514880399823,80.8782495638871,0.5634078979492188
3,0.0008345653031794292,98.65,0.19781044176472076,0.02640130081402821,0.18480910618443697,0.05622391492512357,0.3252669741189561,0.08423395350846995,0.4458170276432211,0.3687831915456776,0.522850866415506,0.9753060933940775,0.008740928708862063,0.04578628000762984,26.40130081402821,58.16672696034023,30.004013673649627,84.23395350846994,0.2673040981731238,0.03892927954529039,0.27250495753387766,0.0355116556235913,0.39793851124079554,0.08992190050447743,0.5611091841593776,0.5633600575293787,0.5588583035806232,0.9829984544049459,0.013221465029582451,0.04884227516109461,38.92927954529039,60.235468690878086,30.466939140357816,89.92190050447742,0.6910078525543213
4,0.00075,95.62,0.1904044676953948,0.025553648794125045,0.17887554242018958,0.055074221345517524,0.31394614281985644,0.07999637895062192,0.4335081870029076,0.35728960313530883,0.5097267745567617,0.9756620159453303,0.008471246463605172,0.04461527003785744,25.553648794125046,54.86676329089189,28.198943991885375,79.99637895062192,0.2517907253683903,0.037141213284221,0.2599884940331465,0.03311392279713194,0.3770805761287164,0.08397815898751733,0.5372467468704285,0.534950048514459,0.5395434629143298,0.9853168469860897,0.012555731820313972,0.047021712701900115,37.141213284221,56.199481618666944,30.937390987041976,83.97815898751733,0.6295414566993713
5,0.0006545084971874737,97.62,0.18406293243848654,0.024828459034782063,0.17379921360751763,0.05131877262059362,0.3013988826500256,0.07628089626211512,0.4236047002612051,0.34704095943913643,0.5001684444233062,0.9777761958997722,0.008227261600714677,0.04375521115076162,24.828459034782064,52.079500347918966,26.999114991719072,76.28089626211512,0.24527052590131207,0.03660866580155017,0.25626066208484555,0.03547854716076272,0.37167932316545726,0.0799401182410706,0.5260818920787741,0.528971877933654,0.523191920802619,0.9845440494590417,0.01240224059933143,0.045650621245642536,36.608665801550174,53.098323952170574,29.00617516912841,79.94011824107059,0.722894549369812
6,0.0005522642316338268,95.3,0.1783608173285367,0.024089618890221678,0.1686273327721007,0.04908527261551028,0.2902239572350148,0.07251135138688707,0.41421151815622975,0.33646040905037883,0.49196262928510853,0.9788439635535308,0.007974068136728773,0.04299773809442759,24.08961889022168,49.39078768388557,26.170233152297453,72.51135138688707,0.233976780671563,0.03497939754329288,0.24485578202574845,0.035445722174100934,0.3569133448913993,0.07661183666685449,0.5128594779710313,0.5090463665390309,0.5166725776110771,0.9845440494590417,0.011930490908726842,0.04513212874059607,34.979397543292876,52.254008681986946,28.131658167109727,76.61183666685449,0.7606021165847778
7,0.0004477357683661734,95.97,0.17423731965057399,0.02349720363227273,0.16448042591978584,0.04594422410770504,0.27983865837029825,0.06941400817796961,0.40668761424703315,0.3287481724808591,0.48462705711297405,0.9797551252847381,0.007794245688885383,0.042363712417305466,23.49720363227273,47.2867006576007,25.449465926051055,69.41400817796962,0.24762025633841248,0.03684924541752342,0.2579447209627772,0.033173927835763145,0.36439311930440493,0.07327447317172148,0.5307098092076583,0.5374744735324217,0.5239451638836028,0.9845440494590417,0.012573860831115355,0.04560986838923908,36.84924541752342,48.684064526300894,27.414133591658906,73.27447317172147,0.8446424007415771
8,0.0003454915028125264,95.05,0.16815865256045023,0.02279706610650978,0.15957946336079296,0.042890783172718126,0.2688466100594992,0.06637636340119302,0.39696075879631393,0.31911389645112676,0.4748076228861928,0.9812784738041003,0.007565324153148639,0.04149072720310683,22.79706610650978,45.121612431214174,24.67203621670712,66.376363401193,0.23998681224963211,0.036271815936741815,0.2539027115269643,0.030209430031351733,0.35945797321232614,0.07534583237661276,0.5190801203389072,0.5271664110272892,0.5109938378496185,0.9868624420401855,0.01235124275341653,0.04450598622814765,36.27181593674182,50.57719423272971,26.242220605296527,75.34583237661276,1.1781407594680786
9,0.0002500000000000001,96.42,0.16606384365732416,0.022271690072156573,0.15590183102867328,0.04026529470327096,0.25965821633713665,0.06349109061452685,0.39214642419901957,0.31138997864071494,0.4729028715223821,0.9826808086560365,0.00737837375945715,0.04132157566454389,22.271690072156574,43.08241478301127,24.10028507982432,63.491090614526854,0.23493668508976467,0.03564350768330707,0.24950455418187648,0.0366206869074191,0.3583259569852393,0.07220071549001948,0.5128347179989173,0.5167415055922784,0.5089279292539983,0.9868624420401855,0.012143559714309998,0.04437810581586276,35.64350768330707,48.44419241032147,26.37167140644928,72.20071549001949,1.1347589492797852
