epoch,lr,wall_s,train_pose_sl1,train_pose_pm,train_pose_loss,train_gripper_loss,train_total,train_pose_l1,train_pose_pos_l1,train_pose_rot_l1,train_gripper_acc,train_pose_pos_m,train_pose_rot_rad,train_pose_pm_mm,val_pose_sl1,val_pose_pm,val_pose_loss,val_gripper_loss,val_total,val_pose_l1,val_pose_pos_l1,val_pose_rot_l1,val_gripper_acc,val_pose_pos_m,val_pose_rot_rad,val_pose_pm_mm
0,0.0009829629131445341,251.63,0.054725579999888786,0.010388875532084303,0.07272212889684808,0.002759551280482534,0.07548168012753735,0.19681394054103143,0.13551610271774545,0.25811177938544005,0.9994267359005458,0.003474366286723762,0.021513417635390872,10.388875532084302,0.0978163718306399,0.022080062783738492,0.1545604406755208,6.810922008046822e-05,0.1546285491743129,0.2893484069671466,0.29212381900388956,0.28657299228560873,1.0,0.007477819901443534,0.023843612376745645,22.080062783738494
1,0.0009330127018922195,292.69,0.054719597331641875,0.010496930925773085,0.07347851666227083,0.0023892574142474277,0.07586777406101375,0.19764153465962975,0.136676059881075,0.2586070103056869,0.9994978016979987,0.0035036585467803734,0.021539769037708576,10.496930925773086,0.10179296456825682,0.023183304848738047,0.16228313157052704,0.00015543986692097595,0.16243857038872583,0.2957097941533828,0.3065545606664765,0.28486503486509446,1.0,0.007846614857933996,0.023677296936511993,23.183304848738047
2,0.0008535533905932737,291.32,0.05367090836451985,0.010273371531281862,0.07191360089532566,0.0019147712701450797,0.07382837214420751,0.19532030142206652,0.13394684858931927,0.25669375521945836,0.9995641297756216,0.0034337862949081898,0.021385012798829105,10.273371531281862,0.10259178738831441,0.022827995828155315,0.1597959707890238,0.0001053539529363791,0.15990132499824872,0.29666319850719336,0.30172979947808504,0.2915965970847514,1.0,0.007747136653114707,0.024268649623314025,22.827995828155316
3,0.00075,292.38,0.052360354775304215,0.009971719063347428,0.06980203357883805,0.0017110364845054457,0.07151307001045756,0.19171595451432766,0.13007046189667457,0.2533614477554981,0.9995925560946027,0.003335095450732227,0.02110749580928454,9.971719063347429,0.10175536527778163,0.022414192339623128,0.15689934683697565,4.943467460085325e-05,0.15694878114895386,0.29332970082759857,0.2964644260478742,0.29019497676845235,1.0,0.007575041312095407,0.024031062388703936,22.414192339623128
4,0.0006294095225512604,281.95,0.05063643524047098,0.009613782754100141,0.06729647936723028,0.0010337062844622518,0.06833018562341366,0.18753407189363852,0.1255231350976601,0.2495450087845,0.999715736810188,0.0032188137967801406,0.020789002478653604,9.613782754100141,0.10115605702389886,0.022708939888325088,0.15896257838774552,6.455195816778585e-06,0.15896903236449023,0.292380397905519,0.2998333214036314,0.2849274578935656,1.0,0.007654416505892427,0.02365665360317602,22.708939888325087
5,0.0005,268.44,0.04915011489143727,0.00916147748250661,0.06413034250278629,0.0008973505747115422,0.06502769307643988,0.1829263414191325,0.11975512764286171,0.24609755526317692,0.9997536385688296,0.003072116106255528,0.0205114928750223,9.16147748250661,0.10029986407204623,0.022757956024372215,0.15930569423483565,0.0036526684525597375,0.1629583625953435,0.29392709483057905,0.30130006721267455,0.28655412348059867,0.9978354978354979,0.007699626536225473,0.023778077731013814,22.757956024372216
6,0.0003705904774487397,244.22,0.04726847283188604,0.008693838200326884,0.06085686746187251,0.0008063725640738605,0.06166323992322618,0.1777301112482445,0.11403604395113763,0.24142417759426152,0.9997773271679806,0.0029254293390744567,0.02013473355918987,8.693838200326885,0.10055413497087759,0.02292459278298921,0.16047214852138,3.235211821660201e-05,0.1605044999421933,0.29184684221878715,0.30330344002484244,0.28039024189695133,1.0,0.007754993306480961,0.023284363979675295,22.924592782989208
7,0.0002500000000000001,311.17,0.04565824788422965,0.008282531371646267,0.05797771962100878,0.0006688639789588967,0.058646583564809916,0.17315022618464082,0.10862611584351813,0.23767433600616572,0.9997678517283202,0.0027865017464230816,0.019819758370464464,8.282531371646266,0.09775523842993752,0.02255586310979221,0.15789104185321115,5.571510460116006e-06,0.1578966144036937,0.286454011609544,0.29917119043472007,0.2737368317522528,1.0,0.007657366075040974,0.0227526393779493,22.555863109792206
8,0.00014644660940672628,280.2,0.04453240867518905,0.00783954344615295,0.05487680424901664,0.00036174111009104425,0.05523854536679277,0.1685170083763637,0.10293857079042204,0.23409544476835997,0.9998626061249242,0.002641357381019364,0.019530570680098218,7.83954344615295,0.09942511038540246,0.0227155304388889,0.15900871322139518,0.0001000093230151156,0.1591087244289778,0.289008133532681,0.3013047999117798,0.276711468766262,1.0,0.007698710602647685,0.022974844542190884,22.715530438888898
9,6.698729810778065e-05,238.17,0.04439506618325243,0.007634569660931591,0.05344198767283311,0.0002079969337199969,0.05364998461189525,0.16698804377081758,0.1004118875715048,0.23356419924156388,0.999905245603396,0.0025769349785855974,0.01948853052549376,7.63456966093159,0.09786156969733568,0.022294484292564195,0.15606138826190652,3.185731367952605e-05,0.15609324481580164,0.2850798728404107,0.29466054991726237,0.27549918176549854,1.0,0.007538623107976212,0.022858305535888,22.294484292564196
