epoch,lr,wall_s,train_pose_sl1,train_pose_pm,train_pose_loss,train_gripper_loss,train_total,train_pose_l1,train_pose_pos_l1,train_pose_rot_l1,train_gripper_acc,train_pose_pos_m,train_pose_rot_rad,train_pose_pm_mm,val_pose_sl1,val_pose_pm,val_pose_loss,val_gripper_loss,val_total,val_pose_l1,val_pose_pos_l1,val_pose_rot_l1,val_gripper_acc,val_pose_pos_m,val_pose_rot_rad,val_pose_pm_mm
0,0.0009829629131445341,86.47,0.054139162175753514,0.01082816353709937,0.07579714487631059,0.002987661212862495,0.07878480615225296,0.18755633408270814,0.14056541345131746,0.23454725484189612,0.9993701758147513,0.0036008977201427007,0.019523095470528863,10.82816353709937,0.053464981707143575,0.014753501301881296,0.10327450953649753,8.87938238528166e-05,0.10336330252421366,0.20356478725934957,0.1970823843886842,0.210047194193968,1.0,0.005048049809370851,0.017482609903335056,14.753501301881297
1,0.0009330127018922195,74.99,0.053005993963693675,0.010647298293316012,0.0745310882684706,0.0028027624443529805,0.07733385078289497,0.18674142148799389,0.13845463193582425,0.23502821250344222,0.9991557675814752,0.003544346971148194,0.019562138136680753,10.64729829331601,0.056406066265134586,0.015674427744339813,0.10972099494817969,5.266866284799036e-05,0.10977366339270171,0.21245123275043645,0.20610360823797458,0.2187988625847416,1.0,0.005288665121405091,0.018196637758348153,15.674427744339813
2,0.0008535533905932737,78.26,0.05247395276052056,0.01038941729048628,0.0727259212175119,0.0016775302926529685,0.07440345161826083,0.1845534708906815,0.13537341577366735,0.23373352591823754,0.9995175814751286,0.003468963689383241,0.019440790593598555,10.38941729048628,0.05140621091735054,0.014634167134471528,0.10243917075973569,1.1745641986084538e-05,0.10245091726124544,0.20078387514595344,0.19357203866367217,0.20799570830611439,1.0,0.004939638565040447,0.017217548701154207,14.634167134471529
3,0.00075,88.6,0.04898167953796135,0.00987704089198958,0.06913928637731545,0.0018248133748568858,0.0709640996955578,0.17785656597867838,0.1285858960569825,0.22712723555532163,0.9994773799313894,0.003297359317997998,0.018903919536377562,9.87704089198958,0.05092116437239564,0.014818223221509746,0.10372756282875548,1.003338562850528e-05,0.10373759627729268,0.20178864509254307,0.19557503962413572,0.20800226352689585,1.0,0.005018067527038259,0.017248084534814346,14.818223221509745
4,0.0006294095225512604,103.66,0.04728830811498914,0.009428898692466511,0.06600229089399144,0.0013537512080992414,0.06735604214857414,0.17228643387862788,0.12296433677804204,0.22160852976513973,0.9996247855917667,0.003150747768863665,0.018452083634445844,9.428898692466511,0.05186894448127324,0.014521506735934065,0.10165054654275184,0.00047663736985633514,0.10212718453500177,0.19987199939303585,0.19226658118493628,0.20747741295661762,1.0,0.004896928270012786,0.01719059359314509,14.521506735934066
5,0.0005,192.39,0.047137740191142516,0.008985289950786386,0.0628970297817045,0.0011548664924349989,0.06405189619311746,0.16881826746806272,0.11710300026253812,0.22053353298027356,0.9995711835334476,0.0030005531841617453,0.018382016411226876,8.985289950786385,0.051356528284939335,0.014196067213915385,0.09937247156580806,7.2697988798609e-05,0.09944516997703742,0.1957800103859468,0.18748801266089146,0.20407201717426252,1.0,0.004801413584581186,0.01694902071721239,14.196067213915386
6,0.0003705904774487397,125.27,0.04399767070673215,0.008377008445602466,0.05863905922345191,0.0006273600833546218,0.05926641928252491,0.1611361764371395,0.10950819338714994,0.2127641585126749,0.9997721912521441,0.002808772676063647,0.017727588147634248,8.377008445602467,0.05149916505433006,0.014711823056399564,0.10298276224951723,0.0002698824743371612,0.10325264482400118,0.198556500789407,0.194103238644538,0.20300975925736614,1.0,0.004964382311095407,0.016833047414787146,14.711823056399565
7,0.0002500000000000001,106.51,0.043198003505530734,0.007932777328042899,0.05552944137777104,0.0006351277155670222,0.05616456903133855,0.15686783820748534,0.10385045143384262,0.20988522409932692,0.9997319897084048,0.002664427936422969,0.017493970886249842,7.932777328042898,0.0525425983536424,0.014686710269742715,0.10280697173499442,5.8810316789146914e-06,0.10281285298464102,0.19968731907797066,0.19577807352527396,0.20359656801729492,1.0,0.004999578128129373,0.016880996916362474,14.686710269742713
8,0.00014644660940672628,84.27,0.041312440254567366,0.007438096933076429,0.0520666786173988,0.0005115786508714924,0.05257825723866809,0.1514850277166117,0.09755085332328725,0.20541920102685435,0.9998123927958834,0.002503743614361655,0.017134268026907592,7.43809693307643,0.05108668906735135,0.014337472815179464,0.10036231135522132,5.6397484001744886e-06,0.10036795126733841,0.19526266748512977,0.190996573536427,0.19952876585257517,1.0,0.004873110502514811,0.016552020005430237,14.337472815179463
9,6.698729810778065e-05,98.57,0.042040232789429546,0.007162832834727513,0.050139829887022896,0.0002852055108437576,0.05042503537900912,0.14937601874919534,0.09376893698287357,0.2049830990298739,0.9998793953687821,0.002405874281271008,0.01709210852202584,7.162832834727513,0.0511113881290733,0.014403621670165104,0.10082535303774334,5.0597622407917405e-05,0.10087595015635221,0.1953937771903488,0.19182767560987762,0.19895989012408566,1.0,0.004892720045618616,0.016516495548446714,14.403621670165103
10,1.70370868554659e-05,84.58,0.04082896506356309,0.006915436926023079,0.048408058612554705,0.0002731158595006293,0.04868117450875443,0.1467734738979904,0.09089224348819173,0.20265470291160392,0.9999195969125214,0.0023348707973112003,0.016915955540035593,6.915436926023079,0.050602748998122296,0.014245404478855979,0.09971783097301211,8.094196629149712e-05,0.09979877343554518,0.1939648109210002,0.18951801755727626,0.1984116088647347,1.0,0.004835697094551026,0.016470722761408332,14.24540447885598
11,0.0,80.63,0.03962706312406201,0.006717339576394529,0.04702137718152887,0.000318740016306268,0.0473401171968384,0.1435755536816439,0.08809810834673215,0.19905299833923015,0.9998793953687821,0.002261979925453401,0.01661264688642392,6.7173395763945285,0.05036901693904039,0.01420349654342447,0.099424475070202,2.6279651860361168e-05,0.09945075510642229,0.1931131762085539,0.18908988916641706,0.19713645999307755,1.0,0.004823157189865456,0.016366262541221074,14.20349654342447
