iter,beta,m,episodes,steps,skipped,pinned,reached_standoff,reached_grasp,reach_steps,omg_fail,goal_switch,expert_steps,policy_closed,policy_close_cmds,dropped_tail,dart,dart_env_done,mean_min_pos,mean_min_rot,mean_policy_close_step,c_close_label,c_policy_close,c_max_steps,c_env_done,c_no_labels,c_omg_fail0,revisits,grasp_mismatch,max_grasp_drift,close_labels,approach_labels,mean_label_pos,tiny_labels,aggregate_files,D_episodes,D_steps,D_dagger_frac,epochs,train_loss,train_grip_acc,val_loss,val_grip_acc,best_val_loss,success_rate,grasp_rate,near_rate,close_rate,close_success_rate,chance_rate,missed_rate,miss_given_chance,eval_min_pos,eval_min_rot,mean_dist,mean_pos_err,mean_rot_err,mean_close_step,f_grasp_ok,f_grasp_miss,f_no_release,f_drop,f_timeout,f_human_contact,is_best,collect_s,train_s,eval_s,wall_s
10,0.7,100,100,3387,0,100,85,78,488,0,0,1972,0,0,6,656,5,0.0253,0.0607,,78,0,10,12,0,0,90,0,0.0116,78,3309,0.0307,1,11,1472,43638,0.7729,25,0.0774,0.9952,0.2666,0.986,0.2507,0.59,0.59,0.12,0.62,0.9516,0.14,0.02,0.1429,0.068,0.4963,0.1738,0.0604,0.5635,26.0484,0.59,0.0,0.01,0.16,0.07,0.17,0,56.5,1055.9,529.5,1642.2
11,0.6667,100,100,3479,0,100,78,73,454,0,0,1879,0,0,9,770,7,0.031,0.0981,,73,0,9,18,0,0,91,0,0.01,73,3406,0.0321,1,12,1572,47117,0.7896,25,0.0766,0.9954,0.2857,0.9804,0.2633,,,,,,,,,,,,,,,,,,,,,0,55.7,1165.9,0.0,1222.0
12,0.6333,100,100,3557,0,100,74,69,436,0,0,1883,2,3,4,749,8,0.0317,0.0873,28.5,69,0,15,16,0,0,92,0,0.0188,69,3488,0.0311,0,13,1672,50674,0.8044,25,0.0787,0.9948,0.2894,0.9748,0.2715,0.49,0.47,0.04,0.61,0.8033,0.04,0.01,0.25,0.0849,0.7273,0.1729,0.0759,0.7906,25.623,0.49,0.0,0.1,0.09,0.04,0.28,0,62.0,1232.9,531.1,1826.8
13,0.6,100,100,3333,0,100,75,73,440,0,0,1692,4,15,9,686,5,0.0314,0.1035,25.5,73,0,7,20,0,0,90,0,0.0158,73,3260,0.0325,3,14,1772,54007,0.8165,25,0.0755,0.996,0.2967,0.9776,0.2766,,,,,,,,,,,,,,,,,,,,,0,54.8,1334.4,0.0,1389.4
14,0.5667,100,100,3369,0,100,75,67,432,0,0,1647,1,3,4,680,5,0.0335,0.0855,41.0,67,0,14,19,0,0,98,0,0.0186,67,3302,0.0321,0,15,1872,57376,0.8272,25,0.0761,0.9963,0.312,0.9804,0.275,0.37,0.38,0.02,0.45,0.8222,0.02,0.01,0.5,0.0864,0.6945,0.1748,0.0821,1.0439,24.7333,0.37,0.01,0.06,0.2,0.04,0.32,0,51.6,1433.0,512.9,1997.9
15,0.5333,100,100,3519,0,100,72,64,409,0,0,1558,0,0,7,827,14,0.0349,0.1052,,64,0,11,25,0,0,94,0,0.0108,64,3455,0.0329,3,16,1972,60895,0.8372,25,0.0772,0.9966,0.328,0.9748,0.2698,,,,,,,,,,,,,,,,,,,,,0,54.5,1507.1,0.0,1562.0
16,0.5,100,100,3544,0,100,76,71,444,0,0,1589,1,2,5,762,8,0.0318,0.0929,20.0,71,0,11,18,0,0,97,0,0.0158,71,3473,0.031,3,17,2072,64439,0.8462,25,0.0785,0.9959,0.3382,0.9692,0.2799,0.55,0.53,0.06,0.59,0.9322,0.06,0.0,0.0,0.0792,0.6617,0.173,0.0789,0.9731,28.0847,0.55,0.0,0.02,0.12,0.06,0.25,0,55.5,1593.6,564.0,2213.5
17,0.4778,100,100,3567,0,100,76,69,430,0,0,1511,4,12,7,752,4,0.0345,0.1032,38.0,69,0,14,17,0,0,96,0,0.0108,69,3498,0.0314,2,18,2172,68006,0.8542,25,0.0764,0.9966,0.3243,0.9692,0.2794,,,,,,,,,,,,,,,,,,,,,0,60.3,1761.6,0.0,1822.4
18,0.4556,100,100,3602,0,100,70,67,404,0,0,1483,2,7,9,707,5,0.0399,0.1076,35.0,67,0,11,22,0,0,97,1,0.0293,67,3535,0.0317,0,19,2272,71608,0.8616,25,0.075,0.9964,0.3134,0.972,0.2762,0.55,0.54,0.12,0.59,0.9322,0.13,0.01,0.0769,0.0689,0.4335,0.174,0.0511,0.4641,27.2542,0.55,0.0,0.03,0.13,0.07,0.22,0,57.5,1782.4,558.3,2398.6
19,0.4333,100,100,3614,0,100,75,70,442,0,0,1402,1,9,3,768,7,0.0317,0.08,39.0,70,0,17,13,0,0,94,1,0.027,70,3544,0.0318,2,20,2372,75222,0.8682,25,0.0762,0.9968,0.3379,0.9776,0.2899,,,,,,,,,,,,,,,,,,,,,0,58.1,2130.4,0.0,2189.1
20,0.4111,100,100,3371,0,100,75,67,430,0,0,1256,1,1,11,696,5,0.032,0.1009,18.0,67,0,13,20,0,0,99,0,0.0108,67,3304,0.0316,2,21,2472,78593,0.8739,25,0.0713,0.9972,0.3128,0.9804,0.2947,0.51,0.51,0.06,0.58,0.8793,0.07,0.01,0.1429,0.0785,0.5655,0.1744,0.0618,0.6909,29.5862,0.51,0.0,0.03,0.16,0.08,0.22,0,51.6,2451.8,588.2,3092.5
21,0.3889,100,100,3658,0,100,63,62,372,0,0,1301,0,0,0,804,12,0.0414,0.1136,,62,0,16,22,0,0,98,0,0.0108,62,3596,0.0309,7,22,2572,82251,0.8795,25,0.0776,0.9966,0.32,0.9776,0.2914,,,,,,,,,,,,,,,,,,,,,0,67.8,2105.8,0.0,2174.0
22,0.3667,100,100,3788,0,100,70,63,397,0,0,1239,0,0,2,866,5,0.0338,0.0857,,63,0,23,14,0,0,99,0,0.0101,63,3725,0.0313,0,23,2672,86039,0.8848,25,0.0753,0.9969,0.3349,0.9776,0.2824,0.27,0.27,0.0,0.31,0.871,0.02,0.02,1.0,0.0827,0.6386,0.1986,0.0827,0.7067,30.2903,0.27,0.0,0.03,0.37,0.08,0.25,0,56.8,2138.2,561.0,2756.6
23,0.3444,100,100,3640,0,100,65,59,372,0,0,1188,3,17,5,748,9,0.0445,0.1443,27.33,59,0,19,22,0,0,99,0,0.0018,59,3581,0.0319,0,24,2772,89679,0.8895,25,0.0759,0.9978,0.3607,0.9748,0.2883,,,,,,,,,,,,,,,,,,,,,0,59.6,2217.8,0.0,2277.7
24,0.3222,100,100,3530,0,100,64,62,376,0,0,1044,5,17,5,857,9,0.0406,0.1384,30.8,62,0,12,26,0,0,100,0,0.0158,62,3468,0.0352,4,25,2872,93209,0.8937,25,0.0744,0.9977,0.3593,0.9832,0.2936,0.57,0.54,0.01,0.63,0.9048,0.03,0.01,0.3333,0.0939,0.6784,0.1812,0.0916,0.9359,27.9683,0.57,0.0,0.03,0.18,0.06,0.16,0,56.4,2133.9,553.9,2744.8
25,0.3,100,100,3730,0,100,67,57,366,0,0,1051,2,24,5,823,8,0.0412,0.1251,29.5,57,0,20,23,0,0,100,0,0.0158,57,3673,0.0325,6,26,2972,96939,0.8978,25,0.0758,0.9977,0.3542,0.9748,0.2875,0.47,0.47,0.05,0.54,0.8704,0.06,0.01,0.1667,0.0892,0.5734,0.1813,0.0639,0.9108,29.3889,0.47,0.0,0.03,0.18,0.1,0.22,0,55.3,2247.6,586.6,2889.9
