iter,beta,m,episodes,steps,skipped,pinned,reached_standoff,reached_grasp,reach_steps,settle_steps,omg_fail,goal_switch,expert_steps,policy_closed,policy_close_cmds,dropped_tail,dart,dart_env_done,dart_reach,dart_reject,dart_sigma_trace,dart_noise_steps,dart_alpha,mean_min_pos,mean_min_rot,mean_policy_close_step,c_close_label,c_policy_close,c_max_steps,c_env_done,c_no_labels,c_omg_fail0,c_success_rate,co_grasp_ok,co_grasp_miss,co_no_release,co_drop,co_human_contact,co_bench_timeout,co_timeout,c_reach_pos,c_reach_rot,revisits,grasp_mismatch,max_grasp_drift,close_labels,approach_labels,mean_label_pos,tiny_labels,aggregate_files,D_episodes,D_steps,D_dagger_frac,epochs,train_loss,train_grip_acc,val_loss,val_grip_acc,best_val_loss,aux_pos_mm,aux_rot_deg,aux_pm_mm,success_rate,grasp_rate,near_rate,close_rate,close_success_rate,chance_rate,missed_rate,miss_given_chance,box_chance_rate,box_taken_rate,box_missed_rate,miss_given_box,mean_box_steps,mean_box_frac,mean_reach_pos_err,mean_reach_rot_err,box_after_rate,eval_min_pos,eval_min_rot,mean_dist,mean_pos_err,mean_rot_err,mean_close_step,dir_err,dir_err_median,dir_track,sector_err,bin_hit_rate,bin_diag_rate,cond_sep,retry_at_1,retry_at_2,retry_at_3,retry_at_4,retry_bin_1,retry_bin_2,retry_bin_3,retry_bin_4,retry_bin_frac_1,retry_bin_frac_2,retry_bin_frac_3,retry_bin_frac_4,succ_bin_0,succ_bin_1,succ_bin_2,succ_bin_3,succ_bin_4,succ_bin_5,n_bin_0,n_bin_1,n_bin_2,n_bin_3,n_bin_4,n_bin_5,succ_g0,succ_g1,f_grasp_ok,f_grasp_miss,f_no_release,f_drop,f_timeout,f_human_contact,ff_grasp_miss,ff_no_release,ff_drop,ff_timeout,ff_human_contact,is_best,collect_s,train_s,eval_s,wall_s,c_episodes_b0,c_reached_standoff_b0,c_reached_grasp_b0,c_policy_closed_b0,c_success_b0,c_episodes_b1,c_reached_standoff_b1,c_reached_grasp_b1,c_policy_closed_b1,c_success_b1,c_episodes_b2,c_reached_standoff_b2,c_reached_grasp_b2,c_policy_closed_b2,c_success_b2,c_episodes_b3,c_reached_standoff_b3,c_reached_grasp_b3,c_policy_closed_b3,c_success_b3,c_episodes_b4,c_reached_standoff_b4,c_reached_grasp_b4,c_policy_closed_b4,c_success_b4,c_episodes_b5,c_reached_standoff_b5,c_reached_grasp_b5,c_policy_closed_b5,c_success_b5,n_b0,close_rate_b0,near_rate_b0,grasp_rate_b0,success_rate_b0,box_chance_rate_b0,box_taken_rate_b0,miss_given_box_b0,close_success_rate_b0,mean_box_frac_b0,eval_min_pos_b0,eval_min_rot_b0,mean_pos_err_b0,mean_rot_err_b0,dir_err_b0,dir_track_b0,sector_err_b0,bin_hit_rate_b0,bin_diag_rate_b0,f_grasp_ok_b0,f_grasp_miss_b0,f_no_release_b0,f_drop_b0,f_timeout_b0,f_human_contact_b0,ff_grasp_miss_b0,ff_no_release_b0,ff_drop_b0,ff_timeout_b0,ff_human_contact_b0,n_b1,close_rate_b1,near_rate_b1,grasp_rate_b1,success_rate_b1,box_chance_rate_b1,box_taken_rate_b1,miss_given_box_b1,close_success_rate_b1,mean_box_frac_b1,eval_min_pos_b1,eval_min_rot_b1,mean_pos_err_b1,mean_rot_err_b1,dir_err_b1,dir_track_b1,sector_err_b1,bin_hit_rate_b1,bin_diag_rate_b1,f_grasp_ok_b1,f_grasp_miss_b1,f_no_release_b1,f_drop_b1,f_timeout_b1,f_human_contact_b1,ff_grasp_miss_b1,ff_no_release_b1,ff_drop_b1,ff_timeout_b1,ff_human_contact_b1,n_b2,close_rate_b2,near_rate_b2,grasp_rate_b2,success_rate_b2,box_chance_rate_b2,box_taken_rate_b2,miss_given_box_b2,close_success_rate_b2,mean_box_frac_b2,eval_min_pos_b2,eval_min_rot_b2,mean_pos_err_b2,mean_rot_err_b2,dir_err_b2,dir_track_b2,sector_err_b2,bin_hit_rate_b2,bin_diag_rate_b2,f_grasp_ok_b2,f_grasp_miss_b2,f_no_release_b2,f_drop_b2,f_timeout_b2,f_human_contact_b2,ff_grasp_miss_b2,ff_no_release_b2,ff_drop_b2,ff_timeout_b2,ff_human_contact_b2,n_b3,close_rate_b3,near_rate_b3,grasp_rate_b3,success_rate_b3,box_chance_rate_b3,box_taken_rate_b3,miss_given_box_b3,close_success_rate_b3,mean_box_frac_b3,eval_min_pos_b3,eval_min_rot_b3,mean_pos_err_b3,mean_rot_err_b3,dir_err_b3,dir_track_b3,sector_err_b3,bin_hit_rate_b3,bin_diag_rate_b3,f_grasp_ok_b3,f_grasp_miss_b3,f_no_release_b3,f_drop_b3,f_timeout_b3,f_human_contact_b3,ff_grasp_miss_b3,ff_no_release_b3,ff_drop_b3,ff_timeout_b3,ff_human_contact_b3,n_b4,close_rate_b4,near_rate_b4,grasp_rate_b4,success_rate_b4,box_chance_rate_b4,box_taken_rate_b4,miss_given_box_b4,close_success_rate_b4,mean_box_frac_b4,eval_min_pos_b4,eval_min_rot_b4,mean_pos_err_b4,mean_rot_err_b4,dir_err_b4,dir_track_b4,sector_err_b4,bin_hit_rate_b4,bin_diag_rate_b4,f_grasp_ok_b4,f_grasp_miss_b4,f_no_release_b4,f_drop_b4,f_timeout_b4,f_human_contact_b4,ff_grasp_miss_b4,ff_no_release_b4,ff_drop_b4,ff_timeout_b4,ff_human_contact_b4,n_b5,close_rate_b5,near_rate_b5,grasp_rate_b5,success_rate_b5,box_chance_rate_b5,box_taken_rate_b5,miss_given_box_b5,close_success_rate_b5,mean_box_frac_b5,eval_min_pos_b5,eval_min_rot_b5,mean_pos_err_b5,mean_rot_err_b5,dir_err_b5,dir_track_b5,sector_err_b5,bin_hit_rate_b5,bin_diag_rate_b5,f_grasp_ok_b5,f_grasp_miss_b5,f_no_release_b5,f_drop_b5,f_timeout_b5,f_human_contact_b5,ff_grasp_miss_b5,ff_no_release_b5,ff_drop_b5,ff_timeout_b5,ff_human_contact_b5
0,1.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4578,86315,0.0,15,0.1562,0.9883,0.2313,0.9904,0.2296,43.7417,19.775,64.2684,0.4058,0.4058,0.0,0.4275,0.9492,0.0,0.0,,0.5145,0.7465,0.1304,0.2535,2.5493,0.4679,,,,0.114,0.8859,0.1571,0.0907,1.1686,27.7966,59.0144,56.1696,0.3443,65.6218,0.3043,0.4058,0.4066,0.55,0.6,0.6,0.6,0,2,4,0,0.6,0.55,0.4737,0.6154,0.6667,,0.6857,0.0,0.186,,36.0,0.0,35.0,24.0,43.0,0.0,0.55,0.55,0.4058,0.0,0.0217,0.2101,0.0,0.3623,0.0,0.0366,0.3537,0.0,0.6098,1,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,0.6667,0.0,0.6667,0.6667,0.5833,1.0,0.0,1.0,0.5136,0.0792,1.0275,0.0814,1.4802,20.9245,0.7675,21.7001,0.8333,0.9167,0.6667,0.0,0.0,0.0833,0.0,0.25,0.0,0.0,0.25,0.0,0.75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,0.7714,0.0,0.6857,0.6857,0.8571,0.8,0.2,0.8889,0.7364,0.093,0.6066,0.09,0.7336,38.7677,0.5692,49.7975,0.3429,0.5143,0.6857,0.0,0.0857,0.0857,0.0,0.1429,0.0,0.2727,0.2727,0.0,0.4545,24,0.0,0.0,0.0,0.0,0.25,0.0,1.0,,0.2347,0.1754,1.5049,,,116.4167,-0.2935,101.3051,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.25,0.0,0.75,43,0.186,0.0,0.186,0.186,0.3256,0.5714,0.4286,1.0,0.3412,0.1259,0.6493,0.1209,1.7021,75.3451,0.1628,95.3573,0.0,0.1163,0.186,0.0,0.0,0.3953,0.0,0.4186,0.0,0.0,0.4857,0.0,0.5143,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0,368,368,12445,0,365,247,216,1472,0,0,6,8573,0,0,73,3362,31,367,179,0.027079,0,3.0,0.0551,0.2044,,216,0,48,104,0,0,0.5245,0.5245,0.0027,0.0435,0.1902,0.1087,0.0,0.1304,,,0,0,0.0,216,12229,0.038,1,2,4946,98760,0.126,15,0.141,0.9929,0.2349,0.989,0.2349,41.5858,19.2825,62.4545,0.4348,0.4348,0.0,0.5,0.8696,0.0072,0.0072,1.0,0.3696,0.9412,0.0217,0.0588,1.8824,0.3687,,,,0.0907,0.7724,0.1739,0.0741,1.1233,25.2609,37.2339,26.4277,0.5863,49.9291,0.3043,0.7391,0.6457,0.35,0.6,0.6,0.6,0,2,4,0,0.6,0.55,0.4737,0.6154,0.4167,,0.6,0.25,0.4186,,36.0,0.0,35.0,24.0,43.0,0.0,0.35,0.5,0.4348,0.0,0.0435,0.3333,0.0,0.1884,0.0,0.0769,0.5897,0.0,0.3333,1,746.9,2014.7,529.5,3291.1,118,92,86,0,77,0,0,0,0,0,74,41,34,0,33,66,33,29,0,24,110,81,67,0,59,0,0,0,0,0,36,0.5,0.0,0.4167,0.4167,0.4167,1.0,0.0,0.8333,0.4082,0.0859,1.0817,0.0665,1.623,22.3362,0.7518,25.6237,0.6667,1.0,0.4167,0.0,0.0,0.3333,0.0,0.25,0.0,0.0,0.5714,0.0,0.4286,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,0.6857,0.0,0.6,0.6,0.6,0.8571,0.1429,0.875,0.5388,0.0768,0.6233,0.08,0.9058,38.7742,0.5692,51.9388,0.0857,0.6571,0.6,0.0,0.0857,0.2286,0.0,0.0857,0.0,0.2143,0.5714,0.0,0.2143,24,0.375,0.0,0.25,0.25,0.125,1.0,0.0,0.6667,0.1505,0.1177,0.8657,0.0429,0.6893,62.1586,0.3093,56.7164,0.375,0.5,0.25,0.0,0.125,0.25,0.0,0.375,0.0,0.1667,0.3333,0.0,0.5,43,0.4186,0.0,0.4186,0.4186,0.2791,1.0,0.0,1.0,0.3189,0.0912,0.5826,0.0893,1.1306,34.5412,0.6162,64.8538,0.1395,0.7209,0.4186,0.0,0.0,0.4651,0.0,0.1163,0.0,0.0,0.8,0.0,0.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.95,357,357,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,3.0,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-1,-1,,-1,-1,,-1,3,5303,110037,0.2156,15,0.1348,0.9958,0.2434,0.9882,0.2405,41.6952,18.7484,62.4632,0.4348,0.413,0.0,0.5,0.8696,0.0072,0.0072,1.0,0.4348,0.95,0.087,0.2,2.45,0.4525,,,,0.0826,0.7434,0.1801,0.0725,0.9675,25.2609,30.8263,23.2263,0.6575,43.0868,0.3406,0.7391,0.5189,0.5,0.6,0.7,0.7,0,2,4,0,0.6,0.55,0.4737,0.6154,0.6667,,0.3429,0.375,0.3488,,36.0,0.0,35.0,24.0,43.0,0.0,0.5,0.4,0.4348,0.0,0.0217,0.3188,0.0435,0.1812,0.0,0.0385,0.5641,0.0769,0.3205,0,0.0,2224.2,541.4,2765.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36,0.75,0.0,0.6667,0.6667,0.6667,1.0,0.125,0.8889,0.6156,0.0777,0.9825,0.0754,1.1264,21.3927,0.7623,23.5082,0.6667,0.9167,0.6667,0.0,0.0,0.0833,0.1667,0.0833,0.0,0.0,0.25,0.5,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,0.5143,0.0,0.3429,0.3429,0.4286,1.0,0.4,0.6667,0.4968,0.0733,0.6045,0.0583,0.7786,37.4551,0.5838,50.1346,0.0857,0.6571,0.3429,0.0,0.0857,0.4286,0.0,0.1429,0.0,0.1304,0.6522,0.0,0.2174,24,0.375,0.0,0.25,0.375,0.125,1.0,0.0,1.0,0.2219,0.0936,0.7921,0.0593,0.5937,45.3195,0.4964,43.2991,0.5,0.5,0.375,0.0,0.0,0.25,0.0,0.375,0.0,0.0,0.4,0.0,0.6,43,0.3488,0.0,0.3488,0.3488,0.4186,0.8333,0.1667,1.0,0.4086,0.0882,0.629,0.0924,1.1323,25.2396,0.7196,53.6232,0.186,0.7907,0.3488,0.0,0.0,0.4651,0.0,0.186,0.0,0.0,0.7143,0.0,0.2857,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.9,356,356,11781,0,356,235,203,1391,0,0,0,7494,1,1,80,3109,29,339,164,0.022958,0,3.0,0.0497,0.1867,43.0,203,0,39,114,0,0,0.4831,0.4831,0.0028,0.0365,0.2781,0.0927,0.0,0.1096,,,58,0,0.0,203,11578,0.0389,4,4,5659,121818,0.2914,15,0.1304,0.9975,0.2453,0.9898,0.2423,40.6503,18.471,61.5309,0.4783,0.4783,0.0,0.5652,0.8462,0.0,0.0,,0.5435,0.88,0.0652,0.12,2.64,0.5013,,,,0.0762,0.7244,0.165,0.0715,0.853,24.9231,28.2418,23.6122,0.6862,41.924,0.3913,0.8261,0.5481,0.5,0.65,0.7,0.7,0,2,4,0,0.6,0.55,0.4737,0.6154,0.4167,,0.6,0.375,0.4884,,36.0,0.0,35.0,24.0,43.0,0.0,0.5,0.55,0.4783,0.0,0.087,0.2319,0.0,0.2029,0.0,0.1667,0.4444,0.0,0.3889,1,691.8,2461.1,534.4,3687.4,120,88,79,0,66,0,0,0,0,0,66,37,32,0,28,71,45,37,1,33,99,65,55,0,45,0,0,0,0,0,36,0.5,0.0,0.4167,0.4167,0.5833,0.7143,0.2857,0.8333,0.5782,0.0692,0.963,0.0544,1.1732,25.3939,0.7178,33.286,0.6667,0.9167,0.4167,0.0,0.0833,0.1667,0.0,0.3333,0.0,0.1429,0.2857,0.0,0.5714,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,0.6857,0.0,0.6,0.6,0.6,1.0,0.0,0.875,0.5965,0.0799,0.6437,0.0705,0.7433,35.2419,0.6084,51.3248,0.0857,0.8286,0.6,0.0,0.0857,0.1714,0.0,0.1429,0.0,0.2143,0.4286,0.0,0.3571,24,0.375,0.0,0.375,0.375,0.375,1.0,0.0,1.0,0.3061,0.0743,0.6554,0.0553,0.3866,31.1655,0.6537,31.3272,0.625,0.625,0.375,0.0,0.0,0.375,0.0,0.25,0.0,0.0,0.6,0.0,0.4,43,0.6279,0.0,0.4884,0.4884,0.5581,0.875,0.125,0.7778,0.4684,0.0802,0.629,0.0892,0.8926,23.2964,0.7412,47.4185,0.2791,0.8605,0.4884,0.0,0.1395,0.2558,0.0,0.1163,0.0,0.2727,0.5,0.0,0.2273,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.85,342,342,11225,0,342,212,184,1240,0,0,0,6704,3,3,73,3024,41,304,117,0.022398,0,3.0,0.0547,0.1972,35.0,184,0,31,127,0,0,0.4152,0.4152,0.0029,0.0439,0.3655,0.0819,0.0,0.0906,,,84,0,0.0,184,11041,0.0388,3,5,6001,133043,0.3512,15,0.1296,0.9978,0.2544,0.9898,0.2497,40.3381,19.0365,61.2103,0.5652,0.5,0.0,0.6087,0.9286,0.0,0.0,,0.4565,0.8571,0.1087,0.2381,3.2381,0.4379,,,,0.0689,0.7631,0.1634,0.0722,0.9058,24.9286,25.6769,22.3573,0.7147,44.4989,0.3478,0.8478,0.5316,0.5,0.7,0.75,0.75,0,2,4,0,0.6,0.55,0.4737,0.6154,0.5,,0.6857,0.5,0.5581,,36.0,0.0,35.0,24.0,43.0,0.0,0.5,0.6,0.5652,0.0,0.0217,0.2029,0.0,0.2101,0.0,0.05,0.4667,0.0,0.4833,1,618.4,2686.4,557.6,3862.5,103,73,67,0,55,0,0,0,0,0,77,44,34,0,30,61,33,28,2,18,101,62,55,1,39,0,0,0,0,0,36,0.5,0.0,0.4167,0.5,0.4167,0.6,0.4,1.0,0.4065,0.0621,1.1333,0.0817,1.4094,19.3602,0.7849,32.5781,0.6667,1.0,0.5,0.0,0.0,0.1667,0.0,0.3333,0.0,0.0,0.3333,0.0,0.6667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,0.7714,0.0,0.5143,0.6857,0.6,0.8571,0.2857,0.8889,0.5108,0.0759,0.6459,0.0668,0.8967,37.2962,0.5856,50.4769,0.0857,0.6571,0.6857,0.0,0.0857,0.0571,0.0,0.1714,0.0,0.2727,0.1818,0.0,0.5455,24,0.5,0.0,0.5,0.5,0.375,1.0,0.0,1.0,0.3622,0.0643,0.6648,0.0437,0.7624,25.4886,0.7168,33.3879,0.5,0.75,0.5,0.0,0.0,0.125,0.0,0.375,0.0,0.0,0.25,0.0,0.75,43,0.6279,0.0,0.5581,0.5581,0.4186,1.0,0.1667,0.8889,0.4471,0.0716,0.6034,0.0838,0.6429,21.6128,0.7599,55.8147,0.2093,0.9302,0.5581,0.0,0.0,0.3953,0.0,0.0465,0.0,0.0,0.8947,0.0,0.1053,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.8,351,351,12031,0,350,226,199,1340,0,0,1,6908,5,5,69,3140,35,332,148,0.021267,0,3.0,0.0576,0.1939,31.6,199,0,36,116,0,0,0.4786,0.4786,0.0028,0.037,0.2735,0.1054,0.0,0.1026,,,127,0,0.0,199,11832,0.0382,11,6,6352,145074,0.405,15,0.1279,0.9986,0.268,0.9887,0.2599,40.6102,19.1284,61.6174,0.5,0.4783,0.0652,0.5797,0.8625,0.0652,0.0,0.0,0.5797,0.775,0.1449,0.25,2.9875,0.5333,,,,0.0743,0.6828,0.1645,0.0637,0.7673,24.05,26.3718,20.2143,0.707,40.2873,0.3696,0.8913,0.5162,0.3,0.55,0.65,0.7,0,2,4,0,0.6,0.55,0.4737,0.6154,0.25,,0.6,0.5,0.6279,,36.0,0.0,35.0,24.0,43.0,0.0,0.3,0.55,0.5,0.0,0.0797,0.2029,0.0217,0.1957,0.0,0.1594,0.4058,0.0435,0.3913,0,669.6,2931.0,553.1,4153.8,96,69,65,1,55,0,0,0,0,0,71,39,34,1,29,81,49,43,2,34,103,69,57,1,50,0,0,0,0,0,36,0.3333,0.0833,0.25,0.25,0.4167,0.2,0.8,0.75,0.4065,0.0747,0.9591,0.045,1.0825,21.0696,0.7659,26.5005,0.6667,0.9167,0.25,0.0,0.0833,0.1667,0.0833,0.4167,0.0,0.1111,0.2222,0.1111,0.5556,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,0.6571,0.0857,0.6,0.6,0.6571,1.0,0.087,0.913,0.6426,0.0856,0.5019,0.0749,0.5951,42.468,0.5281,58.6335,0.0857,0.6571,0.6,0.0,0.0571,0.1714,0.0,0.1714,0.0,0.1429,0.4286,0.0,0.4286,24,0.75,0.0,0.5,0.5,0.375,1.0,0.0,0.6667,0.4005,0.0781,0.6816,0.0599,0.8597,26.6556,0.7038,34.1786,0.5,1.0,0.5,0.0,0.25,0.125,0.0,0.125,0.0,0.5,0.25,0.0,0.25,43,0.6279,0.0698,0.5581,0.6279,0.7674,0.8182,0.1818,1.0,0.6246,0.0627,0.5994,0.0649,0.7124,17.551,0.805,40.3062,0.2791,1.0,0.6279,0.0,0.0,0.3023,0.0,0.0698,0.0,0.0,0.8125,0.0,0.1875,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
