iter,beta,m,episodes,steps,skipped,pinned,reached_standoff,reached_grasp,reach_steps,omg_fail,goal_switch,expert_steps,policy_closed,policy_close_cmds,dropped_tail,mean_min_pos,mean_min_rot,mean_policy_close_step,c_close_label,c_policy_close,c_max_steps,c_env_done,c_no_labels,c_omg_fail0,revisits,grasp_mismatch,max_grasp_drift,close_labels,approach_labels,mean_label_pos,tiny_labels,aggregate_files,D_episodes,D_steps,D_dagger_frac,epochs,train_loss,train_grip_acc,val_loss,val_grip_acc,best_val_loss,success_rate,grasp_rate,near_rate,close_rate,close_success_rate,chance_rate,missed_rate,miss_given_chance,eval_min_pos,eval_min_rot,mean_dist,mean_pos_err,mean_rot_err,mean_close_step,f_grasp_ok,f_grasp_miss,f_no_release,f_drop,f_timeout,f_human_contact,is_best,collect_s,train_s,eval_s,wall_s
0,1.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,472,9912,0.0,100,0.0142,0.9974,0.2006,0.972,0.1253,0.43,0.42,0.0,0.61,0.7049,0.0,0.0,,0.083,0.6905,0.1749,0.0897,0.8365,23.0,0.43,0.01,0.13,0.22,0.0,0.21,1,,,,0.0
1,0.75,100,100,2550,0,100,89,89,533,0,0,1955,0,0,8,0.0171,0.0708,,89,0,0,11,0,0,0,0,0.0,89,2461,0.0316,0,2,572,12462,0.2046,25,0.0713,0.9888,0.1363,0.9804,0.1321,,,,,,,,,,,,,,,,,,,,,0,838.3,254.6,0.0,1093.4
2,0.7036,100,100,2582,0,100,88,88,527,0,0,1897,0,0,8,0.0138,0.0494,,88,0,0,12,0,0,22,0,0.0,88,2494,0.0332,1,3,672,15044,0.3411,25,0.0711,0.9914,0.1603,0.9832,0.1421,0.53,0.5,0.01,0.69,0.7681,0.01,0.0,0.0,0.0768,0.7101,0.1674,0.077,0.8309,22.8406,0.53,0.0,0.1,0.13,0.02,0.22,1,843.4,350.8,708.9,1904.4
3,0.6571,100,100,2622,0,100,87,86,535,0,0,1834,0,0,10,0.0179,0.0584,,86,0,1,13,0,0,40,0,0.0,86,2536,0.0316,4,4,772,17666,0.4389,25,0.0749,0.9921,0.1705,0.9888,0.1524,,,,,,,,,,,,,,,,,,,,,0,885.6,369.5,0.0,1255.3
4,0.6107,100,100,2708,0,100,91,90,542,0,0,1769,0,0,7,0.0153,0.0447,,90,0,0,10,0,0,53,0,0.0,90,2618,0.031,1,5,872,20374,0.5135,25,0.0812,0.9901,0.1921,0.9832,0.187,0.46,0.46,0.01,0.54,0.8519,0.01,0.0,0.0,0.0889,0.5467,0.1951,0.0703,0.703,27.4259,0.46,0.0,0.06,0.22,0.08,0.18,0,876.5,425.3,773.9,2076.4
5,0.5643,100,100,2642,0,100,92,91,550,0,0,1632,1,3,6,0.0135,0.0408,24.0,91,0,1,8,0,0,50,0,0.0,91,2551,0.031,0,6,972,23016,0.5693,25,0.0799,0.9908,0.221,0.9804,0.2063,,,,,,,,,,,,,,,,,,,,,0,888.9,496.0,0.0,1386.2
6,0.5179,100,100,2795,0,100,94,93,578,0,0,1622,1,1,2,0.0106,0.0306,22.0,93,0,1,6,0,0,76,0,0.0,93,2702,0.0312,1,7,1072,25811,0.616,25,0.0794,0.9922,0.2385,0.9888,0.2221,0.36,0.37,0.0,0.45,0.8,0.0,0.0,,0.1028,0.5769,0.2053,0.0841,0.8999,27.5778,0.36,0.01,0.07,0.2,0.11,0.25,0,913.6,548.1,824.2,2286.4
7,0.4714,100,100,2830,0,100,85,83,503,0,0,1489,0,0,8,0.0202,0.0613,,83,0,1,16,0,0,85,0,0.0,83,2747,0.0318,0,8,1172,28641,0.6539,25,0.0807,0.9913,0.2601,0.9804,0.2551,,,,,,,,,,,,,,,,,,,,,0,939.0,608.1,0.0,1547.4
8,0.425,100,100,2647,0,100,83,82,493,0,0,1323,1,2,11,0.0205,0.0861,20.0,82,0,1,17,0,0,84,0,0.0,82,2565,0.0316,5,9,1272,31288,0.6832,25,0.084,0.9905,0.2383,0.986,0.2383,0.59,0.56,0.05,0.6,0.9833,0.06,0.0,0.0,0.0805,0.5185,0.1752,0.0645,0.7169,28.35,0.59,0.0,0.01,0.14,0.09,0.17,1,880.9,679.3,815.7,2376.7
