epoch,lr,wall_s,train_pose_loss,train_gripper_loss,train_total,train_pose_l1,train_pose_pos_l1,train_pose_rot_l1,train_gripper_acc,val_pose_loss,val_gripper_loss,val_total,val_pose_l1,val_pose_pos_l1,val_pose_rot_l1,val_gripper_acc
0,0.000996057350657239,32.09,0.23198832177381584,0.07223584721762472,0.30422416898975335,0.5067050397612046,0.4948133358164974,0.5185967433279839,0.9691745923913043,0.2611414751752752,0.19103032091752487,0.4521717987641567,0.5471160299136859,0.6323621428313375,0.46186989479038226,0.9523809557201481
1,0.0009842915805643156,31.9,0.18243914020612187,0.05473533084496275,0.2371744712193807,0.43019136111589446,0.42237967744037724,0.4380030421459157,0.9752321105072463,0.25665539273527826,0.048275158915366115,0.304930549542777,0.5258591974816736,0.5898406674214104,0.4618777289610951,0.9747899176359844
2,0.0009648882429441258,30.64,0.16823369986715092,0.05153562037858005,0.21976931962738003,0.4080808408882307,0.4007342668871085,0.4154274164010649,0.9755151721014492,0.24092896023885207,0.14395988296393922,0.38488884165841325,0.5085214767970291,0.6053178821291242,0.4117250576907513,0.9523809557201481
3,0.0009381533400219318,31.23,0.15920983812353318,0.04946408513005472,0.20867392341133909,0.39302035167381383,0.38730098828133463,0.3987397129336993,0.9777230525362319,0.245283071108225,0.05712676910208721,0.3024098369754663,0.5087277768205862,0.579705259045299,0.437750263958752,0.9775910364145658
4,0.0009045084971874737,32.07,0.15052454816042513,0.04727156547596678,0.197796113424651,0.3793824501335621,0.37248340330046154,0.38628149367329,0.9778928894927537,0.24721357330721633,0.05397195134218,0.3011855202562669,0.5079417192802376,0.604305315167964,0.41157813633189483,0.9775910364145658
5,0.0008644843137107057,31.09,0.14402040335741165,0.04558320930126407,0.1896036120293581,0.3690231895965079,0.3631192143412604,0.3749271635020125,0.978911911231884,0.25877480021043986,0.07027045034226917,0.3290452468795937,0.5278103379141382,0.5938142415355233,0.46180641601065625,0.9747899193055823
6,0.0008187119948743448,30.43,0.13851881015073994,0.046682125843211034,0.18520093598551507,0.36021680131122685,0.3550946088642746,0.36533899389315344,0.9789402173913043,0.24028378533048123,0.04894691552309429,0.2892306924534111,0.49672729227723195,0.5807038605714044,0.41275072707181554,0.9747899176359844
7,0.0007679133974894982,30.45,0.1318470723927021,0.043640158649962534,0.17548723105827105,0.349970827769974,0.3443614757363347,0.3555801830969859,0.9804404438405797,0.23922273211953352,0.08347350891147341,0.32269623625178295,0.4950708998184578,0.5690534963828175,0.421088278794489,0.9579831966165067
8,0.0007128896457825362,30.63,0.12585979183811857,0.04131010696173821,0.1671698986404184,0.3399237543074549,0.3340519423718038,0.345795563219682,0.9812896286231884,0.23009358254634366,0.05330099052741748,0.28339457474335905,0.4902142798867212,0.5705134317654521,0.40991514629008724,0.980392158532343
9,0.0006545084971874736,30.24,0.1205606182254311,0.041525214406462604,0.16208583308194857,0.33154647449112457,0.32676664928811183,0.33632630155678245,0.9808933423913043,0.22228723772767545,0.05851448229214057,0.28080171801629855,0.4761636163674149,0.5461456585331124,0.40618161468946634,0.9691876784092238
10,0.0005936906572928624,30.45,0.11330540334481908,0.03830869229062481,0.15161409619115834,0.3195104065850593,0.3136167294089345,0.32540408505693724,0.9832710597826086,0.22717064915417956,0.047613361511243825,0.2747840096636647,0.48618661397311536,0.5655133650750339,0.4068598316497162,0.980392158532343
11,0.0005313952597646568,33.4,0.10834348498020267,0.036571353384372916,0.14491483820872247,0.3114114770044883,0.3063208325293617,0.3165021182132372,0.9837522644927537,0.21775788152251258,0.06013298541808329,0.27789087305549814,0.47160036248319287,0.5512386758287414,0.3919620429601322,0.9775910380841637
12,0.00046860474023534336,30.2,0.10266930795531126,0.03504906240709386,0.13771837008982032,0.30172612321009673,0.2974853511035874,0.30596689393986826,0.9844316123188406,0.22760816340019055,0.0468563314642058,0.27446449725400834,0.4797478705561128,0.5552286977360562,0.4042670495536815,0.9775910397537616
13,0.0004063093427071377,30.3,0.09780094703065528,0.033211647655622546,0.1310125944758023,0.2938389526275189,0.28957872332978074,0.2980991818982622,0.9854506340579711,0.2302292056527792,0.06375452569302391,0.29398372744311807,0.4926525931231448,0.5607051843521642,0.42459994846699284,0.9719887971878052
14,0.00034549150281252644,30.7,0.09320389581304314,0.03104788934908119,0.12425178511446153,0.2854478648337333,0.2810778185671222,0.28981791072241636,0.9869791666666666,0.22780157805156975,0.03067099903540618,0.25847257928354067,0.48178420931685206,0.557098909169018,0.40646951171864315,0.9859943977591037
15,0.00028711035421746366,30.67,0.08806715393776371,0.028577756907907315,0.11664491092138317,0.2766309610527495,0.27344759218934656,0.27981432910630666,0.9877717391304348,0.21974252602633307,0.045981018629227696,0.26572354008503657,0.47537330510903475,0.5368194333812436,0.4139271675705576,0.9775910380841637
16,0.00023208660251050156,30.59,0.0838781988342711,0.027309622322692136,0.11118782101792918,0.2692698703241953,0.2656320226041303,0.2729077178552963,0.9885643115942029,0.21224743630789242,0.044224040274943956,0.25647147262797637,0.46596705128832694,0.5307654563953229,0.4011686225565208,0.9747899176359844
17,0.00018128800512565513,30.48,0.080077663347449,0.02367420275297026,0.10375186616716825,0.26203544197631057,0.25871229204146756,0.2653585911013078,0.9897248641304348,0.2095697897196818,0.03325042036735043,0.2428202043060495,0.46386533675073577,0.5315837994510052,0.39614690610674586,0.9887955198768809
18,0.00013551568628929433,30.79,0.0768927594822278,0.02478910731451174,0.1016818667370556,0.2566137363243362,0.25414432817395183,0.2590831440428029,0.9899230072463768,0.22093553826505063,0.07262524532503775,0.29356078548925596,0.4773114367025573,0.5407295137727294,0.41389337399092707,0.9691876784092238
19,9.549150281252634e-05,30.47,0.073627918921546,0.019997937715822405,0.09362585671866934,0.24995531387411166,0.24762572321122972,0.2522849035921736,0.9918478260869565,0.2178420406721887,0.039480234723256416,0.25732226907706063,0.47167329277311054,0.5326250956839874,0.4107214890274347,0.980392158532343
20,6.184665997806823e-05,30.79,0.07146236604160588,0.020854283962749385,0.09231664989467549,0.2462240901330243,0.2438094747941131,0.24863870617380177,0.9916779891304348,0.22128706903350787,0.045424258592082004,0.2667113289612682,0.47893396854734555,0.5376212511743818,0.4202467050372052,0.9831932789805222
21,3.511175705587433e-05,30.83,0.06935090969141194,0.016929143040834933,0.08628005268511132,0.24153091269882693,0.23923638603393582,0.2438254390127849,0.9933197463768116,0.2206540740713352,0.043713834877608534,0.2643679097837427,0.47723856701904316,0.5368707192545178,0.41760642772295226,0.9775910380841637
22,1.570841943568452e-05,33.56,0.06795468151677346,0.017505191247714127,0.08545987275294095,0.23906482353914474,0.2371787669919971,0.24095087922245695,0.9930932971014492,0.22451336917673506,0.06342383586809415,0.28793720738226625,0.4843990636639902,0.5467133029502314,0.42208484574860217,0.9775910380841637
23,3.942649342761118e-06,29.8,0.06706720106371179,0.016987894536161573,0.08405509555334414,0.23729622801360878,0.2348949962390074,0.23969746022012786,0.9933480525362319,0.21976256324630492,0.05606747003329568,0.27583003929015304,0.4766953033225543,0.5405086264723823,0.41288201924131696,0.9747899176359844
24,0.0,29.59,0.06610662727346779,0.01661827219115788,0.08272489935051704,0.23584977961212827,0.2337423578660557,0.23795720340981,0.9933763586956522,0.22474502878529684,0.09667982232002985,0.3214248515644661,0.4840347198378138,0.5457792747922304,0.4222901702261105,0.9691876767396259
