iter,c_min_pos_b0,c_min_rot_b0,c_min_pos_b1,c_min_rot_b1,c_min_pos_b2,c_min_rot_b2,c_min_pos_b3,c_min_rot_b3,c_min_pos_b4,c_min_rot_b4,c_min_pos_b5,c_min_rot_b5
1,0.0602,0.2677,,,0.0709,0.4308,0.083,0.3142,0.0457,0.1632,,
2,0.0398,0.1899,,,0.076,0.3537,0.0979,0.4801,0.0361,0.1228,,
3,0.036,0.2418,,,0.0758,0.405,0.0671,0.3761,0.0501,0.1667,,
4,0.0561,0.2404,,,0.0724,0.3642,0.0822,0.4387,0.0497,0.1641,,
5,0.0328,0.1439,,,0.0648,0.3078,0.0887,0.5432,0.0445,0.1436,,
6,0.0361,0.2222,,,0.0704,0.3693,0.1111,0.4407,0.0476,0.1596,,
7,0.0516,0.2828,,,0.0756,0.3681,0.084,0.4661,0.0435,0.1496,,
8,0.0375,0.2319,,,0.0806,0.4417,0.0906,0.4875,0.0515,0.1221,,
9,0.0446,0.2344,,,0.0781,0.2763,0.0868,0.4629,0.0604,0.1883,,
10,0.051,0.2362,,,0.0789,0.3826,0.0733,0.3256,0.0512,0.1502,,
11,0.0543,0.3274,,,0.0741,0.4128,0.1099,0.6315,0.0576,0.1786,,
12,0.0482,0.2781,,,0.0788,0.4686,0.0974,0.5214,0.0589,0.1762,,
13,0.0601,0.2822,,,0.0778,0.384,0.1044,0.5388,0.0599,0.1532,,
14,0.0448,0.2351,,,0.0856,0.4577,0.0926,0.4537,0.049,0.1241,,
15,0.0423,0.2099,,,0.0589,0.3365,0.0914,0.5285,0.0633,0.1883,,
16,0.0526,0.2157,,,0.0742,0.2795,0.1114,0.5829,0.059,0.1838,,
17,0.0509,0.2473,,,0.0837,0.3916,0.1065,0.4778,0.0619,0.1698,,
18,0.0616,0.1942,,,0.0881,0.4159,0.0995,0.4448,0.0691,0.2058,,
19,0.0318,0.2384,,,0.0926,0.3627,0.093,0.4642,0.067,0.2,,
20,0.066,0.2659,,,0.1023,0.4048,0.1184,0.5628,0.0602,0.2129,,
21,0.0485,0.2628,,,0.1147,0.568,0.1121,0.5898,0.0656,0.211,,
22,0.0506,0.2124,,,0.0954,0.3703,0.0957,0.4974,0.0685,0.1837,,
23,0.0519,0.2583,,,0.0735,0.2654,0.1066,0.5585,0.0557,0.2082,,
24,0.0626,0.2446,,,0.098,0.3813,0.0808,0.4392,0.0907,0.241,,
25,0.0652,0.3809,,,0.0997,0.3722,0.1228,0.5479,0.0733,0.2599,,
