iter,beta,m,episodes,steps,skipped,pinned,reached_standoff,reached_grasp,reach_steps,omg_fail,goal_switch,expert_steps,policy_closed,policy_close_cmds,dropped_tail,dart,dart_env_done,mean_min_pos,mean_min_rot,mean_policy_close_step,c_close_label,c_policy_close,c_max_steps,c_env_done,c_no_labels,c_omg_fail0,revisits,grasp_mismatch,max_grasp_drift,close_labels,approach_labels,mean_label_pos,tiny_labels,aggregate_files,D_episodes,D_steps,D_dagger_frac,epochs,train_loss,train_grip_acc,val_loss,val_grip_acc,best_val_loss,success_rate,grasp_rate,near_rate,close_rate,close_success_rate,chance_rate,missed_rate,miss_given_chance,eval_min_pos,eval_min_rot,mean_dist,mean_pos_err,mean_rot_err,mean_close_step,f_grasp_ok,f_grasp_miss,f_no_release,f_drop,f_timeout,f_human_contact,is_best,collect_s,train_s,eval_s,wall_s
0,1.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,472,9912,0.0,100,0.0118,0.9985,0.1962,0.9776,0.1156,0.32,0.3,0.0,0.4,0.8,0.01,0.01,1.0,0.102,0.6285,0.2251,0.0921,1.0698,24.7,0.32,0.0,0.06,0.31,0.14,0.17,1,,,,0.0
1,0.75,100,100,3065,0,100,81,81,483,0,0,1919,0,0,9,583,6,0.0223,0.1042,,81,0,1,18,0,0,0,0,0.0,81,2984,0.0328,0,2,572,12977,0.2362,25,0.0714,0.9899,0.1524,0.9804,0.1439,,,,,,,,,,,,,,,,,,,,,0,54.8,264.6,0.0,319.5
2,0.7036,100,100,3302,0,100,84,80,492,0,0,1948,2,3,6,680,8,0.0217,0.0652,34.5,80,0,4,16,0,0,22,0,0.0,80,3222,0.0326,1,3,672,16279,0.3911,25,0.0782,0.9922,0.1782,0.9804,0.1648,0.53,0.53,0.01,0.56,0.9464,0.02,0.01,0.5,0.0759,0.6843,0.1671,0.073,0.8205,24.1964,0.53,0.0,0.03,0.08,0.05,0.31,1,53.4,345.7,522.8,922.8
3,0.6571,100,100,3215,0,100,80,79,474,0,0,1752,1,1,9,668,4,0.0263,0.0997,15.0,79,0,4,17,0,0,40,0,0.01,79,3136,0.0326,0,4,772,19494,0.4915,25,0.0829,0.9907,0.2,0.9832,0.1896,,,,,,,,,,,,,,,,,,,,,0,59.2,419.3,0.0,478.6
4,0.6107,100,100,3328,0,100,81,81,486,0,0,1724,1,1,5,681,4,0.0232,0.0727,48.0,81,0,6,13,0,0,53,0,0.0158,81,3247,0.0323,1,5,872,22822,0.5657,25,0.0854,0.9924,0.2033,0.9832,0.1949,0.46,0.46,0.05,0.5,0.92,0.05,0.01,0.2,0.0717,0.6171,0.1677,0.0577,0.6037,23.38,0.46,0.0,0.03,0.09,0.05,0.37,0,52.4,492.0,518.9,1063.4
5,0.5643,100,100,3338,0,100,83,82,495,0,0,1637,2,3,4,699,5,0.022,0.0828,31.0,82,0,5,13,0,0,50,0,0.0158,82,3256,0.0319,2,6,972,26160,0.6211,25,0.081,0.9937,0.2435,0.9776,0.2207,,,,,,,,,,,,,,,,,,,,,0,54.1,574.9,0.0,629.1
6,0.5179,100,100,3505,0,100,78,73,455,0,0,1596,0,0,6,745,7,0.0267,0.0905,,73,0,9,18,0,0,76,0,0.0041,73,3432,0.0313,0,7,1072,29665,0.6659,25,0.0835,0.9931,0.2778,0.9636,0.2193,0.69,0.69,0.06,0.74,0.9324,0.06,0.01,0.1667,0.0764,0.5591,0.1669,0.0728,0.7896,28.0811,0.69,0.0,0.05,0.06,0.04,0.16,1,51.1,658.4,559.8,1271.6
7,0.4714,100,100,3498,0,100,72,70,424,0,0,1423,3,12,6,761,8,0.0345,0.095,32.67,70,0,9,21,0,0,85,0,0.008,70,3428,0.0312,1,8,1172,33163,0.7011,25,0.0859,0.9937,0.246,0.9832,0.246,,,,,,,,,,,,,,,,,,,,,0,57.8,744.9,0.0,803.0
8,0.425,100,100,3415,0,100,71,66,413,0,0,1327,2,7,5,765,11,0.0334,0.1241,25.5,66,0,11,23,0,0,84,0,0.0,66,3349,0.0328,6,9,1272,36578,0.729,25,0.0837,0.9937,0.2791,0.9776,0.2593,0.62,0.62,0.05,0.66,0.9394,0.05,0.0,0.0,0.0688,0.6735,0.1645,0.064,0.7096,24.7727,0.62,0.0,0.02,0.08,0.03,0.25,0,57.5,817.3,525.6,1400.9
9,0.3786,100,100,3573,0,100,69,68,410,0,0,1237,3,8,2,797,10,0.0331,0.1065,38.67,68,0,13,19,0,0,85,0,0.0,68,3505,0.0324,3,10,1372,40151,0.7531,25,0.0792,0.9955,0.3019,0.9804,0.2563,,,,,,,,,,,,,,,,,,,,,0,54.2,913.3,0.0,967.7
