iter,buffer,beta,roll_succ,roll_len,roll_ret,critic_loss,q_mean,target_mean,actor_loss,pg_loss,bc_loss,grip_loss,aux_c,aux_a,lam,n_expert,roll_min_pos,roll_close,roll_skip,roll_miss,roll_timeout,roll_fail,exp_kept,exp_succ,eval_min_pos,eval_min_rot,eval_close,eval_miss,eval_timeout,eval_fail,q_pi,a_absmean,grip_logit,buf_pos,eval_succ,best_succ
10,296,0.49,0.0,30.0,0.0,0.002872889395803213,0.26583683490753174,0.2719570994377136,-0.047296516597270966,-0.09983320534229279,0.023992350324988365,0.000410694454330951,0.0027391391340643167,0.008282584138214588,0.24953137338161469,64,0.0044,0.0,0,0,2,0,0,0.0,,,,,,,0.4000827670097351,0.6809996366500854,14.653388977050781,0.00338,,-1.0
11,354,0.489,0.0,29.0,0.0,0.0029344018548727036,0.2762463688850403,0.274611234664917,-0.059802763164043427,-0.10000000149011612,0.014016250148415565,0.006159593351185322,0.003406296717002988,0.012010274454951286,0.2218453735113144,64,0.0576,0.0,0,0,1,1,0,0.0,,,,,,,0.45076441764831543,0.7894349098205566,15.775250434875488,0.00282,,-1.0
12,354,0.488,0.0,0.0,0.0,0.004412835463881493,0.2317679524421692,0.2265731692314148,-0.06882874667644501,-0.09999999403953552,0.01084299199283123,0.005912956316024065,0.005081103183329105,0.007144594565033913,0.202133446931839,64,,0.0,2,0,0,0,0,0.0,,,,,,,0.4947226643562317,0.6886646151542664,15.443554878234863,0.00282,,-1.0
13,384,0.487,0.0,30.0,0.0,0.002119906712323427,0.2913552522659302,0.29302239418029785,-0.07257550209760666,-0.10000000894069672,0.01094043254852295,5.080492337583564e-05,0.0027606876101344824,0.010985669679939747,0.23090897500514984,64,0.0048,0.0,1,0,1,0,0,0.0,,,,,,,0.433071106672287,0.6668658256530762,16.1856632232666,0.0026,,-1.0
14,384,0.486,0.0,0.0,0.0,0.0027037058025598526,0.29086917638778687,0.286637544631958,-0.04292287677526474,-0.09999999403953552,0.009920780546963215,0.034175168722867966,0.00278060813434422,0.006120777223259211,0.22598297894001007,64,,0.0,2,0,0,0,0,0.0,,,,,,,0.4425112009048462,0.7316285371780396,14.856365203857422,0.0026,,-1.0
15,445,0.485,0.0,30.0,0.0,0.002664745319634676,0.2900365889072418,0.3004865050315857,-0.047465305775403976,-0.10000000894069672,0.024088460952043533,3.742913395399228e-05,0.0032625580206513405,0.008640703745186329,0.22833271324634552,64,0.0156,0.0,0,0,1,0,1,1.0,,,,,,,0.43795740604400635,0.825751006603241,15.74134635925293,0.00449,,-1.0
16,445,0.484,0.0,0.0,0.0,0.005862833932042122,0.3187897801399231,0.32289713621139526,-0.07808230072259903,-0.10000000149011612,0.008537225425243378,0.001286654151044786,0.004284687805920839,0.007113184314221144,0.23861578106880188,64,,0.0,2,0,0,0,0,0.0,,,,,,,0.41908377408981323,0.8037075996398926,15.68400764465332,0.00449,,-1.0
17,445,0.483,0.0,0.0,0.0,0.002857259940356016,0.24198508262634277,0.23892363905906677,-0.07840531319379807,-0.0999661237001419,0.009119070135056973,1.584928759257309e-05,0.003406871110200882,0.006613636389374733,0.24876432120800018,64,,0.0,2,0,0,0,0,0.0,,,,,,,0.40185075998306274,0.767290472984314,14.823598861694336,0.00449,,-1.0
18,445,0.482,0.0,0.0,0.0,0.0016246008453890681,0.3274126946926117,0.3307698369026184,-0.08885422348976135,-0.10000000894069672,0.0038769047241657972,2.5017088773893192e-05,0.0015190786216408014,0.0067339129745960236,0.23403151333332062,64,,0.0,2,0,0,0,0,0.0,,,,,,,0.4272928833961487,0.7887566089630127,15.616349220275879,0.00449,,-1.0
19,506,0.481,0.0,30.0,0.0,0.002664858940988779,0.38043057918548584,0.38008740544319153,-0.07592500746250153,-0.10000000894069672,0.010227901861071587,7.839794852770865e-05,0.003574744798243046,0.007081592921167612,0.22796683013439178,64,0.0059,0.0,0,0,1,0,1,1.0,,,,,,,0.43866032361984253,0.6982330083847046,15.39007568359375,0.00593,,-1.0
20,536,0.48,0.0,30.0,0.0,0.002452597953379154,0.29680487513542175,0.28557324409484863,-0.08524666726589203,-0.09999999403953552,0.004942666739225388,2.314244738954585e-05,0.002711088163778186,0.009689710102975368,0.23038800060749054,64,0.0068,0.0,1,0,1,0,0,0.0,,,,,,,0.43405038118362427,0.7062174081802368,15.085704803466797,0.0056,,-1.0
21,597,0.479,0.0,30.0,0.0,0.0034560482017695904,0.29889073967933655,0.3009933531284332,-0.06905440986156464,-0.09990638494491577,0.013370633125305176,3.675269545055926e-05,0.003180527361109853,0.00814791675657034,0.23918648064136505,64,0.0046,0.0,0,0,1,0,1,1.0,,,,,,,0.4176924526691437,0.7006821632385254,14.94581413269043,0.0067,,-1.0
22,651,0.478,0.5,27.0,0.5,0.0035598212853074074,0.2784759998321533,0.2771604657173157,0.7548075318336487,-0.10000000894069672,0.014508983120322227,0.822005033493042,0.002670795889571309,0.007569106295704842,0.21057550609111786,64,0.0284,0.5,0,0,0,1,0,0.0,,,,,,,0.47488903999328613,0.7403018474578857,15.286166191101074,0.00768,,-1.0
23,651,0.477,0.0,0.0,0.0,0.0030211028642952442,0.3113607168197632,0.30904263257980347,-0.06758100539445877,-0.09992057085037231,0.013671591877937317,2.3911878088256344e-05,0.002872701035812497,0.00994493905454874,0.23359838128089905,64,,0.0,2,0,0,0,0,0.0,,,,,,,0.42774513363838196,0.6978642344474792,14.967523574829102,0.00768,,-1.0
24,681,0.476,0.0,30.0,0.0,0.008656295016407967,0.2636626362800598,0.2665260434150696,-0.0726996585726738,-0.09988074004650116,0.011486552655696869,0.001095595769584179,0.001938169589266181,0.006224766373634338,0.21769313514232635,64,0.0047,0.0,1,0,1,0,0,0.0,,,,,,,0.4588143825531006,0.7370869517326355,14.744837760925293,0.00734,,-1.0
25,711,0.475,0.0,30.0,0.0,0.002060177270323038,0.29968106746673584,0.29507797956466675,-0.0825112983584404,-0.09981758892536163,0.0074767242185771465,0.00035386005765758455,0.0020727317314594984,0.003997967578470707,0.20923565328121185,64,0.0359,0.0,1,0,1,0,0,0.0,,,,,,,0.4770582318305969,0.7287145853042603,14.646881103515625,0.00703,,-1.0
26,711,0.474,0.0,0.0,0.0,0.0016526131657883525,0.3036237359046936,0.29311996698379517,-0.08642680197954178,-0.10000000149011612,0.00585615448653698,1.4829665815341286e-05,0.0017621724400669336,0.0036921314895153046,0.20501787960529327,64,,0.0,2,0,0,0,0,0.0,,,,,,,0.48776233196258545,0.7302911281585693,14.918180465698242,0.00703,,-1.0
27,711,0.473,0.0,0.0,0.0,0.009444099850952625,0.34069886803627014,0.36772769689559937,-0.06341227889060974,-0.09970322996377945,0.010036076419055462,0.013581045903265476,0.002153724431991577,0.005275510251522064,0.25177857279777527,64,,0.0,2,0,0,0,0,0.0,,,,,,,0.39599570631980896,0.8344388008117676,14.798042297363281,0.00703,,-1.0
28,741,0.472,0.0,30.0,0.0,0.004958313889801502,0.2725162208080292,0.26193225383758545,-0.0785573422908783,-0.09980973601341248,0.009029127657413483,8.853648068907205e-06,0.0019360966980457306,0.006370577495545149,0.20762386918067932,64,0.0144,0.0,1,0,0,1,0,0.0,,,,,,,0.48072385787963867,0.7257169485092163,14.577574729919434,0.00675,,-1.0
29,769,0.471,0.0,28.0,0.0,0.0026409910060465336,0.2813180685043335,0.2711786925792694,-0.04734949395060539,-0.09990344941616058,0.02403007075190544,9.274566764361225e-06,0.002159650670364499,0.008969075046479702,0.2509462237358093,64,0.0362,0.0,1,0,0,1,0,0.0,,,,,,,0.39810702204704285,0.8798127174377441,16.401124954223633,0.0065,,-1.0
30,800,0.47,0.0,0.0,0.0,0.0024411557242274284,0.2847668528556824,0.27296915650367737,-0.07346054911613464,-0.09999999403953552,0.011927217245101929,1.1675976566039026e-05,0.0023023539688438177,0.00534667307510972,0.229160338640213,64,,0.0,1,0,0,0,1,1.0,,,,,,,0.4363756775856018,0.6704391241073608,14.493064880371094,0.0075,,-1.0
