epoch,lr,wall_s,train_pose_loss,train_gripper_loss,train_total,train_pose_l1,train_pose_pos_l1,train_pose_rot_l1,train_gripper_acc,val_pose_loss,val_gripper_loss,val_total,val_pose_l1,val_pose_pos_l1,val_pose_rot_l1,val_gripper_acc
0,0.000996057350657239,62.03,0.21492159645819284,0.05180461862759579,0.26672621483120246,0.48030434969523794,0.4428090161345825,0.5177996845593746,0.9774633449304175,0.26985368812952387,0.06772977716865994,0.3375834714130861,0.556739433305938,0.6473127935780865,0.46616607386858855,0.9663865579610446
1,0.0009842915805643156,64.36,0.17396200604544246,0.04208776755786129,0.2160497735926574,0.4165249812022355,0.3807774924971237,0.45227247029246676,0.9800416252485089,0.2671481648496553,0.06138142275543106,0.32852958493372975,0.5399457146139706,0.6316265593222877,0.44826481873247803,0.9607843153950881
2,0.0009648882429441258,61.76,0.1596071411583343,0.03949195932664966,0.1990991004152042,0.39297095326258696,0.35879074490331037,0.42715116405107867,0.9821073558648111,0.24992223977207803,0.05517965914154587,0.30510189824578476,0.5139034811188193,0.6002300466809954,0.42757692540727077,0.9747899176359844
3,0.0009381533400219318,63.32,0.15032733719107172,0.03674270365633456,0.18707004061364985,0.3784256055210504,0.34541643686429646,0.41143477291875996,0.9833343687872763,0.25286406988189336,0.09191132858604276,0.3447753992401251,0.5165006316342607,0.5792272012440765,0.45377404825026246,0.9439775943756104
4,0.0009045084971874737,61.35,0.14178090357401263,0.036536804515411095,0.17831770790589022,0.3643134687221785,0.3332900734651634,0.39533686581591726,0.9833343687872763,0.260545603242241,0.09714239524776529,0.35768799504646065,0.5365797626037224,0.6407742532027536,0.4323852545573932,0.960784317064686
5,0.0008644843137107057,63.65,0.13464296344763954,0.035404942130459804,0.17004790553308385,0.35283685213410354,0.3237468497475857,0.38192685315789093,0.984142022862823,0.25048219957271545,0.06801890089314859,0.3185010972310181,0.5160910254266081,0.5927919877343485,0.439390087578477,0.9523809540505502
6,0.0008187119948743448,63.67,0.1283905753758449,0.03383402068979823,0.1622245960219006,0.34331863792705725,0.31578560009095114,0.37085167850343653,0.9846235089463221,0.2496829853087914,0.04776167913916565,0.2974446575765182,0.5075331195061948,0.5982890509757675,0.416777141371361,0.9747899159663865
7,0.0007679133974894982,62.67,0.12234181760408533,0.031515194603267904,0.15385701217009107,0.3332315644704798,0.30787484318195707,0.3585882861144974,0.9858815854870775,0.25453498124742374,0.04162257181412699,0.29615755383373976,0.5189854375788477,0.5962270868926489,0.44174379277296094,0.9859943977591037
8,0.0007128896457825362,65.62,0.1166567817463671,0.03178618573972485,0.14844296771521953,0.323912988466842,0.29978078665956115,0.3480451886743959,0.9857728628230616,0.24410363322212583,0.044665764652046504,0.28876939553673525,0.5157874530436946,0.5831487799058107,0.448426139955761,0.9719887971878052
9,0.0006545084971874736,66.55,0.11141330535869831,0.02983170294211659,0.14124500819261576,0.3157589331298889,0.29396686412645856,0.337551001659326,0.9864873260437376,0.24580884839640277,0.05271003831501434,0.29851889071845206,0.5139989746885807,0.578974826746628,0.4490231279732466,0.9775910380841637
10,0.0005936906572928624,60.92,0.10598487495102181,0.02842962685651905,0.13441450194368662,0.3060503948783543,0.2858780728093909,0.3262227159993312,0.986891153081511,0.244904452679204,0.035040417180007916,0.2799448731984077,0.5099324676669946,0.5792202552994427,0.4406446960626864,0.9831932773109243
11,0.0005313952597646568,65.29,0.10130875111440897,0.02497085596097561,0.1262796071893119,0.2982204963506809,0.2793855779391397,0.31705541427341655,0.9892519880715706,0.2538169734701723,0.02970686191771211,0.283523831714769,0.5261144345047093,0.5821351971612925,0.47009365581998636,0.9859943977591037
12,0.00046860474023534336,63.04,0.09705921810927613,0.024914088358446586,0.12197330645165197,0.29109970813480096,0.27364067605902137,0.3085587369222527,0.9890811381709742,0.24672240398678125,0.03593358046868268,0.28265598579114226,0.5128252249972827,0.5802909765256887,0.44535947572283385,0.9831932789805222
13,0.0004063093427071377,65.94,0.09251272980175601,0.022993232150661395,0.11550596200122273,0.282876900469451,0.2669721847144557,0.2987816165947535,0.9898421968190855,0.2561166153318074,0.07016524061018012,0.32628185049492436,0.5247257568923032,0.5905204463739689,0.45893103168124244,0.9691876784092238
14,0.00034549150281252644,66.09,0.08820744731998585,0.021983658753948334,0.11019110608157177,0.2749904107087649,0.2603620257872947,0.2896187948451838,0.9909138916500994,0.2566219227654593,0.043571028827118274,0.3001929523230267,0.5294884297193265,0.5839159078791696,0.4750609751842937,0.9775910380841637
15,0.00028711035421746366,62.12,0.0846919356132478,0.01943544330929462,0.10412737888248848,0.26859383661277725,0.25510249229122106,0.2820851803270296,0.9917526093439364,0.25666558938700945,0.026771047974334043,0.28343664214056746,0.5271389170521114,0.5928390462692378,0.4614387892541431,0.9887955198768809
16,0.00023208660251050156,64.3,0.08109902722342588,0.01880150297417764,0.09990053034385678,0.26208153306312165,0.2497627720325652,0.27440029305681796,0.9924670725646123,0.26104047197420727,0.05029764004489955,0.31133811196693184,0.5381273732465857,0.5946407812316211,0.4816139233546431,0.9775910380841637
17,0.00018128800512565513,61.21,0.07778330630702421,0.016764035316915057,0.09454734154623261,0.2559683537684662,0.2444001209753645,0.26753658721330864,0.9930106858846919,0.25285221565337407,0.06728773591231231,0.3201399513987266,0.5231696611859885,0.5786753501377854,0.46766396914543557,0.9691876784092238
18,0.00013551568628929433,63.26,0.0753529281660944,0.015766138550461474,0.09111906667878744,0.25134699095492335,0.24091010712546335,0.26178387376233553,0.9936474900596421,0.2608911302410254,0.07521769389802334,0.33610882954437193,0.5354540601831859,0.5949956722954074,0.4759124702766162,0.9691876767396259
19,9.549150281252634e-05,63.01,0.07287032742082895,0.013332869993046748,0.08620319739502538,0.2461409020287616,0.23606013952500776,0.25622166401408536,0.9945017395626242,0.25012804250590276,0.061870925191069855,0.31199897103616836,0.5202445363631102,0.5754753797828984,0.4650136867658097,0.9719887971878052
