iter,beta,m,episodes,steps,skipped,pinned,reached_standoff,reached_grasp,reach_steps,settle_steps,omg_fail,goal_switch,expert_steps,policy_closed,policy_close_cmds,dropped_tail,dart,dart_env_done,dart_reach,dart_reject,dart_sigma_trace,dart_noise_steps,dart_alpha,mean_min_pos,mean_min_rot,mean_policy_close_step,c_close_label,c_policy_close,c_max_steps,c_env_done,c_no_labels,c_omg_fail0,c_success_rate,co_grasp_ok,co_grasp_miss,co_no_release,co_drop,co_human_contact,co_bench_timeout,co_timeout,c_reach_pos,c_reach_rot,revisits,grasp_mismatch,max_grasp_drift,close_labels,approach_labels,mean_label_pos,tiny_labels,aggregate_files,D_episodes,D_steps,D_dagger_frac,epochs,train_loss,train_grip_acc,val_loss,val_grip_acc,best_val_loss,aux_pos_mm,aux_rot_deg,aux_pm_mm,success_rate,grasp_rate,near_rate,close_rate,close_success_rate,chance_rate,missed_rate,miss_given_chance,box_chance_rate,box_taken_rate,box_missed_rate,miss_given_box,mean_box_steps,mean_box_frac,mean_reach_pos_err,mean_reach_rot_err,box_after_rate,eval_min_pos,eval_min_rot,mean_dist,mean_pos_err,mean_rot_err,mean_close_step,cond_track,cond_ee_spread,cond_goal_spread,retry_at_1,retry_at_2,retry_at_3,retry_at_4,succ_g0,succ_g1,succ_g2,succ_g3,near_g0,near_g1,near_g2,near_g3,f_grasp_ok,f_grasp_miss,f_no_release,f_drop,f_timeout,f_human_contact,is_best,collect_s,train_s,eval_s,wall_s
11,0.75,200,200,7028,0,200,126,108,725,0,0,0,3759,0,0,28,1860,17,187,64,0.050501,0,3.0,0.0614,0.21,,108,0,32,60,0,0,0.49,0.49,0.0,0.025,0.27,0.055,0.0,0.16,,,180,0,0.0036,108,6920,0.038,5,12,3718,110519,0.7089,12,0.0487,0.9999,0.123,1.0,0.1223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,124.6,2113.1,0.0,2238.7
12,0.75,200,198,7144,2,198,127,115,734,0,0,0,3872,0,0,35,1901,11,166,49,0.05325,0,3.0,0.0507,0.1865,,115,0,35,48,0,0,0.4848,0.4848,0.0152,0.0556,0.2374,0.0303,0.0,0.1768,,,155,0,0.018,115,7029,0.0378,4,13,3916,117663,0.7266,12,0.0493,0.9999,0.124,1.0,0.1225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,127.0,2261.8,0.0,2389.8
13,0.75,200,197,7075,3,197,131,111,767,0,0,0,3811,1,1,21,1820,19,208,94,0.050797,0,3.0,0.0498,0.1737,34.0,111,0,38,48,0,0,0.4822,0.4822,0.0,0.0254,0.269,0.0305,0.0,0.1929,,,153,0,0.0035,111,6964,0.0382,8,14,4113,124738,0.7421,12,0.0493,1.0,0.1294,1.0,0.1282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,120.7,3084.0,0.0,3205.8
14,0.75,200,197,7418,3,197,134,117,784,0,0,0,3943,1,1,21,2029,13,184,70,0.049551,0,3.0,0.0532,0.162,28.0,117,0,38,42,0,0,0.4873,0.4873,0.0,0.066,0.203,0.0508,0.0,0.1929,,,179,0,0.0015,117,7301,0.0372,8,15,4310,132156,0.7566,12,0.051,0.9999,0.13,1.0,0.1282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,128.6,3125.6,0.0,3255.4
15,0.75,200,199,6809,1,199,125,107,755,0,0,0,3677,0,0,30,1787,21,209,92,0.061589,0,3.0,0.0553,0.1994,,107,0,34,58,0,0,0.4623,0.4623,0.0,0.0352,0.2613,0.0704,0.0,0.1709,,,174,0,0.0,107,6702,0.0378,2,16,4509,138965,0.7685,12,0.0502,0.9999,0.1343,1.0,0.1343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,123.5,2966.1,0.0,3090.4
16,0.75,200,199,7186,1,199,124,109,742,0,0,0,3837,0,0,24,1944,24,194,89,0.05282,0,3.0,0.0564,0.2149,,109,0,36,54,0,0,0.4623,0.4623,0.005,0.0452,0.2362,0.0704,0.0,0.1809,,,171,0,0.015,109,7077,0.0387,7,17,4708,146151,0.7799,12,0.0502,1.0,0.1374,1.0,0.1374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,121.8,3634.4,0.0,3757.0
17,0.75,200,199,7436,1,199,126,102,725,0,0,0,3932,0,0,24,2057,15,188,97,0.051668,0,3.0,0.0569,0.1894,,102,0,49,48,0,0,0.407,0.407,0.0,0.0653,0.2261,0.0553,0.0,0.2462,,,179,0,0.008,102,7334,0.0374,2,18,4907,153587,0.7905,12,0.0504,0.9999,0.1409,1.0,0.1371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,127.3,4253.9,0.0,4381.9
18,0.75,200,196,7242,4,196,123,107,724,0,0,0,3885,0,0,30,1988,14,170,82,0.050412,0,3.0,0.0618,0.1895,,107,0,42,47,0,0,0.4745,0.4745,0.0,0.0612,0.1735,0.0765,0.0,0.2143,,,162,0,0.0158,107,7135,0.0376,3,19,5103,160829,0.8,12,0.0508,1.0,0.1449,1.0,0.1447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,123.4,3462.4,0.0,3586.5
19,0.75,200,199,7427,1,199,127,113,776,0,0,0,3969,0,0,28,2033,12,189,57,0.048094,0,3.0,0.0546,0.1778,,113,0,39,47,0,0,0.5126,0.5126,0.005,0.0302,0.2111,0.0452,0.0,0.196,,,175,0,0.0033,113,7314,0.0381,8,20,5302,168256,0.8088,12,0.0515,0.9999,0.1462,1.0,0.1457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,127.9,3560.2,0.0,3688.6
20,0.75,200,198,7253,2,198,117,107,699,0,0,0,3896,0,0,26,1912,11,161,80,0.049164,0,3.0,0.0574,0.2038,,107,0,41,50,0,0,0.4646,0.4646,0.0,0.0354,0.2424,0.0505,0.0,0.2071,,,181,0,0.008,107,7146,0.0374,2,21,5500,175509,0.8167,12,0.0508,0.9999,0.1472,1.0,0.145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,131.2,3621.6,0.0,3753.9
21,0.75,200,194,6937,6,194,114,94,633,0,0,0,3685,0,0,32,1969,20,151,65,0.057244,0,3.0,0.0635,0.2361,,94,0,41,59,0,0,0.4278,0.4278,0.0,0.0309,0.2938,0.0361,0.0,0.2113,,,182,0,0.0026,94,6843,0.0387,9,22,5694,182446,0.8237,12,0.0516,1.0,0.1483,1.0,0.1475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,125.8,3179.6,0.0,3306.2
22,0.75,200,199,7195,1,199,121,105,702,0,0,0,3874,0,0,27,1962,12,178,76,0.0574,0,3.0,0.0576,0.1967,,105,0,37,57,0,0,0.4673,0.4673,0.005,0.0251,0.2412,0.0754,0.0,0.1859,,,179,0,0.0129,105,7090,0.0382,7,23,5893,189641,0.8304,12,0.0516,0.9999,0.1479,1.0,0.1479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,125.4,3289.6,0.0,3415.7
23,0.75,200,200,7108,0,200,138,124,852,0,0,0,3850,1,1,26,1835,15,220,103,0.061102,0,3.0,0.0441,0.1557,39.0,124,0,28,48,0,0,0.545,0.545,0.0,0.04,0.23,0.045,0.0,0.14,,,196,0,0.02,124,6984,0.0381,5,24,6093,196749,0.8365,12,0.0508,1.0,0.1507,1.0,0.1493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,122.4,3312.3,0.0,3435.6
24,0.75,200,199,7088,1,199,131,112,777,0,0,0,3792,0,0,33,1873,12,190,72,0.058654,0,3.0,0.0474,0.1711,,112,0,32,55,0,0,0.4874,0.4874,0.0,0.0503,0.2312,0.0704,0.0,0.1608,,,183,0,0.0122,112,6976,0.0379,7,25,6292,203837,0.8422,12,0.0505,0.9999,0.1525,1.0,0.1511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,127.0,3394.3,0.0,3522.1
25,0.75,200,199,7255,1,199,128,112,745,0,0,0,3890,0,0,25,1951,13,193,93,0.052884,0,3.0,0.0508,0.1896,,112,0,33,54,0,0,0.5226,0.5226,0.0,0.0251,0.2161,0.0704,0.0,0.1658,,,191,0,0.0032,112,7143,0.0395,4,26,6491,211092,0.8476,12,0.051,0.9999,0.1563,1.0,0.1546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,124.5,3310.5,0.0,3435.6
