iter,c_min_pos_b0,c_min_rot_b0,c_min_pos_b1,c_min_rot_b1,c_min_pos_b2,c_min_rot_b2,c_min_pos_b3,c_min_rot_b3,c_min_pos_b4,c_min_rot_b4,c_min_pos_b5,c_min_rot_b5
1,0.0574,0.2481,,,0.0698,0.4116,0.0837,0.3241,0.0451,0.1601,,
2,0.0393,0.2044,,,0.0726,0.3362,0.1005,0.4551,0.0341,0.1283,,
3,0.0357,0.23,,,0.0735,0.3852,0.0675,0.376,0.0487,0.1749,,
4,0.0522,0.2365,,,0.0697,0.3487,0.0784,0.4077,0.0458,0.1465,,
5,0.0286,0.1223,,,0.0631,0.3002,0.0876,0.525,0.0395,0.1278,,
6,0.0366,0.2427,,,0.0694,0.3766,0.1126,0.4487,0.0434,0.1526,,
7,0.0515,0.2565,,,0.0744,0.366,0.0787,0.4649,0.0439,0.1469,,
8,0.0342,0.1947,,,0.0823,0.455,0.0906,0.4765,0.0534,0.1267,,
9,0.0479,0.2578,,,0.0813,0.3132,0.081,0.4449,0.06,0.1857,,
10,0.0465,0.22,,,0.0771,0.3766,0.0731,0.3477,0.047,0.1307,,
11,0.0534,0.2913,,,0.071,0.393,0.1063,0.6408,0.0571,0.1854,,
12,0.0498,0.2948,,,0.0806,0.4522,0.0964,0.4919,0.0527,0.1828,,
13,0.0551,0.264,,,0.0736,0.3649,0.0992,0.5121,0.0556,0.154,,
14,0.0495,0.2821,,,0.0763,0.4456,0.0985,0.4615,0.0526,0.1415,,
15,0.0387,0.1935,,,0.0552,0.3396,0.0881,0.5263,0.06,0.1812,,
16,0.0532,0.2698,,,0.0695,0.2836,0.1146,0.6005,0.0538,0.1618,,
17,0.0519,0.2458,,,0.0885,0.3992,0.1013,0.4786,0.0594,0.182,,
18,0.0604,0.2167,,,0.0849,0.3786,0.1024,0.4844,0.074,0.2153,,
19,0.0361,0.2811,,,0.0929,0.3955,0.0863,0.4282,0.0642,0.1917,,
20,0.0608,0.2702,,,0.0919,0.3894,0.1144,0.554,0.0535,0.2029,,
21,0.0446,0.269,,,0.1078,0.5682,0.1144,0.6127,0.0627,0.1777,,
22,0.0491,0.1978,,,0.0864,0.3675,0.0929,0.5088,0.0695,0.1983,,
23,0.0441,0.2513,,,0.0693,0.2403,0.1071,0.5739,0.0527,0.193,,
24,0.0612,0.2381,,,0.0926,0.374,0.0798,0.4623,0.0956,0.2611,,
25,0.0635,0.3595,,,0.1044,0.3934,0.1116,0.5235,0.0719,0.2429,,
