iter,c_min_pos_b0,c_min_rot_b0,c_min_pos_b1,c_min_rot_b1,c_min_pos_b2,c_min_rot_b2,c_min_pos_b3,c_min_rot_b3,c_min_pos_b4,c_min_rot_b4,c_min_pos_b5,c_min_rot_b5
1,0.0608,0.2763,,,0.0698,0.43,0.0875,0.3368,0.0441,0.1498,,
2,0.043,0.2103,,,0.0773,0.3489,0.0979,0.4721,0.0361,0.1324,,
3,0.0373,0.2323,,,0.0741,0.4053,0.0661,0.3746,0.0476,0.1618,,
4,0.0551,0.2438,,,0.0706,0.3584,0.0794,0.4261,0.0462,0.149,,
5,0.0324,0.1473,,,0.07,0.3144,0.0885,0.5266,0.0417,0.1291,,
6,0.0354,0.2541,,,0.0687,0.3672,0.113,0.4493,0.0468,0.1577,,
7,0.0521,0.2567,,,0.0742,0.3658,0.078,0.4288,0.0442,0.1447,,
8,0.037,0.2315,,,0.0835,0.4844,0.0886,0.4717,0.0491,0.1032,,
9,0.0454,0.2429,,,0.0812,0.2927,0.0845,0.4469,0.0573,0.171,,
10,0.0456,0.2167,,,0.0738,0.3763,0.0699,0.3122,0.0443,0.134,,
11,0.0491,0.2723,,,0.0743,0.3944,0.1067,0.5953,0.0575,0.1735,,
12,0.043,0.2678,,,0.0779,0.4405,0.099,0.4695,0.0551,0.174,,
13,0.0511,0.2629,,,0.0716,0.348,0.1029,0.5299,0.0543,0.1571,,
14,0.0444,0.2389,,,0.0818,0.4299,0.0927,0.4195,0.0449,0.119,,
15,0.033,0.1623,,,0.0587,0.3416,0.0836,0.5119,0.0561,0.1695,,
16,0.0484,0.2149,,,0.0708,0.2554,0.1003,0.4972,0.0525,0.1445,,
17,0.049,0.2491,,,0.0804,0.3783,0.0958,0.4463,0.0509,0.1398,,
18,0.0486,0.1628,,,0.081,0.3936,0.1041,0.4518,0.0584,0.1738,,
19,0.034,0.2812,,,0.0834,0.3132,0.0804,0.4295,0.058,0.1688,,
20,0.0579,0.22,,,0.0912,0.3197,0.1057,0.5067,0.0556,0.1643,,
