iter,beta,m,episodes,steps,skipped,pinned,reached_standoff,reached_grasp,reach_steps,omg_fail,goal_switch,expert_steps,policy_closed,policy_close_cmds,dropped_tail,dart,dart_env_done,dart_reach,dart_reject,mean_min_pos,mean_min_rot,mean_policy_close_step,c_close_label,c_policy_close,c_max_steps,c_env_done,c_no_labels,c_omg_fail0,revisits,grasp_mismatch,max_grasp_drift,close_labels,approach_labels,mean_label_pos,tiny_labels,aggregate_files,D_episodes,D_steps,D_dagger_frac,epochs,train_loss,train_grip_acc,val_loss,val_grip_acc,best_val_loss,aux_pos_mm,aux_rot_deg,aux_pm_mm,success_rate,grasp_rate,near_rate,close_rate,close_success_rate,chance_rate,missed_rate,miss_given_chance,eval_min_pos,eval_min_rot,mean_dist,mean_pos_err,mean_rot_err,mean_close_step,f_grasp_ok,f_grasp_miss,f_no_release,f_drop,f_timeout,f_human_contact,is_best,collect_s,train_s,eval_s,wall_s
0,1.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,472,9912,0.0,100,0.0113,0.9996,0.2487,0.972,0.1087,,,,0.41,0.39,0.03,0.56,0.7321,0.03,0.0,0.0,0.0872,0.6871,0.1903,0.0961,1.014,22.625,0.41,0.0,0.12,0.23,0.05,0.19,1,,,,0.0
1,1.0,100,100,3162,0,100,85,81,499,0,0,2567,0,0,10,524,2,0,0,0.0221,0.0892,,81,0,7,12,0,0,0,0,0.0,81,3081,0.0332,0,2,572,13074,0.2419,25,0.0539,0.9956,0.1667,0.9804,0.1522,,,,,,,,,,,,,,,,,,,,,,,,0,58.6,322.8,0.0,381.5
2,0.9583,100,100,3208,0,100,88,86,522,0,0,2482,0,0,9,554,0,0,0,0.0198,0.0586,,86,0,5,9,0,0,22,0,0.0,86,3122,0.0329,1,3,672,16282,0.3912,25,0.0604,0.9964,0.2441,0.9692,0.1781,,,,0.45,0.45,0.02,0.53,0.8491,0.03,0.01,0.3333,0.079,0.7327,0.1637,0.0687,0.8344,24.1509,0.45,0.01,0.03,0.1,0.03,0.38,1,53.1,394.1,492.1,939.7
3,0.9167,100,100,3102,0,100,84,82,497,0,0,2344,0,0,8,514,6,0,0,0.0263,0.0911,,82,0,4,14,0,0,40,0,0.01,82,3020,0.0319,1,4,772,19384,0.4887,25,0.0635,0.9966,0.2261,0.986,0.1862,,,,,,,,,,,,,,,,,,,,,,,,0,52.5,466.0,0.0,518.5
4,0.875,100,100,3163,0,100,87,85,516,0,0,2318,0,0,9,495,1,0,0,0.0187,0.0517,,85,0,4,11,0,0,53,0,0.0158,85,3078,0.0322,0,5,872,22547,0.5604,25,0.0642,0.9973,0.2377,0.9776,0.1881,,,,0.53,0.54,0.02,0.56,0.9464,0.02,0.0,0.0,0.0865,0.6785,0.1632,0.0848,0.7813,24.1429,0.53,0.0,0.02,0.1,0.03,0.32,1,51.6,557.2,496.0,1105.3
5,0.8333,100,100,3121,0,100,89,87,522,0,0,2164,0,0,7,524,3,0,0,0.0173,0.0623,,87,0,3,10,0,0,50,0,0.0158,87,3034,0.0325,0,6,972,25668,0.6138,25,0.0704,0.9965,0.2983,0.972,0.227,,,,,,,,,,,,,,,,,,,,,,,,0,52.9,616.8,0.0,670.1
6,0.7917,100,100,3290,0,100,85,82,503,0,0,2204,1,1,10,527,2,0,0,0.018,0.0599,24.0,82,0,6,12,0,0,76,0,0.0,82,3208,0.0323,0,7,1072,28958,0.6577,25,0.0733,0.9964,0.2693,0.972,0.2402,,,,0.58,0.59,0.02,0.6,0.9667,0.04,0.04,1.0,0.0774,0.5869,0.1681,0.0725,0.7783,26.1,0.58,0.0,0.02,0.12,0.06,0.22,1,56.2,721.0,514.1,1291.8
7,0.75,100,100,3195,0,100,87,86,517,0,0,2061,0,0,7,521,0,0,0,0.0207,0.0565,,86,0,6,8,0,0,85,0,0.0,86,3109,0.0331,6,8,1172,32153,0.6917,25,0.0698,0.9973,0.326,0.9748,0.2509,,,,,,,,,,,,,,,,,,,,,,,,0,57.8,792.6,0.0,850.8
8,0.7083,100,100,3145,0,100,88,84,513,0,0,1932,1,1,11,519,3,0,0,0.0194,0.0748,31.0,84,0,2,14,0,0,84,0,0.0,84,3061,0.033,0,9,1272,35298,0.7192,25,0.0724,0.9976,0.2811,0.9776,0.2419,,,,0.3,0.29,0.0,0.41,0.7317,0.01,0.01,1.0,0.098,0.6241,0.1771,0.0861,0.9036,24.9268,0.3,0.02,0.06,0.28,0.08,0.26,0,56.6,867.9,536.6,1461.5
9,0.6667,100,100,3235,0,100,87,85,518,0,0,1869,1,1,4,549,4,0,0,0.0169,0.0528,15.0,85,0,3,12,0,0,85,0,0.0,85,3150,0.0328,0,10,1372,38533,0.7428,25,0.0717,0.9973,0.3074,0.9804,0.26,,,,,,,,,,,,,,,,,,,,,,,,0,54.0,975.7,0.0,1030.1
10,0.625,100,100,3230,0,100,87,85,517,0,0,1805,1,3,6,515,3,0,0,0.0202,0.0659,23.0,85,0,5,10,0,0,90,0,0.0,85,3145,0.0317,0,11,1472,41763,0.7627,25,0.0755,0.9977,0.2852,0.986,0.2667,,,,0.69,0.69,0.06,0.73,0.9452,0.09,0.01,0.1111,0.0744,0.5514,0.1628,0.0694,0.7393,25.7123,0.69,0.0,0.04,0.07,0.04,0.16,1,55.0,1028.7,521.8,1606.0
11,0.5833,100,100,3269,0,100,80,79,477,0,0,1670,1,2,13,545,2,0,0,0.0279,0.1023,42.0,79,0,4,17,0,0,91,0,0.01,79,3190,0.0329,1,12,1572,45032,0.7799,25,0.0757,0.9979,0.2749,0.9888,0.263,,,,,,,,,,,,,,,,,,,,,,,,0,61.1,1127.0,0.0,1188.4
12,0.5417,100,100,3479,0,100,75,71,435,0,0,1719,1,5,13,597,0,0,0,0.0306,0.1074,17.0,71,0,10,19,0,0,92,0,0.0,71,3408,0.0319,0,13,1672,48511,0.7957,25,0.076,0.9981,0.329,0.9804,0.2795,,,,0.4,0.4,0.0,0.42,0.9524,0.0,0.0,,0.0959,0.6818,0.1718,0.0691,0.6687,25.5,0.4,0.0,0.02,0.25,0.09,0.24,0,56.4,1247.9,498.6,1803.5
13,0.5,100,100,3266,0,100,75,73,442,0,0,1521,3,7,10,553,2,0,0,0.0359,0.1166,28.67,73,0,8,19,0,0,90,0,0.0158,73,3193,0.033,7,14,1772,51777,0.8086,25,0.0758,0.9981,0.3311,0.9776,0.28,,,,,,,,,,,,,,,,,,,,,,,,0,53.7,1356.6,0.0,1411.1
14,0.4714,100,100,3379,0,100,80,77,465,0,0,1455,4,19,5,564,4,0,0,0.0343,0.1018,31.25,77,0,10,13,0,0,98,0,0.0,77,3302,0.0329,5,15,1872,55156,0.8203,25,0.0746,0.9987,0.3603,0.9748,0.297,,,,0.51,0.5,0.06,0.56,0.9107,0.08,0.02,0.25,0.074,0.6168,0.1707,0.0636,0.6694,25.4643,0.51,0.0,0.03,0.17,0.05,0.24,0,55.4,1383.9,551.3,1991.1
15,0.4429,100,100,3303,0,100,67,63,395,0,0,1378,0,0,7,576,7,0,0,0.039,0.1543,,63,0,8,29,0,0,94,0,0.0,63,3240,0.0347,1,16,1972,58459,0.8304,25,0.0807,0.9974,0.3495,0.9748,0.2755,,,,,,,,,,,,,,,,,,,,,,,,0,55.8,1424.5,0.0,1480.7
16,0.4143,100,100,3550,0,100,76,73,444,0,0,1400,5,13,6,607,4,0,0,0.033,0.1143,29.6,73,0,11,16,0,0,97,0,0.0158,73,3477,0.0324,3,17,2072,62009,0.8402,25,0.0761,0.9978,0.3519,0.9776,0.2865,,,,0.59,0.59,0.08,0.64,0.9219,0.08,0.0,0.0,0.0914,0.5724,0.1689,0.0798,0.9013,29.6719,0.59,0.0,0.04,0.11,0.09,0.17,0,54.8,1486.2,593.9,2135.3
17,0.3857,100,100,3527,0,100,75,74,440,0,0,1327,1,2,5,607,5,0,0,0.0377,0.1231,21.0,74,0,10,16,0,0,96,0,0.0084,74,3453,0.0328,4,18,2172,65536,0.8488,25,0.0836,0.9968,0.3801,0.9748,0.2967,,,,,,,,,,,,,,,,,,,,,,,,0,56.3,1587.4,0.0,1644.2
18,0.3571,100,100,3640,0,100,66,62,387,0,0,1264,1,6,7,666,1,0,0,0.0634,0.1739,39.0,62,0,21,17,0,0,97,0,0.01,62,3578,0.0329,0,19,2272,69176,0.8567,25,0.0816,0.998,0.3694,0.9776,0.2788,,,,0.45,0.46,0.06,0.49,0.9184,0.06,0.0,0.0,0.0824,0.6146,0.1762,0.0676,0.733,26.4082,0.45,0.0,0.04,0.22,0.04,0.25,0,59.2,1669.9,529.4,2260.5
19,0.3286,100,100,3525,0,100,77,74,455,0,0,1225,7,13,6,629,4,0,0,0.036,0.1029,28.71,74,0,11,15,0,0,94,0,0.0,74,3451,0.0328,7,20,2372,72701,0.8637,25,0.0821,0.9977,0.3618,0.9776,0.2881,,,,,,,,,,,,,,,,,,,,,,,,0,56.7,1798.7,0.0,1857.9
20,0.3,100,100,3593,0,100,74,69,422,0,0,1114,6,52,10,582,3,0,0,0.0429,0.1265,30.83,69,0,11,20,0,0,99,0,0.0154,69,3524,0.0338,2,21,2472,76294,0.8701,25,0.0807,0.998,0.3326,0.986,0.2863,,,,0.42,0.42,0.02,0.48,0.875,0.05,0.05,1.0,0.07,0.6459,0.1732,0.0615,0.6494,24.6875,0.42,0.0,0.04,0.2,0.02,0.32,0,55.9,1882.0,500.3,2438.6
