iter,beta,m,episodes,steps,skipped,pinned,reached_standoff,reached_grasp,reach_steps,omg_fail,goal_switch,expert_steps,policy_closed,policy_close_cmds,dropped_tail,dart,dart_env_done,mean_min_pos,mean_min_rot,mean_policy_close_step,c_close_label,c_policy_close,c_max_steps,c_env_done,c_no_labels,c_omg_fail0,revisits,grasp_mismatch,max_grasp_drift,close_labels,approach_labels,mean_label_pos,tiny_labels,aggregate_files,D_episodes,D_steps,D_dagger_frac,epochs,train_loss,train_grip_acc,val_loss,val_grip_acc,best_val_loss,success_rate,grasp_rate,near_rate,close_rate,close_success_rate,chance_rate,missed_rate,miss_given_chance,eval_min_pos,eval_min_rot,mean_dist,mean_pos_err,mean_rot_err,mean_close_step,f_grasp_ok,f_grasp_miss,f_no_release,f_drop,f_timeout,f_human_contact,is_best,collect_s,train_s,eval_s,wall_s
0,1.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,472,9912,0.0,100,0.0122,0.998,0.1698,0.9804,0.1175,0.34,0.31,0.01,0.57,0.5965,0.01,0.0,0.0,0.1041,0.5532,0.1999,0.1185,1.0919,26.807,0.34,0.01,0.2,0.23,0.07,0.15,1,,,,0.0
1,1.0,100,100,2671,0,100,87,87,522,0,0,2597,0,0,13,0,0,0.0176,0.0852,,87,0,0,13,0,0,0,0,0.0,87,2584,0.0327,0,2,572,12583,0.2123,25,0.064,0.99,0.1524,0.9804,0.1371,,,,,,,,,,,,,,,,,,,,,0,48.9,262.7,0.0,311.6
2,0.9667,100,100,2780,0,100,95,95,570,0,0,2626,0,0,5,0,0,0.0103,0.0318,,95,0,0,5,0,0,22,0,0.0,95,2685,0.032,0,3,672,15363,0.3548,25,0.071,0.9911,0.1684,0.9776,0.1612,0.35,0.34,0.01,0.37,0.9459,0.01,0.0,0.0,0.0936,0.6655,0.1849,0.0782,0.9406,24.027,0.35,0.0,0.02,0.32,0.07,0.24,1,48.1,319.3,486.4,854.4
3,0.9333,100,100,2604,0,100,87,86,531,0,0,2397,0,0,13,0,0,0.0201,0.0812,,86,0,1,13,0,0,40,0,0.01,86,2518,0.0319,0,4,772,17967,0.4483,25,0.07,0.9907,0.1767,0.9748,0.1737,,,,,,,,,,,,,,,,,,,,,0,43.8,397.8,0.0,441.8
4,0.9,100,100,2698,0,100,90,90,540,0,0,2411,0,0,10,0,0,0.0139,0.046,,90,0,0,10,0,0,53,0,0.0158,90,2608,0.0317,0,5,872,20665,0.5203,25,0.0735,0.9916,0.1933,0.9776,0.1792,0.47,0.48,0.02,0.57,0.8246,0.02,0.0,0.0,0.082,0.5929,0.1745,0.0691,0.7787,24.9298,0.47,0.0,0.09,0.19,0.06,0.19,1,45.6,452.4,517.9,1016.5
5,0.8667,100,100,2558,0,100,91,91,545,0,0,2203,0,0,9,0,0,0.0133,0.0511,,91,0,0,9,0,0,50,0,0.0158,91,2467,0.0319,0,6,972,23223,0.5732,25,0.0723,0.9925,0.231,0.9748,0.2142,,,,,,,,,,,,,,,,,,,,,0,39.8,486.6,0.0,527.1
6,0.8333,100,100,2775,0,100,92,90,555,0,0,2322,0,0,6,0,0,0.0127,0.0517,,90,0,1,9,0,0,76,0,0.0,90,2685,0.0316,0,7,1072,25998,0.6187,25,0.0687,0.9934,0.2497,0.9748,0.221,0.47,0.47,0.03,0.56,0.8393,0.03,0.0,0.0,0.0891,0.5958,0.1867,0.0679,0.7692,24.4107,0.47,0.0,0.05,0.22,0.09,0.17,0,46.3,545.6,524.5,1116.8
7,0.8,100,100,2694,0,100,93,90,548,0,0,2174,0,0,8,0,0,0.0142,0.0427,,90,0,0,10,0,0,85,0,0.0,90,2604,0.0322,0,8,1172,28692,0.6545,25,0.0692,0.9939,0.2638,0.9804,0.2377,,,,,,,,,,,,,,,,,,,,,0,46.0,608.7,0.0,655.4
8,0.7667,100,100,2567,0,100,90,89,535,0,0,2025,0,0,9,0,0,0.0158,0.0581,,89,0,0,11,0,0,84,0,0.0,89,2478,0.0322,1,9,1272,31259,0.6829,25,0.0677,0.994,0.2629,0.9804,0.2336,0.4,0.37,0.02,0.55,0.7273,0.02,0.01,0.5,0.0856,0.6292,0.1744,0.0804,0.9161,25.8,0.4,0.01,0.1,0.24,0.05,0.2,0,42.1,659.2,527.8,1229.7
9,0.7333,100,100,2685,0,100,90,90,540,0,0,1984,0,0,8,0,0,0.013,0.0328,,90,0,0,10,0,0,85,0,0.0,90,2595,0.0321,0,10,1372,33944,0.708,25,0.0659,0.9951,0.2772,0.9692,0.2441,,,,,,,,,,,,,,,,,,,,,0,42.1,705.9,0.0,748.2
