iter,c_min_pos_b0,c_min_rot_b0,c_min_pos_b1,c_min_rot_b1,c_min_pos_b2,c_min_rot_b2,c_min_pos_b3,c_min_rot_b3,c_min_pos_b4,c_min_rot_b4,c_min_pos_b5,c_min_rot_b5
1,0.044,0.2338,0.072,0.2154,0.0494,0.138,0.0599,0.4061,0.0535,0.245,0.0266,0.0968
2,0.0395,0.1498,0.0496,0.2383,0.0491,0.1906,0.067,0.3324,0.0387,0.2507,0.0124,0.0163
3,0.0292,0.1053,0.0658,0.3108,0.0267,0.1695,0.0377,0.1724,0.0394,0.1415,0.0203,0.1278
4,0.0373,0.2462,0.078,0.289,0.0354,0.1117,0.0347,0.1763,0.0921,0.3985,0.0341,0.2168
5,0.036,0.2321,0.0681,0.2849,0.0395,0.1572,0.086,0.3971,0.052,0.1544,0.0139,0.0569
6,0.0401,0.2191,0.0599,0.2579,0.0383,0.1447,0.0425,0.2129,0.0645,0.1675,0.0464,0.1678
7,0.0491,0.1829,0.0628,0.2407,0.0321,0.0614,0.0652,0.3497,0.025,0.1009,0.0328,0.1394
8,0.0302,0.1359,0.0697,0.3176,0.0444,0.1321,0.0595,0.378,0.0536,0.2768,0.0135,0.0377
9,0.0581,0.2176,0.0829,0.3152,0.0443,0.1967,0.0407,0.1809,0.0408,0.1653,0.0224,0.1002
10,0.0411,0.1826,0.0859,0.3862,0.0437,0.1612,0.0619,0.2516,0.1079,0.2132,0.0283,0.2304
11,0.035,0.1846,0.0851,0.3315,0.0355,0.1215,0.0666,0.287,0.0511,0.1535,0.0387,0.1791
12,0.0342,0.1181,0.063,0.3088,0.0439,0.1654,0.0472,0.1996,0.0872,0.3867,0.0292,0.1756
13,0.0412,0.2012,0.0775,0.3727,0.0421,0.1114,0.0649,0.3403,0.0614,0.1846,0.0411,0.1891
14,0.041,0.2056,0.0857,0.4249,0.057,0.215,0.0519,0.2974,0.0871,0.3164,0.0315,0.1472
15,0.0436,0.1263,0.0785,0.2938,0.0347,0.1508,0.0421,0.3092,0.0657,0.3206,0.0288,0.1216
16,0.0533,0.2586,0.0658,0.2578,0.0564,0.2166,0.0682,0.2923,0.0622,0.2575,0.0261,0.1945
17,0.0403,0.1884,0.0669,0.2553,0.0437,0.2666,0.0571,0.2903,0.0504,0.2745,0.0404,0.2267
18,0.043,0.2226,0.1061,0.3773,0.0313,0.1844,0.0582,0.2428,0.0601,0.2489,0.0256,0.0879
19,0.0413,0.1745,0.0506,0.1928,0.0576,0.1233,0.0515,0.2453,0.0897,0.4301,0.0284,0.1544
20,0.0407,0.1788,0.0698,0.2593,0.0547,0.2615,0.0449,0.2124,0.089,0.2668,0.0389,0.1765
21,0.0553,0.2527,0.0629,0.2129,0.0426,0.1248,0.076,0.2879,0.0625,0.3279,0.0427,0.1203
22,0.0318,0.1617,0.0642,0.1724,0.0485,0.1767,0.0398,0.226,0.0556,0.2982,0.0191,0.116
23,0.0584,0.3172,0.0724,0.2573,0.0367,0.1962,0.063,0.3443,0.0916,0.2592,0.0298,0.1599
24,0.0502,0.2502,0.0639,0.2975,0.063,0.1993,0.0573,0.3083,0.0536,0.1618,0.0249,0.1384
25,0.0539,0.265,0.062,0.2245,0.0541,0.2105,0.0418,0.1912,0.0724,0.2591,0.0366,0.1579
