scene,0,1,2,3
449,1,0,0,1
451,1,,,
452,1,1,0,1
453,1,1,1,1
454,1,1,1,1
455,1,1,1,1
456,1,1,1,1
457,1,1,1,1
458,1,0,1,
459,1,1,1,
460,1,,,
461,1,1,,
462,1,,,
464,1,1,0,1
465,1,1,1,
466,1,1,1,1
467,1,1,1,1
468,1,1,1,1
469,1,1,1,
470,1,1,1,
471,0,1,1,
472,1,1,,
473,1,1,,
474,1,0,1,
475,0,,,
480,1,1,1,
481,0,1,,
482,0,0,0,0
483,1,0,,
484,0,1,,
485,1,1,0,1
486,1,0,0,1
487,0,1,1,1
488,0,,,
489,1,,,
490,1,,,
491,1,,,
492,1,1,1,1
493,1,1,1,0
494,1,1,1,1
495,1,1,0,1
496,1,1,1,1
497,0,1,,
498,1,,,
499,1,1,0,
500,1,,,
502,1,1,,
503,1,1,,
504,0,1,0,
505,1,,,
506,0,1,1,
507,0,1,0,
508,1,0,,
509,1,1,,
510,1,1,1,
511,1,1,,
512,1,1,0,1
514,1,1,0,1
515,1,1,1,1
516,0,1,,
517,0,1,1,
518,1,,,
519,1,0,,
520,1,0,0,
521,1,1,1,
522,1,1,1,1
523,1,1,1,1
524,0,1,1,1
525,0,1,1,1
526,0,1,1,1
527,1,1,1,1
528,1,1,1,
529,1,1,,
530,1,1,1,1
531,1,1,1,1
532,1,0,,
533,1,1,1,
534,1,1,0,
535,1,,,
536,1,1,0,1
537,1,1,1,
538,1,1,1,1
539,1,1,1,
540,0,1,,
541,1,1,1,
542,1,1,1,
543,1,,,
544,0,0,0,
545,1,0,,
546,0,1,,
547,0,0,,
552,1,,,
553,1,,,
554,1,,,
555,0,,,
556,1,1,1,
557,0,1,0,0
558,0,1,1,1
559,0,1,0,0
561,1,,,
563,1,,,
564,1,0,0,
565,1,1,1,1
566,1,1,1,1
567,1,1,0,1
568,1,0,0,
569,1,0,,
570,0,0,0,
571,0,1,,
572,0,,,
573,1,,,
574,0,1,,
575,0,1,1,
576,0,0,0,
577,1,,,
578,0,0,,
579,1,0,1,
580,1,1,,
581,1,1,1,
582,1,1,1,
583,1,0,,
584,1,1,,
585,0,1,1,1
586,1,1,0,
587,1,1,0,1
588,1,0,,
589,1,,,
590,1,1,1,1
591,0,1,0,
592,1,1,0,1
594,1,,,
595,1,0,1,1
596,0,1,,
597,1,1,0,
598,1,1,1,0
599,0,1,1,1
600,1,1,1,
601,1,1,0,0
602,1,1,1,
603,1,1,,
604,1,1,,
605,1,1,,
606,1,0,,
607,1,,,
608,1,1,1,1
609,0,1,1,1
610,1,0,1,
611,1,0,1,
612,1,,,
613,0,0,,
614,0,0,1,1
615,1,,,
616,1,1,1,
617,1,1,1,
