scene,0,1,2,3,4,5
384,1,0,0,0,,
385,1,1,1,0,,
386,0,1,0,,,
387,0,1,0,1,1,
388,0,1,,,,
390,1,,,,,
391,1,,,,,
392,1,0,1,1,,
393,0,0,1,,,
394,1,0,1,1,0,
395,1,0,,,,
397,1,1,,,,
400,0,,,,,
401,0,,,,,
402,1,,,,,
408,0,0,0,,,
409,1,1,,,,
410,1,1,1,,,
411,0,0,0,,,
412,1,1,0,0,,
413,0,1,0,1,,
414,1,0,1,1,,
415,0,0,,,,
416,1,,,,,
419,1,,,,,
420,1,0,1,1,1,1
421,1,1,1,0,,
422,1,1,1,1,,
423,1,0,1,,,
424,1,0,,,,
425,1,1,1,,,
426,1,0,,,,
427,1,0,0,,,
431,1,,,,,
432,0,1,0,,,
433,0,,,,,
434,0,0,0,,,
435,1,,,,,
436,1,1,1,,,
437,0,,,,,
438,1,1,,,,
439,0,1,1,,,
440,1,,,,,
441,1,,,,,
442,1,,,,,
443,1,1,,,,
444,1,,,,,
445,0,1,,,,
446,0,1,,,,
447,1,,,,,
448,1,,,,,
449,1,1,1,,,
452,0,1,1,0,,
453,1,1,1,1,1,
454,0,1,1,1,1,
455,0,1,1,1,,
456,1,1,1,,,
457,0,1,1,1,,
458,1,1,0,1,,
459,1,1,1,,,
460,0,1,,,,
462,1,1,,,,
464,1,0,,,,
465,1,1,,,,
466,1,1,1,1,,
467,1,1,1,1,0,
468,0,0,0,1,,
469,1,0,1,,,
470,1,1,,,,
471,1,1,1,,,
472,1,,,,,
473,1,,,,,
474,1,,,,,
475,1,,,,,
480,1,1,,,,
481,1,1,,,,
482,1,1,,,,
483,0,0,1,1,,
484,1,0,,,,
485,1,1,1,0,1,
486,0,0,1,,,
487,1,0,,,,
488,1,,,,,
489,0,,,,,
490,1,,,,,
491,1,,,,,
492,1,0,1,,,
493,1,1,1,1,1,1
494,1,1,1,1,,
495,1,,,,,
496,0,1,1,,,
497,1,0,,,,
498,1,,,,,
499,0,1,0,,,
500,1,,,,,
502,1,1,,,,
503,1,,,,,
504,1,1,,,,
505,1,,,,,
506,0,1,,,,
507,1,0,1,,,
508,1,1,1,,,
509,1,1,,,,
510,1,,,,,
511,1,1,,,,
512,1,1,1,,,
514,1,1,,,,
515,1,1,,,,
516,0,1,,,,
517,1,,,,,
518,1,,,,,
519,1,1,,,,
520,0,0,1,,,
521,1,1,,,,
522,1,0,1,0,,
523,1,1,1,1,,
524,1,1,0,1,,
525,1,0,1,1,,
526,1,0,1,1,,
527,0,1,1,1,,
528,0,1,1,,,
529,0,1,1,,,
530,1,0,1,1,,
531,0,1,1,,,
532,1,1,,,,
533,1,0,1,,,
534,1,1,,,,
535,0,,,,,
536,1,0,0,,,
537,1,0,,,,
538,1,1,1,,,
539,1,1,0,,,
540,1,0,,,,
541,1,0,1,1,,
542,1,0,1,,,
543,1,,,,,
544,0,,,,,
545,1,,,,,
546,1,,,,,
547,1,,,,,
552,0,,,,,
553,1,1,1,,,
554,0,0,1,1,0,
555,0,1,1,0,,
556,1,1,0,,,
557,0,0,0,0,,
558,1,1,1,,,
559,1,1,1,,,
561,0,,,,,
563,1,,,,,
564,1,0,1,,,
565,1,1,,,,
566,0,1,1,,,
567,1,1,,,,
568,0,0,,,,
569,1,,,,,
570,1,1,0,,,
571,0,0,1,0,,
574,1,1,1,,,
575,1,,,,,
576,1,0,,,,
577,0,,,,,
578,1,0,1,,,
579,1,1,0,,,
580,0,1,,,,
581,1,1,,,,
